RegionID	chr	start	end	Entropy	5637_value	SV_HUC_1_value	T24_value	UM_UC_3_value	
QDMR_5307	chr3	194629607	194631118	0.000	0.909090909	1.0	0.0	0.0	
QDMR_5362	chr3	197654234	197654994	0.000	0.0	0.0	0.0	1.0	
QDMR_5501	chr4	1537050	1537310	0.000	0.0	0.0	1.0	0.0	
QDMR_5504	chr4	1552738	1552951	0.000	0.0	0.0	0.0	1.0	
QDMR_5582	chr4	3463072	3463713	0.000	0.228571429	0.0	0.571428571	1.0	
QDMR_5593	chr4	3522522	3522735	0.000	0.0	1.0	0.0	0.0	
QDMR_5626	chr4	5568408	5568624	0.000	0.866666667	1.0	0.647902494	0.0	
QDMR_5847	chr4	49161440	49161739	0.000	0.857142857	0.95	0.0	1.0	
QDMR_6140	chr4	131733147	131733543	0.000	1.0	0.0	0.0	0.0	
QDMR_6165	chr4	139115123	139115535	0.000	1.0	0.0	0.0	0.933333333	
QDMR_6329	chr4	183483348	183483618	0.000	0.909090909	1.0	0.0	0.686868687	
QDMR_6369	chr4	186959731	186973145	0.000	0.0	0.0	0.0	1.0	
QDMR_6416	chr5	210849	211213	0.000	1.0	0.905	0.0	0.0	
QDMR_6459	chr5	665944	666186	0.000	1.0	0.0	0.0	0.0	
QDMR_6476	chr5	1008600	1009924	0.000	0.516190476	0.0	0.0	1.0	
QDMR_6481	chr5	1060469	1060694	0.000	1.0	0.888888889	0.0	0.960784314	
QDMR_6763	chr5	60743760	60744008	0.000	1.0	0.728571429	0.916666667	0.0	
QDMR_7318	chr5	150656406	150657067	0.000	0.0	0.079244472	0.1	1.0	
QDMR_7459	chr5	176060564	176061847	0.000	1.0	0.0	0.0	0.0	
QDMR_7579	chr5	179849846	179850068	0.000	1.0	0.0	0.0	0.0	
QDMR_7935	chr6	29792169	29793126	0.000	1.0	0.150748242	0.0	0.241341991	
QDMR_7947	chr6	30071104	30071700	0.000	0.962962963	0.0	0.0	1.0	
QDMR_7978	chr6	31180592	31180800	0.000	0.0	1.0	0.984375	0.968623737	
QDMR_7998	chr6	31723648	31723941	0.000	0.833333333	1.0	0.0	0.0	
QDMR_8008	chr6	31889119	31889327	0.000	0.925925926	0.772727273	0.0	1.0	
QDMR_8029	chr6	32879721	32880069	0.000	0.0	0.0	0.0	1.0	
QDMR_8040	chr6	33204512	33205046	0.000	0.0	0.0	1.0	0.0	
QDMR_8200	chr6	43262872	43263326	0.000	1.0	0.881481481	0.0	0.510204082	
QDMR_8821	chr6	168840117	168841395	0.000	0.0	1.0	0.0	0.799444444	
QDMR_8857	chr6	170138700	170139711	0.000	0.709090909	0.961356209	0.0	1.0	
QDMR_8863	chr6	170214542	170220892	0.000	1.0	0.0	0.0	0.0	
QDMR_8866	chr6	170266745	170267712	0.000	1.0	0.857142857	0.894444444	0.0	
QDMR_8880	chr6	170455435	170455677	0.000	1.0	0.0	0.0	1.0	
QDMR_8939	chr7	368659	368862	0.000	0.0	0.880952381	0.8	1.0	
QDMR_9006	chr7	933486	934252	0.000	1.0	0.0	0.0	0.0	
QDMR_9016	chr7	987141	987514	0.000	0.95307971	0.0	1.0	0.0	
QDMR_9214	chr7	5332649	5333086	0.000	0.0	0.960748792	0.978571429	1.0	
QDMR_9267	chr7	6551044	6551326	0.000	0.772727273	0.0	1.0	0.0	
QDMR_9517	chr7	44962512	44963246	0.000	0.0	0.677157738	0.133980012	1.0	
QDMR_9550	chr7	51388844	51389137	0.000	0.0	0.0	0.0	1.0	
QDMR_9972	chr7	102293051	102293283	0.000	0.9	0.0	1.0	0.0	
QDMR_9983	chr7	102494424	102495128	0.000	1.0	0.0	0.0	0.0	
QDMR_10196	chr7	144403705	144404047	0.000	0.0	1.0	0.983333333	0.9375	
QDMR_10420	chr7	158126012	158126717	0.000	0.25	1.0	0.0	0.0	
QDMR_10489	chr8	713998	714794	0.000	0.0	0.983333333	1.0	0.964285714	
QDMR_10510	chr8	1027625	1028351	0.000	0.0	1.0	0.433333333	0.0	
QDMR_10557	chr8	1641872	1644116	0.000	0.7125	1.0	0.458531746	0.0	
QDMR_10572	chr8	1944069	1944281	0.000	0.0	0.0	0.926666667	1.0	
QDMR_10726	chr8	22578782	22579563	0.000	0.0	0.126926883	0.162745098	1.0	
QDMR_10954	chr8	60714121	60714515	0.000	0.5	0.0	0.95	1.0	
QDMR_11314	chr8	142516128	142516533	0.000	0.0	1.0	0.589285714	0.875	
QDMR_11341	chr8	143255366	143256415	0.000	0.0	0.0	0.0	1.0	
QDMR_11361	chr8	143407364	143407792	0.000	0.0	1.0	0.8	0.0	
QDMR_11401	chr8	143804941	143805492	0.000	1.0	0.0	0.0	0.0	
QDMR_11408	chr8	143839472	143839742	0.000	0.0	1.0	0.951388889	1.0	
QDMR_11450	chr8	144274797	144275054	0.000	0.0	1.0	0.0	0.0	
QDMR_11636	chr9	29212173	29212821	0.000	0.029411765	0.0	1.0	0.039444444	
QDMR_11744	chr9	38241244	38241583	0.000	0.0	0.0	0.961432507	1.0	
QDMR_11779	chr9	42288354	42288836	0.000	1.0	0.0	0.0	0.0	
QDMR_11801	chr9	62550615	62550969	0.000	1.0	0.0	0.0	0.560846561	
QDMR_11836	chr9	66152538	66154267	0.000	1.0	0.0	0.0	0.0	
QDMR_11954	chr9	91681599	91681966	0.000	0.0	0.0	0.0	1.0	
QDMR_11958	chr9	91900283	91900536	0.000	1.0	0.969047619	0.935185185	0.0	
QDMR_12175	chr9	120494759	120495096	0.000	1.0	0.0	0.0	0.0	
QDMR_12292	chr9	127809688	127810085	0.000	1.0	0.97	0.994791667	0.0	
QDMR_12434	chr9	133071199	133071663	0.000	1.0	1.0	0.0	0.0	
QDMR_12517	chr9	135487466	135487750	0.000	1.0	0.952806122	0.946938776	0.0	
QDMR_12545	chr9	136101479	136101838	0.000	0.0	1.0	0.739583333	0.0	
QDMR_12603	chr9	136522663	136523066	0.000	0.0	1.0	0.0	0.0	
QDMR_12664	chr9	137103394	137103596	0.000	0.0	0.0	0.0	1.0	
QDMR_12683	chr9	137218177	137218497	0.000	0.0	0.0	1.0	0.0	
QDMR_12694	chr9	137316100	137316613	0.000	0.0	0.565608466	0.0	1.0	
QDMR_12727	chr9	137693559	137694479	0.000	1.0	1.0	0.0	0.945206972	
QDMR_12730	chr9	137780673	137781373	0.000	1.0	0.981481481	0.0	0.0	
QDMR_12851	chrX	3835162	3835761	0.000	0.0	0.0	0.0	1.0	
QDMR_12855	chrX	3876395	3877113	0.000	0.0	0.0	0.0	1.0	
QDMR_12857	chrX	3912013	3912612	0.000	0.0	1.0	0.0	0.0	
QDMR_13050	chrX	47574015	47574725	0.000	0.847272727	0.972222222	1.0	0.0	
QDMR_13103	chrX	49341062	49341676	0.000	0.64	1.0	0.66658175	0.0	
QDMR_13110	chrX	49589410	49590023	0.000	0.576839827	1.0	0.52660426	0.0	
QDMR_13111	chrX	49598934	49599547	0.000	0.570634921	1.0	0.667261905	0.0	
QDMR_13400	chrX	120936040	120937009	0.000	0.0	0.0	0.0	1.0	
QDMR_13482	chrX	136300298	136300503	0.000	1.0	0.0	0.523809524	0.0	
QDMR_13951	chr10	8035866	8036415	0.000	0.301118326	0.0	0.747619048	1.0	
QDMR_14109	chr10	42111033	42113380	0.000	0.333333333	0.916666667	0.0	1.0	
QDMR_14166	chr10	45700003	45700226	0.000	1.0	1.0	0.90625	0.0	
QDMR_14228	chr10	52411011	52411218	0.000	1.0	0.0	0.0	0.0	
QDMR_14308	chr10	71661721	71661945	0.000	0.0	1.0	0.918398268	1.0	
QDMR_14369	chr10	79700667	79700987	0.000	1.0	0.0	0.0	0.0	
QDMR_14406	chr10	87222936	87223205	0.000	1.0	0.0	0.966666667	1.0	
QDMR_14556	chr10	101006564	101006936	0.000	0.0	0.972222222	0.834850607	1.0	
QDMR_14886	chr10	132772666	132772967	0.000	0.0	0.984492481	0.888888889	1.0	
QDMR_15032	chr11	471542	472145	0.000	0.0	1.0	0.0	0.0	
QDMR_15124	chr11	1287401	1287854	0.000	0.0	1.0	0.0	0.0	
QDMR_15135	chr11	1435218	1435622	0.000	1.0	0.0	0.0	0.0	
QDMR_15146	chr11	1556475	1557861	0.000	0.0	1.0	0.955555556	0.0	
QDMR_15524	chr11	48900173	48901190	0.000	1.0	0.0	0.0	0.0	
QDMR_15648	chr11	63764981	63765228	0.000	0.74	0.0	0.925925926	1.0	
QDMR_15939	chr11	71607174	71608442	0.000	0.583333333	0.0	0.0	1.0	
QDMR_16491	chr12	8221356	8221593	0.000	0.0	1.0	0.0	0.0	
QDMR_16753	chr12	52152153	52152579	0.000	0.0	0.013095238	0.028282828	1.0	
QDMR_16758	chr12	52291161	52291382	0.000	1.0	0.0	1.0	0.916883117	
QDMR_16837	chr12	54370281	54370726	0.000	1.0	0.0	0.850378788	0.943253968	
QDMR_16838	chr12	54378903	54379205	0.000	1.0	0.0	0.0	0.0	
QDMR_17272	chr12	120584513	120584901	0.000	0.0	0.0	0.0	1.0	
QDMR_17473	chr12	132168478	132168691	0.000	0.878571429	0.910714286	1.0	0.0	
QDMR_17482	chr12	132231172	132234872	0.000	0.0	0.0	0.0	1.0	
QDMR_17537	chr12	132563718	132564048	0.000	0.0	1.0	0.638888889	0.0	
QDMR_17582	chr13	114032602	114032858	0.000	1.0	0.0	0.0	0.0	
QDMR_18549	chr14	70234097	70234333	0.000	0.940789474	0.0	0.642857143	1.0	
QDMR_18668	chr14	89891786	89892044	0.000	0.0	0.993333333	1.0	0.99609375	
QDMR_18891	chr14	104752029	104752283	0.000	1.0	0.0	0.798039216	0.86996337	
QDMR_18962	chr14	105566961	105567183	0.000	0.484126984	1.0	0.0	0.0	
QDMR_19003	chr15	20755450	20756318	0.000	0.0	0.8	0.733333333	1.0	
QDMR_19112	chr15	32167965	32168463	0.000	1.0	0.0	0.0	0.0	
QDMR_19141	chr15	37097974	37098179	0.000	0.0	1.0	0.793055556	0.995454545	
QDMR_19441	chr15	71215092	71215357	0.000	0.0	1.0	1.0	1.0	
QDMR_19607	chr15	84816961	84817634	0.000	1.0	0.847222222	0.878042328	0.0	
QDMR_19765	chr15	101745483	101746213	0.000	1.0	0.0	0.0	0.0	
QDMR_19791	chr16	186075	187284	0.000	0.0	0.0	1.0	1.0	
QDMR_19803	chr16	297923	298234	0.000	1.0	0.0	0.942860081	0.0	
QDMR_19812	chr16	378161	378487	0.000	0.0	1.0	0.991596639	0.966666667	
QDMR_19821	chr16	511007	511212	0.000	0.0	1.0	0.866666667	1.0	
QDMR_19828	chr16	543299	543500	0.000	1.0	0.984126984	0.981481481	0.0	
QDMR_19839	chr16	620625	620851	0.000	0.6875	1.0	0.902777778	0.0	
QDMR_20024	chr16	1968518	1968790	0.000	0.0	1.0	0.970995671	0.988888889	
QDMR_20091	chr16	2610771	2610977	0.000	0.0	0.0	0.0	1.0	
QDMR_20183	chr16	4327507	4328161	0.000	0.0	1.0	0.433333333	0.978021978	
QDMR_20229	chr16	8953539	8954218	0.000	0.0	0.533333333	0.0	1.0	
QDMR_20566	chr16	32202221	32202961	0.000	0.0	0.0	0.0	1.0	
QDMR_20657	chr16	49838538	49839015	0.000	1.0	0.0	0.8	0.0	
QDMR_20660	chr16	49876298	49876952	0.000	0.0	0.0	0.0	1.0	
QDMR_20870	chr16	70473123	70473343	0.000	0.0	1.0	0.0	0.0	
QDMR_21092	chr16	88206791	88207443	0.000	0.0	1.0	0.0	0.0	
QDMR_21233	chr16	89647503	89648442	0.000	1.0	0.833333333	0.0	0.0	
QDMR_21705	chr17	19744728	19745179	0.000	0.0	0.840401786	0.858572975	1.0	
QDMR_21828	chr17	31345317	31345594	0.000	0.0	0.0	0.0	1.0	
QDMR_22023	chr17	42117382	42117595	0.000	1.0	0.858630952	0.765277778	0.0	
QDMR_22199	chr17	48012270	48012485	0.000	0.125	0.0	1.0	0.0	
QDMR_22498	chr17	74842673	74843436	0.000	1.0	0.0	0.0	0.2	
QDMR_22530	chr17	75558743	75559026	0.000	0.0	1.0	0.0	0.0	
QDMR_22644	chr17	79795137	79795363	0.000	1.0	0.0	0.959401709	0.0	
QDMR_22878	chr17	82848813	82849341	0.000	1.0	0.966666667	1.0	0.0	
QDMR_22896	chr17	83025162	83025687	0.000	1.0	0.0	0.0	0.0	
QDMR_22898	chr17	83032052	83032497	0.000	1.0	1.0	1.0	0.0	
QDMR_23003	chr18	12093608	12093843	0.000	1.0	0.0	0.0	0.0	
QDMR_23056	chr18	22176886	22177119	0.000	0.947368421	1.0	0.981818182	0.0	
QDMR_23093	chr18	33440546	33440883	0.000	1.0	0.0	0.933826359	0.98	
QDMR_23462	chr19	429995	430323	0.000	0.789915966	0.0	0.0	1.0	
QDMR_23512	chr19	709227	709990	0.000	0.0	0.0	1.0	1.0	
QDMR_23545	chr19	900808	901132	0.000	0.0	1.0	0.0	0.0	
QDMR_23558	chr19	990183	990413	0.000	1.0	0.0	1.0	1.0	
QDMR_23574	chr19	1064898	1065192	0.000	0.0	1.0	0.0	0.05	
QDMR_23587	chr19	1122476	1123288	0.000	0.976911977	1.0	0.0	0.981481481	
QDMR_23590	chr19	1154024	1154487	0.000	1.0	0.0	0.976190476	0.981657754	
QDMR_23593	chr19	1163467	1163877	0.000	0.925274725	1.0	0.0	0.933333333	
QDMR_23617	chr19	1302531	1302812	0.000	0.0	0.944444444	1.0	0.0	
QDMR_23623	chr19	1325866	1326216	0.000	1.0	0.0	0.0	0.0	
QDMR_23681	chr19	1630863	1631065	0.000	1.0	0.0	0.0	1.0	
QDMR_23707	chr19	1856726	1857444	0.000	0.826100289	0.0	1.0	0.931079932	
QDMR_23814	chr19	2702534	2702771	0.000	1.0	0.034722222	0.0	0.0	
QDMR_23883	chr19	3463014	3464360	0.000	1.0	0.0	0.9875	0.991071429	
QDMR_23906	chr19	3649055	3650032	0.000	0.835007047	0.0	0.6	1.0	
QDMR_23941	chr19	3937325	3937969	0.000	0.477777778	1.0	0.0	0.162337662	
QDMR_23968	chr19	4217421	4218071	0.000	0.946666667	1.0	0.0	0.0	
QDMR_24043	chr19	5229498	5229829	0.000	0.968131868	0.0	0.0	1.0	
QDMR_24090	chr19	6024723	6024977	0.000	0.987179487	0.0	0.847619048	1.0	
QDMR_24097	chr19	6230092	6230295	0.000	0.947826087	0.0	1.0	0.0	
QDMR_24117	chr19	6659875	6660083	0.000	0.787698413	1.0	0.0	0.0	
QDMR_24441	chr19	13702447	13702785	0.000	0.0	1.0	0.0	0.878787879	
QDMR_24529	chr19	15807613	15807894	0.000	1.0	0.918518519	0.0	1.0	
QDMR_24617	chr19	17942607	17942861	0.000	0.0	0.8	1.0	1.0	
QDMR_24641	chr19	18155872	18156079	0.000	0.0	0.0	0.0	1.0	
QDMR_24926	chr19	36279804	36280257	0.000	1.0	0.0	0.0	0.0	
QDMR_24969	chr19	37293251	37293672	0.000	0.0	0.0	0.888888889	1.0	
QDMR_25086	chr19	40213507	40214208	0.000	0.0	1.0	0.0	0.0	
QDMR_25119	chr19	40601087	40601674	0.000	0.0	0.0	0.0	1.0	
QDMR_25164	chr19	41908223	41908432	0.000	0.0	0.965761511	0.0	1.0	
QDMR_25297	chr19	45517653	45518110	0.000	0.0	1.0	0.0	0.0	
QDMR_25550	chr19	49873099	49873307	0.000	0.0	0.968892045	1.0	0.953846154	
QDMR_25597	chr19	50716797	50717041	0.000	1.0	0.771031746	0.822222222	0.0	
QDMR_25720	chr19	54415229	54415654	0.000	0.922234432	0.0	1.0	1.0	
QDMR_25724	chr19	54461245	54461558	0.000	0.939236111	0.927272727	0.0	1.0	
QDMR_25791	chr19	55621673	55622500	0.000	1.0	0.988636364	0.0	0.0	
QDMR_25809	chr19	56146839	56147184	0.000	1.0	0.0	1.0	0.953679654	
QDMR_26498	chr20	57524875	57525194	0.000	0.0	0.0	0.0	1.0	
QDMR_26786	chr21	6093544	6094235	0.000	0.894336219	0.949225589	1.0	0.0	
QDMR_26827	chr21	8429564	8429819	0.000	0.57564455	1.0	0.0	0.84009578	
QDMR_26868	chr21	14063798	14064641	0.000	0.978947368	1.0	0.0	0.0	
QDMR_27031	chr21	43095152	43095450	0.000	1.0	0.989026728	0.945856817	0.0	
QDMR_27059	chr21	43803581	43803843	0.000	0.958333333	0.964285714	0.0	1.0	
QDMR_27166	chr21	45923801	45925225	0.000	0.0	0.0	0.0	1.0	
QDMR_27189	chr21	46182517	46182826	0.000	0.0	0.0	0.976131687	1.0	
QDMR_27372	chr22	21142317	21142644	0.000	1.0	0.0	0.0	0.0	
QDMR_27527	chr22	31276434	31276828	0.000	1.0	0.0	0.0	0.0	
QDMR_27668	chr22	41064010	41064268	0.000	1.0	0.933333333	0.933333333	0.0	
QDMR_27794	chr22	46389274	46389484	0.000	0.0	1.0	0.833333333	0.0	
QDMR_27814	chr22	46859017	46860528	0.000	0.97398374	1.0	0.0	0.933333333	
QDMR_27923	chr22	50454407	50454613	0.000	1.0	0.927272727	1.0	0.0	
QDMR_27990	chrUn_KI270743v1	68189	68710	0.000	0.0	0.798534799	0.0	1.0	
QDMR_28033	chr1_KI270762v1_alt	34949	35257	0.000	0.0	1.0	0.528571429	0.8	
QDMR_28369	chr6_GL000251v2_alt	1207189	1208176	0.000	0.0	0.148408713	0.033968254	1.0	
QDMR_28372	chr6_GL000251v2_alt	1275950	1276886	0.000	1.0	0.0	0.736934123	0.418315018	
QDMR_28373	chr6_GL000251v2_alt	1311338	1312379	0.000	0.0	0.870748299	0.8	1.0	
QDMR_28378	chr6_GL000251v2_alt	1407714	1408426	0.000	0.158730159	0.0	0.829820694	1.0	
QDMR_28386	chr6_GL000251v2_alt	1554912	1555494	0.000	0.0	0.0	0.6	1.0	
QDMR_28390	chr6_GL000251v2_alt	1607202	1607639	0.000	1.0	0.805555556	0.777777778	0.0	
QDMR_28415	chr6_GL000251v2_alt	2663032	2663240	0.000	0.0	1.0	0.0	0.947619048	
QDMR_28445	chr6_GL000251v2_alt	3377339	3377605	0.000	0.0	1.0	0.953174603	0.961243386	
QDMR_28498	chr6_GL000252v2_alt	893071	893737	0.000	0.0	0.886243386	1.0	0.943068783	
QDMR_28499	chr6_GL000252v2_alt	897814	898928	0.000	0.0	0.0	0.0	1.0	
QDMR_28504	chr6_GL000252v2_alt	1055154	1056111	0.000	1.0	0.064200596	0.0	0.385714286	
QDMR_28516	chr6_GL000252v2_alt	1327020	1327616	0.000	0.0	0.944444444	0.0	1.0	
QDMR_28547	chr6_GL000252v2_alt	2439924	2440132	0.000	0.0	0.0	1.0	0.944246032	
QDMR_28550	chr6_GL000252v2_alt	2566198	2566483	0.000	0.0	0.0	0.0	1.0	
QDMR_28587	chr6_GL000252v2_alt	3779952	3780235	0.000	0.020833333	1.0	0.0	0.0	
QDMR_28603	chr6_GL000252v2_alt	4448011	4448545	0.000	0.0	0.0	1.0	0.0	
QDMR_28627	chr6_GL000253v2_alt	892665	893331	0.000	0.0	0.756845238	0.0	1.0	
QDMR_28633	chr6_GL000253v2_alt	1054745	1055702	0.000	1.0	0.126871233	0.0	0.235173514	
QDMR_28640	chr6_GL000253v2_alt	1188718	1188926	0.000	1.0	0.0	0.4	0.75	
QDMR_28645	chr6_GL000253v2_alt	1331854	1332450	0.000	0.0	0.0	0.0	1.0	
QDMR_28675	chr6_GL000253v2_alt	2491118	2491326	0.000	0.0	0.0	1.0	0.0	
QDMR_28740	chr6_GL000254v2_alt	892915	893581	0.000	0.958333333	1.0	0.0	0.953926282	
QDMR_28746	chr6_GL000254v2_alt	1054820	1055777	0.000	1.0	0.133603525	0.0	0.149904762	
QDMR_28781	chr6_GL000254v2_alt	2524732	2524940	0.000	1.0	0.888888889	0.0	0.947619048	
QDMR_28813	chr6_GL000254v2_alt	3429321	3429855	0.000	0.0	0.0	0.0	1.0	
QDMR_28912	chr6_GL000255v2_alt	2438640	2438848	0.000	0.0	1.0	0.85	0.991666667	
QDMR_28972	chr6_GL000255v2_alt	4398916	4399450	0.000	1.0	0.0	0.0	0.0	
QDMR_29003	chr6_GL000256v2_alt	1098320	1099277	0.000	1.0	0.139481564	0.0	0.361269841	
QDMR_29015	chr6_GL000256v2_alt	1370023	1370619	0.000	0.0	0.0	1.0	0.0	
QDMR_29120	chr6_KI270798v1_alt	191996	192238	0.000	1.0	1.0	0.0	0.6	
QDMR_29223	chr8_KI270814v1_alt	118354	118739	0.000	0.8125	0.914285714	0.0	1.0	
QDMR_29237	chr8_KI270816v1_alt	61644	61846	0.000	0.060364146	0.0	0.0	1.0	
QDMR_29285	chr8_KI270819v1_alt	89933	90707	0.000	0.416666667	1.0	0.0	0.8	
QDMR_29374	chrX_KI270880v1_alt	53674	53917	0.000	0.969444444	1.0	0.932659933	0.0	
QDMR_29375	chrX_KI270880v1_alt	54123	55036	0.000	1.0	0.913492063	0.962949039	0.0	
QDMR_29434	chr11_KI270830v1_alt	38712	40098	0.000	0.895238095	0.0	1.0	0.966666667	
QDMR_29464	chr11_KI270832v1_alt	71537	71868	0.000	1.0	0.0	0.8	0.0	
QDMR_29470	chr11_KI270832v1_alt	127361	127596	0.000	1.0	0.945714286	0.954861111	0.0	
QDMR_29486	chr11_KI270902v1_alt	72164	72392	0.000	0.944444444	0.0	1.0	0.968181818	
QDMR_29504	chr11_KI270927v1_alt	49173	50015	0.000	1.0	0.922760377	0.0	0.949665533	
QDMR_29580	chr14_KI270846v1_alt	154560	154796	0.000	0.0	1.0	0.0	0.0	
QDMR_29638	chr15_KI270852v1_alt	102416	103272	0.000	0.412121212	1.0	0.0	0.928571429	
QDMR_29752	chr16_KI270854v1_alt	113627	113832	0.000	0.0	0.0	0.0	1.0	
QDMR_29826	chr17_GL383563v3_alt	327114	329823	0.000	1.0	0.0	0.0	0.0	
QDMR_29864	chr17_KI270857v1_alt	1594861	1595692	0.000	1.0	0.9239082	0.0	0.066666667	
QDMR_29889	chr17_KI270857v1_alt	2613893	2614312	0.000	0.0	0.0	0.6	1.0	
QDMR_29912	chr17_KI270860v1_alt	69962	70258	0.000	0.0	1.0	0.0	1.0	
QDMR_29914	chr17_KI270860v1_alt	77394	77738	0.000	1.0	0.910714286	0.0	0.986901643	
QDMR_29916	chr17_KI270860v1_alt	89750	89970	0.000	0.808630952	0.0	0.98046398	1.0	
QDMR_30032	chr18_KI270863v1_alt	136912	137250	0.000	0.904761905	0.0	1.0	0.0	
QDMR_30066	chr19_GL949746v1_alt	155548	155948	0.000	0.0	1.0	0.0	0.0	
QDMR_30070	chr19_GL949746v1_alt	321747	322172	0.000	0.759259259	0.0	0.0	1.0	
QDMR_30073	chr19_GL949746v1_alt	367759	368072	0.000	0.0	0.8	0.0	1.0	
QDMR_30077	chr19_GL949746v1_alt	842852	843158	0.000	0.0	1.0	0.0	0.7	
QDMR_30095	chr19_GL949747v2_alt	182220	182489	0.000	0.0	1.0	0.0	1.0	
QDMR_30097	chr19_GL949747v2_alt	627740	627953	0.000	0.0	0.0	0.0	1.0	
QDMR_30114	chr19_GL949748v2_alt	182220	182489	0.000	0.978571429	1.0	0.0	1.0	
QDMR_30122	chr19_GL949748v2_alt	1063402	1063704	0.000	0.733333333	1.0	0.0	0.0	
QDMR_30133	chr19_GL949749v2_alt	182220	182489	0.000	0.987012987	0.0	0.0	1.0	
QDMR_30152	chr19_GL949750v2_alt	182220	182489	0.000	1.0	0.0	0.0	1.0	
QDMR_30166	chr19_GL949751v2_alt	137035	137491	0.000	1.0	0.710204082	0.0	0.0	
QDMR_30179	chr19_GL949751v2_alt	1001781	1002083	0.000	0.6	0.0	0.0	1.0	
QDMR_30190	chr19_GL949752v1_alt	182209	182478	0.000	0.0	0.9675	0.0	1.0	
QDMR_30191	chr19_GL949752v1_alt	319923	320348	0.000	0.884559885	0.0	1.0	0.975757576	
QDMR_30205	chr19_GL949752v1_alt	986198	986500	0.000	0.311111111	0.0	0.0	1.0	
QDMR_30216	chr19_GL949753v2_alt	182220	182489	0.000	1.0	0.0	0.0	0.933333333	
QDMR_30219	chr19_GL949753v2_alt	695022	695328	0.000	0.0	0.0	0.0	1.0	
QDMR_30233	chr19_KI270865v1_alt	48454	48917	0.000	0.988888889	0.0	0.0	1.0	
QDMR_30252	chr19_KI270868v1_alt	47130	47527	0.000	1.0	0.904761905	0.0	0.930769231	
QDMR_30253	chr19_KI270868v1_alt	50000	50544	0.000	0.0	1.0	0.0	0.0	
QDMR_30260	chr19_KI270938v1_alt	137035	137491	0.000	0.0	0.670068027	0.0	1.0	
QDMR_30265	chr19_KI270938v1_alt	182220	182489	0.000	1.0	1.0	0.0	1.0	
QDMR_30266	chr19_KI270938v1_alt	397517	397942	0.000	0.931979132	0.0	0.9	1.0	
