chr	start	end	5637_value	SV_HUC_1_value	T24_value	UM_UC_3_value
chr1	3080708	3080909	0.305157092	0.814525412	0.50110593	0.931960488
chr1	3083163	3083414	0.407047541	0.719276509	0.47870502	0.90372488
chr1	3111615	3111993	0.404559774	0.774464468	0.644337232	0.875588406
chr1	3121503	3121779	0.75	0.778765634	0.470949575	0.962082362
chr1	3139977	3140208	0.521073412	0.699496288	0.469513186	0.734270648
chr1	3142486	3142704	0.581036424	0.822932936	0.512035661	0.911422337
chr1	3155335	3155675	0.468361693	0.728915847	0.521865182	0.93301202
chr1	3164370	3164728	0.584910514	0.755850427	0.646282526	0.949104778
chr1	3185976	3186788	0.306983896	0.621297341	0.44714313	0.900095981
chr1	3188392	3188689	0.445033087	0.619042399	0.600897553	0.909759972
chr1	3194583	3195345	0.240262053	0.693392026	0.417506995	0.874891963
chr1	3231281	3231517	0.299662496	0.564460082	0.295062901	0.932320884
chr1	3238596	3238797	0.671163773	0.812328668	0.58199295	0.945189273
chr1	3240945	3241736	0.548958144	0.58733055	0.463302414	0.917290004
chr1	3247405	3248079	0.621419999	0.491977212	0.738425738	0.945616518
chr1	3266257	3266652	0.59006721	0.711605062	0.667222416	0.918159453
chr1	3267982	3268260	0.566433221	0.597422107	0.709591294	0.850189427
chr1	3278812	3279488	0.436311541	0.691037835	0.314950531	0.787613508
chr1	3287201	3287889	0.80952381	0.852449305	0.55776644	0.916373822
chr1	3323351	3323697	0.395641891	0.704472822	0.338682069	0.886713521
chr1	3358465	3358720	0.637532825	0.790609261	0.454613086	0.938959357
chr1	3390505	3390721	0.553609987	0.816495232	0.600479214	0.927943872
chr1	3393538	3394471	0.43514086	0.539806354	0.551941914	0.919658492
chr1	3404705	3405746	0.427202365	0.774244304	0.438138643	0.890048983
chr1	3408682	3409115	0	0	0	0
chr1	3411427	3412860	0.389027531	0.607178921	0.443647732	0.837880483
chr1	3414476	3414715	0.232323232	0.585629921	0.139319631	0.951143791
chr1	3415422	3415663	0.408194108	0.623561036	0.323851166	0.870329854
chr1	3425448	3425762	0.541824755	0.8003689	0.659937127	0.860643106
chr1	3425974	3426242	0.388481451	0.754161231	0.506970419	0.915246324
chr1	3434801	3435068	0.711287825	0.876305714	0.54998358	0.858897209
chr1	3454341	3455119	0	0	0.048979592	0
chr1	3478137	3478627	0.914347157	0.929656716	0.768539595	0.910582503
chr1	3500442	3500655	0.958333333	1	1	0
chr1	3509012	3509233	0.988373531	0.954371689	0.928484808	0.91938124
chr1	3509797	3510006	0	0	0.812121212	1
chr1	3510791	3511119	0.821540074	0.968417508	0.812868506	0.865046433
chr1	3519424	3519686	0.992709045	0.929837474	0.908893963	0.943532712
chr1	3530885	3531495	0	0.020408163	0.038319705	0.306691919
chr1	3543310	3543705	0.033265593	0.01774176	0.044901845	0.381925411
chr1	3583338	3583906	0	0.888888889	0	0
chr1	3595145	3595554	0.711986866	0.839029112	0.681142159	0.813374277
chr1	3611055	3611514	0	0.032034632	0.8	0.807921811
chr1	3624203	3625677	0.006947594	0.033269547	0.024945685	0.079028805
chr1	3640399	3640637	0.734753788	0.489858991	0.736497567	0.891216931
chr1	3643388	3644445	0.977604029	0.953765309	0.936654492	0.986778046
chr1	3645293	3645559	0.961665527	0.97444198	0.968728004	0.872830579
chr1	3649780	3653072	0.636558738	0.678234135	0.771577813	0.80447382
chr1	3690532	3690989	0.703584657	0.864318385	0.551922082	0.809819578
chr1	3706754	3706957	0.965811966	0.921603079	0.928370226	0.906023928
chr1	3718069	3718537	0.87180314	0.905050407	0.936928783	0.892269709
chr1	3732730	3733110	0.938863404	0.95165771	0.944453419	0.927868679
chr1	3746399	3747406	0.821784861	0.398436577	0.741209357	0.724201189
chr1	3771989	3773120	0.154938175	0.145831572	0.116476913	0.789861424
chr1	3786900	3787344	0.957915266	0.952225457	0.92570755	0.964805452
chr1	3795834	3796668	0	0	0.014545455	0.021568627
chr1	3814894	3815451	0.980682665	0.92600293	0.95670027	0.943621996
chr1	3856623	3857901	0.00815741	0.013318364	0.019014191	0.181940327
chr1	3858513	3858805	0.879872373	0.917626935	0.819317578	0.941210428
chr1	3874300	3875047	0.963265306	0.944404762	0.891150373	0.901068376
chr1	3891926	3892672	0.962724438	0.96863259	0.931737791	0.974540086
chr1	3899792	3901520	0.013781211	0.007154521	0.010725017	0.010015899
chr1	3907655	3907892	0.686937964	0.941102667	0.91079453	0.910968981
chr1	4132573	4133183	0.417997828	0.61390171	0.692123982	0.661959175
chr1	4161327	4161612	0.331514657	0.54576568	0.151453463	0.346679158
chr1	4653929	4656495	0.872053128	0.198250397	0.630732689	0.374474999
chr1	4666516	4666807	0.083333333	0.839526806	0.187889194	0.50741523
chr1	4711592	4712485	0.535670172	0.924867372	0.857963965	0.846182443
chr1	4772291	4772493	0.402588849	0.87350965	0.723185682	0.673516453
chr1	5711996	5712453	0.748127073	0.84099249	0.852802183	0.884225149
chr1	5733497	5733724	0.702886303	0.848098383	0.643605651	0.566607901
chr1	5877097	5877332	0.895485181	0.8954983	0.921622109	0.876666965
chr1	5890764	5890969	0.919851111	0.952562109	0.954655197	0.975154035
chr1	5991535	5993346	0.019488313	0.009200556	0.018320653	0.098133511
chr1	6026184	6026434	0	0.011807938	0.017168966	0.894254898
chr1	6051549	6051776	0.641659706	0.994444444	0.86604736	0.799128341
chr1	6071575	6071925	0.940978583	0.960571748	0.957063378	0.941259012
chr1	6127683	6128175	0.691826668	0.769856181	0.729215548	0.972298535
chr1	6128813	6129060	0.899248097	0.931326437	0.856659226	0.954715051
chr1	6142058	6142299	0.876956417	0.968606038	0.806582578	0.907272133
chr1	6148656	6148979	0.69919516	0.630721617	0.40317621	0.941264321
chr1	6179177	6180754	0.238941103	0.062379928	0.566765354	0.879515599
chr1	6180971	6181191	0.197788936	0.919660743	0.798717725	0.941660529
chr1	6199118	6199823	0.013946954	0.007474901	0.021867937	0.016107892
chr1	6205765	6206718	0.002352941	0.028334575	0.011886966	0.648558471
chr1	6208760	6209528	0.974751012	0.980909481	0.983773321	0.885714286
chr1	6235468	6236201	0.002364066	0.018576389	0.002155172	0.069813763
chr1	6241815	6242796	0.072126078	0.424656265	0.384269829	0.664721118
chr1	6245088	6246403	0.371303166	0.095726671	0.200129354	0.077972807
chr1	6249103	6250032	0.0625	0.86712963	0.380952381	0
chr1	6253701	6254079	0.955833944	0.913875402	0.882163772	0.979941689
chr1	6260077	6260991	0.020379402	0.034810773	0.019564056	0.014937642
chr1	6279888	6280208	0.918013558	0.942292426	0.971978161	0.924491068
chr1	6281076	6281352	0.872304827	0.970251177	0.929776708	0.954690439
chr1	6392959	6394125	0.006855889	0.004937992	0.012677568	0.039544513
chr1	6418997	6420878	0.245500637	0.624761634	0.377492982	0.767889291
chr1	6424443	6425267	0.133518043	0.35693378	0.144100206	0.985061442
chr1	6440108	6441070	0.598212533	0.409154717	0.308313976	0.862749978
chr1	6447147	6449126	0.030264463	0.683055493	0.238508524	0.858681964
chr1	6451629	6452050	0.630271269	0.846808461	0.691794019	0.8222715
chr1	6454048	6455985	0.596346765	0.604688591	0.730318495	0.940102582
chr1	6456064	6456265	0.639731893	0.821873733	0.652847435	0.749537932
chr1	6460524	6461895	0.882259541	0.95302072	0.929397039	0.97345098
chr1	6466114	6466361	0.943877551	0.944288119	0.893710799	1
chr1	6470612	6470818	1	0.953290884	0.985921841	0.98526936
chr1	6471411	6471676	1	0.951769245	1	1
chr1	6485083	6485858	0.012987013	0.75	0	0
chr1	6490023	6491055	0.006226219	0.011468858	0.018303012	0.015041612
chr1	6497090	6497812	0.065564552	0.248962149	0.013527408	0.085879676
chr1	6554076	6554775	0.01027311	0.005477408	0.003659592	0.160970654
chr1	6579367	6580301	0.181062278	0.200124654	0.186101857	0.348152932
chr1	6593337	6593614	0.936502775	0.955784158	0.939516771	0.926301213
chr1	6599065	6599445	0.556050534	0.834902908	0.278885826	0.9621497
chr1	6601716	6603784	0.017926376	0.162054153	0.031502134	0.114264572
chr1	6612726	6615681	0.028134682	0.111259329	0.029811329	0.221529969
chr1	6625011	6625780	0.051470588	0.054825708	0.01720733	0
chr1	6701235	6702071	0.020876519	0.01087954	0.016511927	0.006250637
chr1	6784253	6786306	0.018694428	0.014352748	0.023485051	0.010268582
chr1	6961941	6962248	0.951980152	0.922725719	0.929558859	0.965008733
chr1	7062459	7062667	0.663123994	0.825873828	0.560299997	0.80380117
chr1	7663340	7665115	0.618735271	0.841643691	0.72680691	0.88560575
chr1	7680083	7681057	0.269907407	0.068954656	0.264122291	0.469705632
chr1	7704113	7705796	0.36549537	0.103972246	0.516021198	0.456936734
chr1	7770991	7771786	0.045022346	0.021299714	0.346424743	0.211372256
chr1	7783400	7785044	0.804554204	0.409902502	0.729931574	0.833230543
chr1	7827138	7827416	0.877543614	0.598541351	0.965379094	0.957795224
chr1	7942348	7942639	0.86849045	0.687467542	0.923370373	0.988304094
chr1	7953933	7954591	0.912122094	0.084181266	0.904251459	0.918088598
chr1	7961241	7962166	0.015937431	0.0080084	0.014483818	0.006805438
chr1	8025494	8026794	0.004644019	0.014658124	0.019734396	0.031103999
chr1	8211936	8212142	0.003918098	0.018214186	0.006885376	0.017587966
chr1	8217135	8217762	0.94749426	0.925842288	0.906033164	0.970015539
chr1	8317724	8318275	0.575097479	0.550258372	0.290288387	0.758666783
chr1	8324327	8324659	0.938035772	0.897423761	0.917751347	0.907100816
chr1	8325835	8326108	0.913319087	0.927563564	0.912031273	0.941420994
chr1	8330142	8330740	0.92443364	0.916565739	0.938300721	0.94240529
chr1	8335283	8335575	0.966096236	0.95615207	0.908452879	0.966488267
chr1	8343637	8344042	0.161370197	0.195913506	0.160344223	0.287233688
chr1	8358262	8358490	0.95917815	0.912843587	0.939596303	0.990196078
chr1	8423329	8424279	0.031414797	0.013317243	0.023755328	0.031689879
chr1	8702946	8703521	0.033209519	0.03125	0.033320366	0.011917107
chr1	8816953	8818004	0.003486881	0.016472997	0.016579102	0.014110168
chr1	8878254	8879287	0.021437501	0.029998426	0.02829052	0.009828894
chr1	9039221	9040454	0.734276134	0.8955515	0.748185738	0.822367099
chr1	9128444	9129417	0.058870499	0.001349528	0.008876837	0.126415916
chr1	9182108	9183768	0.354522569	0.60243884	0.449711636	0.908990555
chr1	9198506	9198897	0.892094895	0.915142659	0.794765764	0.896793652
chr1	9234342	9235393	0.049212702	0.077940261	0.028639023	0.013290715
chr1	9264143	9264380	0.939485341	0.91225522	0.947679692	0.946527466
chr1	9264628	9264957	0.934728182	0.962690463	0.929447117	0.956673733
chr1	9292330	9293834	0.12021978	0.446921587	0.062724054	0.250256939
chr1	9356067	9356345	0.950304469	0.950761747	0.94908755	0.964522684
chr1	9367448	9367675	0.969137185	0.960370815	0.967681443	0.982612782
chr1	9428878	9429190	0.00412154	0.012486723	0.008082332	0.014202324
chr1	9495320	9495593	0	0.057823129	0.088188609	0.0539122
chr1	9539291	9540385	0.029495454	0.016442919	0.017809802	0.06962039
chr1	9588674	9589459	0	0	0.007807981	0.020833333
chr1	9610559	9610810	0.922077922	0.920448179	0.928303748	0.961172161
chr1	9627067	9627309	0	0.009803922	0.01336675	0
chr1	9651674	9652943	0.23856559	0.234428387	0.30097856	0.644679538
chr1	9689237	9690170	0.058159879	0.009862385	0.017755218	0.122817673
