	cpgname	genename	pvalue	pvalue.fdr	pvalue.bonferroni	effect
6226	cg16592658	EBI3	2.47752927805126E-104	2.94719804261897E-101	6.18911588949984E-100	0.4988861121
9021	cg21275690	HCFC1R1;THOC6	1.29774118240179E-103	1.47358511261723E-100	3.24188724775791E-099	0.4869501489
6888	cg03460527	F3	2.00023113324877E-103	2.1725119104212E-100	4.99677739396876E-099	0.223353415
7	cg09744051	A4GALT	4.01188532293021E-103	4.17587113550498E-100	1.0022090725212E-098	0.2765285413
22059	cg05429895	TLR4	1.27361368391653E-099	1.27264573751675E-096	3.18161434379187E-095	0.3389792732
12702	cg04988978	MPO	1.84686161535815E-099	1.77447884666392E-096	4.6136450013262E-095	0.4609613887
20187	cg05168404	SLC29A4	2.36136733760632E-099	2.18478953558309E-096	5.89893174607436E-095	0.4908515047
9744	cg07463059	IFI16	6.69555539996679E-099	5.97363105166322E-096	1.6726166944657E-094	0.2650846759
9833	cg23841186	IGFBP6	8.21865769698021E-099	7.07966510097458E-096	2.05310287928263E-094	0.403956863
8599	cg22182975	GPR31	3.99834652122876E-097	3.32942314822719E-094	9.98826944468156E-093	1.1953038159
20871	cg13745870	SPATA12;ARHGEF3	5.72062612484444E-097	4.60990197499158E-094	1.42906961224739E-092	0.4721929827
24037	cg14370448	YPEL3;TBX6	2.17589627394198E-095	1.69862702560452E-092	5.43560648193446E-091	0.2474606077
2775	cg17612991	C3	6.32318200750692E-094	4.78664877968274E-091	1.5795940972953E-089	0.4815800474
2028	cg01254505	BST2	6.80538773744758E-094	5.00015856085818E-091	1.70005391069178E-089	0.2327403208
19554	cg04452095	SEPT9	1.72293817154184E-093	1.22973481323676E-090	4.30407184632866E-089	0.4249941744
12462	cg13784855	MIR1204;PVT1	4.17526094678036E-093	2.89728315865334E-090	1.0430219371152E-088	0.3251440125
5787	cg00933411	DLC1	8.28033435568037E-093	5.5905684470068E-090	2.06851032539251E-088	0.4611828951
21332	cg21541083	STXBP2	1.16112894503025E-092	7.63320057257912E-090	2.90061621758007E-088	1.2801580548
11586	cg20654468	LPXN	1.95021515800742E-091	1.24918781697906E-088	4.87183248621833E-087	0.4928188125
20919	cg23101680	SPERT	3.70267617130529E-091	2.31241383588444E-088	9.24965534353776E-087	0.546931326
16000	cg23228178	PADI4	1.20797924699987E-090	7.3601291632448E-088	3.01765295693037E-086	0.4952972714
19588	cg06148264	SERPINB1	1.30738997555661E-090	7.77616880461419E-088	3.26599089793796E-086	0.2363581826
909	cg18043280	AOC2	1.10577348360213E-089	6.42402962648016E-087	2.76233273938647E-085	1.0680820946
10131	cg16616769	IQCK;C16orf88	1.15084290536927E-089	6.53391059523404E-087	2.87492066190298E-085	0.529951518
9750	cg08090640	IFI35	2.17290724685519E-089	1.20625324297088E-086	5.42813959336894E-085	0.2908165874
23374	cg15177359	UNC13D	8.07119231213995E-089	4.3831838075993E-086	2.01626455149568E-084	0.5378881375
23624	cg18441959	VPREB1	1.09657781535001E-088	5.82842774579971E-086	2.73936104052587E-084	0.4311739001
3680	cg13615963	CCR6	6.22240815535049E-087	3.23837454435022E-084	1.55441978128811E-082	0.4221794667
7351	cg09340639	FCRL1	3.30157526607872E-086	1.68319697391658E-083	8.24766517219124E-082	0.3776757698
3122	cg20610181	CA9	7.18463947314505E-086	3.58958957357273E-083	1.79479478678637E-081	0.5731281232
9977	cg16468729	IL8	7.17824656105011E-085	3.51607406552143E-082	1.79319777341593E-080	0.4633164709
7353	cg25259754	FCRL3	2.63986374487387E-084	1.2682006963595E-081	6.59464362106942E-080	0.4702231459
20986	cg25856811	SPRR3	2.83103118893156E-084	1.33437717227734E-081	7.07219901306992E-080	0.5492105376
2503	cg05538432	C1S	5.21329800321389E-084	2.41172958182012E-081	1.30233397418286E-079	0.5069762097
8879	cg16692277	GUCY1B2	6.3447976612909E-084	2.88180709775833E-081	1.58499390376708E-079	0.3433056854
19207	cg15484375	SAA1	1.43743463839431E-083	6.41224191102292E-081	3.59085547017283E-079	0.6037005559
12093	cg07009002	MB	7.71318217353643E-083	3.38040357679147E-080	1.92683003877114E-078	0.4839772839
9976	cg04312209	IL7R	9.95155832096103E-083	4.28620480027461E-080	2.48599878415928E-078	0.4534192463
24241	cg14456683	ZIC1	1.46859401880045E-082	6.21812664129732E-080	3.66869471836542E-078	4.4340765417
3706	cg19008097	CD14	3.77682259036006E-082	1.57248008549641E-079	9.43488051297846E-078	0.2935413053
836	cg13271963	ANKRD2	6.17485736577199E-082	2.52875593203853E-079	1.5425411185435E-077	1.2241790634
10642	cg24471894	KIAA0020	1.1900396591658E-081	4.79490011703561E-079	2.97283807256208E-077	0.4206061346
24861	cg07426960		2.02119930266798E-081	8.01453647300776E-079	5.04915797799489E-077	0.5115360626
22031	cg27022827	TJP3	3.38297560071885E-081	1.32047052314934E-078	8.45101134815575E-077	0.6838499766
16219	cg00911351	PCDHGA4;PCDHGA6;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB4;PCDHGB3	3.50398286825257E-079	1.34666147741258E-076	8.75329960318175E-075	4.4660591776
8908	cg03875678	GZMB	3.82069652094468E-079	1.44613363317756E-076	9.54448197897191E-075	0.4946385472
21503	cg04057858	T-SP1	6.0729001738682E-079	2.26428536184181E-076	1.51707119243402E-074	0.6520344676
11186	cg13697387	LCE2A	1.33031464366906E-078	4.88714560492602E-076	3.32325901134969E-074	0.4422388853
19897	cg09577651	SIRPB1	1.44239138837124E-078	5.22208395259447E-076	3.60323792729018E-074	0.4632020144
12050	cg11009736	MARCO	2.42401264144506E-078	8.650608542277E-076	6.0554259795939E-074	0.4845930908
7166	cg03954858	FAM83F	7.20718803922481E-078	2.50830527120776E-075	1.80042764407875E-073	0.5506282626
19208	cg12907644	SAA2	7.22941353536523E-078	2.50830527120776E-075	1.80597979526959E-073	0.6494748883
16436	cg04598121	PENK	1.61536300864153E-077	5.45715863674978E-075	4.0353383318874E-073	4.5550030017
15297	cg19030554	NME3;MRPS34;EME2	1.61654753260271E-077	5.45715863674978E-075	4.03829739119484E-073	0.4199997681
23872	cg03562120	WISP2	2.87251655665847E-077	9.56777814691802E-075	7.17583361018852E-073	0.4818852218
21431	cg04981492	SYDE1	3.73962595718459E-077	1.22920521100563E-074	9.34195960364282E-073	0.2253227706
12701	cg09421562	MPO	8.74486118762379E-077	2.83708282244195E-074	2.1845537732803E-072	0.712124694
9940	cg14366598	IL25	8.97379134104334E-077	2.87402924987953E-074	2.24174281490604E-072	0.5729980357
2441	cg07665060	C19orf33;YIF1B	1.08075810703514E-076	3.41752130023353E-074	2.69984182718449E-072	0.5963900209
18018	cg19580810	RAB25	1.0208360053773E-075	3.18768803129129E-073	2.55015042503303E-071	1.6732572569
11059	cg16431978	KRTAP13-3	1.17160188340345E-075	3.61330699374094E-073	2.92677866493016E-071	0.670752986
6938	cg02876062	FAM107B	2.01057249348274E-075	6.12513554386492E-073	5.02261114596923E-071	0.6479828711
8042	cg27285720	GBP4	3.37306503733048E-075	1.01521129756088E-072	8.42625376975527E-071	0.3730425322
22363	cg01646665	TMEM79;SMG5	4.30329298668906E-075	1.27976859643428E-072	1.07500562100479E-070	0.4875046374
11319	cg19539004	LIF	4.57961275531632E-075	1.3459212498889E-072	1.14403306240557E-070	0.5710263927
11058	cg02493771	KRTAP13-2	6.39643099096594E-075	1.85801444866651E-072	1.5978924258532E-070	0.5643093671
11637	cg02121427	LRRC15	7.95142272327345E-075	2.28315506954131E-072	1.98634491050094E-070	0.5022143905
4060	cg21529807	CEACAM4	8.46843740366349E-075	2.40397766796497E-072	2.11550034780918E-070	0.5052041577
2326	cg20678353	C15orf53	1.28879489882817E-074	3.61745903007039E-072	3.21953853676265E-070	0.608674382
3328	cg13802966	CASP1	1.38290994931121E-074	3.8384970493048E-072	3.45464734437432E-070	0.7131972447
22385	cg25949363	TMEM92	1.99176140962847E-074	5.46771338175042E-072	4.97561917739288E-070	0.4733804058
20609	cg24391122	SNAPC2	2.58184902226373E-074	7.01056200273589E-072	6.44971704251702E-070	0.2994884591
19185	cg07426848	S100A3	2.62059979754612E-074	7.03926919811824E-072	6.54652035424996E-070	0.6195563952
19467	cg10249734	SECTM1	3.14347838178133E-074	8.35396100588078E-072	7.85272334552793E-070	1.976059085
3177	cg06226384	CACNG5	4.41013903816174E-074	1.15968087697177E-071	1.10169683312318E-069	0.5562442516
5628	cg00619207	DENND2D	4.93967870395154E-074	1.28539701774389E-071	1.23398113703414E-069	0.5939434686
22077	cg06800962	TM4SF1	8.04313822383493E-074	2.07139830896516E-071	2.0092563596962E-069	0.4478395217
11254	cg12782180	LEP	1.05509147747997E-073	2.68951430601297E-071	2.63572401989271E-069	2.208969818
11144	cg10001720	LAPTM5	1.95765557103906E-073	4.93981755758856E-071	4.89041938201267E-069	0.8316549307
7317	cg05127924	FBXW10	2.11264401612902E-073	5.2775960166919E-071	5.27759601669189E-069	1.9145471756
2090	cg04444771	C10orf10;RASSF4	2.29157328820905E-073	5.66790022898518E-071	5.72457923127503E-069	0.3037380397
6939	cg12285118	FAM107B	3.86428994373629E-073	9.4641006945565E-071	9.65338270844763E-069	0.5444120423
4457	cg01472101	CLEC10A	5.8654810016335E-073	1.42257845535734E-070	1.46525580901806E-068	0.5941062731
15210	cg17141902	NINJ1	1.45317171069597E-072	3.49054639470155E-070	3.63016825048961E-068	0.7193338979
12052	cg17998964	MARK2	2.15048717565225E-072	5.11631620333038E-070	5.3721320134969E-068	0.5174712171
650	cg19186356	ALDH2	6.03018634170374E-072	1.42113287737831E-069	1.50640085002101E-067	0.4525277839
1022	cg09432376	APOL6	6.75922159441074E-072	1.57805714626144E-069	1.68852114649975E-067	0.4287959907
1145	cg23320056	ARHGEF2	1.27978867827314E-071	2.9602223122168E-069	3.19704009719414E-067	0.3829083364
23533	cg11108890	VAMP5	1.35108147682001E-071	3.09645563049914E-069	3.37513663724406E-067	0.3596833946
11189	cg03960217	LCE2C	1.71966636741329E-071	3.90536232039557E-069	4.29589855243513E-067	0.693849062
17736	cg12703269	PSTPIP1	1.98782145310088E-071	4.47367276755973E-069	4.9657767719913E-067	0.696786448
8128	cg21944455	GFAP	2.21924042654741E-071	4.949896883534E-069	5.54388450955808E-067	0.6633792448
20955	cg18750756	SPNS3	3.03234666345832E-071	6.70363292034091E-069	7.57510519998523E-067	0.6241131463
12158	cg10691006	MCM2	4.03540607618695E-071	8.84284905168651E-069	1.00808479189226E-066	0.5382590988
817	cg22150335	ANK3	4.07503151294932E-071	8.85203149782496E-069	1.01798362224987E-066	1.2012496038
24289	cg13699808	ZMYND8	4.40738816911717E-071	9.4914624010962E-069	1.10100963852716E-066	0.5318803909
2982	cg08972170	C7orf41	9.69102054444853E-071	2.0691571300929E-068	2.42091384220869E-066	1.9006682427
6283	cg27248887	EEF1B2;SNORD51;NDUFS1	1.02710419720262E-070	2.17441440256937E-068	2.56580899503186E-066	0.5366851577
7355	cg01612158	FCRL4	1.46875200815889E-070	3.08326839628716E-068	3.66908939158172E-066	0.517098514
19479	cg07580475	SEMA3B	1.63562617035148E-070	3.4049647801292E-068	4.08595773615504E-066	1.1727840351
1321	cg12951282	ASGR2	2.30069584170942E-070	4.74989114229281E-068	5.7473682821743E-066	0.4994337123
10936	cg25564800	KPNA1	2.36627060319284E-070	4.84522999494756E-068	5.91118059383603E-066	0.3325889608
20977	cg06101324	SPRR1A	2.84082949996594E-070	5.76965542590643E-068	7.09667617386491E-066	0.535922373
7313	cg10667970	FBXO6	2.87895384433966E-070	5.7999311278588E-068	7.19191459854491E-066	0.4505157992
19759	cg11300809	SGPP2	5.29083045894244E-070	1.05736188555873E-067	1.32170235694841E-065	0.6972541846
20566	cg00891541	SMPD3	5.3876366646138E-070	1.06816310729141E-067	1.34588551518717E-065	1.8993863836
16140	cg08886154	PAX4	8.7086936817546E-070	1.70249179060984E-067	2.17551876863912E-065	0.6717201539
9933	cg00136405	IL21	8.72338774260679E-070	1.70249179060984E-067	2.1791894919806E-065	0.5484973053
9891	cg07832674	IL17RE	9.45979859223024E-070	1.83190099715119E-067	2.36315228632504E-065	0.6972757164
13017	cg18939260	MTSS1	1.11290618564214E-069	2.13857764796357E-067	2.78015094235264E-065	1.2792648041
2485	cg11393848	C1QC	1.36775360187684E-069	2.60823303270881E-067	3.41678527284854E-065	0.609261053
5666	cg22876908	DGKA	1.42632849963939E-069	2.69932668556754E-067	3.56311122494916E-065	0.5944644677
920	cg02945646	AP1G2	2.06109626615716E-069	3.8712966785618E-067	5.1488245824872E-065	0.5157893221
622	cg11314684	AKT3	2.61668987235618E-069	4.8781738583082E-067	6.53675297013298E-065	0.4984759567
22492	cg09158314	TNFSF13B	8.79870603332863E-069	1.62815166976728E-066	2.19800475418583E-064	0.2700939824
4522	cg26823505	CLPS	3.33457563805297E-068	6.12507603045597E-066	8.33010340142012E-064	0.6109293202
5975	cg00623593	DOCK1	6.40578069813264E-068	1.16804969065731E-065	1.60022807620052E-063	1.1795159652
58	cg17199483	ABCC1	8.36115160743647E-068	1.51355020511138E-065	2.0886992830537E-063	0.5069399644
17848	cg22335340	PTPN6;C12orf57	9.67588233775892E-068	1.73894400488889E-065	2.41713216679556E-063	0.6580313649
9742	cg01493517	IFFO1	1.1159858843956E-067	1.99131738414903E-065	2.78784433780864E-063	0.3360247512
8271	cg00059225	GLRA1	1.22462822054246E-067	2.16967642392704E-065	3.05924375773713E-063	1.7109470123
3943	cg19475870	CDH9	1.80622198545057E-067	3.17755150834794E-065	4.51212314185407E-063	1.7195389711
20952	cg11432797	SPN	3.21187426942975E-067	5.61089728144227E-065	8.02358311246245E-063	0.8127612214
3585	cg11860203	CCL2	8.87553171834818E-067	1.53971984622261E-064	2.21719657856056E-062	0.446861608
16936	cg24315815	PLSCR4	2.06886962958462E-066	3.56430567011402E-064	5.16824322166533E-062	0.5637337313
20852	cg26829529	SPACA3	2.13779952898362E-066	3.65783356394109E-064	5.34043700335399E-062	0.5741059762
19555	cg03330678	SEPT9	2.41151591265313E-066	4.09810061319645E-064	6.02420790139878E-062	0.5735635983
1456	cg10500167	ATP2B2	2.48751256147821E-066	4.19868589853291E-064	6.21405512982871E-062	1.4214730489
12269	cg04291079	MEG3	3.79971090246277E-066	6.37050859425654E-064	9.49205780544225E-062	1.268803368
3435	cg11521325	CCDC114	4.29444990210636E-066	7.15197686696793E-064	1.07279653004519E-061	0.6100315324
6945	cg20289911	FAM110A	7.11010162529643E-066	1.17627449471212E-063	1.7761744870153E-061	0.4129308377
10908	cg07947016	KLK2	1.24861212286016E-065	2.05207759481379E-063	3.11915794411696E-061	0.6034302767
7090	cg14175438	FAM3C	1.9776318567145E-065	3.22896871977678E-063	4.94032214125848E-061	0.4723105295
15659	cg05590982	NUPR1	6.69971140451762E-065	1.08678889997568E-062	1.67365490596255E-060	0.5260075298
11214	cg17127769	LCP2	9.16731179728768E-065	1.47747494198738E-062	2.29008616008044E-060	0.7015113656
4775	cg19168338	CORO7	1.02221130666199E-064	1.63691414434123E-062	2.55358606517231E-060	0.465950666
18049	cg12448933	RAB37	1.23777747900228E-064	1.96948529955133E-062	3.09209192029558E-060	3.3889198271
11085	cg05246522	KSR1	2.33943753624971E-064	3.65930528931764E-062	5.84414890930539E-060	0.5633348422
9894	cg11304234	IL18	2.34334129971308E-064	3.65930528931764E-062	5.85390090081324E-060	0.4442575404
4082	cg17961200	CEL	2.34373662499829E-064	3.65930528931764E-062	5.85488846290823E-060	1.1778505657
7336	cg19103704	FCGBP	2.50339033257325E-064	3.88429775764051E-062	6.25371938980123E-060	0.6702484321
9234	cg07922606	HIST1H3E	2.68838221967265E-064	4.14558495244707E-062	6.71584762296425E-060	2.009304856
17456	cg05628549	PRKCDBP	2.71029440247665E-064	4.15373401645823E-062	6.77058644682691E-060	0.2626532319
17680	cg16890093	PSMB8;TAP1	3.24495475155908E-064	4.94281796638399E-062	8.10622146486974E-060	0.5471727607
22671	cg15551881	TRAF1	5.1053815722796E-064	7.72954770043131E-062	1.27537537057117E-059	0.5443334355
9763	cg14967066	IFITM1	5.86083599264196E-064	8.81985204410776E-062	1.46409543932189E-059	0.407602018
3937	cg10919204	CDH6	7.53223636667885E-064	1.12672333338925E-061	1.88162796676004E-059	0.4809297006
15660	cg15149645	NUPR1	9.53095836345584E-064	1.41721946950887E-061	2.3809287087749E-059	0.5067506551
1462	cg06123346	ATP4A	1.22437035584345E-063	1.80982224019676E-061	3.05859958593252E-059	0.6509594507
17554	cg24059075	PRPH	1.65312668243245E-063	2.42922103846147E-061	4.1296757653845E-059	0.632443603
1045	cg00729275	AQP4;C18orf16	1.81763479025617E-063	2.65534121025669E-061	4.54063346953893E-059	0.6284384809
16313	cg17861230	PDE4C	1.95526064283856E-063	2.83978872783431E-061	4.88443661187501E-059	3.254631489
19591	cg11435943	SERPINB12	2.88370114190032E-063	4.16403111131861E-061	7.20377382258119E-059	0.6504509836
8312	cg17386185	GLYCTK	3.30595233706592E-063	4.74632157081861E-061	8.25859953322437E-059	0.5944521628
2286	cg24169915	C14orf177	4.51150892402E-063	6.4390112437463E-061	1.12702004430944E-058	0.4426668337
4558	cg23297477	CMTM3	4.53651166446239E-063	6.4390112437463E-061	1.13326597889935E-058	0.2970840218
18191	cg07138512	RAP1GAP	5.49614237129164E-063	7.75701313995686E-061	1.37299132577236E-058	0.2709511582
3606	cg01636591	CCL8	6.65296641586354E-063	9.33695247385883E-061	1.66197754034687E-058	0.5686341154
3826	cg08519905	CD9	7.57000626341055E-063	1.05645992439251E-060	1.89106326466259E-058	1.9061183833
8472	cg11340260	GP1BA	1.22636446824467E-062	1.70198948784556E-060	3.063581078122E-058	0.7250309759
9838	cg10494770	IGLL1	1.67403039022681E-062	2.31043940211359E-060	4.1818953178256E-058	0.8465527803
5459	cg25372195	DCD	2.0750122238475E-062	2.83989744947763E-060	5.18358803639343E-058	0.7204345439
2630	cg02537838	C20orf151	2.08038602639769E-062	2.83989744947763E-060	5.19701233254407E-058	1.4806716859
4473	cg04365980	CLEC3A	2.21579361769859E-062	3.00830110672437E-060	5.53527403637284E-058	0.6115584034
20781	cg10307548	SOD3	2.51118205704925E-062	3.39091021444039E-060	6.27318389671473E-058	0.847270429
22105	cg00447208	TMC8;TMC6	2.90693099669463E-062	3.90419587249616E-060	7.26180432284286E-058	0.7467893592
19360	cg18738906	SCNN1A	4.03903557622744E-062	5.39567634918383E-060	1.00899147729738E-057	1.3816439224
1951	cg08254089	BPI	4.99844350231265E-062	6.64181474102513E-060	1.24866117131272E-057	0.5955190692
4188	cg26065841	CHAC1	5.21504432545078E-062	6.89296414254423E-060	1.30277022294086E-057	1.2568983118
4306	cg04809787	CHRNB1	5.59874116579068E-062	7.36116595066406E-060	1.39862153062617E-057	0.4992062644
922	cg27665659	AP1S1	8.65625130326067E-062	1.13215609322908E-059	2.16241813806755E-057	0.5385389311
20158	cg07675682	SLC26A11;SGSH	8.94573109588373E-062	1.1639234818035E-059	2.23473308506271E-057	1.4905766076
3744	cg04098585	CD28	1.24355999746694E-061	1.60960478221356E-059	3.10653722967217E-057	0.6323569022
10266	cg26099316	ITIH3	1.36238828782783E-061	1.75432071227975E-059	3.40338218182271E-057	0.7073882144
17959	cg23412777	PYGO1	4.38202628768646E-061	5.61371275347156E-059	1.09467398692695E-056	1.1775367936
7470	cg01593385	FGG	9.6169820488256E-061	1.22572361511078E-058	2.40241828561712E-056	0.6356743957
23491	cg12954718	USP6	1.19935815334707E-060	1.52087137201843E-058	2.99611660287631E-056	0.7938639037
1406	cg01437411	ATN1	1.79975432889509E-060	2.27069004495597E-058	4.49596628901283E-056	0.5219787821
15083	cg21468416	NEK6	2.15158417282477E-060	2.70094091564501E-058	5.37487242213357E-056	0.6024011762
23101	cg03890877	TWF2	2.68157649863202E-060	3.34942312561632E-058	6.69884625123264E-056	0.2134135328
9898	cg12380764	IL19	4.09446194850709E-060	5.0887439768983E-058	1.02283753935656E-055	0.6686961034
10186	cg02334775	ISG20	4.20303584966403E-060	5.19782369111174E-058	1.04996038560457E-055	0.5724449677
7248	cg27223047	FBN2	4.41255269371356E-060	5.43004821880091E-058	1.10229978841659E-055	3.817898406
19480	cg14824983	SEMA3B	4.50067393361564E-060	5.51133997723785E-058	1.12431335535652E-055	1.2266547063
1141	cg24919884	ARHGEF16	9.11718471002874E-060	1.11100678654258E-057	2.27756391241228E-055	0.932090744
11061	cg16812893	KRTAP15-1	9.29588674341505E-060	1.12728420746239E-057	2.32220546737251E-055	0.740960208
14953	cg02706881	NCRNA00175;COL18A1	1.05854184463815E-059	1.27746057105824E-057	2.64434338209056E-055	1.2273150689
17628	cg26200585	PRX	1.15544140628555E-059	1.38769623896246E-057	2.88640817704192E-055	1.3725542213
11109	cg01820374	LAG3	1.62053405877322E-059	1.93696465656526E-057	4.04825613222139E-055	0.7599885912
6923	cg06640279	FAIM3	1.78396996264285E-059	2.12215969698958E-057	4.45653536367811E-055	0.4901218373
5191	cg04569233	CX3CR1	2.88905570364668E-059	3.4204502622179E-057	7.21715005327977E-055	0.6939861265
20947	cg23765993	SPINLW1	2.97179413017995E-059	3.50181080971818E-057	7.42383891660254E-055	0.6573689569
12925	cg09748975	MSX1	3.32971526458974E-059	3.90514633918856E-057	8.31796170247164E-055	1.2919427551
16189	cg20366906	PCDH8	4.2848504592252E-059	5.00186211784602E-057	1.07039849321905E-054	3.0023753942
9960	cg08402568	IL34	5.45740492962669E-059	6.34099686265136E-057	1.36331432547004E-054	1.2248773746
3024	cg13064571	C8orf44	6.43385615488366E-059	7.44093336134947E-057	1.60724160605149E-054	0.5905651933
22778	cg07405796	TRIM40	8.90075843648156E-059	1.02465367051496E-056	2.22349846501746E-054	0.7467770638
21450	cg17339202	SYNC	8.96012997770245E-059	1.02675691272011E-056	2.23833006972985E-054	0.3500877859
6194	cg09418321	DYRK4	9.37068843407106E-059	1.06890030945904E-056	2.34089167771529E-054	0.6375092315
8014	cg13434842	GATA4	1.03213185716745E-058	1.17198572381364E-056	2.57836859239E-054	3.6357133684
11056	cg02764897	KRTAP13-1	1.57564277124411E-058	1.77973320110489E-056	3.93611320684491E-054	0.5992640986
713	cg11052143	ALS2CR11	1.58160510245901E-058	1.77973320110489E-056	3.95100770645286E-054	3.0210499856
18426	cg00658007	RD3	1.70823984420691E-058	1.91361163892972E-056	4.26735395481328E-054	0.6195725415
24511	cg01656216	ZNF438	1.76415942800572E-058	1.96743154781299E-056	4.4070466671011E-054	0.5774860435
3792	cg10516886	CD53	1.98720338588405E-058	2.2063256792342E-056	4.96423277827695E-054	0.6236886354
4378	cg10705800	CITED4	2.29123283328177E-058	2.53262333664654E-056	5.72372874082119E-054	0.555562957
1796	cg10528989	BDKRB1	2.45515415466345E-058	2.70185929240738E-056	6.13322059376476E-054	0.6646343544
5470	cg17470143	DCLK1	2.56582478893092E-058	2.81126618650366E-056	6.40968690522834E-054	0.6547550983
9836	cg17983307	IGFN1	3.08499167706558E-058	3.36533524387665E-056	7.70661770847752E-054	0.8365925444
5908	cg11679069	DNAJC15	3.93974225469079E-058	4.27907396801873E-056	9.84187012644307E-054	0.6152663026
24847	cg12891678		4.03521870751549E-058	4.36380080227032E-056	1.00803798532444E-053	0.6610390562
23375	cg22467534	UNC13D	5.20252940546262E-058	5.60191323611473E-056	1.29964387077862E-053	0.5105929554
22792	cg07533148	TRIM58	5.95140721238472E-058	6.38077697736406E-056	1.48672103572583E-053	23.1405435385
20985	cg04138756	SPRR3	7.29242747250524E-058	7.78513379019886E-056	1.82172130690653E-053	0.7668251242
4081	cg03693099	CEL	7.66365601661452E-058	8.14662940217223E-056	1.91445790951047E-053	1.1540927917
4521	cg25107791	CLPS	7.80349334363453E-058	8.26012996683619E-056	1.94939067217334E-053	0.7427308805
21502	cg01072821	T-SP1	9.37936452596077E-058	9.88632511489561E-056	2.34305905223026E-053	0.7488450588
16012	cg19280776	PAG1	1.5287888770049E-057	1.60465020741427E-055	3.81906749364595E-053	0.4580744125
16282	cg07211259	PDCD1LG2	1.93399523545495E-057	2.02147008271548E-055	4.83131349769001E-053	0.4184373566
8259	cg21142398	GLIS1	2.38777186946367E-057	2.48537204462799E-055	5.96489290710718E-053	0.5999896604
11327	cg25384595	LILRA1	2.43208756597006E-057	2.52099499939826E-055	6.07559794854981E-053	0.7462330935
19358	cg05331214	SCN7A	2.48832812041116E-057	2.56863325520625E-055	6.21609247759912E-053	0.7858555563
20567	cg10556064	SMPD3	2.65372119427864E-057	2.72809091169855E-055	6.62926091542747E-053	1.6827824682
2498	cg24829483	C1QTNF7	3.14530648970398E-057	3.22020087783996E-055	7.85729014192951E-053	1.2972706895
16948	cg12069042	PLXNB1	4.14642981610806E-057	4.22783523413043E-055	1.03581963236196E-052	1.5429866633
22953	cg00343092	TSPO	4.32005872205523E-057	4.38696694860414E-055	1.07919386935662E-052	0.3550477187
15794	cg16678925	OR1A2	4.41576277928307E-057	4.4659987849907E-055	1.1031016998927E-052	0.6559335704
8995	cg17484237	HAVCR2	4.5738001411296E-057	4.60718150506284E-055	1.14258101325559E-052	0.368856219
24875	cg02626929		4.88288466258488E-057	4.89876874522221E-055	1.21979341756033E-052	0.555562357
12012	cg26946769	MAPK4	6.14705744045186E-057	6.14238567679711E-055	1.53559641919928E-052	0.6181050417
19731	cg07826255	SGCA	7.67404868760574E-057	7.6376657476127E-055	1.91705410265079E-052	0.5427742608
19121	cg08749917	RTP1	7.73386710729726E-057	7.66665611934099E-055	1.93199734207393E-052	1.4587688917
