GeneSymbol|GeneID,Chromosome,Start,End,Coordination,MRNA-Chr,MRNA-Start,MRNA-End,NMID,Genesymbol,Chain,V11,V12,V13,V14,mean.A,mean.B,delta,Pvalue.ttest,p.adjust.BH,Pvalue.wilcox,a.shapiro.pvalue,b.shapiro.pvalue
RSRC1|51319,chr3,157812230,157812497,chr3:157812230-157812497,chr3,157807891,157823891,NM_016625,RSRC1,+,Enhancer,157827891,Enhancer,267,207.2137423754,145.7903901763,61.4233521991,0.0010482534,0.0026969536,0.0070171481,0.6326704944,0.0386400072
BCAN|63827.1,chr1,156616408,156616595,chr1:156616408-156616595,chr1,156616592,156616967,NM_198427,BCAN,+,Exon3,156611739,Exon,3,136.5722221447,1.6129606747,134.95926147,0.0016382075,0.0040026225,2.2569207869384E-09,0.000000001,0.0987115994
BCAN|63827.3,chr1,156616408,156616595,chr1:156616408-156616595,chr1,156616592,156616967,NM_021948,BCAN,+,Exon3,156611739,Exon,3,136.5722221447,1.6129606747,134.95926147,0.0016382075,0.0040026225,2.2569207869384E-09,0.000000001,0.0987115994
BCAN|63827,chr1,156616408,156616595,chr1:156616408-156616595,chr1,156615938,156616592,NM_198427,BCAN,+,Intron2,156611739,Intron,184,136.5722221447,1.6129606747,134.95926147,0.0016382075,0.0040026225,2.2569207869384E-09,0.000000001,0.0987115994
BCAN|63827.2,chr1,156616408,156616595,chr1:156616408-156616595,chr1,156615938,156616592,NM_021948,BCAN,+,Intron2,156611739,Intron,184,136.5722221447,1.6129606747,134.95926147,0.0016382075,0.0040026225,2.2569207869384E-09,0.000000001,0.0987115994
TFAP2E|339488,chr1,36042902,36043110,chr1:36042902-36043110,chr1,36040602,36053930,NM_178548,TFAP2E,+,Intron3,36038970,Intron,208,26.1938554426,3.3020353344,22.8918201082,0.0026432718,0.0061045009,3.39779424473576E-05,2.6588717763717E-09,0.0087526508
FLJ32063|150538.1,chr2,200335471,200335727,chr2:200335471-200335727,chr2,200334329,200337479,NR_026830,FLJ32063,+,Exon2,200332820,Exon,256,0.2726920085,0.0001743323,0.2725176762,0.0043595016,0.0094985596,0.1164915103,7.84778668635798E-09,0.8965774012
FLJ32063|150538,chr2,200335471,200335727,chr2:200335471-200335727,chr2,200332820,200337479,NR_026830,FLJ32063,+,UTR5,200332820,UTR5,256,0.2726920085,0.0001743323,0.2725176762,0.0043595016,0.0094985596,0.1164915103,7.84778668635798E-09,0.8965774012
POU4F3|5459.1,chr5,145719928,145720081,chr5:145719928-145720081,chr5,145720007,145722083,NM_002700,POU4F3,+,Downstream,145718586,Downstream,74,0.9874823582,0.219765477,0.7677168812,0.0052850259,0.0112477315,0.0057681569,1.42408517434263E-07,2.97516742787643E-05
POU4F3|5459.2,chr5,145719928,145720081,chr5:145719928-145720081,chr5,145719110,145720083,NM_002700,POU4F3,+,Exon2,145718586,Exon,153,0.9874823582,0.219765477,0.7677168812,0.0052850259,0.0112477315,0.0057681569,1.42408517434263E-07,2.97516742787643E-05
POU4F3|5459,chr5,145719928,145720081,chr5:145719928-145720081,chr5,145720007,145720083,NM_002700,POU4F3,+,UTR3,145718586,UTR3,74,0.9874823582,0.219765477,0.7677168812,0.0052850259,0.0112477315,0.0057681569,1.42408517434263E-07,2.97516742787643E-05
DLX5|1749.1,chr7,96650039,96650220,chr7:96650039-96650220,chr7,96649703,96650377,NM_005221,DLX5,-,Exon3,96654143,Exon,181,6.6882032949,0.7077032018,5.9805000931,0.0060642079,0.0127226907,0.0022230534,3.21804354574215E-09,0.0009272917
DLX5|1749,chr7,96650039,96650220,chr7:96650039-96650220,chr7,96649703,96650047,NM_005221,DLX5,-,UTR3,96654143,UTR3,8,6.6882032949,0.7077032018,5.9805000931,0.0060642079,0.0127226907,0.0022230534,3.21804354574215E-09,0.0009272917
HOXA9|3205,chr7,27204806,27205072,chr7:27204806-27205072,chr7,27204496,27205149,NM_152739,HOXA9,-,Exon1,27205149,Exon,266,6.0927970385,0.9117818723,5.1810151662,0.0071063785,0.0146398813,0.0122442128,1.13869321080585E-08,0.0029931457
HOXA9|3205.1,chr7,27204806,27205072,chr7:27204806-27205072,chr7,27204149,27209149,NM_152739,HOXA9,-,Promoter,27205149,Promoter,266,6.0927970385,0.9117818723,5.1810151662,0.0071063785,0.0146398813,0.0122442128,1.13869321080585E-08,0.0029931457
HOXD4|3233.1,chr2,177016293,177016523,chr2:177016293-177016523,chr2,177016112,177016794,NM_014621,HOXD4,+,Exon1,177016112,Exon,230,10.3947349889,0.2425116921,10.1522232968,0.0111504405,0.0218046578,0.0004391562,5.97048208877548E-10,3.23072675102112E-07
HOXD4|3233.2,chr2,177016293,177016523,chr2:177016293-177016523,chr2,177012112,177017112,NM_014621,HOXD4,+,Promoter,177016112,Promoter,230,10.3947349889,0.2425116921,10.1522232968,0.0111504405,0.0218046578,0.0004391562,5.97048208877548E-10,3.23072675102112E-07
HOXD4|3233,chr2,177016293,177016523,chr2:177016293-177016523,chr2,177016112,177016361,NM_014621,HOXD4,+,UTR5,177016112,UTR5,68,10.3947349889,0.2425116921,10.1522232968,0.0111504405,0.0218046578,0.0004391562,5.97048208877548E-10,3.23072675102112E-07
HOXA1|3198.1,chr7,27134980,27135247,chr7:27134980-27135247,chr7,27135177,27135625,NM_153620,HOXA1,-,Exon1,27135625,Exon,70,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
HOXA1|3198.3,chr7,27134980,27135247,chr7:27134980-27135247,chr7,27134879,27135625,NM_005522,HOXA1,-,Exon1,27135625,Exon,267,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
HOXA1|3198,chr7,27134980,27135247,chr7:27134980-27135247,chr7,27134975,27135177,NM_153620,HOXA1,-,Intron1,27135625,Intron,197,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
HOXA1|3198.2,chr7,27134980,27135247,chr7:27134980-27135247,chr7,27134625,27139625,NM_153620,HOXA1,-,Promoter,27135625,Promoter,267,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
HOXA1|3198.4,chr7,27134980,27135247,chr7:27134980-27135247,chr7,27134625,27139625,NM_005522,HOXA1,-,Promoter,27135625,Promoter,267,15.7038230591,5.5547887976,10.1490342615,0.011990482,0.0232263974,0.1808962974,4.12907351562709E-08,0.4608832865
DLX6AS|285987,chr7,96650039,96650220,chr7:96650039-96650220,chr7,96647377,96663377,NR_015448,DLX6AS,-,Enhancer,96643377,Enhancer,181,5.6223713506,0.1208929417,5.501478409,0.0121318193,0.0234669665,0.0063664169,2.63184787100411E-10,3.24313982649565E-07
HOXD3|3232,chr2,177016293,177016523,chr2:177016293-177016523,chr2,177008804,177024804,NM_006898,HOXD3,+,Enhancer,177028804,Enhancer,230,8.1245481671,0.7330732479,7.3914749192,0.0123156508,0.0237911768,0.011194379,1.70198083213338E-09,4.16942143925977E-06
KIAA0319L|79932,chr1,36042902,36043110,chr1:36042902-36043110,chr1,36027037,36043037,NM_024874,KIAA0319L,-,Enhancer,36023037,Enhancer,135,2468.2324958773,2026.261531976,441.9709639013,0.0136346661,0.0260282037,0.4934919664,0.0024796648,0.5351020288
HIST1H2BI|8346,chr6,26271577,26271773,chr6:26271577-26271773,chr6,26269203,26274203,NM_003525,HIST1H2BI,+,Promoter,26273203,Promoter,196,0.1566655527,0.0001837831,0.1564817696,0.0207900353,0.0377267292,0.4934919664,3.48575074295915E-10,0.0475608631
ZNF518B|85460,chr4,10458945,10459213,chr4:10458945-10459213,chr4,10458940,10459032,NM_053042,ZNF518B,-,Exon1,10459032,Exon,87,210.8414408923,115.9274433153,94.9139975771,0.0275775515,0.0483307477,0.9222800653,1.08148129924947E-06,0.3743467311
ZNF518B|85460.1,chr4,10458945,10459213,chr4:10458945-10459213,chr4,10458032,10463032,NM_053042,ZNF518B,-,Promoter,10459032,Promoter,268,210.8414408923,115.9274433153,94.9139975771,0.0275775515,0.0483307477,0.9222800653,1.08148129924947E-06,0.3743467311
ZNF518B|85460.2,chr4,10458945,10459213,chr4:10458945-10459213,chr4,10447952,10459032,NM_053042,ZNF518B,-,UTR5,10459032,UTR5,87,210.8414408923,115.9274433153,94.9139975771,0.0275775515,0.0483307477,0.9222800653,1.08148129924947E-06,0.3743467311
TRIM58|25893,chr1,248020592,248020785,chr1:248020592-248020785,chr1,248020500,248020968,NM_015431,TRIM58,+,Exon1,248020500,Exon,193,4.0321968132,8.8806124705,-4.8484156573,0.0278578629,0.0487263404,0.0084911567,3.17018187925769E-05,0.9336183145
TRIM58|25893.1,chr1,248020592,248020785,chr1:248020592-248020785,chr1,248016500,248021500,NM_015431,TRIM58,+,Promoter,248020500,Promoter,193,4.0321968132,8.8806124705,-4.8484156573,0.0278578629,0.0487263404,0.0084911567,3.17018187925769E-05,0.9336183145
TRIM67|440730,chr1,231296780,231296957,chr1:231296780-231296957,chr1,231294673,231299673,NM_001004342,TRIM67,+,Promoter,231298673,Promoter,177,82.4848650777,5.2803318166,77.2045332611,0.0313299398,0.054012511,0.0102219396,1.03498757628751E-10,0.3242620117
PITX2|5308.2,chr4,111550623,111550809,chr4:111550623-111550809,chr4,111548254,111564254,NM_000325,PITX2,-,Enhancer,111544254,Enhancer,186,14.0305838201,1.0034067623,13.0271770578,0.0333950925,0.0571457447,0.0440792406,8.27636844441177E-11,0.0469891828
PITX2|5308.1,chr4,111550623,111550809,chr4:111550623-111550809,chr4,111542526,111554108,NM_153427,PITX2,-,Intron2,111558508,Intron,186,14.0305838201,1.0034067623,13.0271770578,0.0333950925,0.0571457447,0.0440792406,8.27636844441177E-11,0.0469891828
PITX2|5308,chr4,111550623,111550809,chr4:111550623-111550809,chr4,111542526,111553498,NM_153426,PITX2,-,Intron3,111558508,Intron,186,14.0305838201,1.0034067623,13.0271770578,0.0333950925,0.0571457447,0.0440792406,8.27636844441177E-11,0.0469891828
GSC|145258,chr14,95235313,95235470,chr14:95235313-95235470,chr14,95235294,95235554,NM_173849,GSC,-,Exon2,95236499,Exon,157,4.1861347877,0.4356796999,3.7504550877,0.0357743881,0.0607463372,0.0582719343,9.23626476164435E-11,0.0031708907
ADCY2|108,chr5,7395281,7395481,chr5:7395281-7395481,chr5,7392342,7397342,NM_020546,ADCY2,+,Promoter,7396342,Promoter,200,13.538273895,0.3348392828,13.2034346123,0.042745512,0.0709350231,1.90123007091691E-05,1.69124432176228E-11,0.0004842056
LHX1|3975.1,chr17,35299413,35299635,chr17:35299413-35299635,chr17,35299496,35299662,NM_005568,LHX1,+,Exon4,35294498,Exon,139,8.8925759212,0.0001603164,8.8924156048,0.0474897927,0.0776964645,0.0666235162,3.3656100110668E-11,0.7078247116
LHX1|3975,chr17,35299413,35299635,chr17:35299413-35299635,chr17,35298185,35299496,NM_005568,LHX1,+,Intron3,35294498,Intron,83,8.8925759212,0.0001603164,8.8924156048,0.0474897927,0.0776964645,0.0666235162,3.3656100110668E-11,0.7078247116
HOXA7|3204,chr7,27204806,27205072,chr7:27204806-27205072,chr7,27200296,27216296,NM_006896,HOXA7,-,Enhancer,27196296,Enhancer,266,11.8932385431,1.638657699,10.2545808441,0.0482034061,0.0787009249,0.0808957258,5.03747251204574E-11,0.3142618453
HOXA11AS|221883,chr7,27204806,27205072,chr7:27204806-27205072,chr7,27205026,27221026,NR_002795,HOXA11AS,+,Enhancer,27225026,Enhancer,46,3.2173819922,0.2429287468,2.9744532454,0.0521416096,0.0842928652,0.0507778379,5.66444086268936E-11,2.0259306139522E-05
UMOD|7369.1,chr16,20359728,20359946,chr16:20359728-20359946,chr16,20359757,20360534,NM_001008389,UMOD,-,Exon3,20364037,Exon,189,0.1204958019,0.0001812548,0.120314547,0.055554821,0.0890325525,0.3626757437,3.90330337678822E-11,0.7501174035
UMOD|7369.3,chr16,20359728,20359946,chr16:20359728-20359946,chr16,20359757,20360534,NM_003361,UMOD,-,Exon3,20364037,Exon,189,0.1204958019,0.0001812548,0.120314547,0.055554821,0.0890325525,0.3626757437,3.90330337678822E-11,0.7501174035
UMOD|7369,chr16,20359728,20359946,chr16:20359728-20359946,chr16,20359653,20359757,NM_001008389,UMOD,-,Intron3,20364037,Intron,29,0.1204958019,0.0001812548,0.120314547,0.055554821,0.0890325525,0.3626757437,3.90330337678822E-11,0.7501174035
UMOD|7369.2,chr16,20359728,20359946,chr16:20359728-20359946,chr16,20359653,20359757,NM_003361,UMOD,-,Intron3,20364037,Intron,29,0.1204958019,0.0001812548,0.120314547,0.055554821,0.0890325525,0.3626757437,3.90330337678822E-11,0.7501174035
IFFO1|25900.2,chr12,6665342,6665491,chr12:6665342-6665491,chr12,6662274,6678274,NM_080731,IFFO1,-,Enhancer,6658274,Enhancer,149,245.8248102339,367.8437195949,-122.0189093611,0.0557764027,0.0893597599,0.0006577028,3.73592960538989E-10,0.6389135653
IFFO1|25900,chr12,6665342,6665491,chr12:6665342-6665491,chr12,6664229,6669229,NM_001039670,IFFO1,-,Promoter,6665229,Promoter,149,245.8248102339,367.8437195949,-122.0189093611,0.0557764027,0.0893597599,0.0006577028,3.73592960538989E-10,0.6389135653
IFFO1|25900.1,chr12,6665342,6665491,chr12:6665342-6665491,chr12,6664229,6669229,NM_080730,IFFO1,-,Promoter,6665229,Promoter,149,245.8248102339,367.8437195949,-122.0189093611,0.0557764027,0.0893597599,0.0006577028,3.73592960538989E-10,0.6389135653
HIST1H3G|8355,chr6,26271577,26271773,chr6:26271577-26271773,chr6,26271146,26271612,NM_003534,HIST1H3G,-,Exon1,26271612,Exon,35,1.2650778315,0.000294852,1.2647829795,0.0745769315,0.1151678814,0.9444440588,1.32870190041525E-11,0.725152554
HIST1H3G|8355.2,chr6,26271577,26271773,chr6:26271577-26271773,chr6,26270612,26275612,NM_003534,HIST1H3G,-,Promoter,26271612,Promoter,196,1.2650778315,0.000294852,1.2647829795,0.0745769315,0.1151678814,0.9444440588,1.32870190041525E-11,0.725152554
HIST1H3G|8355.1,chr6,26271577,26271773,chr6:26271577-26271773,chr6,26271612,26271612,NM_003534,HIST1H3G,-,UTR5,26271612,UTR5,0,1.2650778315,0.000294852,1.2647829795,0.0745769315,0.1151678814,0.9444440588,1.32870190041525E-11,0.725152554
