CpG Site	P-value	Delta Beta	Beta Ratio	RA	HP	Chrosome	Start	End	Gene	CpG Island	Probe type
cg00424152	3.81E-15	0.309	1.727	0.734178842	0.425153158	chr2	232263126	232263127	B3GNT7	Island	II
cg00424297	2.86E-07	-0.006	0.36	0.003131843	0.008695768	chr6	87865072	87865073	ZNF292	Island	I
cg00448482	3.13E-08	0.002	5.135	0.003102566	0.000604155	chr18	13726497	13726498	C18orf19	Island	I
cg00449390	4.57E-08	0.036	1.101	0.394201092	0.35819275	chr7	158379223	158379224	PTPRN2	N_Shore	II
cg00449941	1.78E-08	-0.007	0.819	0.031417694	0.038380592	chr17	26926011	26926012	SPAG5	Island	II
cg00456011	2.11E-09	-0.019	0.046	0.000904253	0.019639361	chr15	90437628	90437629	AP3S2	S_Shore	I
cg00459898	1.38E-07	0.027	1.033	0.8278684	0.801048942	chr2	241912309	241912310	cg00459898	NA	II
cg00460322	8.06E-08	-0.035	0.928	0.444877925	0.4794244	chr13	112980649	112980650	cg00460322	NA	II
cg00474373	3.07E-07	0.349	1.753	0.812225625	0.463407725	chr2	1625268	1625269	cg00474373	NA	II
cg00478049	2.74E-08	-0.011	0.713	0.028530796	0.040006833	chr22	31556069	31556070	RNF185	N_Shore	II
cg00479451	1.12E-07	0.007	1.216	0.037924591	0.031200381	chr6	33216368	33216369	cg00479451	Island	II
cg00485047	1.09E-07	-0.007	0.816	0.029883825	0.03663313	chr16	15736411	15736412	NDE1	NA	II
cg00488718	1.64E-07	-0.008	0.81	0.033920619	0.041902952	chr4	128887044	128887045	MFSD8	S_Shore	II
cg00500070	1.49E-07	-0.022	0.975	0.835758267	0.857273383	chr2	220250440	220250441	DNPEP	N_Shore	II
cg00504919	1.64E-07	-0.004	0.336	0.002012805	0.005989092	chr16	89724445	89724446	C16orf55	Island	I
cg00507815	1.17E-08	-0.017	0.981	0.881442717	0.898916158	chr6	38672050	38672051	GLO1	S_Shore	II
cg00518386	3.26E-07	-0.026	0.723	0.067226355	0.092978491	chr16	10276984	10276985	GRIN2A	Island	I
cg00524023	3.75E-08	0.016	1.018	0.901459592	0.885371217	chr6	40886605	40886606	cg00524023	NA	II
cg00526791	3.50E-08	-0.015	0.62	0.024953568	0.040241509	chr6	30034717	30034718	PPP1R11	NA	II
cg00540363	1.63E-07	-0.007	0.992	0.834730417	0.841649517	chr2	109757749	109757750	SH3RF3	NA	II
cg00540544	3.24E-07	-0.008	0.827	0.040322527	0.048767307	chr1	201476297	201476298	CSRP1	Island	II
cg00540891	6.60E-09	0.024	1.263	0.112858658	0.089325608	chr10	43572244	43572245	RET	Island	I
cg00540941	4.70E-08	-0.181	0.651	0.336738575	0.517480983	chr6	32974843	32974844	HLA-DOA	N_Shore	II
cg00550040	2.79E-07	-0.015	0.982	0.850819542	0.866208042	chr19	31640849	31640850	DKFZp566F0947	NA	II
cg00552697	4.45E-08	-0.007	0.524	0.007889532	0.015051121	chr19	4670541	4670542	C19orf10	S_Shore	I
cg00557959	1.37E-10	-0.209	0.78	0.742048133	0.95093705	chr13	113296414	113296415	cg00557959	NA	I
cg00562504	3.45E-07	0.039	1.066	0.620794633	0.582102567	chr10	468347	468348	DIP2C	S_Shore	II
cg00571935	7.31E-08	-0.002	0	0	0.002424016	chr6	146285339	146285340	SHPRH	Island	I
cg00573124	3.10E-07	0.045	1.064	0.737955192	0.693454458	chr9	139011777	139011778	C9orf69	S_Shore	II
cg00573880	1.92E-07	-0.007	0.643	0.012998199	0.020213225	chr1	36772749	36772750	C1orf113	Island	I
cg00581130	1.88E-08	-0.024	0.591	0.034573634	0.058516968	chr5	60240568	60240569	ERCC8	N_Shore	II
cg00581295	1.00E-07	-0.012	0.695	0.028196941	0.040580677	chr17	4852013	4852014	PFN1	Island	II
cg00585846	2.59E-08	-0.009	0.799	0.037418536	0.046823364	chr6	31515458	31515459	NFKBIL1	NA	II
cg00598143	5.53E-09	-0.011	0.539	0.013356849	0.024759836	chr5	90679209	90679210	LOC100129716	S_Shelf	I
cg00609148	1.43E-07	-0.036	0.958	0.83150705	0.867568892	chr8	19156146	19156147	cg00609148	NA	II
cg00611789	2.42E-07	0.051	1.06	0.907949617	0.856924275	chr5	78985432	78985433	CMYA5	NA	I
cg00615915	4.50E-08	-0.008	0.851	0.043081708	0.050630712	chr18	61637299	61637300	SERPINB8	N_Shore	II
cg00620542	1.14E-07	-0.007	0.829	0.031967668	0.038540551	chr17	33905720	33905721	PEX12	Island	II
cg00629382	2.16E-07	0.101	1.135	0.850595008	0.749692842	chr8	10268916	10268917	MSRA	NA	II
cg00640147	7.93E-08	-0.034	0.955	0.717972208	0.751982758	chr17	61958756	61958757	GH2	NA	II
cg00641632	3.60E-10	-0.004	0.216	0.00114854	0.005305981	chr17	42401901	42401902	SLC25A39	Island	I
cg00650762	1.17E-07	-0.007	0.324	0.003500479	0.01079949	chr1	23037368	23037369	EPHB2	Island	I
cg00650876	1.04E-08	0.007	1.259	0.034345369	0.027288686	chr1	43148058	43148059	YBX1	Island	II
cg00658427	5.45E-08	-0.009	0.907	0.085568076	0.094304434	chr14	102431823	102431824	DYNC1H1	Island	II
cg00661523	4.91E-09	-0.069	0.757	0.215592033	0.284663725	chr3	151985426	151985427	MBNL1	N_Shore	II
cg00664697	9.67E-08	-0.015	0.654	0.028894778	0.044189274	chr16	80061290	80061291	cg00664697	NA	I
cg00665908	2.96E-07	-0.002	0.608	0.003715085	0.00610916	chr6	34855885	34855886	TAF11	Island	I
cg00668442	2.39E-07	-0.006	0.809	0.023528598	0.029069493	chr16	2318234	2318235	RNPS1	Island	I
cg00673557	4.46E-08	-0.017	0.662	0.032425369	0.048963415	chr6	89827915	89827916	SFRS13B	Island	I
cg00685971	4.90E-08	0.019	1.022	0.873613867	0.85474765	chr8	25303948	25303949	KCTD9	NA	II
cg00707129	8.22E-08	-0.04	0.954	0.81617295	0.855808683	chr2	214713472	214713473	SPAG16	NA	II
cg00714198	3.20E-07	-0.004	0.301	0.001900375	0.006321934	chr3	12705702	12705703	RAF1	Island	I
cg00716245	1.55E-07	-0.01	0.859	0.063362442	0.073783235	chr11	555724	555725	C11orf35	Island	I
cg00724403	3.16E-07	-0.022	0.976	0.903261717	0.925613417	chr2	38009031	38009032	cg00724403	NA	II
cg00729708	2.96E-14	0.577	7.539	0.664774725	0.088182838	chr15	101084442	101084443	LASS3	Island	II
cg00744413	1.37E-07	-0.058	0.859	0.3529239	0.410808692	chr15	98196022	98196023	cg00744413	Island	II
cg00748494	9.72E-09	0.092	1.248	0.462544625	0.370549575	chr13	23412343	23412344	cg00748494	Island	I
cg00759634	9.86E-08	-0.043	0.848	0.240534925	0.283790175	chr10	125853788	125853789	cg00759634	S_Shore	I
cg00760992	3.20E-07	-0.049	0.916	0.534091908	0.582782383	chr12	50223054	50223055	LOC100286844	S_Shore	II
cg00765653	1.90E-07	0.023	1.038	0.622575717	0.600001158	chr20	57415144	57415145	GNASAS	Island	I
cg00775829	2.56E-07	0.019	1.022	0.890974342	0.872153542	chr17	292148	292149	FAM101B	N_Shore	II
cg00788739	1.57E-08	-0.056	0.569	0.073511266	0.1291389	chr22	31002942	31002943	TCN2	NA	II
cg00789671	2.19E-07	0.028	1.245	0.144002775	0.115640891	chr3	195488493	195488494	MUC4	N_Shore	II
cg00792783	1.19E-08	-0.006	0.248	0.00213506	0.008615701	chr2	198669748	198669749	PLCL1	Island	I
cg00797651	3.52E-09	-0.091	0.532	0.103480403	0.194603	chr1	207494336	207494337	CD55	N_Shore	II
cg00808132	2.36E-07	-0.011	0.987	0.841257958	0.852434458	chr14	23511306	23511307	PSMB11	NA	II
cg00814186	2.42E-10	0.554	7.215	0.643013342	0.089116138	chr17	74585455	74585456	cg00814186	S_Shelf	II
cg00835825	3.43E-07	0.025	1.027	0.944044667	0.919365817	chr16	85608058	85608059	cg00835825	NA	I
cg00837103	7.72E-08	0.024	1.068	0.378783283	0.354788275	chr20	61447268	61447269	COL9A3	N_Shore	II
cg00839802	6.20E-10	-0.006	0.121	0.000777804	0.006421337	chr6	119671238	119671239	MAN1A1	Island	I
cg00845245	2.26E-07	0.034	1.094	0.38935145	0.355841708	chr17	70536103	70536104	cg00845245	N_Shore	II
cg00858294	2.85E-07	0.065	1.079	0.888709858	0.82326385	chr1	157441473	157441474	cg00858294	NA	II
cg00862394	1.39E-07	-0.014	0.983	0.846771425	0.8611536	chr1	120167079	120167080	ZNF697	S_Shore	II
cg00862597	3.25E-07	0.067	1.139	0.550827417	0.483693833	chr14	61750802	61750803	cg00862597	S_Shelf	II
cg00864083	3.46E-10	0.028	1.032	0.905034034	0.8766063	chr1	42671478	42671479	FOXJ3	NA	II
cg00865962	1.19E-07	0.031	1.041	0.781965092	0.751340325	chr1	110303483	110303484	EPS8L3	NA	II
cg00867113	1.35E-07	0.013	1.015	0.890411567	0.877525667	chr3	11606697	11606698	VGLL4	N_Shelf	II
cg00882281	1.66E-07	-0.195	0.709	0.47505515	0.670457842	chr15	96346592	96346593	cg00882281	NA	II
cg00886432	1.19E-07	-0.052	0.9	0.474068325	0.526541042	chr6	32515815	32515816	cg00886432	NA	I
cg00890874	2.63E-07	-0.02	0.976	0.810705417	0.830832075	chr1	68708675	68708676	cg00890874	NA	II
cg00904063	7.95E-08	-0.006	0.578	0.007863032	0.01360305	chr17	72869185	72869186	FDXR	Island	I
cg00917471	6.12E-08	-0.04	0.935	0.571485867	0.611422808	chr1	43228316	43228317	LEPRE1	N_Shelf	II
cg00926285	1.85E-07	-0.057	0.794	0.2191153	0.276049842	chr3	122398533	122398534	PARP14	N_Shore	II
cg00927231	1.87E-07	-0.006	0.262	0.002013297	0.007681039	chr16	4357579	4357580	cg00927231	Island	I
cg00928393	1.71E-08	-0.009	0.99	0.966344367	0.975732642	chr15	28358388	28358389	HERC2	Island	I
cg00930309	6.44E-10	-0.008	0.859	0.05057563	0.058858768	chr8	86019373	86019374	LRRCC1	Island	II
cg00930979	1.62E-07	-0.007	0.701	0.016422258	0.023412468	chr7	92861777	92861778	CCDC132	NA	II
cg00934299	5.60E-09	0.016	1.018	0.933823158	0.917598008	chr16	88441642	88441643	cg00934299	N_Shore	I
cg00935887	1.71E-09	-0.126	0.766	0.413160325	0.539408842	chr2	242844000	242844001	cg00935887	Island	II
cg00939735	3.31E-09	-0.035	0.646	0.064032528	0.099122662	chr4	185941265	185941266	HELT	Island	I
cg00945107	8.73E-08	0.02	1.023	0.89862535	0.878150683	chr13	114090589	114090590	ADPRHL1	NA	II
cg00948102	9.03E-09	-0.003	0.04	0.000113881	0.002865128	chr17	73008738	73008739	ICT1	Island	I
cg00951597	2.50E-07	-0.005	0.871	0.036183866	0.041564433	chr1	162039149	162039150	NOS1AP	N_Shore	II
cg00965985	5.15E-08	-0.057	0.864	0.360287025	0.4169499	chr3	122232605	122232606	KPNA1	N_Shore	II
cg00968020	2.27E-08	0.008	1.009	0.911007708	0.9026272	chr7	4085257	4085258	SDK1	NA	II
cg00979347	1.63E-07	0.009	1.149	0.067605087	0.058833588	chr1	44115798	44115799	KDM4A	Island	II
cg00981877	7.02E-08	-0.058	0.658	0.111842735	0.170055275	chr20	50366841	50366842	ATP9A	NA	II
cg00982680	5.00E-08	-0.007	0.779	0.024402202	0.03134382	chr2	44588811	44588812	PREPL	N_Shore	II
cg00982974	2.86E-07	0.023	1.027	0.875481433	0.852465325	chr7	101522290	101522291	CUX1	NA	II
cg00987743	1.08E-07	-0.02	0.978	0.859910858	0.879548217	chr3	49581113	49581114	cg00987743	S_Shelf	I
cg00995327	6.35E-09	-0.008	0.843	0.043977778	0.052150439	chr3	142838847	142838848	CHST2	Island	II
cg00996053	2.23E-08	-0.042	0.836	0.213663475	0.255511333	chr1	48575385	48575386	SKINTL	NA	II
cg01000656	3.35E-07	-0.004	0.042	0.000157652	0.003726249	chr1	84971486	84971487	SPATA1	Island	I
cg01008602	5.28E-09	-0.104	0.704	0.2472422	0.351290658	chr8	27144085	27144086	TRIM35	N_Shore	II
cg01016592	9.00E-08	0.009	1.01	0.882582767	0.873464233	chr16	30615808	30615809	ZNF689	Island	II
cg01020792	4.38E-08	-0.009	0.766	0.029604999	0.038625712	chr1	46016473	46016474	AKR1A1	Island	II
cg01020980	7.06E-08	-0.006	0.582	0.0080909	0.013898397	chr12	102091258	102091259	CHPT1	Island	I
cg01027498	2.18E-08	0.013	1.689	0.030720934	0.018185435	chr5	76788287	76788288	WDR41	Island	I
cg01028283	2.45E-08	-0.01	0.836	0.048755863	0.058315731	chr14	69658356	69658357	cg01028283	Island	II
cg01034973	2.85E-08	-0.021	0.976	0.8612986	0.882054725	chr8	143459908	143459909	TSNARE1	NA	II
cg01035815	1.49E-07	-0.066	0.894	0.550455808	0.61598385	chr6	33600828	33600829	ITPR3	N_Shore	II
cg01046434	3.24E-07	-0.019	0.75	0.056073008	0.074743357	chr14	20937221	20937222	PNP	NA	II
cg01052838	1.64E-07	-0.034	0.958	0.781779508	0.816174542	chr20	3075251	3075252	cg01052838	S_Shore	II
cg01054658	6.37E-08	-0.006	0.652	0.010417321	0.015987028	chr8	33342664	33342665	MAK16	Island	I
cg01054775	4.02E-08	0.013	1.014	0.899457817	0.886749733	chr10	1067538	1067539	C10orf110	NA	II
cg01056653	2.49E-07	0.01	1.451	0.032546886	0.022426357	chr10	7452391	7452392	SFMBT2	Island	I
cg01059682	1.07E-07	-0.01	0.654	0.018628803	0.028484236	chr12	27167445	27167446	TM7SF3	Island	I
cg01064898	1.03E-08	-0.008	0.276	0.003103339	0.011225411	chr13	25861655	25861656	MTMR6	Island	I
cg01079019	8.58E-08	-0.051	0.937	0.758348442	0.809049	chr16	21566602	21566603	cg01079019	NA	I
cg01085210	1.13E-07	-0.011	0.849	0.061217538	0.072103272	chr14	38067219	38067220	cg01085210	N_Shore	II
cg01096617	1.53E-07	-0.021	0.977	0.913078917	0.934105	chr16	58569180	58569181	CNOT1	NA	II
cg01100678	2.79E-07	-0.01	0.788	0.038638007	0.049035894	chr19	5791279	5791280	DUS3L	Island	I
cg01113538	1.91E-08	-0.014	0.866	0.090967501	0.105017683	chr6	53658866	53658867	LRRC1	N_Shore	II
cg01123353	2.20E-07	-0.015	0.984	0.929172575	0.944184617	chr3	127394884	127394885	ABTB1	S_Shelf	I
cg01129966	6.10E-08	0.016	1.371	0.059138947	0.043143527	chr11	22851401	22851402	SVIP	S_Shore	I
cg01131241	4.38E-08	-0.027	0.968	0.81649705	0.84355635	chr10	54166783	54166784	cg01131241	N_Shelf	II
cg01132056	7.46E-08	-0.076	0.903	0.703930933	0.779633733	chr4	178170788	178170789	cg01132056	NA	II
cg01134491	7.89E-08	-0.011	0.777	0.036805319	0.047384907	chr1	11865789	11865790	CLCN6	Island	II
cg01137537	1.03E-07	-0.007	0.403	0.004911231	0.012185913	chr1	162039502	162039503	NOS1AP	Island	I
cg01150936	1.01E-07	0.016	1.019	0.852800125	0.837168575	chr16	67235960	67235961	ELMO3	S_Shelf	II
cg01153138	1.57E-07	-0.068	0.902	0.628448967	0.696452492	chr14	34945475	34945476	cg01153138	NA	I
cg01156747	1.52E-07	0.418	2.036	0.821396042	0.403398383	chr7	120659	120660	cg01156747	Island	II
cg01159003	3.32E-08	-0.034	0.949	0.638004292	0.672240583	chr13	79801368	79801369	cg01159003	NA	II
cg01162436	8.20E-08	-0.005	0.876	0.036430098	0.041580359	chr10	15902292	15902293	FAM188A	Island	II
cg01164344	2.79E-07	-0.011	0.835	0.056546421	0.067717357	chr10	83636782	83636783	NRG3	S_Shore	II
cg01167323	2.16E-07	0.064	1.128	0.567971492	0.503502367	chr1	90284686	90284687	cg01167323	N_Shore	II
cg01173485	3.13E-10	-0.031	0.966	0.883878	0.914587575	chr11	74302893	74302894	POLD3	N_Shore	II
cg01174140	1.27E-07	-0.031	0.851	0.174161058	0.204714967	chr5	180018735	180018736	SCGB3A1	Island	I
cg01185350	6.30E-10	-0.01	0.476	0.008791406	0.018455854	chr16	75681490	75681491	KARS	Island	I
cg01193769	2.39E-07	0.016	1.111	0.158357525	0.14259565	chr18	55107097	55107098	ONECUT2	Island	II
cg01208566	1.36E-07	0.039	1.084	0.503371267	0.464441775	chr14	56587633	56587634	PELI2	S_Shore	II
cg01222216	2.24E-07	0.012	1.014	0.9049855	0.892813992	chr16	2648276	2648277	PDPK1	NA	I
cg01235659	1.37E-07	-0.024	0.969	0.754302733	0.778120558	chr5	16738047	16738048	MYO10	NA	II
cg01246254	2.15E-08	-0.033	0.899	0.289967242	0.3225915	chr10	124134882	124134883	PLEKHA1	Island	II
cg01252513	3.18E-07	0.02	1.025	0.847730025	0.8273564	chr12	111758092	111758093	CUX2	Island	I
cg01258949	4.14E-08	-0.029	0.967	0.860308775	0.889301458	chr11	47092992	47092993	C11orf49	NA	II
cg01260085	4.18E-08	0.003	1.585	0.008316667	0.005245596	chr16	70100213	70100214	PDXDC2	Island	I
cg01264539	3.46E-08	0.026	1.032	0.843651433	0.81738065	chr2	44587797	44587798	PREPL	N_Shore	II
cg01284193	3.12E-07	0.022	1.027	0.842641017	0.820151975	chr9	27109111	27109112	TEK	NA	II
cg01284869	1.44E-08	-0.043	0.653	0.081362994	0.124681417	chr22	31002946	31002947	TCN2	NA	I
cg01289343	1.08E-07	0.039	1.139	0.32237435	0.283064183	chr13	114814401	114814402	RASA3	Island	II
cg01290934	2.33E-07	-0.014	0.776	0.048555953	0.062594928	chr6	31409673	31409674	cg01290934	NA	II
cg01295339	2.10E-07	-0.077	0.712	0.190331867	0.267282858	chr2	74729710	74729711	LBX2	Island	I
cg01299282	1.38E-07	-0.006	0.807	0.025893214	0.032072045	chr16	70323049	70323050	AARS	N_Shore	II
cg01301637	2.62E-07	-0.013	0.691	0.029538861	0.042760118	chr3	13919811	13919812	WNT7A	N_Shore	I
cg01307507	1.25E-08	-0.023	0.802	0.092586283	0.115387717	chr17	77751480	77751481	CBX2	Island	I
cg01309052	1.58E-07	-0.024	0.699	0.054665726	0.07823015	chr12	88428972	88428973	C12orf29	N_Shore	II
cg01309141	4.13E-09	0.038	1.07	0.582170525	0.544097458	chr20	17205850	17205851	cg01309141	N_Shore	II
cg01317569	1.63E-07	0.01	1.011	0.940086017	0.930036608	chr5	60140824	60140825	ELOVL7	S_Shore	I
cg01320579	2.28E-07	0.098	1.155	0.73000935	0.631969292	chr17	75405842	75405843	9-Sep	NA	I
cg01324372	1.86E-07	-0.044	0.602	0.066681634	0.110763428	chr22	42679577	42679578	cg01324372	Island	I
cg01324437	1.64E-08	0.008	1.334	0.031099583	0.023312763	chr2	98206175	98206176	ANKRD36B	Island	I
cg01326421	2.18E-13	-0.356	0.6	0.534514425	0.8907781	chr20	4983091	4983092	SLC23A2	NA	II
cg01329005	9.59E-08	-0.044	0.649	0.081637253	0.125728178	chr19	17516712	17516713	BST2	NA	II
cg01330670	1.35E-07	-0.005	0.567	0.00652803	0.01151866	chr2	101767621	101767622	TBC1D8	Island	I
cg01339648	2.58E-07	0.035	1.1	0.383532258	0.34855645	chr6	31690998	31690999	C6orf25	N_Shore	II
cg01351830	2.87E-07	-0.014	0.984	0.869687225	0.884062133	chr16	2024435	2024436	TBL3	N_Shore	II
cg01361354	2.09E-07	0.038	1.046	0.8594104	0.821245675	chr6	29408296	29408297	OR10C1	NA	II
cg01369114	1.50E-07	-0.033	0.796	0.126584483	0.15912435	chr22	31002991	31002992	TCN2	NA	II
cg01370122	1.75E-07	-0.014	0.852	0.079813391	0.09365366	chr2	1858674	1858675	MYT1L	NA	II
cg01374729	1.04E-07	-0.014	0.894	0.1152091	0.128923025	chr6	159420963	159420964	RSPH3	Island	I
cg01381679	1.25E-07	-0.005	0.225	0.001433985	0.006367527	chr16	70834771	70834772	VAC14	Island	I
cg01382153	7.26E-08	-0.02	0.761	0.065218917	0.085664763	chr2	219906212	219906213	CCDC108	Island	I
cg01385862	2.66E-08	-0.029	0.964	0.779831633	0.809007042	chr1	35227029	35227030	GJB4	Island	II
