	R2.ESC.hapinfo.txt	R2.ipsNT.hapinfo.txt	R2.tissue.hapinfo.txt	Pvalue
chr10:120700643-120700651	0.495	0.252	0.656	4.68327432930834e-31
chr10:120822023-120822035	0.595	0.1	0.562	3.90086229723583e-81
chr10:120872786-120872791	0.463	0.254	0.766	7.43468110883794e-117
chr10:120879186-120879201	0.558	0.455	0.519	0.000456649131212477
chr10:121008939-121008960	0.547	0.043	0.256	1.74924065750064e-101
chr10:121023819-121023834	NA	NA	1	NA
chr10:121039293-121039313	0.226	0.183	0.046	1.60201835565985e-16
chr10:121043089-121043096	0.544	0.201	0.203	1.18445529328013e-16
chr10:121043271-121043286	0.535	0.113	0	7.53046202836905e-91
chr10:121044081-121044110	0.663	0.265	0.014	7.71070287249829e-110
chr10:121044181-121044216	0.494	0.449	0.08	5.31450390595033e-37
chr10:121044440-121044524	0.562	0.313	0.044	1.86215476169805e-75
chr10:121044590-121044613	0.67	0.373	0.022	5.51959949341946e-87
chr10:121050625-121050689	0.59	0.259	0.425	0.460449665601868
chr10:121187450-121187490	0.452	0.172	0.334	2.3416045556062e-36
chr10:121187536-121187588	0.439	0.217	0.122	2.48909737816464e-51
chr10:121187678-121187688	0.378	0.21	0.029	1.5544911435415e-102
chr10:121187760-121187772	0.447	0.26	0.123	1.90402587639677e-47
chr10:121256306-121256416	0.711	0.152	0.011	6.14290742829673e-112
chr10:121273895-121273914	0.629	0.127	0.654	5.7805385425025e-138
chr10:121273953-121274009	0.599	0.22	0.606	4.20697046792557e-108
chr10:121274850-121274871	0.489	0.248	0.607	1.79128945648863e-42
chr10:121444553-121444566	0.658	0.048	0.244	3.18152201788603e-40
chr10:121466502-121466521	0.515	0.062	0.627	3.73718015103813e-126
chr10:121466611-121466637	0.716	0.075	0.415	1.11073078087853e-52
chr10:121466648-121466664	0.548	0.077	0.532	2.62723421450863e-53
chr10:121558202-121558217	0.553	0.132	0.606	2.61928411914238e-86
chr10:122144003-122144173	0.658	0.062	0.496	3.33204317771916e-41
chr10:122237515-122237529	0.482	0.188	0.726	2.73209503612467e-99
chr10:122266794-122266808	0.587	0.261	0.533	2.51993068700667e-11
chr10:122386898-122386914	0.602	0.182	0.12	1.53363482081434e-68
chr10:122557904-122557927	0.497	0.149	0.666	1.8501834886545e-50
chr10:12262741-12262758	0.658	0.267	0.154	7.05535664056552e-52
chr10:122797590-122797606	0.645	0.293	0.546	5.41600730497534e-51
chr10:123247848-123247961	0.84	0.16	0.526	5.06353229814094e-75
chr10:12328843-12328911	0.642	0.319	0.108	1.47082788155021e-86
chr10:12347834-12347848	0.55	0.44	0.079	2.06646101233511e-64
chr10:12446160-12446193	0.483	0.164	0.668	6.43504564135615e-101
chr10:124622442-124622457	0.336	0.316	0.062	1.32785899364206e-41
chr10:124702669-124702715	0.505	0.317	0.349	1.57762149224071e-09
chr10:124703090-124703119	0.557	0.187	0.502	1.12211286660412e-58
chr10:125387003-125387028	0.465	0.169	0.021	2.50608459800972e-70
chr10:125423871-125423902	0.46	0.416	0.565	6.38447263741198e-16
chr10:12572756-12572878	0.435	0.781	0.689	7.50614684228629e-19
chr10:125805404-125805432	0.652	0.046	0.338	2.2913218929687e-81
chr10:12588850-12588867	NA	NA	1	NA
chr10:126500732-126500752	0.862	0	0	3.63654080511623e-109
chr10:126501314-126501346	0.739	0.001	NA	1.89232361706184e-85
chr10:126516099-126516173	0	NA	0.831	8.13083119486625e-133
chr10:126516683-126516690	0.327	0.162	0.858	1.25043008925431e-12
chr10:126516694-126516787	0	0.019	0.898	8.01372054244132e-180
chr10:126516796-126516869	0.299	0.017	0.821	6.34054668524724e-80
chr10:126516874-126516900	0.313	0.325	0.816	8.84722715779223e-23
chr10:126516939-126516951	0.229	0.002	0.831	1.74017070535133e-81
chr10:126516993-126517024	0.026	0.055	0.874	8.93988255233182e-113
chr10:126517032-126517048	0.001	NA	0.696	9.17889959399611e-65
chr10:126517167-126517202	0.025	0.001	0.807	5.29569750736738e-124
chr10:126517279-126517321	0.03	0.11	0.776	3.58200191022029e-104
chr10:126517357-126517378	0	NA	0.703	9.1142442539236e-48
chr10:126518687-126518734	NA	0.242	0.772	5.95941772392432e-15
chr10:126528047-126528084	0.055	0.001	0.722	2.72213380481673e-111
chr10:126528124-126528171	0.007	0.04	0.832	2.59814740073536e-182
chr10:126607217-126607234	0	0.247	0.555	1.28200679310882e-24
chr10:126711903-126711940	0.367	0.304	0.028	8.31933901753892e-57
chr10:126763649-126763665	0.355	0.255	0.63	1.36614232646203e-07
chr10:126774479-126774496	0.366	0.245	0.22	3.15271915849382e-23
chr10:126957192-126957211	0.464	0.295	0.014	2.35610843322355e-110
chr10:127025507-127025545	0.37	0.105	0.039	4.64122508404561e-74
chr10:127025559-127025593	0.227	0.152	0.292	7.42269483571702e-17
chr10:127027398-127027456	0.44	0.476	0.448	5.95450876100023e-07
chr10:127041993-127042008	0.541	0.146	0.373	9.03339818645394e-65
chr10:127187619-127187657	0.46	0.204	0.42	7.36967962897477e-33
chr10:127684634-127684674	0.428	0.115	0.482	3.83138029176285e-13
chr10:12780915-12780919	0.333	NA	0.647	0.010983739933172
chr10:127911770-127911787	0.412	0.385	0.022	7.99504435485665e-59
chr10:128062299-128062351	0.224	0.018	0.332	1.65963218202279e-17
chr10:12810546-12810569	0.558	0.776	0.779	2.82312630140388e-52
chr10:12810597-12810629	0.349	0.734	0.852	3.14031858094714e-106
chr10:12810646-12810724	0.43	0.835	0.837	8.27164072849248e-136
chr10:12810742-12810777	0.446	0.834	0.867	1.68030632751435e-112
chr10:12810785-12810818	0.367	0.808	0.844	2.82888648949433e-142
chr10:12810845-12810872	0.371	0.751	0.886	2.2717223754813e-112
chr10:12810877-12810892	0.383	0.548	0.803	1.09656542258184e-85
chr10:12810899-12810932	0.486	0.738	0.8	1.95735277928345e-92
chr10:12811015-12811022	0.417	0.5	0.843	1.64581781426132e-120
chr10:12811036-12811089	0.441	0.681	0.807	4.14665829145932e-126
chr10:12811166-12811195	0.389	0.591	0.788	6.13666794841603e-88
chr10:12811772-12811786	0.419	0.253	0.728	1.23446792988457e-96
chr10:128174670-128174681	NA	NA	0.506	NA
chr10:13103140-13103165	0.707	0.372	0.498	7.15022326780421e-27
chr10:13108531-13108552	0.544	0.259	0.533	2.81510262985537e-49
chr10:14399794-14400044	0.606	0.678	0.211	3.9120896640289e-28
chr10:16851794-16851815	0.714	0.03	0.689	2.33469648982804e-142
chr10:17842030-17842273	0.438	0.729	0.357	5.60412032992138e-05
chr10:17933845-17933869	0.334	0.242	0.44	2.47276613657686e-33
chr10:18067230-18067238	0.63	0.295	0.119	3.66519287474591e-81
chr10:18141042-18141050	0.673	0.209	0.148	1.82217869027575e-135
chr10:18147975-18147999	0.622	0.172	0.528	2.08377103875611e-89
chr10:18183063-18183087	0.139	0.279	0.386	6.55789368057343e-20
chr10:18198402-18198661	0.651	0.161	0.1	2.7238825566507e-77
chr10:18200876-18200889	0.684	0.299	0.596	1.80166362112182e-77
chr10:18311613-18311623	0.232	0.317	0.239	0.02777333200955
chr10:19324663-19324700	0.532	0.351	0.314	3.1371741376095e-24
chr10:19411848-19411863	0.611	0.105	0.611	3.26070984332691e-131
chr10:19592319-19592384	0.39	0.212	0.145	1.13695455418451e-10
chr10:19592392-19592411	0.345	NA	0.05	9.57652360421708e-44
chr10:19725521-19725530	0.331	0.128	0.649	2.96479814025224e-114
chr10:19975474-19975585	0.709	0.305	0.302	1.06258494246068e-43
chr10:20249054-20249096	0.611	0.169	0.571	4.74714065517949e-99
chr10:20389484-20389498	0.594	0.273	0.527	4.58368644457954e-54
chr10:20444926-20444985	0.403	0.091	0.5	1.04721597089472e-48
chr10:20567390-20567406	0.764	0.286	0.449	9.22385471758974e-64
chr10:20674145-20674231	0.161	0.306	0.785	2.3364246556901e-52
chr10:20814236-20814381	0.667	0.186	0.229	1.43767731169301e-59
chr10:20849792-20849859	0.516	0.337	0.183	1.13243336822598e-30
chr10:20864912-20864962	0	0.001	0.638	8.93184494914496e-109
chr10:21061803-21061820	0.444	0.174	0.138	8.63234796365167e-42
chr10:21174736-21174803	0.416	0.449	0.408	1.52258477811711e-08
chr10:21279621-21279641	0.654	0.039	0.501	3.63661141426863e-102
chr10:21549405-21549470	0.417	0.413	0.409	0.39870593460072
chr10:21567947-21568025	0.522	0.161	0.461	5.38963591946188e-33
chr10:21682785-21682912	0.595	0.09	0.57	2.48198890263793e-62
chr10:21698409-21698457	0.504	0.246	0.12	5.89517316922588e-57
chr10:21718767-21718789	0.443	0.294	0.635	2.16834214816506e-57
chr10:22333674-22333888	0.707	0.402	0.195	3.63148889975229e-53
chr10:23955695-23955723	0.591	0.222	0.488	5.38805367438099e-72
chr10:24525905-24525936	0.249	0.163	0.114	4.10942783416742e-14
chr10:24802888-24802926	0.484	0.249	0.711	6.21205360498121e-43
chr10:24891281-24891319	0.644	0.126	0.314	6.48741762113724e-85
chr10:24992449-24992459	0.752	0.046	0.284	2.73743320443616e-169
chr10:25034106-25034199	1	0.242	0.592	5.15808146800244e-36
chr10:25034275-25034281	NA	0.001	0.496	2.09800647154929e-51
chr10:25101887-25101943	0	0	0.497	1.40946048815051e-57
chr10:25104334-25104364	0.463	0.185	0.107	2.38988418121248e-74
chr10:25120695-25120705	0.691	0.063	0.047	1.72195316578751e-119
chr10:25123903-25123918	0.544	0.054	0.67	1.78925122851481e-167
chr10:25152619-25152682	0.386	0.376	0.409	0.272418903400464
chr10:25216597-25216618	0.6	0.23	0.132	2.06721055917801e-29
chr10:25303311-25303591	0.833	0.404	0.497	2.6760297598093e-11
chr10:25677453-25677492	0.624	0.294	0.021	1.0076710237341e-106
chr10:26047632-26047679	0.398	0.131	0.4	9.86418487359269e-30
chr10:26284466-26284483	0.486	0.266	0.56	2.16303127084084e-54
chr10:26880653-26880689	0.709	0.179	0.273	5.48204730474538e-80
chr10:28896689-28896861	0.662	0.447	0.344	5.20004525137152e-26
chr10:28916745-28916765	0.225	0.175	0.438	4.88922655489183e-35
chr10:28916777-28916798	0.207	0.068	0.352	5.95245293847119e-43
chr10:28917095-28917116	0.459	0.122	0.089	1.32809397369955e-72
chr10:30500980-30501026	0.516	NA	0.369	1.32013004776458e-16
chr10:30882980-30883161	0.569	0.278	0.187	1.45712746116379e-32
chr10:3208079-3208110	0.56	0.237	0.484	3.77695373745791e-07
chr10:3226055-3226074	0.719	0.11	0.393	1.95555685662324e-93
chr10:33964833-33964867	0.456	0.436	0.562	2.24218671431109e-08
chr10:34203996-34204028	0.553	0.296	0.709	2.5213580348193e-83
chr10:36618198-36618225	0.738	0.421	0.383	7.64217744971813e-62
chr10:38867473-38867636	0.431	0.198	0.058	8.73235156364635e-34
chr10:38887492-38887630	0.614	0.27	0.134	2.92994033275046e-60
chr10:39191945-39192064	0.579	0.507	0.518	0.000369811031166089
chr10:39223756-39223795	0.645	0.368	0.157	1.69712386004661e-111
chr10:39223845-39223900	0.654	0.27	0.058	2.97959541523792e-135
chr10:39256200-39256212	0.606	0.158	0.578	1.59879163932227e-92
chr10:39256270-39256306	0.577	0.089	0.602	2.02709718886233e-87
chr10:39350060-39350070	0.393	0.389	0.701	7.6562922839132e-70
chr10:39351529-39351571	0.648	0.356	0.537	6.36984294601649e-68
chr10:39456100-39456163	0.45	0.267	0.278	2.46674713875667e-28
chr10:39472189-39472263	0.596	NA	0.184	2.57545006859774e-37
chr10:39472430-39472480	0.367	0.23	0.106	1.11628818695331e-41
chr10:39472543-39472582	0.436	0.167	0.109	1.90938227132758e-05
chr10:40161064-40161078	0.651	0.266	0.102	4.42940951555555e-90
chr10:40403031-40403050	1	NA	NA	NA
chr10:40657537-40657577	0.681	0.287	0.027	1.31285728735474e-154
chr10:41717375-41717395	0.551	0.384	0.213	2.55257063255348e-28
chr10:41719538-41719546	0.486	0.001	0.026	1.70393825082012e-61
chr10:41917076-41917137	0.201	0.122	0.072	8.18976281597836e-07
chr10:41917143-41917163	0.221	0.036	0.027	1.67948905985682e-19
chr10:41917218-41917245	0.266	0.195	0.085	2.17138308694041e-15
chr10:41917322-41917353	0.152	0.204	0.012	3.49140163278882e-41
chr10:41917364-41917393	0.19	0.045	0.031	1.45931073443407e-26
chr10:41917406-41917440	0.319	0.088	0.1	5.21042481645437e-53
chr10:41917582-41917613	0.36	0.05	0.061	8.43589645798355e-78
chr10:41917644-41917663	0.306	0.045	0.139	9.37883217473225e-40
chr10:41941492-41941521	0.617	0.102	0.39	2.12713611323601e-66
chr10:41941557-41941656	0.639	0.143	0.072	2.79961540121583e-60
chr10:42046999-42047014	0.594	0.199	0.137	1.399182827899e-52
chr10:42256112-42256226	0.614	0.229	0.292	1.22455683705092e-54
chr10:42419160-42419170	0.795	0.224	0.517	3.7015743479143e-114
chr10:42582274-42582314	0.522	0.054	0.576	4.68242197556783e-133
chr10:43176207-43176290	0.414	NA	0.253	5.23434620612899e-09
chr10:43197192-43197218	NA	0	0.18	6.54368157384712e-42
chr10:43230266-43230297	0.158	0.183	0.025	2.60706595035756e-29
chr10:43230891-43230934	0.332	0.187	0.058	5.87726424249661e-45
chr10:43231127-43231142	0.301	0.155	0.065	1.53799702267036e-23
chr10:43231259-43231295	0.36	0.118	0.009	4.5243027559609e-108
chr10:43231313-43231332	0.396	0.162	0.011	1.9408130356983e-86
chr10:43231351-43231403	0.321	0.162	0.059	8.69604164963151e-72
chr10:43608796-43608811	0.532	0.096	0.042	1.24979237000861e-115
chr10:43988132-43988155	1	NA	NA	NA
chr10:44087361-44087382	0.544	0.421	0.223	1.16562883796559e-47
chr10:44108645-44108711	0.626	0.12	0.485	2.21254116396374e-64
chr10:44160843-44160884	0.525	0.16	0.066	1.92701318489068e-105
chr10:44160976-44161094	0.763	0.48	0.091	1.06346978851461e-153
chr10:44161191-44161383	0.644	0.387	0.043	1.18935521021636e-124
chr10:44161484-44161542	0.568	0.444	0.015	1.95764145662486e-79
chr10:44161557-44161644	0.71	0.345	0.205	3.42155408200517e-107
chr10:44167196-44167211	0.416	0.211	0.648	9.74697578985963e-73
chr10:44219859-44219876	0.706	0.234	0.509	7.02238313570607e-71
chr10:44747104-44747116	0.658	0.298	0.237	2.04323528733702e-50
chr10:44791892-44791956	0.647	0.293	0.022	1.38718431048435e-133
chr10:44807649-44807763	0.682	0.106	0.012	9.66869723458219e-77
chr10:44807844-44807934	0.652	0.143	0.049	9.99797737728201e-63
chr10:44814832-44814855	0.664	0.345	0.187	1.3220523876352e-84
chr10:44958193-44958212	0.631	0.004	0.028	6.86817236634729e-118
chr10:45065986-45066018	0.673	0.203	0.03	1.79113881809768e-126
chr10:45595162-45595182	0.544	0.576	0.108	1.38204964926851e-28
chr10:50959332-50959352	0.592	NA	0.277	6.05674895805747e-31
chr10:51351769-51351779	0.473	0.637	0.565	2.06476251184732e-17
chr10:5142375-5142395	0.516	0.063	0.586	1.00709483475905e-106
chr10:52039836-52039843	0.403	0.23	0.325	8.53917953120263e-16
chr10:52265266-52265318	0.182	NA	0.447	2.34984190616942e-21
chr10:52265423-52265443	0.252	NA	0.082	1.10069992761341e-31
chr10:52265478-52265503	0.153	0.086	0.238	2.51440309376815e-08
chr10:52265554-52265644	0.203	NA	0.237	0.138079939721761
chr10:52265647-52265672	0.296	0.51	0.124	1.13292122836728e-32
chr10:52900648-52900688	0.578	0.285	0.405	1.37616338818932e-42
chr10:53003709-53003786	0.576	0.438	0.046	1.06003233096028e-66
chr10:53063902-53063917	0.619	0.13	0.586	7.68587234406156e-118
chr10:55835113-55835130	0.5	NA	0.702	0.000163975336912924
chr10:55835662-55835698	0	0.237	0.461	4.81473049284368e-66
chr10:56145206-56145294	0.546	0.426	0.554	3.72918836010749e-10
chr10:5725524-5725534	0.487	0.314	0.558	1.32105029128094e-35
chr10:5733957-5733979	0.627	0.283	0.511	9.47639569433324e-89
chr10:5734004-5734029	0.574	0.21	0.526	5.11297465753769e-70
chr10:5734500-5734521	0.555	0.262	0.414	2.34242862938688e-37
chr10:57939170-57939329	0.744	0.147	0.111	7.19138616169589e-35
chr10:58121632-58121658	0.61	0.365	0.049	1.09518062601992e-99
chr10:58817133-58817194	0.575	0.352	0.274	1.08821390107305e-24
chr10:58817227-58817285	0.472	0.407	0.15	9.75935724367866e-59
chr10:58917676-58917731	0.698	0.241	0.009	9.24055842660808e-144
chr10:58930477-58930483	0.55	0.314	0.064	5.20761630544893e-97
chr10:58974181-58974374	0.833	0.643	0.315	1.01749875048154e-71
chr10:59060490-59060504	0.533	0.215	0.18	1.25445931165434e-52
chr10:59195403-59195432	0.676	0.349	0.013	7.0787478136212e-100
chr10:59207465-59207508	0.672	0.021	0.168	3.93569411273303e-89
chr10:59216323-59216361	0.157	0.147	0.197	0.0103525444780775
chr10:59218167-59218227	0.532	0.338	0.109	6.237391426848e-49
chr10:59226491-59226562	0.593	0.103	0.152	1.66904800084842e-60
chr10:59247786-59247803	0.494	0.09	0.625	1.30689413206832e-122
chr10:59324355-59324382	0.636	0.115	0.046	3.09746616045665e-76
chr10:59334336-59334415	0.488	0.069	0.079	3.23205684260336e-44
chr10:59648934-59648962	0.049	0.057	0.563	2.41581213904189e-97
chr10:59648992-59649037	0.16	0.224	0.379	1.31836425536691e-20
chr10:59649077-59649124	0.15	0.108	0.449	1.29316443874431e-56
chr10:59649194-59649254	0.137	0.059	0.261	2.82804339624927e-18
chr10:5970981-5971003	0.103	0.302	0.162	7.85660924326562e-10
chr10:5971842-5971877	0.459	0.662	0.134	3.51674212408697e-33
chr10:5977292-5977323	0.451	0.206	0.069	3.138585765736e-76
chr10:5977346-5977369	0.308	0.111	0.059	1.99776042903339e-26
chr10:5977469-5977502	0.319	0.216	0.004	1.18695441927527e-60
chr10:5977519-5977553	0.57	0.201	0.044	3.04784304963303e-96
chr10:60116061-60116074	0.697	0.3	0.11	4.87689220478118e-112
chr10:60231530-60231567	0.474	0.074	0.327	8.47760362080665e-44
chr10:60237482-60237521	0.401	0.128	0.042	6.02557750137178e-26
chr10:60464603-60464644	0.569	0.278	0.546	4.58692571438347e-61
chr10:6077639-6077692	0.619	0.302	0.068	8.73221599955704e-77
chr10:6080746-6080812	1	0.037	0.494	8.77097622099545e-62
chr10:6080823-6080900	0.333	0.113	0.239	0.0428396846037932
chr10:60818518-60818550	0.614	0.483	0.177	4.99214674738988e-88
chr10:60818707-60818743	0.475	0.507	0.083	1.85918728389364e-76
chr10:60879679-60879731	0.341	0.55	0.011	1.03412446729778e-32
chr10:61009644-61009652	0.628	0.316	0.091	4.20158872854181e-92
chr10:61202012-61202029	0.535	0.346	0.001	5.84662641830196e-59
chr10:61290810-61290826	0.55	0.258	0.167	3.22046495277225e-84
chr10:61291147-61291180	0.348	0.217	0.003	1.48077664021808e-85
chr10:61291200-61291269	0.499	0.191	0.08	1.73137800477513e-103
chr10:61291531-61291586	0.478	0.104	0.08	9.85402198376432e-119
chr10:61294869-61294907	0.467	0.283	0.013	6.84330022748537e-123
chr10:61296410-61296482	0.633	0.095	0.116	3.49931905787911e-54
chr10:61778139-61778201	0.719	0.139	0.173	8.51196420592552e-140
chr10:61969191-61969207	0.607	0.12	0.614	1.40572404289479e-134
chr10:61969228-61969253	0.465	0.01	0.59	1.03916149900852e-85
chr10:6225637-6225670	0.618	0.335	0.481	8.31135416216652e-46
chr10:62342538-62342579	0.442	0.308	0.095	9.76367894451576e-69
chr10:62342743-62342754	0.454	0.219	0	4.03344549230534e-90
chr10:62347719-62347746	0	0.129	0.057	1.15545001245072e-18
chr10:6235209-6235231	0.61	0.303	0.47	3.77827337749111e-18
chr10:62453553-62453583	0.525	0.538	0.049	1.24759358118423e-65
chr10:62453740-62453758	0.529	0.347	0.092	4.17941505642777e-47
chr10:62501888-62501933	0.524	NA	0.371	1.36148360670783e-07
chr10:62524446-62524458	0.258	NA	0.432	1.56908291122289e-18
chr10:63029630-63029636	0.484	0.153	0.554	1.25580658449215e-32
chr10:63123626-63123736	0.678	0.183	0.216	9.25451212985909e-53
chr10:6360929-6360942	0.605	0.167	0.111	1.29620172114995e-85
chr10:6473260-6473311	0.507	0.225	0.086	9.15139981357804e-73
