	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg05527449	0.0433023302437729	0.592006857499042	6.53656715368897	3.55410667493555e-08	0.00240880549195577	7.96275653147165	0.570355692377155	0.613658022620929	0.0433023302437731	7	154778125	R	II	PAXIP1	Body	opensea	Body-opensea		rs546465532	3
cg17542758	0.048383028110268	0.794379567597321	6.50608396326922	3.96115944653762e-08	0.00246096273321525	7.85490709321115	0.770188053542187	0.818571081652455	0.048383028110268	12	121605293	F	II	P2RX7	ExonBnd	opensea	ExonBnd-opensea		rs147505804;rs138503902;rs149639375	0;12;44
cg23564253	0.0514973483267332	0.498597598645905	6.46065194731632	4.6558145996421e-08	0.00252892321786536	7.69423154919528	0.472848924482539	0.524346272809272	0.0514973483267335	21	48023398	F	II	S100B	5'UTR	opensea	5'UTR-opensea		rs557145592;rs187627373	26;38
cg06930016	0.0399847471040821	0.59141484259756	6.45508073545892	4.74897321765447e-08	0.00252892321786536	7.67453383751561	0.571422469045519	0.611407216149601	0.0399847471040818	6	166801650	F	II		IGR	opensea	IGR-opensea		rs554278989;rs555789870;rs73265170	0;15;33
cg04546097	0.0457191332461523	0.745166270697091	6.43148776904461	5.16455687399955e-08	0.00256688117143942	7.59113211244039	0.722306704074015	0.768025837320167	0.0457191332461521	3	120401058	R	II	HGD	1stExon	opensea	1stExon-opensea		rs547960368	2
cg01401957	0.0474010719574587	0.755336870157408	6.37473472650125	6.31904086180943e-08	0.00294438868476441	7.39060837699582	0.731636334178679	0.779037406136138	0.0474010719574587	5	14269011	F	II	TRIO	Body	opensea	Body-opensea		rs528331667;rs540137164	0;4
cg00630090	0.0426145882299155	0.517465579447774	6.34312721101338	7.07021598190524e-08	0.00295772603326373	7.27899642990181	0.496158285332816	0.538772873562732	0.0426145882299157	1	95061557	R	II		IGR	opensea	IGR-opensea		rs536634089	16
cg11596902	0.0407340187292716	0.274090256576041	6.34031877428	7.14112261360367e-08	0.00295772603326373	7.26908174168971	0.253723247211405	0.294457265940677	0.0407340187292715	11	123324834	R	II		IGR	opensea	IGR-opensea		rs185588931	2
cg15802480	0.0431973430599425	0.682383340473203	6.3184819504605	7.71720863637393e-08	0.00302810269487294	7.19200464755057	0.660784668943232	0.703982012003174	0.0431973430599425	1	50795160	F	II		IGR	shelf	IGR-shelf	chr1:50798667-50799536	rs146464440	1
cg15458313	0.0369322543541331	0.255974106797186	6.29847329641181	8.28566699399738e-08	0.00308859837135044	7.12140270260486	0.237507979620119	0.274440233974252	0.0369322543541331	6	24490221	F	II	GPLD1	TSS1500	opensea	TSS1500-opensea		rs558405706;rs575266868	25;34
cg19241807	0.0447224152418364	0.679442514814153	6.2240837421861	1.0790335559725e-07	0.00367923135738687	6.85911399611058	0.657081307193235	0.701803722435071	0.0447224152418365	2	25392556	R	II	POMC	TSS1500	shore	TSS1500-shore	chr2:25391072-25391875	rs143984689	1
cg08421782	0.0427269524900702	0.558460985056253	6.18275389429494	1.24946695014929e-07	0.00367923135738687	6.71353676125935	0.537097508811218	0.579824461301289	0.0427269524900702	6	43463353	R	II	TJAP1	5'UTR	opensea	5'UTR-opensea		rs146851893;rs530644641	21;1
cg07564261	0.0350767745718162	0.330984236582833	6.16705589466532	1.32101369506034e-07	0.00367923135738687	6.65827272186727	0.313445849296925	0.348522623868741	0.0350767745718162	17	66379574	R	II	ARSG	Body	opensea	Body-opensea		rs376989232;rs565637898;rs535857835;rs140981342	38;9;7;1
cg10885599	0.0351016169703365	0.870799794751927	6.16322241890137	1.33909692828438e-07	0.00367923135738687	6.64477969752001	0.853248986266759	0.888350603237095	0.0351016169703362	16	9219449	R	II		IGR	opensea	IGR-opensea		rs540904285;rs565494486	37;1
cg10842456	0.0363864844100895	0.795340075186384	6.15369890593222	1.38509578801159e-07	0.00367923135738687	6.61126332194776	0.777146832981339	0.813533317391428	0.0363864844100895	13	50805081	F	II	DLEU1	Body	opensea	Body-opensea		rs56285935	0
cg27108109	0.0467645170404135	0.538883847614577	6.1489843299387	1.40844655699481e-07	0.00367923135738687	6.59467350815324	0.51550158909437	0.562266106134783	0.0467645170404136	4	57524204	F	II	HOPX	5'UTR	shore	5'UTR-shore	chr4:57521621-57522703		
cg17908865	0.0492332866103828	0.450498147219045	6.14352993923871	1.43595129751578e-07	0.00367923135738687	6.57548235275922	0.425881503913853	0.475114790524236	0.0492332866103828	1	203506157	R	II		IGR	opensea	IGR-opensea			
cg12302692	0.0413766235780351	0.762723863769217	6.12241724035539	1.54755416124568e-07	0.00367923135738687	6.50121773923788	0.7420355519802	0.783412175558235	0.0413766235780351	12	7272451	F	II	C1RL-AS1	Body	opensea	Body-opensea		rs75536806	0
cg13022415	0.0383762997264966	0.319605106989145	6.12082314169097	1.55632334086899e-07	0.00367923135738687	6.49561175022387	0.300416957125897	0.338793256852393	0.0383762997264965	17	465530	R	II	VPS53	Body	opensea	Body-opensea		rs548341883;rs147331811;rs527934641	42;18;1
cg25571414	0.0416074616021829	0.837055989502583	6.11805503249951	1.57166854264193e-07	0.00367923135738687	6.48587754281311	0.816252258701492	0.857859720303674	0.0416074616021828	4	25659572	F	II	SLC34A2	5'UTR	shelf	5'UTR-shelf	chr4:25657119-25657547	rs12501856;rs565839612	36;38
cg00237086	0.0484655368353121	0.52801225239373	6.11661492566039	1.57971137660981e-07	0.00367923135738687	6.48081355016527	0.503779483976074	0.552245020811386	0.0484655368353121	8	6796499	R	II	DEFA4	TSS1500	opensea	TSS1500-opensea		rs553858261;rs144636705	10;1
cg04595171	0.0403793917258222	0.409822570345899	6.11202073508572	1.60564442944046e-07	0.00367923135738687	6.46465955437504	0.389632874482988	0.430012266208811	0.0403793917258223	12	57933495	R	II	DCTN2	Body	opensea	Body-opensea			
cg12822133	0.0478683193766404	0.682645317242545	6.10605691274292	1.63994219133872e-07	0.00367923135738687	6.44369201580771	0.658711157554225	0.706579476930866	0.0478683193766405	22	23134389	R	II		IGR	opensea	IGR-opensea		rs138339964;rs534887469;rs112327671;rs558009711	46;32;25;12
cg06021353	0.0465542686354633	0.350907969597768	6.08948342284204	1.73913527321346e-07	0.00367923135738687	6.38543711151221	0.327630835280037	0.3741851039155	0.0465542686354632	5	73399681	R	II		IGR	opensea	IGR-opensea		rs539591817	22
cg20782117	0.0394315823930346	0.37695751924663	6.06949762078493	1.86672833611027e-07	0.00367923135738687	6.31521601017056	0.357241728050113	0.396673310443148	0.0394315823930346	7	95865631	R	II	SLC25A13	Body	opensea	Body-opensea		rs559795997	2
cg23516425	0.0357919494496887	0.889807398586168	6.0661877900175	1.88874069064012e-07	0.00367923135738687	6.30358975357678	0.871911423861324	0.907703373311012	0.0357919494496887	2	20186047	F	II	WDR35	Body	shelf	Body-shelf	chr2:20189588-20190229	rs554020188	2
cg00232107	0.0429673563240307	0.716373760549863	6.06454702775104	1.89974836502965e-07	0.00367923135738687	6.29782665942398	0.694890082387847	0.737857438711878	0.0429673563240307	3	65390065	R	II	MAGI1	Body	opensea	Body-opensea		rs139809008;rs141176041;rs72626921	51;44;21
cg18120259	0.040562520161315	0.388161595583611	6.06350083185313	1.90680049149642e-07	0.00367923135738687	6.29415206024501	0.367880335502954	0.408442855664269	0.0405625201613148	6	43894639	F	II	LOC100132354	Body	opensea	Body-opensea		rs548209732	4
cg12431339	0.0436277739599387	0.743873542242598	6.06086605500712	1.92467651031333e-07	0.00367923135738687	6.28489820253126	0.722059655262629	0.765687429222567	0.0436277739599387	10	73992901	F	II	ANAPC16	3'UTR	opensea	3'UTR-opensea		rs201778398;rs200589401;rs117571297;rs556056095	0;1;38;44
cg24196017	0.0439557766672538	0.762079352030438	6.05205781320544	1.98565733753336e-07	0.00369912642484231	6.25396591828903	0.740101463696811	0.784057240364065	0.0439557766672537	15	43021976	F	II	CDAN1	Body	opensea	Body-opensea		rs375921570;rs553497628;rs12594483;rs545249978;rs565510675	0;1;10;21;32
cg06397009	0.037323167231596	0.250577886466357	6.04297434842711	2.05055859845856e-07	0.00369912642484231	6.22207363677172	0.231916302850559	0.269239470082155	0.0373231672315959	3	53305431	R	II		IGR	opensea	IGR-opensea		rs527286583;rs547371515	11;2
cg16958707	0.0441309083206903	0.398429651187426	6.03641525655734	2.09873216342513e-07	0.00369912642484231	6.19904865184829	0.376364197027081	0.420495105347771	0.0441309083206902	3	171874269	R	II	FNDC3B	Body	opensea	Body-opensea		rs556783425;rs574520348	42;2
cg08752726	0.0286267709875253	0.155684974043685	6.02812317313175	2.16124929103936e-07	0.00369912642484231	6.16994522930065	0.141371588549923	0.169998359537448	0.0286267709875252	21	36254259	R	II	RUNX1	Body	opensea	Body-opensea		rs184886513;rs534891166	2;1
cg07180212	0.0338614176998726	0.342358925100138	6.01953394948401	2.22796159983294e-07	0.00369912642484231	6.13980490632455	0.325428216250202	0.359289633950074	0.0338614176998727	17	74557703	F	II	SNORD1A	TSS200	shelf	TSS200-shelf	chr17:74553220-74553912	rs202177917;rs184121503;rs73369110	1;15;18
cg17371070	0.0396474173536218	0.828986842292463	6.01892235960745	2.23278923283772e-07	0.00369912642484231	6.13765901947	0.809163133615652	0.848810550969274	0.0396474173536219	8	125239977	R	II		IGR	opensea	IGR-opensea		rs186179217;rs376041451	44;1
cg07696959	0.0407380948505763	0.783052508212342	5.98120165932726	2.5515645434355e-07	0.00413535393682258	6.00536978495331	0.762683460787054	0.80342155563763	0.0407380948505762	10	45409683	F	II	TMEM72	Body	opensea	Body-opensea		rs532908604;rs551484796;rs142132851	0;35;45
cg23390360	0.0362362968486135	0.365396454099406	5.97512023897116	2.60703749489819e-07	0.00413536053084353	5.98405334108265	0.347278305675099	0.383514602523713	0.0362362968486136	11	45758333	F	II		IGR	opensea	IGR-opensea		rs553853347;rs144035420;rs180907024;rs141623893;rs549280561	0;1;11;44;51
cg15460321	0.0622170459450388	0.530940349895142	5.965000431298	2.70201956818056e-07	0.00417462802343306	5.94858890424124	0.499831826922622	0.562048872867661	0.0622170459450388	6	45447935	F	II	RUNX2	Body	opensea	Body-opensea		rs184416937	0
cg02054108	0.0528149233877339	0.4538080544096	5.95633941409594	2.78603875453812e-07	0.00417462802343306	5.91824401530441	0.427400592715733	0.480215516103467	0.0528149233877339	2	61607478	R	II	USP34	Body	opensea	Body-opensea			
cg14171527	0.029981838557337	0.233072198156654	5.95494773407815	2.79977950085917e-07	0.00417462802343306	5.91336873240806	0.218081278877986	0.248063117435323	0.0299818385573369	21	44473840	R	II	CBS	3'UTR	island	3'UTR-island	chr21:44473839-44474083	rs185332855;rs190207400	35;8
cg09492975	0.0268476928881109	0.192043292582393	5.94761781801214	2.87327175990199e-07	0.00420020499728669	5.88769374113274	0.178619446138338	0.205467139026448	0.0268476928881109	3	11267531	F	II	HRH1	TSS200	opensea	TSS200-opensea		rs535839226;rs554182133;rs141610893	0;18;27
cg07584928	0.0430797370004509	0.725030670773479	5.94174162478733	2.93357180654908e-07	0.00420588446498639	5.86711434935746	0.703490802273254	0.746570539273705	0.043079737000451	1	161148096	F	II	B4GALT3	TSS1500	shore	TSS1500-shore	chr1:161147061-161147451	rs192411901;rs552053020	0;42
cg23815853	0.0376489551628326	0.309534171000373	5.92446324538278	3.1182680353066e-07	0.00422106621329485	5.8066211409108	0.290709693418957	0.328358648581789	0.0376489551628326	12	48147034	F	II	RAPGEF3	Body	opensea	Body-opensea		rs572370170	13
cg23142831	0.0393010219292673	0.816675847783178	5.92055760162214	3.16159423829635e-07	0.00422106621329485	5.79295098884377	0.797025336818544	0.836326358747812	0.0393010219292671	3	55370226	R	II		IGR	opensea	IGR-opensea		rs73071518	39
cg00457779	0.0407451503948108	0.301795121503877	5.91614643731145	3.21124861743924e-07	0.00422106621329485	5.77751319611643	0.281422546306472	0.322167696701283	0.0407451503948107	5	39272488	R	II		IGR	opensea	IGR-opensea		rs188077700;rs192826753;rs184386833	31;20;1
cg09797463	0.0362634010698577	0.446714992889444	5.91402989460915	3.23534811025453e-07	0.00422106621329485	5.77010656723333	0.428583292354515	0.464846693424373	0.0362634010698578	10	90995297	R	II	LIPA	Body	opensea	Body-opensea		rs149244609;rs550585197;rs113064729;rs186328549	51;38;17;9
cg14863672	0.0362931433869417	0.321563715463374	5.91246447099695	3.2532880509661e-07	0.00422106621329485	5.76462879856117	0.303417143769903	0.339710287156844	0.0362931433869417	19	4991633	R	II	KDM4B	5'UTR	opensea	5'UTR-opensea		rs530805970	34
cg19046904	0.0423902362706057	0.58771636700273	5.90981544387431	3.28387183809463e-07	0.00422106621329485	5.75535979041871	0.566521248867427	0.608911485138032	0.0423902362706057	22	46426201	R	II		IGR	shelf	IGR-shelf	chr22:46423299-46423652	rs530735707;rs550561365;rs567540675;rs144878853;rs548942210	34;13;12;5;2
cg03254865	0.0514381202225231	0.384511752154746	5.9030358743661	3.36345238384703e-07	0.00423461443160453	5.73164097934398	0.358792692043484	0.410230812266007	0.0514381202225231	5	70790128	F	II	BDP1	Body	opensea	Body-opensea		rs147864215	48
cg06633162	0.0440871060266208	0.604983298909424	5.89930908112342	3.40801238714404e-07	0.00423461443160453	5.71860441056224	0.582939745896113	0.627026851922734	0.0440871060266208	6	158481402	F	II	SYNJ2	Body	opensea	Body-opensea		rs146113395;rs531994339;rs371016306;rs187201160	1;14;28;47
cg23311258	0.0410567526085871	0.5360078464862	5.88872849780972	3.53774531358493e-07	0.00427988837785231	5.6816001796903	0.515479470181907	0.556536222790494	0.0410567526085872	7	32498107	R	II		IGR	opensea	IGR-opensea		rs149019481;rs547322764	22;9
cg25498843	0.0436428369827571	0.619982842932407	5.88599905438315	3.57200143037671e-07	0.00427988837785231	5.67205607694932	0.598161424441028	0.641804261423785	0.0436428369827569	15	78305338	R	II	TBC1D2B	Body	opensea	Body-opensea		rs559426852;rs150768376	32;1
cg17647904	0.0423867765969611	0.459800084591929	5.87810850504831	3.67289834342659e-07	0.00427988837785231	5.64446915326802	0.438606696293449	0.48099347289041	0.0423867765969612	12	124908601	F	II	NCOR2	Body	shelf	Body-shelf	chr12:124911243-124911464	rs187701440;rs545626834;rs564249516	11;17;21
cg14028598	0.0434707957161781	0.418592962451706	5.87801747559589	3.67407872249665e-07	0.00427988837785231	5.64415093220257	0.396857564593617	0.440328360309795	0.0434707957161781	1	171714300	F	II		IGR	shelf	IGR-shelf	chr1:171710845-171711607	rs144639987;rs12045870;rs541819855;rs141125653	0;1;15;22
cg08824724	0.0500671813591614	0.669260694432562	5.86263982828738	3.8789911250339e-07	0.00433930898693157	5.59040557046012	0.644227103752982	0.694294285112143	0.0500671813591615	19	51972371	R	II		IGR	opensea	IGR-opensea		rs372538246;rs111654379	31;21
cg00274133	0.0439945080526845	0.359123773079242	5.85726690021999	3.95323326491765e-07	0.00433930898693157	5.57163262471421	0.3371265190529	0.381121027105584	0.0439945080526845	1	180579182	F	II		IGR	opensea	IGR-opensea			
cg20038717	0.0444087554898782	0.466117596842726	5.85483545899782	3.98729305545463e-07	0.00433930898693157	5.56313816111946	0.443913219097787	0.488321974587665	0.0444087554898782	2	166982670	R	II	SCN1A	5'UTR	opensea	5'UTR-opensea			
cg27250318	0.0362016316192076	0.199441800196375	5.85330988176223	4.00881220036106e-07	0.00433930898693157	5.55780872401399	0.181340984386771	0.217542616005979	0.0362016316192076	7	137775797	R	II	AKR1D1	Body	opensea	Body-opensea		rs574753375;rs543574121;rs557450796	43;24;18
cg16613001	0.0391704142156336	0.850173635854476	5.85279428915045	4.01611099916138e-07	0.00433930898693157	5.5560076113189	0.830588428746659	0.869758842962293	0.0391704142156337	9	92170237	F	II		IGR	opensea	IGR-opensea		rs142048816;rs375350596	33;39
cg18498427	0.0537627480791536	0.616774223229315	5.83438766726916	4.28551277565911e-07	0.00449746539071636	5.49172590399394	0.589892849189739	0.643655597268892	0.0537627480791535	10	98244693	R	II	TLL2	Body	opensea	Body-opensea		rs531781052;rs12248019;rs192558812;rs535756568	50;31;25;1
cg03605704	0.0419472939657543	0.408011589998044	5.82789284408075	4.38479729112078e-07	0.00449746539071636	5.46905232896619	0.387037943015167	0.428985236980921	0.0419472939657543	1	204453066	F	II	PIK3C2B	5'UTR	opensea	5'UTR-opensea		rs529205700;rs549132902	1;15
cg15579525	0.0431677487587797	0.447617756570149	5.82406308298796	4.44440961508864e-07	0.00449746539071636	5.45568461869432	0.426033882190759	0.469201630949538	0.0431677487587797	19	9907249	F	II		IGR	shelf	IGR-shelf	chr19:9903581-9903990	rs552614130	42
cg00262030	0.0413166325455554	0.600445101905824	5.82301196972334	4.4609111541643e-07	0.00449746539071636	5.4520159973111	0.579786785633046	0.621103418178602	0.0413166325455555	8	61837048	R	II		IGR	shore	IGR-shore	chr8:61834699-61835871	rs73684700;rs114982745	20;6
cg12343619	0.039579510304677	0.338437858877508	5.82260048502645	4.46738766599081e-07	0.00449746539071636	5.45057985503371	0.318648103725169	0.358227614029846	0.0395795103046769	1	234794046	F	II	LOC101927787	Body	opensea	Body-opensea		rs143500074	1
cg06483946	0.0395947819007312	0.307325701242858	5.81900087468108	4.52444313699454e-07	0.00449746539071636	5.43801744687678	0.287528310292492	0.327123092193224	0.0395947819007312	9	134511560	R	II	RAPGEF1	Body	opensea	Body-opensea		rs17148134;rs184721822	33;2
cg24742525	0.0403790413173032	0.295870080652592	5.80637493316331	4.7303542341411e-07	0.00464027833088256	5.39396461352453	0.27568055999394	0.316059601311243	0.0403790413173032	7	97755587	R	II	LMTK2	Body	opensea	Body-opensea		rs62479794;rs531414735	31;21
cg14876307	0.0364157564733317	0.350359547431828	5.7949919521861	4.92396167620176e-07	0.00467937864554757	5.35426323210765	0.332151669195163	0.368567425668494	0.0364157564733317	2	187501808	F	II	ITGAV	ExonBnd	opensea	ExonBnd-opensea		rs113154595;rs184114187;rs201390608	9;11;39
cg00947024	0.0347392348470564	0.849996356909759	5.79491764233209	4.92525109436694e-07	0.00467937864554757	5.35400410147464	0.83262673948623	0.867365974333287	0.0347392348470565	9	96291676	F	II	FAM120A	Body	opensea	Body-opensea		rs10992775;rs144836182;rs113553657	0;42;48
cg01411400	0.0326440191898433	0.248807533615779	5.79300747955353	4.95851145762812e-07	0.00467937864554757	5.34734325722605	0.232485524020857	0.265129543210701	0.0326440191898433	17	57929235	F	II		IGR	opensea	IGR-opensea		rs143502014	1
cg00017851	0.0372646208436002	0.806509236460593	5.78905374277652	5.02806575575391e-07	0.00468570475844463	5.33355762047446	0.787876926038793	0.825141546882393	0.0372646208435998	2	106351195	R	II		IGR	opensea	IGR-opensea		rs139891476	2
cg11081316	0.0443291701454401	0.781623656269798	5.78275382878445	5.14090199925218e-07	0.00469324745747059	5.31159502033096	0.759459071197078	0.803788241342518	0.0443291701454401	16	57829678	F	II	KIFC3	5'UTR	opensea	5'UTR-opensea		rs77865504;rs117904479;rs554190644	8;31;51
cg08998189	0.0508532468745675	0.700576001182724	5.7794121328286	5.20177165763646e-07	0.00469324745747059	5.29994705765078	0.67514937774544	0.726002624620008	0.0508532468745677	11	58477379	R	II	GLYAT	Body	opensea	Body-opensea		rs145407893;rs200165614;rs146653564	17;2;1
cg01494712	0.0422465577450795	0.578450383014401	5.77324386697585	5.31601422683361e-07	0.00469324745747059	5.2784499242452	0.557327104141861	0.599573661886941	0.0422465577450797	1	203527545	F	II		IGR	opensea	IGR-opensea		rs555488607;rs568300902;rs536995826;rs147204307	13;24;34;41
cg25401182	0.0573160597683696	0.600255162011845	5.77112393705539	5.3558501553185e-07	0.00469324745747059	5.27106269486643	0.571597132127661	0.62891319189603	0.0573160597683695	8	129023431	F	II	PVT1	Body	opensea	Body-opensea		rs183082800;rs566476949;rs187802705;rs558232140;rs192477158	0;1;13;25;47
cg04530248	0.0365161871237927	0.715526257246187	5.76949023814288	5.38675141134292e-07	0.00469324745747059	5.26537015584602	0.69726816368429	0.733784350808083	0.0365161871237926	20	477164	R	II	CSNK2A1	Body	opensea	Body-opensea		rs575161639;rs187507582	37;2
cg12992827	0.0533739408743567	0.598317119667685	5.76806409334983	5.41387152920441e-07	0.00469324745747059	5.26040107211841	0.571630149230507	0.625004090104864	0.0533739408743567	3	101901234	F	II		IGR	opensea	IGR-opensea		rs190136083;rs181844988	0;12
cg18849308	0.0367884481168669	0.46932215154363	5.76379307060926	5.49590481935614e-07	0.00470959876800568	5.24552100775298	0.450927927485196	0.487716375602063	0.0367884481168669	3	194919424	R	II	XXYLT1	Body	opensea	Body-opensea		rs563523794;rs74433277	2;1
cg22666015	0.0379282712728334	0.213458886829816	5.75662080135248	5.6364485731918e-07	0.00476075106180197	5.2205377388299	0.1944947511934	0.232423022466233	0.0379282712728335	2	233981885	R	II	INPP5D	Body	opensea	Body-opensea		rs529216086	27
cg06793325	0.0458357271447344	0.681486411370763	5.75409746369365	5.68673855928708e-07	0.00476075106180197	5.21174954329324	0.658568547798396	0.70440427494313	0.0458357271447343	22	36011405	F	II	MB	Body	opensea	Body-opensea		rs556397751	32
cg06091210	0.0476771840849302	0.562938502708051	5.74868896744337	5.79603569712694e-07	0.00476075106180197	5.1929154520929	0.539099910665586	0.586777094750516	0.0476771840849303	4	82181899	F	II		IGR	opensea	IGR-opensea		rs538126600	29
cg14160751	0.0458653441610142	0.414306206807617	5.74713955842032	5.82772944414866e-07	0.00476075106180197	5.18752053538153	0.39137353472711	0.437238878888124	0.0458653441610141	17	9368690	R	II	STX8	Body	opensea	Body-opensea		rs568313855;rs535951180;rs9893164;rs151170162	30;10;9;2
cg04882972	0.0280307143507279	0.881314914019884	5.74484970645018	5.87488461447164e-07	0.00476075106180197	5.17954795909674	0.86729955684452	0.895330271195248	0.0280307143507278	20	45023165	F	II	ELMO2	ExonBnd	opensea	ExonBnd-opensea		rs113175040	17
cg12264517	0.0421177603045005	0.391943547640483	5.73935579105056	5.9895721444508e-07	0.00480149864699798	5.16042225059515	0.370884667488233	0.413002427792734	0.0421177603045005	5	66255020	R	II	MAST4	5'UTR	opensea	5'UTR-opensea		rs547534601	15
cg11917175	0.0462456160217569	0.381933181888148	5.7250809902225	6.29806182963221e-07	0.00499508663800217	5.11074437411295	0.358810373877269	0.405055989899026	0.0462456160217569	4	185352359	F	II	IRF2	5'UTR	opensea	5'UTR-opensea		rs146913253	45
cg20109867	0.0420282367054422	0.292618745012238	5.71157184460832	6.60451546756125e-07	0.00511224367235217	5.06375300873231	0.271604626659516	0.313632863364959	0.0420282367054422	6	2818375	F	II		IGR	opensea	IGR-opensea		rs138212381	1
cg00899855	0.0395351876928635	0.672184555340278	5.7102657953168	6.63491651384775e-07	0.00511224367235217	5.05921107797761	0.652416961493846	0.69195214918671	0.0395351876928633	16	87499925	R	II	ZCCHC14	Body	opensea	Body-opensea		rs531211947;rs117295775	41;7
cg01726277	0.0468164315614104	0.293415759685595	5.70955603911663	6.65149580187679e-07	0.00511224367235217	5.05674290727895	0.27000754390489	0.3168239754663	0.0468164315614105	1	101904143	F	II		IGR	opensea	IGR-opensea		rs74617235;rs186208589;rs563788002;rs531041019	18;23;27;50
cg10881887	0.0438346408630474	0.275449587951416	5.7013939844028	6.84513568452978e-07	0.00514641148122631	5.02836374978169	0.253532267519892	0.297366908382939	0.0438346408630474	1	169580242	R	II	SELP	Body	opensea	Body-opensea		rs79833093;rs556356265	33;2
cg14531319	0.0349793551246225	0.881952368843279	5.69579896232784	6.98109664671857e-07	0.00514641148122631	5.00891467530172	0.864462691280968	0.89944204640559	0.0349793551246225	5	129083450	F	II		IGR	opensea	IGR-opensea		rs554671221;rs574330639	21;33
cg07722372	0.0456418282896263	0.338001167793892	5.69228813544902	7.06777617502747e-07	0.00514641148122631	4.99671247757402	0.315180253649079	0.360822081938705	0.0456418282896263	15	91835052	F	II	SV2B	Body	opensea	Body-opensea		rs531515246;rs113402552;rs72750218	1;3;18
cg18499684	0.0389222569077058	0.246185013437045	5.68835779674191	7.16608094492587e-07	0.00514641148122631	4.98305399666087	0.226723884983192	0.265646141890898	0.0389222569077057	5	17186040	F	II	LOC285696	Body	opensea	Body-opensea			
cg23381058	0.0321049561855223	0.282092889636786	5.68819474921742	7.17018824046682e-07	0.00514641148122631	4.98248742399003	0.266040411544025	0.298145367729547	0.0321049561855225	7	127888052	R	II	LEP	5'UTR	opensea	5'UTR-opensea		rs185545324	34
