	chr	start	end	value	area	cluster	indexStart	indexEnd	L	clusterL	p.value	fwer	p.valueArea	fwerArea
Block_116	2	149148965	154262055	0.00653101524162047	3.2851006665351	35	153188	153690	503	5305	0.000151561455685667	0.02	0.00690722699682218	0.258
Block_117	3	170763375	174358461	0.00648515367066259	2.91831915179817	52	196990	197439	450	4139	0.000176407595962005	0.02	0.00860421837769612	0.282
Block_118	9	15079834	19202608	0.00719655077944096	2.04382042136123	123	280814	281097	284	750	6.21153506908469e-05	0.02	0.0162767064950295	0.372
Block_119	3	35694283	47711078	0.00558949588668511	9.16118375827689	39	184192	185830	1639	4197	0.000213676806376513	0.022	0.000911853348141633	0.082
Block_120	9	86717438	94952828	0.00603915085996416	4.67430276561226	132	283343	284116	774	2462	0.000218646034431781	0.022	0.00350082116493613	0.182
Block_121	4	15590578	24531627	0.00622965675474237	3.64434920152428	54	202654	203238	585	1466	0.000203738350265978	0.022	0.00573448917577899	0.232
Block_122	18	9249149	12934735	0.00632743328404471	2.89163701080843	202	126289	126745	457	1409	0.000241007560680486	0.022	0.00877317213157522	0.282
Block_123	2	115952341	120529833	0.00710960694975884	2.10444365712862	32	150548	150843	296	1181	7.20538068013824e-05	0.022	0.0154369069536893	0.362
Block_124	18	67858113	72382083	0.0071094958645599	1.98354934621221	207	130922	131200	279	1186	7.70230348566502e-05	0.022	0.0171736521590054	0.378
Block_125	10	49396173	51053147	0.00702127986994738	1.95191580384537	142	33320	33597	278	278	9.19307190224535e-05	0.022	0.0176854826486979	0.384
Block_126	4	132950266	137786342	0.00757238499990423	0.885969044988795	61	210226	210342	117	2259	6.95691927737486e-05	0.022	0.0597350904523737	0.68
Block_127	3	88489988	89627094	0.0105065192579863	0.315195577739588	44	189584	189613	30	180	2.73307543039727e-05	0.022	0.207301286781605	0.96
Block_128	3	179489892	195141019	0.00551461827387742	12.595388137536	52	197893	200176	2284	4139	0.000181376824017273	0.024	0.000457168981084633	0.046
Block_129	11	90739454	95470242	0.00635873309899984	2.79784256355993	155	54179	54618	440	610	0.000241007560680486	0.024	0.00940674870862186	0.294
Block_130	18	21683463	26775577	0.00675918705320248	2.06831123827996	204	127300	127605	306	676	0.000139138385547497	0.024	0.0159189220750503	0.372
Block_131	9	33963887	36329348	0.00675805532700273	1.70302994240469	125	281714	281965	252	767	0.000171438367906738	0.024	0.0221080956178862	0.438
Block_132	15	23631875	24285115	0.00898003767652555	0.296341243325343	180	93279	93311	33	33	4.72076665250437e-05	0.024	0.220395202707235	0.97
Block_133	6	78953523	79523233	0.0123052634313607	0.18457895147041	81	240958	240972	15	989	2.98153683316065e-05	0.024	0.3346700556802	0.998
Block_134	1	174852553	185139671	0.00569853878787975	7.65883613091038	15	19118	20461	1344	5036	0.000216161420404147	0.026	0.00134666080297756	0.114
Block_135	9	95181961	102719865	0.00579874244962673	5.82773616187486	132	284147	285151	1005	2462	0.000258399858873923	0.026	0.00226845260722973	0.15
Block_136	8	95669814	99670844	0.00631511976492034	2.80391317562463	116	273732	274175	444	2224	0.000255915244846289	0.026	0.00936947949820735	0.294
Block_137	6	42734182	44800796	0.00640098897338312	2.58599954524678	74	238548	238951	404	4853	0.000231069104569951	0.026	0.0107931633360416	0.31
Block_138	8	48945542	51576109	0.00685009204154438	1.54127070934749	111	270146	270370	225	354	0.000141622999575131	0.026	0.026093416518211	0.476
Block_139	4	54173521	56284407	0.00676344895328145	1.50824911658176	59	205091	205313	223	587	0.000183861438044907	0.026	0.0270922313573198	0.486
Block_140	15	24995914	25583237	0.00713134980661023	1.1124905698312	181	93315	93470	156	414	0.000141622999575131	0.026	0.0432124071686084	0.578
Block_141	2	177116896	183814805	0.00590610074248009	4.0338668071139	35	155852	156534	683	5305	0.000342876735813475	0.028	0.00475058202083597	0.206
Block_142	11	98274667	107906692	0.00586690201752252	4.00122717595036	157	54782	55463	682	4801	0.000370207490117448	0.028	0.00482760505569262	0.206
Block_143	7	133598167	138932323	0.00591398900598575	3.81452290886081	103	261948	262592	645	2121	0.000377661332200349	0.028	0.00527483558066672	0.216
Block_144	1	115519011.333333	120530024.5	0.00601877296358054	3.46079445405881	7	14922	15496	575	1629	0.000325484437620038	0.028	0.00630595040213478	0.246
Block_145	9	107503042	112790744	0.00615542050272849	3.12695361538607	135	285309	285816	508	4713	0.000303122911371333	0.028	0.00759546508247676	0.266
Block_146	6	108365958	111627629	0.00636929215963988	2.47128535794028	86	242756	243143	388	1290	0.000265853700956825	0.028	0.0116031475090502	0.324
Block_147	2	124202426.5	128017840	0.00711228228003882	1.38689504460757	33	151359	151553	195	518	0.000119261473326426	0.028	0.0309036292757102	0.504
Block_148	2	40972629.5	63099116	0.00519805256143013	12.1686410463079	20	143290	145630	2341	10151	0.000290699841233164	0.03	0.000491953577471508	0.046
Block_149	11	75774007	88438399	0.00550957393706381	6.53435468935768	154	52943	54128	1186	4756	0.000402507472476688	0.03	0.00187091436280831	0.132
Block_150	12	4766720	10396536.5	0.00564483782045561	4.9843917954623	158	60526	61408	883	4166	0.000432322840808295	0.03	0.0030585598680173	0.17
Block_151	8	116816436	121385665	0.00597814091847329	3.68253480577955	117	275595	276210	616	4557	0.000345361349841109	0.03	0.00562019693050783	0.226
Block_152	8	190459	5028854	0.00600519269557076	3.13471058708794	106	265018	265539	522	522	0.000375176718172715	0.03	0.00756564971414516	0.266
Block_153	8	39460970	42705540	0.00618440713871405	2.91904016947303	109	269459	269930	472	4280	0.000305607525398967	0.03	0.00860421837769612	0.282
Block_154	7	72753101.5	74124574	0.00653472376871803	1.92774351177182	96	256412	256706	295	295	0.000263369086929191	0.03	0.0180954439632575	0.394
Block_155	16	15534494.5	16289065	0.00686530172836305	1.3387338370308	188	105613	105807	195	195	0.000176407595962005	0.03	0.0326776436914408	0.518
Block_156	11	28190631.5	31067518	0.00710194385258235	1.27834989346482	150	47199	47378	180	2406	0.000131684543464596	0.03	0.0351970423154615	0.538
Block_157	5	102377457	119080642	0.00549691825048276	6.71723410208994	72	223245	224466	1222	8794	0.000404992086504322	0.032	0.00176407595962005	0.128
Block_158	4	69770199	75411607	0.00612689977348479	2.8612621942174	60	205820	206286	467	4676	0.000342876735813475	0.032	0.00894212588545432	0.286
Block_159	22	17074109	20402637	0.00612236964094612	2.74282159914386	219	175012	175459	448	448	0.000360269034006912	0.032	0.00974217160235243	0.296
Block_160	5	55339755	58321624	0.00621609882094349	2.54860051658683	67	219196	219605	410	1316	0.000325484437620038	0.032	0.0110739247211642	0.32
Block_161	9	79931285	86373946	0.0062259688590892	2.47170963705841	132	282933	283329	397	2462	0.000327969051647672	0.032	0.0115932090529397	0.324
Block_162	7	142326333.333333	143200862	0.00695470679466127	1.12666250073513	104	263107	263268	162	162	0.000188830666100175	0.032	0.0424222999078208	0.576
Block_163	10	48317878	48660050	0.00827377426477149	0.421962487503346	141	33269	33319	51	51	6.70845787461147e-05	0.032	0.151949055473977	0.896
Block_164	3	132735976	135883103	0.00624387586577528	2.27901469100798	50	193595	193959	365	2947	0.000342876735813475	0.034	0.0132976542758965	0.342
Block_165	2	112292903	115039996	0.00635233980761994	2.19155723362888	32	150178	150522	345	1181	0.000298153683316065	0.034	0.014318830641254	0.356
Block_166	5	37491131	38875532	0.00663084128172456	1.31290657378146	66	217932	218129	198	1122	0.000295669069288431	0.034	0.033693850828743	0.522
Block_167	15	43171801	49218062	0.0057734913419331	3.57956463199852	185	95405	96024	620	6498	0.000506861261637311	0.036	0.00593077368396207	0.238
Block_168	10	30509045	31643706.5	0.00673729786930057	1.07796765908809	137	31940	32099	160	2154	0.000293184455260798	0.036	0.0453839598287604	0.59
Block_169	15	29210512.75	30367722	0.00697678161216746	1.05349402343729	182	93726	93876	151	151	0.000193799894155442	0.036	0.046981566648529	0.604
Block_170	9	25614006	29349163	0.00711516624810343	1.00323844098258	124	281371	281511	141	149	0.000163984525823836	0.036	0.0503457340419453	0.634
Block_171	6	152949741.5	158553737	0.00560630087655248	4.28882017056265	87	247224	247988	765	6089	0.000554068928162355	0.038	0.00420396693475652	0.202
Block_172	4	106370725	115308277	0.00564867906237542	3.93148062741329	60	208633	209328	696	4676	0.00057643045441106	0.038	0.00498413573943356	0.208
Block_173	14	23120607	27997849	0.00589387612977292	2.62277487774895	172	83403	83847	445	1895	0.000539161243996551	0.038	0.010504948108836	0.304
Block_174	8	70722127	74505941	0.00613725556319002	2.20327474718522	112	271993	272351	359	2217	0.000429838226780661	0.038	0.0141945999398723	0.352
Block_175	8	80990431	82313819	0.00657287722218918	1.20283653166062	113	272729	272911	183	401	0.000375176718172715	0.038	0.0385885404631817	0.552
Block_176	6	90974476	94164464	0.00706829546572081	1.00369795613236	81	241805	241946	142	989	0.000176407595962005	0.038	0.0503109494455584	0.634
Block_177	3	27546100	33423861	0.00564561416041536	3.51157200777835	38	183449	184070	622	3566	0.00065345348926771	0.04	0.00613948126228331	0.242
Block_178	8	54801138	56598893	0.00709506842198302	0.986214510655639	112	270603	270741	139	2217	0.000178892209989639	0.04	0.0515482872313201	0.636
Block_179	21	16213321	16907020	0.00737135605514291	0.589708484411433	216	171571	171650	80	363	0.000181376824017273	0.04	0.102366097938516	0.79
Block_180	14	53454462	65844593	0.00507000507604261	8.4364884465349	175	85515	87178	1664	8200	0.000544130472051819	0.042	0.00111062247035234	0.094
Block_181	4	81990874.5	88533842	0.0056642947112703	3.46088406858616	60	206883	207493	611	4676	0.00064103041912954	0.042	0.00630595040213478	0.246
Block_182	3	136298627	141199513	0.00576956814392854	2.7290057320782	50	194000	194472	473	2947	0.000650968875240076	0.044	0.00979931772498801	0.296
Block_183	7	130478741	132468189.5	0.00616372430462443	1.79980749695033	103	261537	261828	292	2121	0.000526738173858382	0.044	0.020209850500774	0.428
Block_184	1	206196269	206330041	0.00970883201270429	0.310682624406537	18	22743	22774	32	32	6.21153506908469e-05	0.044	0.210262946702545	0.966
Block_185	3	57755895	63739210.5	0.0055574413752729	3.43449876991865	39	187233	187850	618	4197	0.000777684190649404	0.046	0.0064028503492125	0.25
Block_186	4	115345021	122822189	0.0060877985025716	2.06985149087434	60	209330	209669	340	4676	0.000504376647609677	0.046	0.0158965605488015	0.37
Block_187	13	42780042	45062312	0.00613207136985297	1.94386662424339	165	77401	77717	317	3958	0.000501892033582043	0.046	0.0178196518061902	0.392
Block_188	1	83955790	87372153	0.00609080918105761	1.9977854113869	4	12041	12368	328	1796	0.000526738173858382	0.048	0.016972398422767	0.376
Block_189	14	33849583	35335417	0.00644696936419825	1.07019691445691	172	84253	84418	166	1895	0.000516799717747846	0.048	0.0458535518799832	0.594
Block_190	5	91791236	93712596	0.00654218484657761	0.961701172446909	71	222467	222613	147	2650	0.000477045893305704	0.048	0.0533719939276033	0.648
Block_191	7	33423343	38146866	0.00559875276999105	3.09611028180505	89	253338	253890	553	6160	0.000809984173008644	0.05	0.00771224194177555	0.27
Block_192	9	19441929	25261450	0.00618785088729369	1.62121693247095	123	281109	281370	262	750	0.000566491998300524	0.05	0.0239616176825011	0.456
