logFC	AveExpr	t	P.Value	adj.P.Val	B	probeID	CHR	MAPINFO	arm	gene	distancetoGene	feature	cgi	feat.cgi	X01_AVG	X11_AVG	deltaBeta	NA	NA
1531	-0.330674235	0.381280999	-5.536961091	9.60E-08	3.49E-06	7.170062858	cg10788735	19	46974886	q	PNMAL1	NA	TSS200	island	TSS200	-	island	0.407603327	0.076929092	-0.330674235
3992	-0.285252532	0.421945905	-3.865189724	0.000150017	0.001766305	0.135607431	cg07686635	19	53696642	q	ZNF665	NA	TSS200	island	TSS200	-	island	0.444652574	0.159400042	-0.285252532
2270	-0.311987118	0.446269291	-4.018049884	8.31E-05	0.001089982	0.692983259	cg01620580	19	53696649	q	ZNF665	NA	TSS200	island	TSS200	-	island	0.471104086	0.159116968	-0.311987118
2101	-0.315341917	0.494049715	-6.118366476	4.90E-09	2.62E-07	10.05476094	cg19811761	19	57019022	q	ZNF471	NA	TSS200	island	TSS200	-	island	0.519151559	0.203809642	-0.315341917
81	-0.441607997	0.626581642	-6.826421697	1.02E-10	8.74E-09	13.82702553	cg00674365	19	57019069	q	ZNF471	NA	TSS200	island	TSS200	-	island	0.661734517	0.22012652	-0.441607997
10675	-0.230184877	0.363266672	-4.381200251	1.90E-05	0.000319619	2.08993098	cg22935456	19	57078727	q	ZNF470	NA	TSS200	island	TSS200	-	island	0.381589847	0.15140497	-0.230184877
2347	-0.310538975	0.430371314	-4.564579222	8.73E-06	0.000165574	2.833158249	cg09265529	19	57078765	q	ZNF470	NA	TSS200	island	TSS200	-	island	0.455090834	0.144551859	-0.310538975
3677	-0.289162207	0.398337442	-4.267532595	3.05E-05	0.000474208	1.641845033	cg24334111	19	57078780	q	ZNF470	NA	TSS200	island	TSS200	-	island	0.421355329	0.132193123	-0.289162207
4528	-0.278835429	0.44741524	-4.396047664	1.79E-05	0.000303771	2.149178051	cg16722964	19	57078783	q	ZNF470	NA	TSS200	island	TSS200	-	island	0.469611095	0.190775666	-0.278835429
13366	-0.216401504	0.338300346	-3.360198379	0.000932873	0.007789057	-1.571507067	cg17136126	19	57106501	q	ZNF71	NA	TSS200	shore	TSS200	-	shore	0.355526337	0.139124833	-0.216401504
13071	-0.217800211	0.3107942	-3.181743143	0.001697468	0.012513293	-2.123991576	cg22995684	19	57106538	q	ZNF71	NA	TSS200	shore	TSS200	-	shore	0.32813153	0.110331319	-0.217800211
579	-0.37198362	0.604157609	-10.55159566	5.65E-21	6.36E-18	37.01126269	cg25622366	2	63281139	p	OTX1	NA	Body	island	Body	-	island	0.633768245	0.261784625	-0.37198362
540	-0.375440022	0.559688429	-10.00542059	2.30E-19	1.76E-16	33.36211726	cg19656282	2	74742786	p	TLX2	NA	Body	island	Body	-	island	0.589574202	0.21413418	-0.375440022
7523	-0.250788931	0.382016604	-3.540102879	0.000497514	0.004706316	-0.987391899	cg05268203	2	118981748	q	INSIG2	135698	IGR	shore	IGR	-	shore	0.401979902	0.151190972	-0.250788931
4023	-0.284931215	0.413406774	-4.126310614	5.41E-05	0.000765622	1.098829554	cg06530490	2	118981783	q	INSIG2	135733	IGR	island	IGR	-	island	0.436087865	0.15115665	-0.284931215
2423	-0.30894	0.483119058	-5.510582509	1.09E-07	3.91E-06	7.044097684	cg05766802	2	118982056	q	INSIG2	136006	IGR	island	IGR	-	island	0.507711297	0.198771298	-0.30894
3307	-0.294330987	0.455443531	-5.21654139	4.54E-07	1.33E-05	5.6703131	cg02583633	2	175192013	q	AC018470.4	1258	IGR	island	IGR	-	island	0.478872864	0.184541877	-0.294330987
8732	-0.242337817	0.533993316	-7.170382457	1.42E-11	1.53E-09	15.75213943	cg09556952	21	38119946	q	SIM2	NA	Body	island	Body	-	island	0.553283888	0.310946071	-0.242337817
17760	-0.196920863	0.648821845	-4.999854165	1.25E-06	3.17E-05	4.694593438	cg23286646	21	38120350	q	SIM2	NA	Body	island	Body	-	island	0.664497138	0.467576275	-0.196920863
35122	-0.145327315	0.625572246	-4.20201562	3.99E-05	0.000592023	1.388023609	cg01853561	21	38120466	q	SIM2	NA	3'UTR	island	3'UTR	-	island	0.637140589	0.491813274	-0.145327315
44171	-0.126395175	0.64550587	-4.367599936	2.02E-05	0.000335127	2.035805189	cg23896164	21	38120518	q	SIM2	NA	3'UTR	island	3'UTR	-	island	0.655567177	0.529172002	-0.126395175
368	-0.389549747	0.687477655	-10.04904007	1.71E-19	1.37E-16	33.65134714	cg17174023	22	50987453	q	KLHDC7B	NA	1stExon	island	1stExon	-	island	0.71848659	0.328936843	-0.389549747
16322	-0.20265559	0.31820892	-2.404032296	0.017128056	0.070570451	-4.207354855	cg26917673	4	81952024	q	BMP3	NA	TSS200	island	TSS200	-	island	0.334340708	0.131685119	-0.20265559
1014	-0.350582138	0.713665868	-8.118469253	4.76E-14	9.61E-12	21.33119951	cg23806894	4	111535528	q	PITX2	-3052	IGR	shelf	IGR	-	shelf	0.741572904	0.390990766	-0.350582138
3173	-0.29633475	0.549433521	-5.484977894	1.24E-07	4.36E-06	6.922250972	cg26708319	4	111552040	q	PITX2	NA	Body	shore	Body	-	shore	0.573022357	0.276687607	-0.29633475
19108	-0.191726031	0.294535278	-2.149595496	0.032788761	0.110609251	-4.770496186	cg21986225	4	141295029	q	SCOC	NA	Body	island	Body	-	island	0.309797052	0.11807102	-0.191726031
1348	-0.336576	0.617095925	-7.276175849	7.66E-12	8.84E-10	16.35550432	cg18725867	5	37834958	p	GDNF	NA	5'UTR	island	5'UTR	-	island	0.643888045	0.307312045	-0.336576
5594	-0.267780661	0.359367772	-3.548170083	0.000483402	0.004597639	-0.960568673	cg02320454	5	94956017	q	GPR150	NA	1stExon	island	1stExon	-	island	0.380683645	0.112902984	-0.267780661
2242	-0.312658419	0.512925326	-4.261888863	3.12E-05	0.000483412	1.619851705	cg18447772	7	27205224	p	HOXA9	NA	TSS200	island	TSS200	-	island	0.537813558	0.225155139	-0.312658419
2044	-0.31662372	0.539376665	-4.310334267	2.56E-05	0.000409045	1.809427483	cg12600174	7	27205230	p	HOXA9	NA	TSS200	island	TSS200	-	island	0.564580544	0.247956823	-0.31662372
9899	-0.234839439	0.731297468	-5.303063885	3.00E-07	9.34E-06	6.068698483	cg15506609	7	27206073	p	HOXA9	NA	TSS1500	island	TSS1500	-	island	0.749991154	0.515151715	-0.234839439
