	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	X0.1	X1.1	Estimate	Std..Error	t.value	Pr...t..	X	Estimate.1	Std..Error.1	t.value.1	Pr...t...1	idx	beta	pval	cilb	ciub	i2	tau2	Symbol.1	coef	exp.coef.	se.coef.	z	Pr...z..
cg09258804	chr17	59532414	59532715	0	0	0	0	TBX4	chr17	59532564	59532565	cg09258804	TBX4	Island	II	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
cg07341624	chr20	2539017	2539318	0	0	0	0	TMC2	chr20	2539167	2539168	cg07341624	TMC2	Island	II	2171.0753758394	1477.67349747888	-1.2464921126818e-06	4.13826364116835e-07	-3.0121138254253	0.00260053807717261	ENSG00000149488.12	-0.0327960646139811	0.00403563781302154	-8.12661247948468	2.60078100749106e-15	19208	-0.160814676634988	0.775114005819339	-1.26406900624992	0.942439652979944	98.3553579236295	6.83777783372136	TMC2	-0.377474763110191	0.68559050353796	0.151104914143716	-2.49809720120138	0.0124861951805855
cg00698908	chr12	128750821	128751122	0	0	0	0	TMEM132C	chr12	128750971	128750972	cg00698908	TMEM132C	N_Shore	II	60796.8251036658	20461.9852149748	-4.21320431750783e-07	3.1289445040197e-08	-13.4652574121887	5.48116086195783e-41	ENSG00000181234.9	-0.0239242148827088	0.00272648640755444	-8.77474203297714	1.83940985159431e-17	27493	-4.72118176907087	1.61246900407263e-27	-5.57250207851254	-3.8698614596292	97.1667917735034	4.00323824501877	TMEM132C	-0.344028924814633	0.708908422708237	0.149482587782185	-2.30146487238987	0.0213653687320212
cg15833843	chr17	53341093	53341394	0	0	0	0	HLF	chr17	53341243	53341244	cg15833843	HLF	N_Shore	I	220224.41025727	75333.3171975699	-2.96240853382857e-07	1.36593114634257e-08	-21.6878320826108	4.57683184332836e-102	ENSG00000108924.12	-0.0490607072860544	0.00549228564916926	-8.93265762560532	5.27277727282633e-18	23934	-2.42511929603008	4.93696308486637e-14	-3.05604770286453	-1.79419088919563	98.9979829522988	2.26303886276882	HLF	-0.46362677929062	0.628998265843777	0.151737194294746	-3.0554590220644	0.00224716308147537
cg08718490	chr4	52942949	52943250	0	0	0	0	SPATA18	chr4	52943099	52943100	cg08718490	SPATA18	Island	I	92136.1456665633	66109.4746585808	-1.61829714403673e-07	2.42972404616075e-08	-6.6604153940602	2.86729478828041e-11	ENSG00000163071.9	-0.0490358433031494	0.00626345569256656	-7.82888004801326	2.29269397856169e-14	3555	-0.601715434192138	0.0248035777219099	-1.12716332634555	-0.0762675420387285	98.3954145542049	1.55070206853013	SPATA18	-0.355615947204739	0.700741690368318	0.149745605928193	-2.37480054924127	0.0175584350850265
cg22639011	chr11	30037725	30038026	0	0	0	0	KCNA4	chr11	30037875	30037876	cg22639011	KCNA4	Island	II	5209.70082125439	2299.67680058761	-9.03881093094686e-07	1.7186565854773e-07	-5.25923038222126	1.47508508713254e-07	ENSG00000182255.6	-0.0309099102955198	0.00253133461170849	-12.2109144135068	9.85969239869407e-31	30574	-3.98058144039438	5.29555058245814e-10	-5.23689187858871	-2.72427100220006	97.345508460542	8.38198703539574	KCNA4	-0.32965338621641	0.719172965498423	0.150071570527891	-2.19664114300145	0.0280460854054782
cg03129884	chr2	95692577	95692878	0	0	0	0	MAL	chr2	95692727	95692728	cg03129884	MAL	S_Shore	I	4109619.71786952	767352.741546432	-9.86996280750778e-09	5.21803238444925e-10	-18.9151045457713	1.72096526004858e-78	ENSG00000172005.9	-0.065862355190288	0.0070665463607067	-9.32030327523406	2.29067164862147e-19	3872	-1.99710804620374	0.000141550936503966	-3.02570325293837	-0.968512839469106	99.2688271245648	5.86609507549733	MAL	-0.472881358507444	0.623204004645061	0.151499185731861	-3.12134587537914	0.00180026455466441
cg15821319	chr20	37434008	37434309	0	0	0	0	PPP1R16B	chr20	37434158	37434159	cg15821319	PPP1R16B	N_Shore	II	124643.574628797	66424.7281290927	-3.00047194093953e-07	2.19730280685201e-08	-13.6552501165654	4.29875245934176e-42	ENSG00000101445.8	-0.0835199013317588	0.00945641717187135	-8.83208722857464	1.17072761171532e-17	10112	-1.36413040111159	4.34873975727133e-06	-1.94611971444444	-0.782141087778732	98.3401613324149	1.89161253330189	PPP1R16B	-0.354639986704935	0.701425920415123	0.150615043811309	-2.35461198118582	0.018542055976443
cg10305789	chr20	37434017	37434318	0	0	0	0	PPP1R16B	chr20	37434167	37434168	cg10305789	PPP1R16B	N_Shore	I	124643.574628797	66424.7281290927	-3.00047194093953e-07	2.19730280685201e-08	-13.6552501165654	4.29875245934176e-42	ENSG00000101445.8	-0.0835199013317588	0.00945641717187135	-8.83208722857464	1.17072761171532e-17	10112	-1.36413040111159	4.34873975727133e-06	-1.94611971444444	-0.782141087778732	98.3401613324149	1.89161253330189	PPP1R16B	-0.354639986704935	0.701425920415123	0.150615043811309	-2.35461198118582	0.018542055976443
cg17645823	chr12	114846171	114846472	0	0	0	0	TBX5	chr12	114846321	114846322	cg17645823	TBX5	Island	II	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg10633601	chr1	47696551	47696852	0	0	0	0	TAL1	chr1	47696701	47696702	cg10633601	TAL1	Island	I	30384.3702373419	13650.8482593859	-2.30243592428657e-06	1.12310952272087e-07	-20.5005467205784	1.31142050557977e-91	ENSG00000162367.10	-0.145320359831581	0.00690156094418075	-21.0561583106952	7.87028476173649e-74	30016	-1.34368663323347	4.70167758597191e-08	-1.82582914613182	-0.86154412033513	98.4588689731215	1.31356759780677	TAL1	-0.301509844554605	0.739700544296396	0.149734531228197	-2.01362933507369	0.0440484641607603
cg09042277	chr12	114840704	114841005	0	0	0	0	TBX5	chr12	114840854	114840855	cg09042277	TBX5	Island	II	31894.7242095466	11988.388256557	-1.24251933075277e-06	7.61852879698762e-08	-16.3091767959723	4.5160035658987e-59	ENSG00000089225.18	-0.100492367115338	0.0091655721929978	-10.9641127688799	1.38179865511471e-25	21757	0.120226224545547	0.838045360441428	-1.03263877798632	1.27309122707742	98.6704916052684	6.66104098096498	TBX5	-0.315388879150665	0.729505129766203	0.149377481791652	-2.11135490682967	0.0347418178955997
cg09511126	chr10	100993447	100993748	0	0	0	0	HPSE2	chr10	100993597	100993598	cg09511126	HPSE2	N_Shore	II	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg20792062	chr12	5153138	5153439	0	0	0	0	KCNA5	chr12	5153288	5153289	cg20792062	KCNA5	Island	II	21807.1454753462	11168.6162672843	-2.95498626719383e-07	5.13815124995745e-08	-5.75106905858075	9.11604188910145e-09	ENSG00000130037.4	-0.061988676217633	0.00596299352910498	-10.3955632209008	2.33924371381384e-23	1425	-1.87716986717434	1.65359020742406e-07	-2.58003126549265	-1.17430846885602	97.3571580462864	2.73625878504081	KCNA5	-0.363587921101169	0.695177603748749	0.150224307920396	-2.42030019065779	0.0155076991876034
cg24926711	chr10	100993512	100993813	0	0	0	0	HPSE2	chr10	100993662	100993663	cg24926711	HPSE2	N_Shore	II	43786.299552255	20218.7703468162	-1.72754328532205e-07	2.63830625003902e-08	-6.54792553099738	6.107108197444e-11	ENSG00000172987.11	-0.0440765022243446	0.00433484081219528	-10.1679632849131	1.73348004192803e-22	29570	-2.44698626158829	0.00232664145794288	-4.02201812849982	-0.871954394676756	99.4010869288019	13.9049420168004	HPSE2	-0.407316630718795	0.665433460266646	0.15017905423907	-2.71220665746361	0.00668369093753318
cg00158789	chr17	59534533	59534834	0	0	0	0	TBX4	chr17	59534683	59534684	cg00158789	TBX4	Island	II	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
cg01237056	chr22	43739842	43740143	0	0	0	0	SCUBE1	chr22	43739992	43739993	cg01237056	SCUBE1	Island	I	30911.5324307715	15236.7285049995	-2.20292291468812e-07	3.65427424493973e-08	-6.02834589587419	1.71223935398304e-09	ENSG00000159307.17	-0.0903895421528041	0.00464477456911037	-19.4604799022823	1.56055334840945e-65	26650	-2.05336378588462	4.90192716245467e-12	-2.63591925726074	-1.4708083145085	97.7309203210592	1.82064648939389	SCUBE1	-0.302822179976713	0.738730445756928	0.150251616112359	-2.01543376245791	0.0438592198246946
cg14410476	chr2	95692873	95693174	0	0	0	0	MAL	chr2	95693023	95693024	cg14410476	MAL	S_Shore	II	4109619.71786952	767352.741546432	-9.86996280750778e-09	5.21803238444925e-10	-18.9151045457713	1.72096526004858e-78	ENSG00000172005.9	-0.065862355190288	0.0070665463607067	-9.32030327523406	2.29067164862147e-19	3872	-1.99710804620374	0.000141550936503966	-3.02570325293837	-0.968512839469106	99.2688271245648	5.86609507549733	MAL	-0.472881358507444	0.623204004645061	0.151499185731861	-3.12134587537914	0.00180026455466441
cg16265906	chr5	115152176	115152477	0	0	0	0	CDO1	chr5	115152326	115152327	cg16265906	CDO1	Island	II	606517.926763685	197565.987749615	-4.07306709644013e-08	3.05584165973226e-09	-13.3287897410136	3.34055132005317e-40	ENSG00000129596.4	-0.10105093664978	0.00606426604407611	-16.6633416006693	2.23558412302673e-51	921	-2.95227125150327	3.57105068484277e-11	-3.82622746063007	-2.07831504237647	98.8990002648078	4.27352049421057	CDO1	-0.40262219835479	0.668564636435663	0.150433812620162	-2.67640759309472	0.00744160835776426
cg24274579	chr17	59534487	59534788	0	0	0	0	TBX4	chr17	59534637	59534638	cg24274579	TBX4	Island	II	51060.6576810271	11027.8755927354	-1.12703049978873e-06	5.06277264035855e-08	-22.2611319893068	2.62664352177315e-107	ENSG00000121075.8	-0.0868525877332672	0.00659418975635957	-13.171078015992	6.48832403512033e-35	25506	0.789160461442334	0.220269283295969	-0.472636281821033	2.0509572047057	98.552128926525	8.37141322114674	TBX4	-0.335321600360034	0.715108070355039	0.149547126634549	-2.24224702878756	0.0249454112041735
