	CHR	START	END	X0	X1	MeanDecreaseAccuracy	MeanDecreaseGini	Symbol	V1	V2	V3	V4	V5	V6	V7	V8	Symbol.1	Estimate	Std..Error	t.value	Pr...t..
cg21838979	chr2	106681795	106682096	0.000114516129032258	5.54424051480401e-05	6.23237872454063e-05	0.209159069176696	C2orf40	chr2	106681945	106681946	cg21838979	C2orf40	F	N_Shore	II	C2orf40	-4.77e-07	2.94e-08	-16.23796222	8.38e-54
cg08044097	chr8	55370863	55371164	0.000628571428571429	-1.39372822299652e-05	5.59006211180124e-05	0.165429297589047	SOX17	chr8	55371013	55371014	cg08044097	SOX17	R	Island	II	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg05057720	chr14	38724525	38724826	0.00299481877599525	8.31926944541659e-06	0.000312001519316188	0.153751470017063	CLEC14A	chr14	38724675	38724676	cg05057720	CLEC14A	R	Island	I	CLEC14A	-7.33e-07	4.01e-08	-18.25486462	5.71e-66
cg15513743	chr1	119528538	119528839	0.00372123200786994	-2.03489346614054e-05	0.000361307172520076	0.119507505762643	TBX15	chr1	119528688	119528689	cg15513743	TBX15	R	N_Shore	I	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg17279839	chr7	150038448	150038749	0.00128205128205128	-6.75532540896787e-06	0.000144633244223093	0.0990490907405258	RARRES2	chr7	150038598	150038599	cg17279839	RARRES2	R	Island	II	RARRES2	-9.24e-08	8.76e-09	-10.5420349	6.37e-25
cg16830930	chr8	55371242	55371543	0.00371555642633229	-6.40498583973386e-06	0.000397512550856262	0.0923182651356456	SOX17	chr8	55371392	55371393	cg16830930	SOX17	F	Island	I	SOX17	-2.2e-06	1.06e-07	-20.80661601	1.82e-82
cg08297751	chr4	174448555	174448856	0.00210818713450292	2.09005828940341e-07	0.000236172161172161	0.0784132376578246	HAND2	chr4	174448705	174448706	cg08297751	HAND2	R	Island	I	HAND2	-3.48e-06	5.2e-07	-6.689061223	3.42e-11
cg19594666	chr7	127881130	127881431	0.0005625	6.34920634920635e-06	5.76368876080692e-05	0.0746325900001496	LEP	chr7	127881280	127881281	cg19594666	LEP	R	Island	I	LEP	-1.36e-07	5.59e-09	-24.24888228	3.12e-106
cg02885007	chr2	176987455	176987756	0.001	6.86899524108826e-06	0.000102360028740397	0.0699906873640116	HOXD9	chr2	176987605	176987606	cg02885007	HOXD9	R	Island	I	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg20794824	chr3	170138055	170138356	0.000313888888888889	0.00012203139043019	0.000137823796001895	0.0692495228769756	CLDN11	chr3	170138205	170138206	cg20794824	CLDN11	R	S_Shore	II	CLDN11	-3.26e-06	1e-07	-32.42437937	1.3e-166
cg05903330	chr22	39541986	39542287	0.00211575982968173	9.11074718772956e-05	0.000302125987184675	0.068043758748912	CBX7	chr22	39542136	39542137	cg05903330	CBX7	F	Island	II	CBX7	-2.46e-06	8.54e-08	-28.84379661	9.67e-140
cg21553182	chr19	52956671	52956972	0.000857142857142857	6.28659476117103e-06	0.000102370773416246	0.0677800459509647	ZNF578	chr19	52956821	52956822	cg21553182	ZNF578	R	Island	II	ZNF578	-2.04e-05	3.96e-06	-5.160628502	2.87e-07
cg26381313	chr10	102279305	102279606	0.000764705882352941	-1.37931034482759e-05	6.79012345679012e-05	0.0607326227988879	SEC31B	chr10	102279455	102279456	cg26381313	SEC31B	F	Island	I	SEC31B	-4.52e-06	5.65e-07	-7.996716885	2.96e-15
cg13434308	chr12	29936336	29936637	0.00204198717948718	7.4228662224014e-06	0.000224678818369207	0.0575186637410231	TMTC1	chr12	29936486	29936487	cg13434308	TMTC1	R	Island	I	TMTC1	-1.95e-06	8.36e-08	-23.30004248	1.54e-99
cg01294808	chr5	3599536	3599837	5.88235294117647e-05	6.94444444444444e-06	1.24031305886199e-05	0.0562935557028866	IRX1	chr5	3599686	3599687	cg01294808	IRX1	R	Island	I	IRX1	-1.5e-07	2.2e-08	-6.833475184	1.31e-11
cg01135780	chr5	158527557	158527858	0.00121657754010695	1.30718954248366e-05	0.000161172937643526	0.0552448482902077	EBF1	chr5	158527707	158527708	cg01135780	EBF1	R	Island	I	EBF1	-1.41e-06	4.53e-08	-31.04544506	3.23e-156
cg12552771	chr22	29709170	29709471	0.00111111111111111	-1.41843971631206e-05	0.000113207547169811	0.054689175257732	RASL10A	chr22	29709320	29709321	cg12552771	RASL10A	R	Island	I	RASL10A	-5.93e-06	3.82e-07	-15.55587162	6.85e-50
cg03989260	chr1	119529210	119529511	0.000867572156196944	0	8.67845198279981e-05	0.0517303807303807	TBX15	chr1	119529360	119529361	cg03989260	TBX15	R	N_Shore	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg12265829	chr14	24803872	24804173	0.00109677419354839	6.64451827242525e-06	0.000108433734939759	0.0496222781083236	ADCY4	chr14	24804022	24804023	cg12265829	ADCY4	F	Island	II	ADCY4	-4.89e-06	1.93e-07	-25.33578446	5.18e-114
cg04858155	chr11	44332219	44332520	0.00462777777777778	-5.53828985373587e-05	0.000437046101704035	0.0479875038463513	ALX4	chr11	44332369	44332370	cg04858155	ALX4	R	Island	I	ALX4	-1.93e-06	1.71e-07	-11.28117891	3.87e-28
cg10521706	chr2	19556436	19556737	9.79090354090354e-05	7.03637627699061e-06	1.85240963855422e-05	0.0469438718082972	OSR1	chr2	19556586	19556587	cg10521706	OSR1	F	Island	II	OSR1	-1.28e-06	9.61e-08	-13.35095836	4.9e-38
cg02501779	chr20	54579205	54579506	0.000848484848484849	-7.38535392000739e-06	8.10830629342426e-05	0.0461138988450816	CBLN4	chr20	54579355	54579356	cg02501779	CBLN4	F	Island	II	CBLN4	-6.2e-06	5.43e-07	-11.41412752	9.8e-29
cg10119075	chr10	7709588	7709889	0.0026375	-4.30518251218229e-05	0.000260982293649239	0.0431851502856213	ITIH5	chr10	7709738	7709739	cg10119075	ITIH5	F	CpG_Ocean	II	ITIH5	-8.86e-07	2.87e-08	-30.84630779	1.01e-154
cg07341624	chr20	2539017	2539318	0.00191111111111111	6.35568098275903e-06	0.000186418676741257	0.038130101453259	TMC2	chr20	2539167	2539168	cg07341624	TMC2	R	Island	II	TMC2	-3.88e-05	2.44e-06	-15.89445964	8.07e-52
cg16359657	chr1	41119781	41120082	0.000181818181818182	1.3534695986151e-05	3.07148106491632e-05	0.037205776744693	RIMS3	chr1	41119931	41119932	cg16359657	RIMS3	F	Island	II	RIMS3	-4.33e-06	2.73e-07	-15.85115518	1.43e-51
cg12166610	chr8	31498106	31498407	0.00124324324324324	-2.02020202020202e-05	0.000119760479041916	0.0371542986425339	NRG1	chr8	31498256	31498257	cg12166610	NRG1	R	Island	I	NRG1	-2.2e-06	1.98e-07	-11.11443051	2.13e-27
cg08363794	chr2	176986310	176986611	0.000263963426754124	-6.6731128318643e-06	2.31051946134447e-05	0.0356054767763659	HOXD9	chr2	176986460	176986461	cg08363794	HOXD9	R	Island	II	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg17657179	chr19	52227159	52227460	0.000548148148148148	-2.71950271950272e-05	3.04861618999962e-05	0.0333560262999111	HAS1	chr19	52227309	52227310	cg17657179	HAS1	R	CpG_Ocean	I	HAS1	-1.51e-06	1.71e-07	-8.816570597	4.02e-18
cg18077971	chr2	223164717	223165018	0.00233603238866397	-7.32600732600733e-06	0.000277466857188219	0.0327796867488414	PAX3	chr2	223164867	223164868	cg18077971	PAX3	F	S_Shore	I	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg02372889	chr19	36247373	36247674	0.00202390289449113	-3.25310044646429e-05	0.000206352770333729	0.0306028265142607	HSPB6	chr19	36247523	36247524	cg02372889	HSPB6	F	Island	I	HSPB6	-9.99e-08	4.35e-09	-22.9642329	3.41e-97
cg02309273	chr1	38412594	38412895	0.000117647058823529	1.34379509379509e-05	2.45507001359844e-05	0.0288919241677862	INPP5B	chr1	38412744	38412745	cg02309273	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65e-06	3.59e-07	-10.1641699	2.39e-23
cg07163547	chr1	165413173	165413474	1e-04	-2.12639661915039e-05	-6.9523696713801e-06	0.028738269786497	RXRG	chr1	165413323	165413324	cg07163547	RXRG	R	CpG_Ocean	II	RXRG	-4.29e-06	3.84e-07	-11.18364067	1.05e-27
cg25763393	chr19	52956682	52956983	0.000205128205128205	-2.69436632495691e-05	1.44293637552419e-07	0.0286708074534161	ZNF578	chr19	52956832	52956833	cg25763393	ZNF578	R	Island	I	ZNF578	-2.04e-05	3.96e-06	-5.160628502	2.87e-07
cg00599770	chr7	27196675	27196976	0.000129032258064516	2.80927768777802e-07	1.26450001635988e-05	0.0285146304779303	HOXA7	chr7	27196825	27196826	cg00599770	HOXA7	R	N_Shore	II	HOXA7	-2.55e-06	2.46e-07	-10.3422522	4.39e-24
cg11909748	chr19	52956524	52956825	0.0015	-2.80701754385965e-05	0.000143302180685358	0.0284735314978908	ZNF578	chr19	52956674	52956675	cg11909748	ZNF578	R	Island	I	ZNF578	-2.04e-05	3.96e-06	-5.160628502	2.87e-07
cg12626956	chr9	79634359	79634660	0.000887741935483871	-6.62251655629139e-06	7.77749358190999e-05	0.0268521225544481	FOXB2	chr9	79634509	79634510	cg12626956	FOXB2	R	Island	II	FOXB2	-0.000113618	2.56e-05	-4.445110349	9.59e-06
cg17949727	chr1	38412534	38412835	0.00136195286195286	1.93583339219053e-05	0.000163290952084194	0.0260464907863077	INPP5B	chr1	38412684	38412685	cg17949727	INPP5B	F	CpG_Ocean	I	INPP5B	-3.65e-06	3.59e-07	-10.1641699	2.39e-23
cg12758687	chr11	113346177	113346478	0.000933333333333333	-2.68565248738284e-05	6.27347514611847e-05	0.0252744495647721	DRD2	chr11	113346327	113346328	cg12758687	DRD2	F	Island	II	DRD2	-1.44e-06	2.76e-07	-5.225860074	2.04e-07
cg25044651	chr5	115298570	115298871	0.000196754563894523	0	1.95390365448505e-05	0.0251599759840123	LVRN	chr5	115298720	115298721	cg25044651	LVRN	F	Island	II	LVRN	-4.58e-06	1.91e-07	-23.96812741	3.05e-104
cg07307078	chr18	12307480	12307781	0.00148398268398268	-2.08610262858511e-05	0.000135774539877301	0.0248027959375916	TUBB6	chr18	12307630	12307631	cg07307078	TUBB6	F	Island	II	TUBB6	-3.69e-07	2.54e-08	-14.54772016	2.58e-44
cg02245378	chr2	223161621	223161922	0.00102325581395349	-2.27272727272727e-05	0.000123778501628665	0.0245371428571428	PAX3	chr2	223161771	223161772	cg02245378	PAX3	R	Island	II	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg18653451	chr19	46916868	46917169	0.00223661387631976	-2.73772482235329e-05	0.000216715716962173	0.0245198387883305	CCDC8	chr19	46917018	46917019	cg18653451	CCDC8	F	S_Shore	I	CCDC8	-7.86e-07	4.31e-08	-18.26385388	5.02e-66
cg05749969	chr1	38412561	38412862	5.26315789473684e-05	7.04225352112676e-06	1.24223602484472e-05	0.0243043966901947	INPP5B	chr1	38412711	38412712	cg05749969	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65e-06	3.59e-07	-10.1641699	2.39e-23
cg22275864	chr8	37822412	37822713	0.001	0	0.000104615384615385	0.0243031806902775	ADRB3	chr8	37822562	37822563	cg22275864	ADRB3	R	Island	I	ADRB3	-1.22e-05	1.66e-06	-7.33315221	4.1e-13
cg01580681	chr4	174449866	174450167	0.000186046511627907	-1.43884892086331e-05	1.24610591900312e-05	0.0235294117647059	HAND2	chr4	174450016	174450017	cg01580681	HAND2	R	N_Shore	II	HAND2	-3.48e-06	5.2e-07	-6.689061223	3.42e-11
cg10364040	chr2	176980914	176981215	0.000930232558139535	0	0.000125	0.0231222429906542	HOXD10	chr2	176981064	176981065	cg10364040	HOXD10	F	Island	I	HOXD10	-5.95e-06	6.67e-07	-8.921618475	1.66e-18
cg23077820	chr2	223154026	223154327	0	-4.72492826861759e-05	-4.29559830090334e-05	0.0229297609297609	PAX3	chr2	223154176	223154177	cg23077820	PAX3	F	N_Shore	II	PAX3	-7.14e-06	1.44e-06	-4.972461291	7.56e-07
cg00840332	chr7	127881119	127881420	9.30232558139535e-05	7.11880711880712e-06	1.86347193918319e-05	0.0221570001884304	LEP	chr7	127881269	127881270	cg00840332	LEP	R	Island	I	LEP	-1.36e-07	5.59e-09	-24.24888228	3.12e-106
cg04253876	chr2	30453608	30453909	-0.000139423076923077	1.35593220338983e-05	1.45067698259188e-07	0.0208626267196771	LBH	chr2	30453758	30453759	cg04253876	LBH	R	Island	II	LBH	-2.87e-07	3.88e-08	-7.38289816	2.87e-13
cg06188545	chr1	156863493	156863794	0.0005625	-1.31798936054717e-05	4.10299386859816e-05	0.0203311989953771	PEAR1	chr1	156863643	156863644	cg06188545	PEAR1	R	Island	I	PEAR1	-5e-06	1.49e-07	-33.49169948	1.12e-174
cg13879776	chr3	170136113	170136414	0	-3.40136054421769e-05	-3.00127018689893e-05	0.0189779364049319	CLDN11	chr3	170136263	170136264	cg13879776	CLDN11	R	Island	II	CLDN11	-3.26e-06	1e-07	-32.42437937	1.3e-166
cg11479165	chr15	65068444	65068745	0.000125	-6.71140939597315e-06	6.06060606060606e-06	0.0188500482544128	RBPMS2	chr15	65068594	65068595	cg11479165	RBPMS2	R	S_Shore	II	RBPMS2	-2.04e-06	1.23e-07	-16.55085983	1.24e-55
cg00662556	chr18	74963214	74963515	0.000135944700460829	4.38009631258533e-05	5.15506026444825e-05	0.0187576861831211	GALR1	chr18	74963364	74963365	cg00662556	GALR1	R	Island	II	GALR1	-0.000100767	1.01e-05	-10.02622598	8.76e-23
cg04739647	chr2	176987312	176987613	0.00105555555555556	-6.75675675675676e-06	0.000108433734939759	0.0185645752097365	HOXD9	chr2	176987462	176987463	cg04739647	HOXD9	R	Island	I	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg00175709	chr1	207669864	207670165	0.000262271062271062	7.3583348615441e-06	3.68098159509202e-05	0.018247684729064	CR1	chr1	207670014	207670015	cg00175709	CR1	F	Island	II	CR1	-8.37e-06	1.18e-06	-7.092578654	2.23e-12
cg13558754	chr19	36247717	36248018	0.00111764705882353	6.94427872568906e-06	0.000123495012039904	0.0182264465268481	HSPB6	chr19	36247867	36247868	cg13558754	HSPB6	F	Island	I	HSPB6	-9.99e-08	4.35e-09	-22.9642329	3.41e-97
cg06482428	chr4	21950023	21950324	0	-1.68884855817705e-07	-3.54195939058325e-07	0.0177333333333333	KCNIP4	chr4	21950173	21950174	cg06482428	KCNIP4	F	Island	II	KCNIP4	-4.05e-06	8.32e-07	-4.864813048	1.3e-06
cg10784030	chr1	38412538	38412839	0	2.7013763412077e-05	2.40792691699036e-05	0.0174383785550834	INPP5B	chr1	38412688	38412689	cg10784030	INPP5B	F	CpG_Ocean	II	INPP5B	-3.65e-06	3.59e-07	-10.1641699	2.39e-23
cg21488066	chr6	28367748	28368049	-0.000108823529411765	0	-1.17820579559257e-05	0.0172719568157608	ZSCAN12	chr6	28367898	28367899	cg21488066	ZSCAN12	F	S_Shore	II	ZSCAN12	-4.39e-06	4.12e-07	-10.67085877	1.8e-25
cg23281803	chr8	121138167	121138468	0.000271298593879239	-2.6440525665506e-05	1.80073109682531e-06	0.0171897926634769	COL14A1	chr8	121138317	121138318	cg23281803	COL14A1	R	S_Shore	II	COL14A1	-2.81e-07	1.81e-08	-15.51516328	1.16e-49
cg02177231	chr1	119529780	119530081	1.46198830409357e-05	7.01754385964912e-06	5.81323789776654e-06	0.0168965848965849	TBX15	chr1	119529930	119529931	cg02177231	TBX15	F	Island	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg10959198	chr15	93632746	93633047	0.000573809523809524	-7.56743852948198e-06	6.66816766107546e-05	0.0164764957264957	RGMA	chr15	93632896	93632897	cg10959198	RGMA	F	Island	II	RGMA	-1.44e-06	1.58e-07	-9.137580715	2.61e-19
cg16536329	chr5	178368035	178368336	0	6.68694689391893e-06	5.64944965045367e-06	0.0162165316697133	ZNF454	chr5	178368185	178368186	cg16536329	ZNF454	R	Island	II	ZNF454	-5.43e-06	8.08e-07	-6.716048854	2.86e-11
cg09434193	chr16	227083	227384	4.27350427350427e-06	1.369564691364e-05	1.21581840387072e-05	0.015646750524109	HBA1	chr16	227233	227234	cg09434193	HBA1	R	Island	I	HBA1	-4.39e-06	3.4e-07	-12.88596605	1.06e-35
cg17403609	chr5	180075712	180076013	0.001	7.30484602530437e-06	0.000121286952582459	0.0151406162464986	FLT4	chr5	180075862	180075863	cg17403609	FLT4	F	Island	I	FLT4	-4.92e-06	2.61e-07	-18.83576851	1.26e-69
cg06183338	chr5	178004054	178004355	0	-2.80217892722187e-05	-2.50396755422324e-05	0.014675	COL23A1	chr5	178004204	178004205	cg06183338	COL23A1	F	Island	I	COL23A1	-1.95e-06	3.8e-07	-5.130506981	3.36e-07
cg04268950	chr11	130298704	130299005	0.00075	6.77966101694915e-06	7.95107033639144e-05	0.0144607237422771	ADAMTS8	chr11	130298854	130298855	cg04268950	ADAMTS8	F	S_Shore	I	ADAMTS8	-1.69e-06	3.09e-07	-5.467426537	5.54e-08
cg11368643	chr5	140624909	140625210	0.00102780867630701	-5.86495931184477e-06	9.00900900900901e-05	0.0138083256614498	PCDHB15	chr5	140625059	140625060	cg11368643	PCDHB15	R	N_Shore	II	PCDHB15	-9.44e-06	6.69e-07	-14.10495774	6.02e-42
cg01557798	chr1	228400478	228400779	-0.000147562582345191	0	-1.82741886563543e-05	0.0134662140843483	OBSCN	chr1	228400628	228400629	cg01557798	OBSCN	R	Island	II	OBSCN	-3.8e-07	8.26e-08	-4.59667141	4.74e-06
cg06284231	chr14	38724105	38724406	0.000162406015037594	-6.96864111498258e-06	1.20845921450151e-05	0.0133952169420479	CLEC14A	chr14	38724255	38724256	cg06284231	CLEC14A	R	Island	II	CLEC14A	-7.33e-07	4.01e-08	-18.25486462	5.71e-66
cg07660236	chr6	28367733	28368034	0.00116279069767442	-1.51515151515152e-05	0.000149307817589577	0.0132818045112782	ZSCAN12	chr6	28367883	28367884	cg07660236	ZSCAN12	R	S_Shore	II	ZSCAN12	-4.39e-06	4.12e-07	-10.67085877	1.8e-25
cg26521404	chr7	27204831	27205132	-0.0001875	0	-1.94174757281553e-05	0.0130666666666667	HOXA9	chr7	27204981	27204982	cg26521404	HOXA9	F	Island	I	HOXA9	-6.84e-07	1.09e-07	-6.297902346	4.21e-10
cg16783744	chr8	105478705	105479006	5.40540540540541e-05	-7.30484602530437e-06	-4.51807228915663e-07	0.0130221528544619	DPYS	chr8	105478855	105478856	cg16783744	DPYS	R	Island	I	DPYS	-3.29e-05	3.74e-06	-8.792883059	4.9e-18
cg25984671	chr20	590933	591234	-1e-04	0	-1.25e-05	0.0124444444444444	TCF15	chr20	591083	591084	cg25984671	TCF15	F	Island	I	TCF15	-3.26e-06	3.66e-07	-8.904198847	1.92e-18
cg00875805	chr4	140656599	140656900	0	1.36054421768707e-05	1.23076923076923e-05	0.0123076923076923	MAML3	chr4	140656749	140656750	cg00875805	MAML3	F	Island	I	MAML3	-1.96e-06	2.36e-07	-8.290334945	2.97e-16
cg26727693	chr12	63544025	63544326	0	1.93548387096774e-05	1.76991150442478e-05	0.012	AVPR1A	chr12	63544175	63544176	cg26727693	AVPR1A	F	Island	II	AVPR1A	-2.72e-06	1.9e-07	-14.3189406	4.38e-43
cg27494647	chr7	150038748	150039049	0	2.83687943262411e-05	2.50783699059561e-05	0.0117669652381517	RARRES2	chr7	150038898	150038899	cg27494647	RARRES2	F	Island	I	RARRES2	-9.24e-08	8.76e-09	-10.5420349	6.37e-25
cg01537995	chr14	85996202	85996503	0.000974193548387097	0	9.1743119266055e-05	0.0113477633477633	FLRT2	chr14	85996352	85996353	cg01537995	FLRT2	F	N_Shore	II	FLRT2	-9.18e-06	5.22e-07	-17.59375074	6.89e-62
cg22731271	chr2	66666909	66667210	0.000526315789473684	-6.5359477124183e-06	5.23255813953488e-05	0.0112425049966689	MEIS1	chr2	66667059	66667060	cg22731271	MEIS1	R	CpG_Ocean	I	MEIS1	-4.2e-06	4.13e-07	-10.1741317	2.18e-23
cg18347642	chr4	21950616	21950917	6.06060606060606e-05	6.71140939597315e-06	1.21212121212121e-05	0.0112102564102564	KCNIP4	chr4	21950766	21950767	cg18347642	KCNIP4	F	Island	I	KCNIP4	-4.05e-06	8.32e-07	-4.864813048	1.3e-06
cg10024583	chr17	45772650	45772951	0.000978723404255319	-6.84931506849315e-06	0.000129793510324484	0.0110299803866629	TBKBP1	chr17	45772800	45772801	cg10024583	TBKBP1	F	Island	II	TBKBP1	-9.07e-07	1.95e-07	-4.654072666	3.61e-06
cg13906811	chr2	50574943	50575244	1e-04	7.11673175872543e-06	1.83334619233912e-05	0.0108952380952381	NRXN1	chr2	50575093	50575094	cg13906811	NRXN1	R	S_Shore	I	NRXN1	-3.72e-06	7.93e-07	-4.691566061	3.02e-06
cg06419750	chr12	129337760	129338061	0	6.87285223367698e-06	6.04229607250755e-06	0.0106666666666667	GLT1D1	chr12	129337910	129337911	cg06419750	GLT1D1	F	Island	I	GLT1D1	-1.21e-05	1.76e-06	-6.844278991	1.22e-11
cg03355526	chr5	178368265	178368566	-0.000144516129032258	-6.5359477124183e-06	-1.84137060690657e-05	0.0103714177978884	ZNF454	chr5	178368415	178368416	cg03355526	ZNF454	F	Island	II	ZNF454	-5.43e-06	8.08e-07	-6.716048854	2.86e-11
cg09578028	chr2	176987261	176987562	-5.71428571428571e-05	0	-6.2111801242236e-06	0.0102857142857143	HOXD9	chr2	176987411	176987412	cg09578028	HOXD9	R	Island	II	HOXD9	-1.13e-06	1.26e-07	-8.959779968	1.2e-18
cg16179952	chr2	946967	947268	0.000266666666666667	2.7972027972028e-05	5.06329113924051e-05	0.0102	SNTG2	chr2	947117	947118	cg16179952	SNTG2	R	Island	II	SNTG2	-1.49e-05	1.22e-06	-12.2684144	1.06e-32
cg01158277	chr11	111783177	111783478	0.00102702702702703	-6.64451827242525e-06	0.000106508875739645	0.00995555555555555	CRYAB	chr11	111783327	111783328	cg01158277	CRYAB	R	CpG_Ocean	I	CRYAB	-5.89e-08	3.26e-09	-18.07053578	8.01e-65
cg13652336	chr8	68863862	68864163	0.000961111111111111	7.67260231177757e-06	0.000126751128585991	0.00993939393939394	PREX2	chr8	68864012	68864013	cg13652336	PREX2	F	N_Shore	II	PREX2	-5.2e-06	1.99e-07	-26.1931236	3.2e-120
cg20119106	chr7	153750271	153750572	5.71428571428571e-05	1.38888888888889e-05	1.85758513931889e-05	0.0098382572104848	DPP6	chr7	153750421	153750422	cg20119106	DPP6	F	Island	II	DPP6	-1.35e-05	1.39e-06	-9.673327061	2.26e-21
cg20156659	chr2	48982682	48982983	0.000122448979591837	7.19424460431655e-06	2.44648318042813e-05	0.0096	LHCGR	chr2	48982832	48982833	cg20156659	LHCGR	F	Island	I	LHCGR	-4.12e-05	1.9e-06	-21.69617116	1.84e-88
cg08102508	chr3	13115018	13115319	0	-2.06185567010309e-05	-1.7910447761194e-05	0.0096	IQSEC1	chr3	13115168	13115169	cg08102508	IQSEC1	F	Island	I	IQSEC1	-9.58e-07	7.93e-08	-12.07880473	8.42e-32
cg13902210	chr1	110754286	110754587	4.54545454545455e-05	2.90909090909091e-05	3.13479623824451e-05	0.00956588299617277	KCNC4	chr1	110754436	110754437	cg13902210	KCNC4	F	Island	I	KCNC4	-9.71e-06	5.63e-07	-17.22733155	1.15e-59
cg05363616	chr1	119529069	119529370	0	6.64451827242525e-06	5.93471810089021e-06	0.00942222222222222	TBX15	chr1	119529219	119529220	cg05363616	TBX15	R	N_Shore	II	TBX15	-1.47e-06	7.9e-08	-18.57011321	6.04e-68
cg15383276	chr22	29709132	29709433	0	-6.71140939597315e-06	-5.97014925373134e-06	0.00933333333333333	RASL10A	chr22	29709282	29709283	cg15383276	RASL10A	R	Island	II	RASL10A	-5.93e-06	3.82e-07	-15.55587162	6.85e-50
cg12426146	chr4	140656960	140657261	0	-1.35842616296501e-05	-1.21585040235779e-05	0.00873809523809523	MAML3	chr4	140657110	140657111	cg12426146	MAML3	F	Island	II	MAML3	-1.96e-06	2.36e-07	-8.290334945	2.97e-16
