	Chromosome	Start	End	idx	beta	pval	cilb	ciub	i2	tau2
cg20810997	chr20	31390550	31390551	304494	-0.194308185400841	2.79630057912632e-35	-0.225034297123519	-0.163582073678163	97.372179922051	0.00506583812729833
cg18555142	chr7	155340982	155340983	275574	-0.201051943608779	3.15145953963366e-35	-0.232869066184644	-0.169234821032914	97.1346813991762	0.00547787107615485
cg11793699	chr1	156845109	156845110	180712	0.327178657803484	3.24043292909758e-35	0.275392232964636	0.378965082642333	96.8771363967404	0.0140572927606088
cg04522045	chr2	172093596	172093597	73974	0.298682920806506	5.1881383422129e-35	0.251262002450571	0.346103839162441	97.2647944651691	0.0125198249345536
cg24298684	chr20	56248822	56248823	348635	-0.195422407862334	6.61293610072607e-35	-0.226498189613706	-0.164346626110963	96.9388385722482	0.00529851787200181
cg14640592	chr1	203075598	203075599	222854	0.193853097033639	7.89262957048005e-35	0.162991138342918	0.22471505572436	96.1325555225594	0.00498815842862954
cg04845915	chr5	141423237	141423238	78974	0.200072063208225	8.62139734176554e-35	0.168201571200663	0.231942555215787	95.4452130997454	0.0052930711964078
cg00839579	chr7	15687816	15687817	14448	0.26613337281397	2.00534405702044e-34	0.223502819140947	0.308763926486994	95.083801829114	0.00914352584131991
cg22620090	chr6	104953118	104953119	326397	0.410245971118113	2.33324046313185e-34	0.344464612854671	0.476027329381555	97.4217397923218	0.0237155129171191
cg08679971	chr19	37790407	37790408	137174	0.165644414258343	2.60811776101628e-34	0.139064281565174	0.192224546951512	88.3738909827578	0.00306926782953638
cg24629972	chr8	43292296	43292297	353033	-0.263761112398936	4.35209140939247e-34	-0.306230587407087	-0.221291637390785	97.6976189458766	0.00972580200642487
cg16287451	chr8	144711562	144711563	244860	-0.20573418037092	8.3415193652129e-34	-0.239005889603653	-0.172462471138187	96.3052825778835	0.00578952664130796
cg26437203	chr5	2442917	2442918	376916	-0.180034450945915	1.03465813486233e-33	-0.209192460787488	-0.150876441104343	95.3302546382137	0.00418671283091429
cg17941572	chr1	63318783	63318784	267161	0.350575227093595	1.48032062101193e-33	0.293658342365786	0.407492111821404	97.6958239558	0.0176225843996057
cg02530022	chr7	97013396	97013397	42036	0.285409228114562	2.79293513526147e-33	0.238870439029235	0.331948017199888	97.4681315675234	0.0116393176622183
cg21117330	chr5	141392719	141392720	308155	0.206070538204088	3.03508928823721e-33	0.172449481621543	0.239691594786633	95.1995752664155	0.00588557499883433
cg01184591	chr7	57181358	57181359	20346	-0.188340460098594	3.35155392961192e-33	-0.219089795609077	-0.157591124588111	96.8592938217295	0.00514130166410237
cg03625684	chr13	112375697	112375698	59901	-0.172578399987431	3.67641718800651e-33	-0.200772330157246	-0.144384469817615	97.0762997546812	0.00439608235924734
cg04498349	chr16	10180460	10180461	73607	0.164414657078057	3.75431395914768e-33	0.137550540997594	0.19127877315852	96.0009878110767	0.00395275683832251
cg03733219	chr19	38395679	38395680	61604	0.23391863597718	5.88227208642207e-33	0.19557908014143	0.272258191812929	96.0914824463596	0.00782609255270152
cg00739582	chrX	145995773	145995774	12769	-0.20638464626374	1.05563087746564e-32	-0.240349569404213	-0.172419723123266	95.4392117487112	0.00590083766681332
cg00241002	chr10	26642983	26642984	4210	-0.361323468547741	1.34648275529386e-32	-0.420888403549381	-0.301758533546101	97.8361532142282	0.0200190725315979
cg02555944	chr8	142562746	142562747	42428	-0.26162287977308	1.74200816738837e-32	-0.304830209680815	-0.218415549865345	97.7622415203091	0.0101094461295153
cg06207120	chr15	45704323	45704324	99644	0.187278482639276	1.97321109252878e-32	0.156322005354203	0.21823495992435	92.3705528073433	0.00470363040597392
cg05513274	chr12	113774954	113774955	89414	-0.291268787190555	2.21413870952582e-32	-0.339453720376418	-0.243083854004691	98.1805614639953	0.0132705428897991
cg23708133	chr14	105598502	105598503	341081	-0.16596013169131	2.42804912138192e-32	-0.193433039063741	-0.138487224318879	97.1405482824078	0.00400207952021461
cg20695203	*	-1	-1	302958	-0.20937238685405	3.90987355574728e-32	-0.244149285240896	-0.174595488467204	97.9025999876191	0.00663945757463133
cg07969668	chr8	141760552	141760553	126655	-0.252058377873574	4.02237706363157e-32	-0.293933921468648	-0.210182834278501	98.0210685118481	0.00960329389511153
cg07648740	chr7	155072920	155072921	121920	-0.229982044764326	4.44663302144268e-32	-0.268217315020403	-0.191746774508249	97.593133433616	0.00796694608469706
cg00097645	chr19	9214762	9214763	1864	-0.155284128448241	4.47181602162536e-32	-0.181101666500803	-0.129466590395678	96.9375068080115	0.00362356886649854
cg15701210	chr19	54593139	54593140	236968	-0.167040381525977	4.98092083006628e-32	-0.194833934043601	-0.139246829008354	96.7380578801043	0.00401365106923511
cg08680598	chr22	49591332	49591333	137190	-0.206369910932696	5.25580020660168e-32	-0.24072064112539	-0.172019180740003	96.2896537934865	0.0063375260846674
cg02081006	chr5	123094739	123094740	34899	0.293570869046789	5.46804645137962e-32	0.244691485484121	0.342450252609458	96.2828608358359	0.0125848843959487
cg02226239	chr8	142917739	142917740	37099	-0.180443080862216	5.53657768096856e-32	-0.210489433408566	-0.150396728315867	98.3021182260525	0.00519493980897297
cg19445097	chr13	113421328	113421329	286758	-0.20727397629234	6.30805364514935e-32	-0.241820369402257	-0.172727583182423	96.9997516902918	0.00639038224369665
cg00833257	chr19	51153261	51153262	14356	-0.221411758399471	7.47727475895227e-32	-0.258359636037376	-0.184463880761565	97.1946511989864	0.00747612683237397
cg24359868	chr21	28889202	28889203	349482	-0.211917184554681	8.67547608569243e-32	-0.247318556335006	-0.176515812774356	97.6976005097701	0.00695744690245802
cg18594701	chr11	55344182	55344183	276119	-0.243940242317172	1.00381169205363e-31	-0.284734106764693	-0.20314637786965	95.7146391865847	0.00849644614898471
cg08115553	chr17	13312237	13312238	128771	-0.238760884589047	1.08514103364072e-31	-0.278711113002506	-0.198810656175587	97.1076207474984	0.00887900486494067
cg18175808	chr1	63320600	63320601	270470	0.202619449125576	2.5170402449697e-31	0.16850821410177	0.236730684149382	97.3974589280859	0.00646318894883193
cg18369913	chr11	54604196	54604197	273059	-0.248254246053872	2.72630511255752e-31	-0.290072625415484	-0.20643586669226	96.6860415560567	0.00950015697782671
cg24877616	chr13	112037805	112037806	356530	-0.227445784283292	2.83204500784147e-31	-0.265769677759049	-0.189121890807534	97.8082146982542	0.00816181674219736
cg19811148	chr1	236109881	236109882	291812	-0.200449368378855	2.91976729925258e-31	-0.234232013523789	-0.166666723233922	96.2624093251243	0.0062408330624217
cg02564291	chr5	123094540	123094541	42553	0.202584915007146	2.96018208100321e-31	0.168438910639162	0.23673091937513	95.7694570812692	0.00618514280201847
cg00345366	chr11	18106630	18106631	5912	-0.234829564101464	2.97925802691991e-31	-0.274412321343694	-0.195246806859234	96.044191619562	0.00828625130054753
cg19606290	chr19	53701149	53701150	288908	-0.284479817904549	3.68790403908214e-31	-0.332506905512922	-0.236452730296176	98.4134144641201	0.0132719211206798
cg15444478	chr12	130010152	130010153	233454	-0.235524240293559	4.02417071525291e-31	-0.275312020773793	-0.195736459813325	95.4675655687764	0.0081548030468883
cg13433278	chr2	172093630	172093631	202447	0.169651185274015	4.80492340880432e-31	0.140953974361067	0.198348396186963	92.75915252588	0.00395921821935827
cg23188704	chr5	171313901	171313902	333978	0.232545103373669	5.09121556965076e-31	0.19319227753285	0.271897929214489	96.8204084007476	0.00830542883816906
cg06570224	chr3	158094686	158094687	104812	0.204232317500464	6.03648275640356e-31	0.16962712764386	0.238837507357069	97.7790960649415	0.00660818919124818
cg22152605	chr19	51750120	51750121	320889	-0.228796771934113	7.93187971562324e-31	-0.267642948757055	-0.189950595111172	97.0102161284383	0.00836781497755974
cg08886154	chr7	127616622	127616623	140237	-0.218680813991604	8.4715591115913e-31	-0.255827675185324	-0.181533952797883	97.948206596931	0.00768199796605479
cg14664316	chr11	15077385	15077386	223255	-0.225249584789286	9.62461575443796e-31	-0.263548728123208	-0.186950441455364	96.2450034715222	0.00802318008842876
cg02901136	chr1	153375829	153375830	48121	-0.277642930455169	1.05781955989798e-30	-0.324883855491929	-0.230402005418408	97.6695691441866	0.0124632352455957
