BN190119	0.797	0.826	0.82	0.823	0.785	0.82	0.824	0.792	0.826	0.823	T
BN190120	0.133	0.146	0.076	0.089	0.072	0.072	0.107	0.078	0.099	0.117	N
BN190121	0.205	0.26	0.189	0.177	0.167	0.185	0.163	0.153	0.154	0.207	T
BN190122	0.153	0.177	0.134	0.144	0.127	0.129	0.14	0.137	0.134	0.191	N
BN190125	0.08	0.106	0.041	0.053	0.041	0.05	0.067	0.06	0.058	0.103	T
BN190128	0.063	0.103	0.041	0.051	0.031	0.041	0.058	0.079	0.05	0.108	N
BN190131	0.103	0.146	0.039	0.079	0.036	0.049	0.079	0.081	0.092	0.132	T
BN190133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190135	0.267	0.281	0.206	0.215	0.211	0.213	0.233	0.234	0.249	0.283	T
BN190137	0.103	0.134	0.088	0.091	0.08	0.091	0.097	0.107	0.104	0.127	N
BN190141	0.126	0.127	0.058	0.06	0.054	0.063	0.079	0.082	0.078	0.127	T
BN190142	0.187	0.218	0.16	0.18	0.165	0.178	0.18	0.169	0.174	0.21	N
BN190147	0.177	0.123	0.081	0.063	0.057	0.056	0.1	0.127	0.116	0.123	T
BN190149	0.063	0.09	0.034	0.051	0.034	0.049	0.059	0.067	0.05	0.079	N
BN190150	0.217	0.241	0.112	0.125	0.157	0.141	0.208	0.181	0.222	0.229	T
BN190151	0.34	0.376	0.247	0.235	0.282	0.246	0.329	0.301	0.355	0.351	T
BN190155	0.134	0.153	0.086	0.107	0.096	0.105	0.114	0.134	0.126	0.151	N
BN190158	0.397	0.306	0.066	0.074	0.221	0.4	0.367	0.445	0.352	0.425	T
BN190159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190162	0.125	0.312	0.312	0.333	0.312	0.267	0.188	0.188	0.125	0.188	T
BN190163	0.194	0.221	0.183	0.203	0.158	0.187	0.151	0.137	0.141	0.171	N
BN190164	0.686	0.721	0.708	0.705	0.649	0.666	0.647	0.667	0.714	0.721	T
BN190166	0.492	0.53	0.472	0.475	0.476	0.469	0.473	0.475	0.498	0.517	N
BN190168	0.204	0.226	0.119	0.145	0.152	0.189	0.172	0.224	0.231	0.276	T
BN190170	0.137	0.208	0.12	0.131	0.08	0.132	0.104	0.129	0.097	0.169	T
BN190171	0.042	0.064	0.041	0.04	0.027	0.042	0.031	0.051	0.036	0.05	N
BN190172	0.565	0.567	0.078	0.219	0.098	0.088	0.243	0.244	0.276	0.158	T
BN190175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190179	0.246	0.329	0.268	0.313	0.257	0.27	0.239	0.273	0.3	0.316	T
BN190180	0.077	0.11	0.077	0.094	0.062	0.073	0.081	0.078	0.085	0.103	N
BN190181	0.3	0.321	0.25	0.254	0.247	0.287	0.287	0.139	0.181	0.189	T
BN190184	0.117	0.111	0.064	0.075	0.062	0.089	0.086	0.088	0.107	0.131	N
BN190186	0.093	0.097	0.027	0.044	0.028	0.038	0.049	0.052	0.065	0.091	T
BN190189	0.073	0.103	0.032	0.05	0.04	0.048	0.075	0.097	0.075	0.143	N
BN190191	0.561	0.645	0.609	0.607	0.59	0.6	0.528	0.577	0.598	0.484	T
BN190192	0.475	0.535	0.504	0.525	0.481	0.498	0.428	0.495	0.507	0.508	N
BN190193	0.038	0.075	0.018	0.037	0.027	0.028	0.031	0.031	0.029	0.057	T
BN190195	0.038	0.074	0.021	0.035	0.016	0.02	0.029	0.028	0.014	0.033	N
BN190198	0.204	0.358	0.037	0.051	0.039	0.07	0.08	0.116	0.147	0.23	T
BN190199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	N
BN190200	0.062	0.059	0.062	0.076	0.027	0.027	0.031	0.021	0.032	0.065	T
BN190201	0.072	0.11	0.042	0.055	0.051	0.05	0.063	0.066	0.061	0.119	N
BN190202	0.032	0.087	0.048	0.059	0.039	0.034	0.023	0.058	0.064	0.112	T
BN190203	0.115	0.139	0.068	0.067	0.058	0.061	0.077	0.063	0.074	0.104	T
BN190206	0.089	0.175	0.048	0.065	0.024	0.032	0.072	0.056	0.103	0.137	N
BN190209	0.069	0.102	0.024	0.052	0.027	0.026	0.05	0.075	0.058	0.11	N
BN190210	0.413	0.54	0.305	0.32	0.324	0.297	0.425	0.437	0.509	0.538	T
BN190211	0.101	0.138	0.104	0.118	0.08	0.096	0.081	0.109	0.134	0.156	T
BN190213	0.033	0.074	0.025	0.023	0.028	0.019	0.032	0.036	0.035	0.064	N
BN190215	0.507	0.562	0.489	0.53	0.536	0.505	0.508	0.521	0.573	0.581	T
BN190218	0.242	0.261	0.188	0.203	0.193	0.202	0.212	0.238	0.234	0.303	N
BN190219	0.233	0.161	0.027	0.024	0.064	0.095	0.153	0.137	0.164	0.168	T
BN190221	0.091	0.086	0.023	0.05	0.032	0.043	0.065	0.054	0.053	0.099	N
BN190223	0.384	0.412	0.364	0.378	0.355	0.38	0.378	0.376	0.389	0.397	T
BN190225	0.115	0.135	0.052	0.085	0.066	0.072	0.088	0.109	0.097	0.155	N
BN190227	0.049	0.058	0.022	0.036	0.03	0.022	0.043	0.023	0.046	0.059	T
BN190229	0.052	0.09	0.027	0.035	0.038	0.028	0.053	0.034	0.044	0.07	N
BN190231	0.143	0.175	0.069	0.073	0.071	0.103	0.115	0.088	0.098	0.128	T
BN190233	0.092	0.091	0.025	0.059	0.036	0.049	0.074	0.083	0.073	0.127	N
BN190235	0.15	0.162	0.084	0.105	0.087	0.089	0.121	0.129	0.125	0.167	T
BN190238	0.111	0.137	0.049	0.058	0.041	0.062	0.101	0.092	0.102	0.147	N
BN190240	0.123	0.15	0.062	0.073	0.063	0.066	0.083	0.083	0.093	0.132	T
BN190241	0.151	0.163	0.095	0.11	0.055	0.081	0.086	0.105	0.138	0.146	N
BN190242	0.288	0.46	0.298	0.359	0.236	0.254	0.334	0.418	0.422	0.465	T
BN190244	0.16	0.166	0.126	0.122	0.109	0.11	0.118	0.131	0.134	0.146	T
BN190245	0.135	0.202	0.124	0.141	0.117	0.125	0.122	0.146	0.155	0.187	N
BN190247	0.069	0.109	0.028	0.1	0.03	0.042	0.046	0.071	0.059	0.098	T
BN190248	0.799	0.845	0.855	0.859	0.823	0.838	0.649	0.837	0.865	0.86	T
BN190249	0.597	0.63	0.601	0.611	0.596	0.596	0.566	0.605	0.607	0.619	T
BN190251	0.064	0.1	0.037	0.038	0.024	0.03	0.049	0.052	0.033	0.076	T
BN190252	0.156	0.238	0.072	0.198	0.161	0.18	0.091	0.074	0.209	0.239	T
BN190255	0.094	0.112	0.037	0.053	0.037	0.053	0.072	0.091	0.088	0.115	N
BN190256	0.519	0.59	0.358	0.544	0.355	0.569	0.576	0.427	0.585	0.605	T
BN190257	0.098	0.129	0.044	0.062	0.051	0.052	0.081	0.098	0.091	0.149	N
BN190258	0.289	0.369	0.33	0.29	0.287	0.243	0.215	0.28	0.327	0.361	T
BN190260	0.143	0.14	0.043	0.062	0.062	0.059	0.088	0.123	0.096	0.135	N
BN190262	0.06	0.099	0.037	0.057	0.029	0.045	0.054	0.055	0.033	0.063	N
BN190264	0.149	0.21	0.081	0.108	0.103	0.091	0.147	0.178	0.157	0.267	N
BN190265	0.383	0.43	0.488	0.358	0.303	0.459	0.323	0.229	0.329	0.37	T
BN190266	0.161	0.214	0.086	0.122	0.072	0.091	0.095	0.107	0.109	0.165	N
BN190267	0.155	0.193	0.133	0.141	0.131	0.135	0.153	0.166	0.145	0.181	T
BN190269	0.162	0.197	0.061	0.09	0.087	0.09	0.138	0.106	0.113	0.18	N
BN190270	0.138	0.221	0.134	0.111	0.1	0.114	0.118	0.134	0.105	0.194	T
BN190271	0.125	0.169	0.114	0.153	0.113	0.129	0.124	0.138	0.12	0.137	N
BN190274	0.282	0.337	0.251	0.257	0.246	0.248	0.226	0.239	0.245	0.283	T
BN190278	0.758	0.765	0.745	0.758	0.756	0.749	0.752	0.75	0.763	0.764	T
BN190279	0.102	0.131	0.09	0.099	0.074	0.087	0.082	0.081	0.091	0.113	N
BN190280	0.32	0.341	0.368	0.365	0.358	0.334	0.331	0.383	0.373	0.386	T
BN190283	0.083	0.101	0.058	0.079	0.038	0.04	0.074	0.086	0.065	0.078	N
BN190284	0.355	0.395	0.341	0.342	0.315	0.324	0.282	0.341	0.356	0.4	T
BN190285	0.105	0.126	0.024	0.063	0.038	0.043	0.07	0.058	0.068	0.104	N
BN190286	0.417	0.469	0.415	0.431	0.422	0.42	0.426	0.303	0.354	0.378	T
BN190287	0.068	0.11	0.076	0.074	0.069	0.044	0.064	0.076	0.087	0.11	N
BN190288	0.082	0.169	0.139	0.12	0.098	0.108	0.111	0.091	0.123	0.14	T
BN190290	0.467	0.495	0.43	0.438	0.444	0.44	0.441	0.475	0.459	0.474	N
BN190292	0.334	0.363	0.322	0.157	0.322	0.329	0.242	0.339	0.22	0.282	T
BN190293	0.455	0.455	0.455	0.455	0.455	0.364	0.545	0.364	0.364	0.455	N
BN190296	0.28	0.306	0.237	0.221	0.239	0.219	0.232	0.244	0.273	0.298	T
BN190298	0.371	0.394	0.236	0.209	0.259	0.308	0.323	0.368	0.361	0.389	N
BN190300	0.813	0.849	0.721	0.69	0.774	0.766	0.746	0.812	0.834	0.84	T
BN190303	0.262	0.286	0.237	0.23	0.225	0.214	0.213	0.208	0.218	0.237	N
BN190305	0.114	0.15	0.094	0.096	0.092	0.096	0.106	0.094	0.099	0.147	T
BN190308	0.121	0.171	0.09	0.064	0.096	0.127	0.141	0.127	0.12	0.184	N
BN190310	0.13	0.182	0.062	0.084	0.063	0.091	0.108	0.134	0.116	0.192	N
BN190312	0.558	0.603	0.53	0.563	0.581	0.575	0.587	0.597	0.6	0.625	T
BN190313	0.449	0.364	0.275	0.282	0.25	0.279	0.427	0.61	0.602	0.642	T
BN190314	0.086	0.108	0.047	0.074	0.024	0.029	0.054	0.064	0.068	0.101	N
BN190315	0.12	0.18	0.093	0.127	0.095	0.105	0.099	0.095	0.108	0.149	N
BN190319	0.247	0.361	0.284	0.282	0.261	0.272	0.241	0.182	0.195	0.202	T
BN190322	0.232	0.265	0.206	0.205	0.154	0.207	0.221	0.217	0.235	0.251	T
BN190323	0.069	0.077	0.021	0.03	0.027	0.028	0.048	0.042	0.05	0.077	T
position	200009913	200009927	200009930	200009932	200009936	200009940	200009949	200009964	200009972	200009974	
