TargetID	X611.121_mas.lungtumortissue.Signal.CY3	X611.121_mas.lungtumortissue.Signal.CY5	X611.121_mas.lungtumortissue.Detection.Pval	X612..123.lungtumortissue.Signal.CY3	X612..123.lungtumortissue.Signal.CY5	X612..123.lungtumortissue.Detection.Pval	X613.132_mas.lungtumortissue.Signal.CY3	X613.132_mas.lungtumortissue.Signal.CY5	X613.132_mas.lungtumortissue.Detection.Pval	X614.185_mas.lungtumortissue.Signal.CY3	X614.185_mas.lungtumortissue.Signal.CY5	X614.185_mas.lungtumortissue.Detection.Pval	X615.187_mas.lungtumortissue.Signal.CY3	X615.187_mas.lungtumortissue.Signal.CY5	X615.187_mas.lungtumortissue.Detection.Pval	X616..232.lungtumortissue.Signal.CY3	X616..232.lungtumortissue.Signal.CY5	X616..232.lungtumortissue.Detection.Pval	X617..234.lungtumortissue.Signal.CY3	X617..234.lungtumortissue.Signal.CY5	X617..234.lungtumortissue.Detection.Pval	X618..243.lungtumortissue.Signal.CY3	X618..243.lungtumortissue.Signal.CY5	X618..243.lungtumortissue.Detection.Pval	X619.390_mas.lungtumortissue.Signal.CY3	X619.390_mas.lungtumortissue.Signal.CY5	X619.390_mas.lungtumortissue.Detection.Pval	X620..440.lungtumortissue.Signal.CY3	X620..440.lungtumortissue.Signal.CY5	X620..440.lungtumortissue.Detection.Pval	X1146.Lung.398SCC.lungtumortissue.Signal.CY3	X1146.Lung.398SCC.lungtumortissue.Signal.CY5	X1146.Lung.398SCC.lungtumortissue.Detection.Pval	X1608.4644T.lungtumortissue.Signal.CY3	X1608.4644T.lungtumortissue.Signal.CY5	X1608.4644T.lungtumortissue.Detection.Pval	X1609.4645T.lungtumortissue.Signal.CY3	X1609.4645T.lungtumortissue.Signal.CY5	X1609.4645T.lungtumortissue.Detection.Pval	X1610.4648T.lungtumortissue.Signal.CY3	X1610.4648T.lungtumortissue.Signal.CY5	X1610.4648T.lungtumortissue.Detection.Pval	X1611.4652T.lungtumortissue.Signal.CY3	X1611.4652T.lungtumortissue.Signal.CY5	X1611.4652T.lungtumortissue.Detection.Pval	X1612.4653T.lungtumortissue.Signal.CY3	X1612.4653T.lungtumortissue.Signal.CY5	X1612.4653T.lungtumortissue.Detection.Pval	X1613.4654T.lungtumortissue.Signal.CY3	X1613.4654T.lungtumortissue.Signal.CY5	X1613.4654T.lungtumortissue.Detection.Pval	X1614.6008T.lungtumortissue.Signal.CY3	X1614.6008T.lungtumortissue.Signal.CY5	X1614.6008T.lungtumortissue.Detection.Pval	X1615.6220T.lungtumortissue.Signal.CY3	X1615.6220T.lungtumortissue.Signal.CY5	X1615.6220T.lungtumortissue.Detection.Pval	X1616.6338T.lungtumortissue.Signal.CY3	X1616.6338T.lungtumortissue.Signal.CY5	X1616.6338T.lungtumortissue.Detection.Pval	X1617.6499T.lungtumortissue.Signal.CY3	X1617.6499T.lungtumortissue.Signal.CY5	X1617.6499T.lungtumortissue.Detection.Pval	X1618.6501T.lungtumortissue.Signal.CY3	X1618.6501T.lungtumortissue.Signal.CY5	X1618.6501T.lungtumortissue.Detection.Pval	X1619.6512T.lungtumortissue.Signal.CY3	X1619.6512T.lungtumortissue.Signal.CY5	X1619.6512T.lungtumortissue.Detection.Pval	X622.H1395wt.lungcellline.Signal.CY3	X622.H1395wt.lungcellline.Signal.CY5	X622.H1395wt.lungcellline.Detection.Pval	X623.H441wt.lungcellline.Signal.CY3	X623.H441wt.lungcellline.Signal.CY5	X623.H441wt.lungcellline.Detection.Pval	X624.H1155wt.lungcellline.Signal.CY3	X624.H1155wt.lungcellline.Signal.CY5	X624.H1155wt.lungcellline.Detection.Pval	X625.CALU3wt.lungcellline.Signal.CY3	X625.CALU3wt.lungcellline.Signal.CY5	X625.CALU3wt.lungcellline.Detection.Pval	X626.H23KO.lungcellline.Signal.CY3	X626.H23KO.lungcellline.Signal.CY5	X626.H23KO.lungcellline.Detection.Pval	X627.A427KO.lungcellline.Signal.CY3	X627.A427KO.lungcellline.Signal.CY5	X627.A427KO.lungcellline.Detection.Pval	X628.H522KO.lungcellline.Signal.CY3	X628.H522KO.lungcellline.Signal.CY5	X628.H522KO.lungcellline.Detection.Pval	X629.A549KO.lungcellline.Signal.CY3	X629.A549KO.lungcellline.Signal.CY5	X629.A549KO.lungcellline.Detection.Pval	X631.H2126KO.lungcellline.Signal.CY3	X631.H2126KO.lungcellline.Signal.CY5	X631.H2126KO.lungcellline.Detection.Pval	X990.H1299.lungcellline.Signal.CY3	X990.H1299.lungcellline.Signal.CY5	X990.H1299.lungcellline.Detection.Pval	X1657.normal_lung.lungnormaltissue.Signal.CY3	X1657.normal_lung.lungnormaltissue.Signal.CY5	X1657.normal_lung.lungnormaltissue.Detection.Pval	X1686.Nlung.571.lungnormaltissue.Signal.CY3	X1686.Nlung.571.lungnormaltissue.Signal.CY5	X1686.Nlung.571.lungnormaltissue.Detection.Pval	X1688.Nlung.593.lungnormaltissue.Signal.CY3	X1688.Nlung.593.lungnormaltissue.Signal.CY5	X1688.Nlung.593.lungnormaltissue.Detection.Pval
ABCC5_P444_F	10436	352	0	11714	1004	0	11013	868	0	7093	1765	0	10773	500	0	11666	265	0	10392	498	0	8792	341	0	8695	657	0	8676	268	0	30155	577	0	37370	830	0	48065	1284	0	39311	656	0	38236	962	0	31895	1828	0	35434	746	0	45588	990	0	34334	1359	0	37003	1198	0	35470	1492	0	33670	1353	0	35105	885	0	8316	752	0	7922	4044	0	15268	326	0	17030	306	0	7156	194	0	13601	882	0	8644	226	0	5213	425	0	6269	232	0	11410	339	0	37989	687	0	14137	351	0	10005	315	0
ABCG2_P178_R	9189	1023	0	8160	1234	0	8792	845	0	10978	2144	0	11951	501	0	13055	494	0	6460	3573	0	8661	904	0	7067	833	0	7442	533	0	25824	1054	0	33394	1761	0	32930	1859	0	34786	1263	0	33528	1987	0	25372	1586	0	32597	1566	0	30443	1601	0	29924	1224	0	29404	2038	0	31507	1576	0	31526	1493	0	38847	1898	0	11519	867	0	7632	5690	0	15816	741	0	12070	994	0	10987	679	0	13433	774	0	7967	853	0	6247	654	0	7211	866	0	14576	574	0	31916	1574	0	17819	577	0	12543	437	0
ABCG2_P310_R	4344	166	0	5375	130	0	4707	176	0	3685	982	0	4932	136	0	6770	150	0	3035	2634	0	3490	262	0	2863	133	0	3053	99	0	15752	1158	0	22377	410	0	23281	340	0	22684	240	0	14536	8975	0	20823	358	0	20680	215	0	21252	266	0	21449	327	0	19309	339	0	21580	358	0	20015	392	0	26792	578	0	6352	134	0	2040	6832	0	8919	387	0	5692	103	0	5674	110	0	5550	133	0	3071	91	0	1883	108	0	3195	210	0	5616	1680	0	21227	272	0	7768	141	0	7306	149	0
ABL1_P53_F	7390	494	0	7738	1125	0	8721	621	0	5378	279	0	9937	455	0	5603	298	0	3786	1340	0	4661	259	0	6498	463	0	4928	261	0	13635	1272	0	16474	1032	0	16157	1966	0	17349	1010	0	18986	1277	0	11871	843	0	16152	825	0	16077	2665	0	14913	1078	0	13522	980	0	13681	1684	0	15526	1650	0	9767	12240	0	5681	263	0	5407	570	0	4763	1592	0	5114	260	0	5664	245	0	6087	410	0	5429	294	0	4704	306	0	4990	304	0	6480	216	0	14722	840	0	8007	529	0	8977	672	0
ABL2_P459_R	7728	415	0	8157	612	0	8590	393	0	6853	544	0	8701	362	0	9328	378	0	7303	360	0	5755	388	0	5153	443	0	6185	301	0	25118	754	0	17604	666	0	29008	896	0	22632	620	0	30315	952	0	14199	538	0	28493	810	0	26793	746	0	15794	553	0	15849	589	0	24768	664	0	23850	741	0	30674	854	0	9842	479	0	11771	385	0	9062	438	0	8820	414	0	834	169	0.07258	10125	468	0	5853	373	0	4815	292	0	5016	259	0	8352	263	0	23957	594	0	9194	201	0	5097	175	0
ABO_E110_F	7832	500	0	5240	512	0	6634	364	0	6789	414	0	12051	350	0	8952	250	0	7470	271	0	6705	384	0	5507	564	0	5576	240	0	19989	657	0	27781	1071	0	28382	1092	0	23672	697	0	28709	941	0	22773	640	0	27489	802	0	28932	1107	0	27082	937	0	27243	1074	0	26190	747	0	25464	1088	0	37244	910	0	7898	384	0	8769	299	0	4597	1001	0	8300	312	0	609	4223	0	864	5048	0	6549	496	0	5904	1048	0	5076	218	0	5869	380	0	28307	626	0	10516	185	0	8295	210	0
ABO_P312_F	2022	330	0	2196	323	0	2378	425	0	2519	290	0	4860	420	0	2756	290	0	1800	299	0	1824	308	0	1368	293	0	2691	262	0	13586	524	0	11168	1334	0	13564	516	0	9866	382	0	12135	469	0	11331	500	0	11864	501	0	10743	440	0	10563	624	0	10692	940	0	11102	482	0	10914	857	0	18914	740	0	3288	422	0	3819	306	0	2437	475	0	3350	429	0	1384	2162	0	2483	1878	0	3716	353	0	3695	290	0	1776	171	0	1819	123	0	10904	511	0	2794	204	0	2372	191	0
ACTG2_E98_R	996	2755	0	363	4930	0	550	5018	0	264	1925	0	467	2394	0	379	2089	2e-05	442	1581	0	316	6884	0	398	4147	0	232	2010	0	1106	7987	0	1385	11504	0	896	11899	0	792	14867	0	1668	14179	0	861	10456	0	1379	8276	0	771	11815	0	831	11403	0	1113	10052	0	972	9350	0	826	11663	0	1095	10529	0	400	5068	0	342	3057	0	303	5405	0	292	4875	0	309	4901	0	287	4304	0	379	6291	0	276	4280	0	380	1858	0	175	1528	0	1457	9596	0	589	1041	0.01578	476	672	0.05254
ACTG2_P346_F	1701	11441	0	1287	11775	0	1394	11180	0	1760	11433	0	1578	7547	0	1544	7212	0	1349	6536	0	1017	13373	0	772	9051	0	1365	5611	0	2979	22034	0	4406	26601	0	3590	27714	0	1720	35977	0	5113	26760	0	3430	19725	0	4873	24455	0	3059	26969	0	3679	27099	0	4241	28162	0	3538	24625	0	3425	26935	0	5561	25523	0	2091	11838	0	5953	7007	0	1647	11491	0	1229	12645	0	2723	10315	0	2069	13937	0	3438	10983	0	2697	10336	0	2224	5717	0	2033	9801	0	5411	24624	0	3272	6459	0	2993	4577	0
ACTG2_P455_R	488	13715	0	448	15375	0	498	12607	0	532	9509	0	446	6382	0	552	8538	0	370	4804	0	433	13174	0	420	8585	0	477	6728	0	515	26802	0	686	29501	0	788	27492	0	640	32312	0	1319	29141	0	881	26767	0	908	21510	0	821	25076	0	748	25121	0	886	25049	0	704	26597	0	674	27620	0	1022	28311	0	728	10272	0	665	7845	0	561	10414	0	698	7769	0	484	7322	0	697	9994	0	449	15289	0	412	8612	0	844	4782	0	212	6893	0	936	27848	0	657	7178	0	689	4278	0
ACVR1_E328_R	1110	10344	0	1047	7451	0	1272	13221	0	1026	9381	0	1355	4842	0	4798	1914	0	1223	4692	0	1136	9094	0	1047	10201	0	1211	7698	0	4666	7648	0	4542	14102	0	2129	18132	0	3174	15839	0	4915	17370	0	2838	16413	0	12048	4896	0	2148	17975	0	3450	16336	0	3121	19712	0	3824	15123	0	2167	19814	0	2876	19208	0	1120	7385	0	564	7037	0	8349	216	0	6964	698	0	604	6294	0	480	10058	0	659	5364	0	426	5677	0	376	8297	0	444	6558	0	6576	9087	0	1812	1404	0	1527	2970	0
ACVR1_P983_F	1355	10407	0	1184	13255	0	891	18779	0	1250	9475	0	1098	11422	0	1817	9313	0	941	9145	0	1766	9054	0	806	13909	0	910	9086	0	3917	9576	0	2343	26320	0	3019	22785	0	8149	11940	0	2699	28826	0	1931	18352	0	5964	11826	0	2774	22424	0	1577	30982	0	1694	30564	0	2524	26558	0	1640	26779	0	5368	18305	0	4871	2836	0	674	11451	0	8716	590	0	7580	643	0	1565	6460	0	575	14906	0	695	10403	0	4973	1763	0	379	10182	0	4500	660	0	3202	19160	0	1375	3774	0	1071	6389	0
ACVR1B_E497_R	6393	194	0	6492	323	0	6064	296	0	5546	216	0	7494	439	0	6972	442	0	5523	200	0	4963	208	0	4824	306	0	3828	228	0	8166	269	0	16199	678	0	17491	603	0	12671	456	0	17809	672	0	15923	330	0	15039	483	0	12260	657	0	11687	466	0	16566	924	0	15158	418	0	15067	709	0	20305	402	0	6134	155	0	7906	147	0	6820	173	0	4819	127	0	6546	159	0	10893	228	0	3344	138	0	3281	122	0	2134	161	0	5275	146	0	14507	613	0	3747	131	0	3426	151	0
ACVR1B_P572_R	7525	1073	0	8305	2051	0	10230	1078	0	7658	1711	0	8097	999	0	8439	682	0	4739	3486	0	6207	714	0	5305	1756	0	6158	882	0	13331	1219	0	21750	2868	0	22641	1605	0	20387	1118	0	21791	1937	0	19942	1442	0	23985	966	0	22632	1044	0	22350	2096	0	23258	1716	0	25307	1028	0	24961	1225	0	20148	6014	0	7532	3875	0	9150	432	0	8501	410	0	7451	1679	0	9782	446	0	13656	1111	0	5814	258	0	4045	2133	0	5348	762	0	9283	969	0	21430	911	0	4971	296	0	6884	394	0
ACVR1C_P115_R	7941	559	0	9472	536	0	9236	444	0	8851	608	0	9617	345	0	11627	372	0	9664	386	0	8660	607	0	6509	492	0	8175	348	0	12239	653	0	22994	891	0	27356	1159	0	25181	906	0	29439	1145	0	24097	1076	0	22578	991	0	24544	979	0	24442	1020	0	28320	1043	0	26569	818	0	20964	943	0	34140	1051	0	8708	429	0	13429	453	0	13616	496	0	12055	453	0	9678	368	0	10658	582	0	7056	457	0	5977	316	0	4385	365	0	8425	292	0	24777	741	0	5450	222	0	5575	183	0
ACVR1C_P363_F	3431	547	0	5786	468	0	5346	500	0	4014	302	0	4006	267	0	4272	285	0	5114	217	0	2680	548	0	3472	775	0	3509	545	0	10570	2418	0	13526	1848	0	14532	805	0	16871	634	0	19690	1691	0	16582	1528	0	15007	713	0	13475	1101	0	12671	905	0	13371	1242	0	14178	1096	0	14201	978	0	20209	3304	0	4875	435	0	5445	360	0	4886	1086	0	4348	319	0	3260	299	0	3695	289	0	3348	574	0	3119	249	0	2914	305	0	3521	374	0	14973	1267	0	3856	242	0	3239	354	0
ACVR2B_E27_R	9110	313	0	7622	276	0	7077	236	0	8418	379	0	7144	227	0	8003	240	0	7441	254	0	6649	318	0	6843	330	0	6178	235	0	11157	385	0	22911	439	0	21622	481	0	19293	431	0	25714	502	0	24499	483	0	24758	479	0	20150	430	0	21407	489	0	22816	506	0	21409	450	0	24409	506	0	35835	589	0	7651	222	0	9508	199	0	8833	258	0	9160	213	0	6976	219	0	12846	286	0	7499	225	0	9473	242	0	3678	215	0	5595	167	0	23575	427	0	4219	135	0	4957	153	0
ACVR2B_P676_F	6491	641	0	7885	1001	0	7623	700	0	6473	278	0	7946	402	0	6465	245	0	7801	216	0	5069	748	0	4962	657	0	4282	507	0	14735	929	0	22725	943	0	19412	1513	0	18772	1058	0	18582	1251	0	19226	1740	0	22722	1194	0	18258	1203	0	20796	776	0	20832	1611	0	19729	1397	0	18858	1635	0	25335	2342	0	6391	404	0	7858	390	0	6940	406	0	7591	433	0	5964	422	0	10172	619	0	6351	485	0	6604	643	0	2079	273	0	5847	343	0	22272	1074	0	5524	421	0	3934	346	0
ADAMTS12_E52_R	3878	6875	0	8025	3375	0	7648	1017	0	4242	6821	0	10429	847	0	11638	1942	0	7148	2133	0	5771	2389	0	7228	1701	0	8521	718	0	25867	1676	0	31832	2379	0	32386	4632	0	47503	717	0	32121	5349	0	17702	10403	0	12827	15484	0	29686	2875	0	24433	5943	0	26589	3690	0	26433	6001	0	29020	3457	0	21456	8195	0	10343	3481	0	757	11167	0	3669	7495	0	7163	3627	0	492	10953	0	2579	11818	0	717	10566	0	4454	4510	0	4506	3771	0	2111	8456	0	34970	1312	0	11603	394	0	6350	472	0
ADAMTS12_P250_R	5028	3228	0	7816	306	0	6673	383	0	7492	339	0	7624	218	0	9731	747	0	7307	916	0	7163	284	0	6691	485	0	7798	453	0	21296	2167	0	30013	777	0	30096	2119	0	43322	571	0	33130	994	0	26725	823	0	13298	8790	0	30429	879	0	28178	878	0	29108	829	0	28942	1173	0	27380	585	0	38342	714	0	9779	306	0	978	7462	0	9111	617	0	9601	215	0	804	6047	0	14368	565	0	3482	1341	0	6154	400	0	6492	248	0	6624	915	0	31606	700	0	8552	161	0	6009	157	0
ADCYAP1_E163_R	5256	3054	0	7548	288	0	8270	504	0	6462	288	0	8850	277	0	7313	209	0	4906	163	0	4872	575	0	4274	756	0	5789	205	0	13860	318	0	21782	431	0	23835	475	0	27991	403	0	24589	476	0	20919	427	0	13376	338	0	17531	380	0	21680	381	0	19744	513	0	18895	346	0	20690	423	0	29595	534	0	7946	985	0	4998	604	0	9689	216	0	5299	1463	0	7074	237	0	12793	428	0	9032	272	0	6017	296	0	5444	325	0	5848	158	0	20767	338	0	6885	134	0	5119	112	0
ADCYAP1_P398_F	2561	4636	0	4771	1213	0	5697	448	0	1916	7212	0	4404	439	0	4950	2384	0	2971	1736	0	4196	202	0	4003	598	0	3544	200	0	12942	329	0	16771	1388	0	13606	5253	0	20972	522	0	17418	2451	0	14030	961	0	5418	15305	0	9398	8736	0	13795	2782	0	14412	2461	0	12815	2575	0	14261	1569	0	21723	611	0	2750	3477	0	643	4000	0	7201	247	0	1630	6902	0	4879	230	0	7553	313	0	6113	230	0	3449	135	0	3298	199	0	4419	164	0	17247	698	0	5694	175	0	4685	484	0
