	MFO.0	MFC.1	SD0.0	SD1.1	logOR.ADCY2	Pval.ADCY2	CI_upper.ADCY2	CI_lower.ADCY2	Sen	Spec	AUC
PEG3	0.604410971430802	0.63463011891049	0.0621474161004681	0.0848029431780868	2.44312491224891	0.0051364123620784	4.2231734922719	0.785080790133392	0.384615384615385	0.883495145631068	0.634895444361464
PITX2	0.132736024491677	0.363350170261264	0.0420637272087595	0.183394624372658	9.28830022792349	1.41727528545802e-09	12.6795851745188	6.63173854646619	0.826923076923077	0.922330097087379	0.899551904406273
POU4F3	0.130636867425747	0.366728433013432	0.0393885955071565	0.175648339323041	9.78256571195877	7.46074622242458e-10	13.3120399444057	7.04667608256997	0.846153846153846	0.932038834951456	0.914581777445855
RBMY1F	0.816386067977801	0.823422907052811	0.0189663909920124	0.031815385186355	4.59319390051373	0.0591359909625133	9.56055556710354	-0.0404326965533859	0.528846153846154	0.728155339805825	0.615104555638536
SATB2.AS1	0.12622565646316	0.382837742798885	0.0421150296442363	0.178450356877858	11.9825240175413	8.50721345948971e-12	15.7863724799479	8.87970591445927	0.893203883495146	0.883495145631068	0.864077669902913
SHOX2	0.184558795079455	0.470439060490401	0.0447999622924435	0.176812566145996	10.465354902535	1.76214761864276e-11	13.8906380425727	7.74559659380075	0.894230769230769	0.941747572815534	0.950896191187453
SIM1	0.213002521243059	0.431256643360978	0.0508555074961415	0.166334466052166	8.90189492148238	1.82299769430737e-11	11.7708111200374	6.55354987174262	0.75	0.980582524271845	0.900205377147125
SLC2A14	0.110898686112433	0.290707892423546	0.0435806781461421	0.15198723609595	10.3723143760922	3.47671778689889e-10	13.9783357230249	7.47219550866415	0.807692307692308	0.912621359223301	0.899178491411501
SPEG	0.0953527009172504	0.257046617854472	0.0260060726537518	0.175398341173939	10.9778079827552	2.0317784257087e-08	15.2076751999637	7.52980739645226	0.769230769230769	0.922330097087379	0.831777445855116
TFAP2E	0.120200233126731	0.388257697008789	0.0854837772630617	0.186821644243776	5.64672147284997	7.75454039876642e-13	7.34261269283601	4.2398834742681	0.903846153846154	0.844660194174757	0.904312920089619
TRH	0.067768217755076	0.244070841345252	0.0322672131963102	0.155152509749873	14.418432872173	3.36199294709315e-10	19.4425641404825	10.3895881250859	0.846153846153846	0.941747572815534	0.918035847647498
TRIM58	0.101877159774002	0.42123443581935	0.043437341137511	0.212176076573143	8.10105199328937	8.94923734730323e-11	10.8613479091771	5.93005506699164	0.875	0.932038834951456	0.909073935772965
UMOD	0.201867464875396	0.406224776376623	0.0624370286808119	0.185757323415949	6.05586223991749	2.30718612115092e-11	7.99005576907243	4.4264297624854	0.788461538461538	0.922330097087379	0.847647498132935
ZNF518B	0.10537510970629	0.246361796515412	0.0444864627243941	0.191265361082001	4.31405326932926	1.46036465291971e-07	6.09661461530041	2.86151528243647	0.586538461538462	0.941747572815534	0.680731889469753
cg01185433	0.0824658894706564	0.244446196740432	0.0427681437224896	0.194436848340873	4.93826783929621	3.66269675868219e-08	6.88751246333633	3.35461013379014	0.5625	0.96039603960396	0.726588283828383
cg01541645	0.180334282314896	0.410014635496588	0.035455511117008	0.168129667165255	12.1160224887412	9.61897981370474e-10	16.4518932474257	8.65849554476435	0.826923076923077	0.932038834951456	0.91962285287528
cg02164574	0.0912906574732269	0.246207952319411	0.0386250490096271	0.17697711518632	7.97215243777799	4.28153571939253e-09	10.8764153370776	5.54574016171474	0.730769230769231	0.87378640776699	0.811053024645258
cg06422883	0.12025839299416	0.341610709695761	0.0543159693267959	0.185817431225209	7.95416947110377	9.1113226260378e-12	10.4583793312224	5.86438368602699	0.855769230769231	0.902912621359223	0.881534727408514
cg06962177	0.163765315984912	0.435855609274059	0.0398347711019859	0.194916720341914	10.0928591338664	5.04183962610768e-10	13.6656734120884	7.27492272185243	0.817307692307692	0.970873786407767	0.913088125466766
cg07152216	0.135856885615924	0.363972801044685	0.0397953409517291	0.177445220837688	8.64099256281229	1.20090602851324e-10	11.5835295839448	6.2935049192577	0.855769230769231	0.922330097087379	0.881908140403286
cg07870999	0.10836425813845	0.271163508431268	0.0239455184597633	0.142805745485084	15.5328118199112	6.92115747787229e-10	21.041514252824	11.1199991691648	0.865384615384615	0.922330097087379	0.898805078416729
cg08855395	0.212899732357895	0.478095269598207	0.0572164360709377	0.21631995995453	5.67645004585015	1.15234343737889e-10	7.59657795609798	4.12729163900447	0.769230769230769	0.941747572815534	0.857356235997013
cg09765089	0.131072523666003	0.405567078572958	0.0346552840725286	0.18540168999619	12.1733858885781	1.6380672634065e-09	16.6363151413565	8.68058355548933	0.875	0.961165048543689	0.933812546676624
cg11502555	0.154444668018523	0.384339740653771	0.0360947938260991	0.166521384238567	12.0413802884068	5.40893734744475e-10	16.3435050564553	8.68656956557676	0.894230769230769	0.932038834951456	0.928024645257655
cg12071888	0.113635708382665	0.297557040603205	0.0239117678290271	0.168644049724538	11.3489892344637	1.07938810644002e-08	15.7451552613311	7.92281158180119	0.788461538461538	0.951456310679612	0.849514563106796
