Pvalue.pair	Statistic.pair	mean1.pair	mean2.pair	SD1.pair	SD2.pair	FDR.pair	Pvalue.single	Statistic.single	mean1.single	mean2.single	SD1.single	SD2.single	FDR.single	V1	V2	V3	V4	V5	V6	V7
3.224523e-14	0.263	0.317	0.055	0.161	0.027	7.327562e-13	4.090473e-97	0.263	0.318	0.055	0.174	0.027	5.254924e-95	chr1	120839380	120839381	cg00198436	FAM72B	Island	II
8.351474e-10	0.227	0.391	0.164	0.2	0.067	7.643681e-09	4.550074e-39	0.248	0.412	0.164	0.203	0.067	4.980172e-38	chr9	88137984	88137985	cg00201468	cg00201468	Island	II
5.626043e-07	0.172	0.288	0.115	0.199	0.021	3.018775e-06	1.994609e-43	0.152	0.268	0.115	0.19	0.021	2.617957e-42	chr12	6054731	6054732	cg00216961	ANO2	NA	II
1.559373e-09	0.253	0.384	0.131	0.226	0.055	1.354415e-08	1.316276e-55	0.276	0.407	0.131	0.203	0.055	2.8527e-54	chrY	4868996	4868997	cg00223952	PCDH11Y	N_Shore	II
1.283266e-07	0.179	0.229	0.05	0.192	0.011	7.781266e-07	3.113297e-59	0.2	0.25	0.05	0.209	0.011	7.844443e-58	chr13	24845891	24845892	cg00225623	SPATA13	NA	II
2.245185e-07	0.198	0.263	0.066	0.218	0.017	1.301961e-06	1.533279e-48	0.18	0.246	0.066	0.213	0.017	2.487214e-47	chr5	34657676	34657677	cg00227578	RAI14	S_Shore	I
2.650185e-15	0.376	0.487	0.111	0.205	0.066	7.719685e-14	6.239115e-60	0.361	0.472	0.111	0.211	0.066	1.621986e-58	chr11	132934139	132934140	cg00232735	OPCML	Island	I
7.853467e-18	0.477	0.544	0.067	0.233	0.02	4.491673e-16	8.246713e-152	0.472	0.539	0.067	0.229	0.02	1.657987e-148	chr7	19157296	19157297	cg00240432	TWIST1	Island	II
1.080786e-15	0.35	0.422	0.072	0.191	0.031	3.482723e-14	4.535696e-115	0.355	0.427	0.072	0.204	0.031	1.344634e-112	chr5	1883413	1883414	cg00243313	IRX4	Island	II
3.020763e-12	0.296	0.41	0.114	0.206	0.042	4.461563e-11	1.40073e-73	0.286	0.4	0.114	0.21	0.042	6.498537e-72	chr20	2674548	2674549	cg00246386	EBF4	Island	I
1.173005e-19	0.535	0.595	0.06	0.227	0.028	1.171718e-17	6.836939e-155	0.524	0.583	0.06	0.244	0.028	1.574344e-151	chr16	56228498	56228499	cg00246932	DKFZP434H168	S_Shelf	I
4.78383e-08	0.308	0.347	0.039	0.315	0.015	3.144847e-07	1.683608e-53	0.279	0.318	0.039	0.314	0.015	3.352361e-52	chr11	627152	627153	cg00249511	SCT	Island	I
6.240544e-21	0.425	0.576	0.151	0.161	0.049	9.565252e-19	4.984863e-92	0.423	0.574	0.151	0.165	0.049	5.033987e-90	chr15	28352347	28352348	cg00250422	cg00250422	Island	II
9.537804e-15	0.325	0.417	0.092	0.187	0.045	2.445219e-13	2.223925e-83	0.331	0.423	0.092	0.199	0.045	1.558971e-81	chr5	158527817	158527818	cg00251610	EBF1	Island	I
1.202842e-10	0.254	0.303	0.049	0.217	0.036	1.292643e-09	2.041276e-80	0.299	0.348	0.049	0.227	0.036	1.255986e-78	chr12	103889655	103889656	cg00259618	C12orf42	Island	I
4.301648e-11	0.293	0.321	0.028	0.222	0.012	5.048095e-10	9.659152e-88	0.284	0.312	0.028	0.223	0.012	8.162262e-86	chr16	58498574	58498575	cg00262031	NDRG4	Island	I
2.466795e-15	0.34	0.375	0.036	0.189	0.013	7.24517e-14	6.814652e-121	0.328	0.364	0.036	0.197	0.013	2.680283e-118	chr5	1883514	1883515	cg00264591	IRX4	Island	I
2.038137e-17	0.284	0.343	0.059	0.139	0.02	1.034834e-15	1.862214e-111	0.258	0.317	0.059	0.161	0.02	4.598241e-109	chr8	85095275	85095276	cg00266009	RALYL	N_Shore	II
3.775717e-17	0.291	0.525	0.234	0.118	0.07	1.781333e-15	1.350808e-37	0.27	0.504	0.234	0.147	0.07	1.392452e-36	chr5	32713723	32713724	cg00266286	NPR3	Island	I
3.00196e-08	0.283	0.309	0.026	0.283	0.009	2.049067e-07	2.951684e-68	0.3	0.326	0.026	0.285	0.009	1.084068e-66	chr17	72889549	72889550	cg00266322	FADS6	Island	I
5.399237e-14	0.433	0.588	0.155	0.255	0.08	1.166575e-12	1.975106e-57	0.425	0.58	0.155	0.248	0.08	4.609725e-56	chr11	44332653	44332654	cg00268840	ALX4	Island	I
5.602193e-12	0.388	0.493	0.105	0.288	0.062	7.837075e-11	7.372961e-52	0.318	0.423	0.105	0.302	0.062	1.369944e-50	chr22	28196834	28196835	cg00278028	MN1	Island	I
8.173451e-07	0.245	0.28	0.035	0.284	0.057	4.252838e-06	2.333888e-42	0.256	0.292	0.035	0.279	0.057	2.929676e-41	chr5	140855562	140855563	cg00281842	PCDHGA4	Island	I
4.106154e-14	0.278	0.664	0.387	0.149	0.087	9.108905e-13	8.616176e-30	0.275	0.662	0.387	0.152	0.087	6.409296e-29	chr9	100611516	100611517	cg00282510	cg00282510	Island	II
5.23285e-21	0.442	0.544	0.102	0.169	0.042	8.244028e-19	9.2954e-112	0.412	0.514	0.102	0.209	0.042	2.340485e-109	chr13	53420425	53420426	cg00287312	PCDH8	Island	II
4.497138e-13	0.208	0.528	0.32	0.094	0.096	7.876703e-12	5.463811e-20	0.211	0.531	0.32	0.124	0.096	2.672394e-19	chr15	26108663	26108664	cg00288824	ATP10A	Island	II
2.20408e-10	0.286	0.328	0.042	0.229	0.04	2.255067e-09	8.603835e-63	0.267	0.309	0.042	0.241	0.04	2.526264e-61	chr1	224804226	224804227	cg00290506	CNIH3	Island	I
1.382395e-09	0.183	0.413	0.231	0.13	0.072	1.212048e-08	7.391685e-26	0.193	0.423	0.231	0.14	0.072	4.661393e-25	chr1	77333749	77333750	cg00294096	ST6GALNAC5	Island	II
5.945812e-07	0.218	0.24	0.022	0.25	0.013	3.175555e-06	8.738671e-54	0.19	0.212	0.022	0.213	0.013	1.759395e-52	chr1	152487909	152487910	cg00302521	CRCT1	N_Shore	I
6.613135e-18	0.301	0.43	0.129	0.14	0.05	3.860895e-16	2.720807e-63	0.287	0.416	0.129	0.16	0.05	8.172429e-62	chr4	96470053	96470054	cg00329039	UNC5C	Island	II
2.137904e-17	0.417	0.486	0.069	0.202	0.04	1.077289e-15	3.033637e-121	0.429	0.498	0.069	0.195	0.04	1.216111e-118	chr3	134369919	134369920	cg00329270	KY	Island	I
3.159512e-21	0.423	0.563	0.14	0.156	0.072	5.414851e-19	2.434354e-50	0.429	0.57	0.14	0.136	0.072	4.246663e-49	chr15	28352558	28352559	cg00330492	cg00330492	Island	I
6.591721e-13	0.338	0.501	0.162	0.226	0.076	1.1158e-11	8.90431e-46	0.322	0.485	0.162	0.229	0.076	1.287252e-44	chr8	25909599	25909600	cg00333512	cg00333512	Island	I
3.871864e-16	0.402	0.466	0.064	0.205	0.043	1.403226e-14	2.934244e-118	0.442	0.506	0.064	0.205	0.043	1.000992e-115	chr5	16180048	16180049	cg00339556	cg00339556	Island	I
2.427879e-12	0.327	0.352	0.024	0.23	0.005	3.653765e-11	1.639773e-92	0.31	0.334	0.024	0.233	0.005	1.697039e-90	chr17	21280591	21280592	cg00350003	KCNJ12	Island	I
1.525512e-09	0.241	0.281	0.041	0.212	0.008	1.3271e-08	3.189993e-62	0.227	0.268	0.041	0.231	0.008	9.145455e-61	chr19	8274460	8274461	cg00351011	LASS4	Island	II
2.39008e-13	0.375	0.497	0.122	0.217	0.105	4.45262e-12	4.60818e-33	0.352	0.474	0.122	0.221	0.105	3.922752e-32	chr16	66638320	66638321	cg00355909	CMTM3	Island	I
3.352647e-16	0.307	0.63	0.324	0.106	0.115	1.234765e-14	1.353411e-23	0.311	0.635	0.324	0.116	0.115	7.720897e-23	chr7	751833	751834	cg00356183	PRKAR1B	Island	I
1.254666e-23	0.386	0.506	0.12	0.127	0.049	5.27421e-21	3.737591e-86	0.371	0.491	0.12	0.182	0.049	2.945928e-84	chr7	89747958	89747959	cg00358442	DPY19L2P4	Island	I
4.568521e-07	0.191	0.246	0.055	0.219	0.011	2.495575e-06	6.866805e-43	0.163	0.217	0.055	0.212	0.011	8.809605e-42	chr14	90528870	90528871	cg00364611	KCNK13	Island	II
6.366267e-08	0.275	0.319	0.044	0.274	0.061	4.090019e-07	8.805151e-47	0.285	0.329	0.044	0.283	0.061	1.326971e-45	chr10	28287879	28287880	cg00366818	ARMC4	Island	I
1.251344e-09	0.264	0.399	0.135	0.232	0.055	1.106552e-08	6.138439e-45	0.244	0.379	0.135	0.241	0.055	8.574828e-44	chr7	64734674	64734675	cg00368636	cg00368636	Island	I
2.252723e-20	0.428	0.541	0.114	0.164	0.053	2.850558e-18	2.596692e-83	0.417	0.531	0.114	0.171	0.053	1.8145e-81	chr13	112758379	112758380	cg00368687	cg00368687	N_Shore	II
7.719408e-27	0.469	0.597	0.127	0.129	0.075	1.491408e-23	1.713548e-52	0.473	0.6	0.127	0.141	0.075	3.272622e-51	chr6	29521602	29521603	cg00370229	cg00370229	Island	I
2.104954e-08	0.196	0.246	0.049	0.195	0.013	1.478608e-07	1.762946e-58	0.18	0.229	0.049	0.189	0.013	4.300044e-57	chr17	35014438	35014439	cg00371418	cg00371418	Island	II
1.921646e-05	0.166	0.199	0.034	0.232	0.008	7.652982e-05	4.090175e-45	0.176	0.21	0.034	0.223	0.009	5.754796e-44	chr19	7854482	7854483	cg00371453	CLEC4GP1	Island	I
7.338396e-08	0.233	0.345	0.112	0.263	0.059	4.658869e-07	1.020353e-49	0.279	0.391	0.112	0.251	0.059	1.73885e-48	chr11	126873379	126873380	cg00373707	cg00373707	Island	I
3.014127e-13	0.284	0.531	0.246	0.174	0.066	5.485664e-12	4.384983e-47	0.3	0.546	0.246	0.168	0.066	6.698829e-46	chr12	106979451	106979452	cg00379648	RFX4	Island	I
2.952731e-13	0.258	0.326	0.068	0.172	0.019	5.385308e-12	3.497938e-105	0.265	0.333	0.068	0.176	0.019	6.492084e-103	chr10	57391271	57391272	cg00383384	cg00383384	S_Shore	I
2.349614e-15	0.455	0.604	0.149	0.209	0.107	6.940631e-14	9.846852e-40	0.458	0.607	0.149	0.203	0.107	1.109024e-38	chr8	70983567	70983568	cg00384539	PRDM14	Island	I
9.977973e-09	0.185	0.406	0.22	0.157	0.073	7.46421e-08	1.611845e-23	0.178	0.399	0.22	0.157	0.074	9.165895e-23	chr3	192126244	192126245	cg00386551	FGF12	Island	II
9.995028e-10	0.306	0.329	0.022	0.264	0.014	9.009287e-09	8.237436e-57	0.253	0.276	0.022	0.273	0.014	1.871807e-55	chr11	8615694	8615695	cg00393798	STK33	Island	I
5.378894e-06	0.198	0.217	0.018	0.257	0.002	2.387395e-05	6.638147e-40	0.176	0.194	0.018	0.241	0.002	7.534209e-39	chr5	139283681	139283682	cg00394358	NRG2	Island	I
4.132141e-07	0.18	0.384	0.204	0.213	0.073	2.274725e-06	9.444672e-20	0.162	0.366	0.204	0.225	0.073	4.572541e-19	chr12	48592465	48592466	cg00395210	cg00395210	Island	II
4.088223e-12	0.276	0.338	0.062	0.198	0.024	5.883087e-11	5.188061e-96	0.271	0.333	0.062	0.19	0.024	6.297301e-94	chr19	57862484	57862485	cg00397851	ZNF304	Island	II
1.327535e-12	0.305	0.453	0.148	0.195	0.068	2.109235e-11	8.305911e-47	0.295	0.444	0.148	0.206	0.068	1.253212e-45	chr8	11561593	11561594	cg00397986	GATA4	Island	I
7.042992e-11	0.241	0.436	0.195	0.191	0.067	7.919042e-10	3.489531e-46	0.298	0.493	0.195	0.172	0.067	5.13041e-45	chr7	96650323	96650324	cg00400832	DLX5	Island	I
5.392235e-06	0.164	0.515	0.351	0.203	0.069	2.392646e-05	1.362323e-21	0.161	0.511	0.351	0.203	0.069	7.143764e-21	chr5	100239919	100239920	cg00405699	ST8SIA4	S_Shore	II
1.933711e-09	0.246	0.301	0.055	0.217	0.017	1.650095e-08	1.732414e-62	0.221	0.276	0.055	0.222	0.017	5.027466e-61	chr17	6735063	6735064	cg00414171	TEKT1	NA	II
1.360845e-11	0.221	0.288	0.067	0.166	0.018	1.759772e-10	3.552738e-77	0.213	0.28	0.067	0.182	0.018	1.914703e-75	chr15	89950542	89950543	cg00414898	cg00414898	Island	II
1.038936e-29	0.583	0.688	0.105	0.124	0.067	8.068357e-26	9.864888e-66	0.553	0.658	0.105	0.141	0.067	3.270939e-64	chr8	97172961	97172962	cg00421139	GDF6	Island	I
9.718051e-08	0.309	0.35	0.041	0.326	0.016	6.029954e-07	2.875195e-51	0.271	0.311	0.041	0.313	0.016	5.2034e-50	chr19	49646246	49646247	cg00421363	PPFIA3	Island	I
7.770752e-10	0.283	0.336	0.053	0.245	0.037	7.151009e-09	3.234016e-63	0.262	0.315	0.053	0.241	0.037	9.68603e-62	chr19	17392656	17392657	cg00433770	ANKLE1	Island	I
1.324774e-07	0.189	0.502	0.313	0.174	0.089	8.009413e-07	4.944303e-16	0.158	0.471	0.313	0.198	0.089	2.031016e-15	chr6	26240505	26240506	cg00436476	HIST1H4F	N_Shore	I
6.556311e-08	0.211	0.259	0.047	0.221	0.012	4.20262e-07	9.787027e-56	0.202	0.25	0.047	0.221	0.012	2.131709e-54	chr4	174451398	174451399	cg00443971	HAND2	Island	II
4.188268e-05	0.186	0.229	0.042	0.275	0.006	0.0001557216	2.970196e-36	0.173	0.215	0.042	0.252	0.006	2.89509e-35	chr6	34433789	34433790	cg00444847	PACSIN1	Island	II
4.524007e-10	0.259	0.342	0.083	0.224	0.023	4.356751e-09	1.272563e-60	0.23	0.314	0.083	0.233	0.023	3.401847e-59	chr13	25322015	25322016	cg00449798	cg00449798	Island	II
1.759621e-16	0.407	0.595	0.188	0.21	0.077	6.970637e-15	1.581213e-52	0.371	0.559	0.188	0.243	0.077	3.024695e-51	chr12	106979062	106979063	cg00450784	RFX4	N_Shore	I
6.307438e-12	0.363	0.386	0.023	0.262	0.008	8.731451e-11	1.844378e-68	NA	NA	0.023	NA	0.008	6.828957e-67	chr11	8615685	8615686	cg00450824	STK33	Island	I
1.391331e-11	0.317	0.39	0.073	0.236	0.031	1.796087e-10	1.219306e-84	0.303	0.376	0.073	0.233	0.031	9.001387e-83	chr11	94474125	94474126	cg00455452	cg00455452	Island	II
2.089229e-16	0.365	0.719	0.353	0.146	0.158	8.120417e-15	1.292078e-20	0.368	0.722	0.353	0.151	0.158	6.493014e-20	chr2	176936581	176936582	cg00459623	cg00459623	Island	I
8.69828e-08	0.224	0.393	0.169	0.234	0.039	5.449013e-07	2.558662e-62	0.249	0.418	0.169	0.219	0.04	7.367477e-61	chr1	66998806	66998807	cg00460049	SGIP1	Island	II
8.210335e-15	0.331	0.363	0.032	0.194	0.015	2.138656e-13	3.345242e-119	0.339	0.371	0.032	0.206	0.015	1.200121e-116	chr15	79724794	79724795	cg00462168	KIAA1024	Island	I
1.807769e-05	0.156	0.249	0.093	0.225	0.054	7.235479e-05	2.906801e-18	0.124	0.217	0.093	0.21	0.054	1.319733e-17	chr6	74161911	74161912	cg00463577	C6orf150	Island	II
4.624886e-05	0.187	0.225	0.038	0.277	0.005	0.0001704387	2.63536e-40	0.203	0.241	0.038	0.277	0.005	3.040945e-39	chr8	65494451	65494452	cg00465841	BHLHE22	Island	II
2.473498e-12	0.324	0.371	0.047	0.225	0.019	3.715923e-11	1.653106e-86	0.302	0.349	0.047	0.239	0.019	1.324307e-84	chr1	65731689	65731690	cg00466108	DNAJC6	Island	I
2.441962e-07	0.214	0.236	0.022	0.236	0.006	1.405922e-06	3.261236e-52	0.196	0.218	0.022	0.225	0.006	6.165154e-51	chr19	11592764	11592765	cg00466364	ELAVL3	Island	I
4.295949e-17	0.537	0.589	0.051	0.265	0.05	1.99774e-15	5.171101e-124	0.551	0.603	0.051	0.258	0.05	2.356838e-121	chr7	152622455	152622456	cg00469207	cg00469207	Island	I
2.203202e-08	0.2	0.216	0.016	0.197	0.003	1.541907e-07	5.183518e-55	0.179	0.195	0.016	0.198	0.003	1.096342e-53	chr12	133464685	133464686	cg00470794	CHFR	Island	I
3.077972e-15	0.433	0.511	0.077	0.244	0.033	8.839656e-14	8.078308e-104	0.384	0.461	0.077	0.252	0.033	1.400234e-101	chr21	28217676	28217677	cg00472814	ADAMTS1	Island	II
6.467625e-12	0.247	0.362	0.115	0.185	0.027	8.931037e-11	1.862862e-67	0.217	0.332	0.115	0.195	0.027	6.646977e-66	chr7	24796494	24796495	cg00473134	DFNA5	N_Shore	II
2.725909e-08	0.154	0.301	0.147	0.159	0.033	1.875184e-07	8.764924e-51	0.167	0.314	0.147	0.161	0.033	1.555392e-49	chr5	180017227	180017228	cg00480161	SCGB3A1	Island	II
2.613916e-14	0.43	0.506	0.075	0.267	0.018	6.051088e-13	1.850039e-120	0.449	0.525	0.075	0.271	0.018	7.113939e-118	chr15	53077609	53077610	cg00488788	ONECUT1	Island	I
5.293813e-19	0.393	0.473	0.079	0.175	0.042	4.362659e-17	2.565506e-101	0.375	0.454	0.079	0.212	0.042	3.935349e-99	chr2	164592854	164592855	cg00490655	FIGN	N_Shore	I
