#node1	node2	node1_string_id	node2_string_id	node1_external_id	node2_external_id	neighborhood	fusion	cooccurence	homology	coexpression	experimental	knowledge	textmining	combined_score
ARF6	EXOC4	1847953	1844259	ENSP00000298316	ENSP00000253861	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.388	0.936
CDC42	ARHGAP22	1849707	1843969	ENSP00000314458	ENSP00000249601	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.266	0.923
PPP2R2B	RAF1	1851897	1844086	ENSP00000336591	ENSP00000251849	0.000	0.000	0.000	0.000	0.000	0.573	0.900	0.299	0.967
PLD3	PPAP2C	1853368	1851176	ENSP00000348901	ENSP00000329697	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ABR	ARHGAP15	1848581	1847533	ENSP00000303909	ENSP00000295095	0.000	0.000	0.000	0.693	0.000	0.000	0.900	0.202	0.905
HTR2A	GPR132	1856916	1851080	ENSP00000367959	ENSP00000328818	0.000	0.000	0.000	0.624	0.000	0.000	0.900	0.000	0.900
ARHGAP22	KALRN	1843969	1843581	ENSP00000249601	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.074	0.903
ABR	KALRN	1848581	1843581	ENSP00000303909	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.235	0.920
WIPF2	ACTR3	1850295	1845311	ENSP00000320924	ENSP00000263238	0.000	0.000	0.000	0.000	0.000	0.199	0.900	0.127	0.923
CDH4	CDH6	1854013	1845681	ENSP00000353656	ENSP00000265071	0.000	0.000	0.000	0.843	0.000	0.000	0.900	0.593	0.909
PIWIL2	MOV10L1	1853409	1845215	ENSP00000349208	ENSP00000262794	0.000	0.000	0.000	0.000	0.000	0.343	0.000	0.884	0.920
AK4	PDE4A	1850420	1846154	ENSP00000322175	ENSP00000270474	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HNRNPA2B1	HNRNPM	1853084	1850730	ENSP00000346694	ENSP00000325376	0.000	0.000	0.000	0.000	0.090	0.000	0.900	0.432	0.943
PRKACB	NFKB1	1855328	1843094	ENSP00000359719	ENSP00000226574	0.000	0.000	0.000	0.000	0.071	0.082	0.900	0.222	0.924
DGKD	CHPT1	1845472	1843189	ENSP00000264057	ENSP00000229266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
OBSCN	CALM1	1862970	1853445	ENSP00000455507	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.691	0.000	0.724	0.911
HLA-DRB1	DYNC1H1	1853944	1853378	ENSP00000353099	ENSP00000348965	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MCL1	ERBB2	1854935	1846101	ENSP00000358022	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.905	0.905
HNRNPA2B1	PRPF6	1853084	1845854	ENSP00000346694	ENSP00000266079	0.000	0.000	0.000	0.000	0.000	0.189	0.900	0.143	0.924
ORC1	CCNE1	1855507	1845190	ENSP00000360621	ENSP00000262643	0.000	0.000	0.000	0.000	0.223	0.000	0.900	0.283	0.939
PCM1	TUBA1A	1850891	1848244	ENSP00000327077	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.116	0.907
COL23A1	COL18A1	1857880	1853197	ENSP00000375069	ENSP00000347665	0.000	0.000	0.000	0.621	0.000	0.000	0.900	0.228	0.907
CDC42	PAK2	1849707	1849679	ENSP00000314458	ENSP00000314067	0.000	0.000	0.000	0.000	0.000	0.996	0.900	0.889	0.999
LPAR1	OPRL1	1853763	1851923	ENSP00000351755	ENSP00000336764	0.000	0.000	0.000	0.636	0.000	0.000	0.900	0.000	0.900
HNRNPUL1	RNPS1	1857971	1848328	ENSP00000375863	ENSP00000301730	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ERBB2	ESR1	1846101	1842435	ENSP00000269571	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.613	0.000	0.981	0.992
HTR2A	TRIO	1856916	1852198	ENSP00000367959	ENSP00000339299	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.064	0.902
CALM1	CACNA1C	1853445	1845866	ENSP00000349467	ENSP00000266376	0.000	0.000	0.000	0.000	0.000	0.823	0.800	0.281	0.972
LPAR1	TRIO	1853763	1852198	ENSP00000351755	ENSP00000339299	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.064	0.902
PDCD5	KAT5	1863943	1852315	ENSP00000466214	ENSP00000340330	0.000	0.000	0.000	0.000	0.000	0.588	0.000	0.919	0.965
HNRNPA2B1	RNPS1	1853084	1848328	ENSP00000346694	ENSP00000301730	0.000	0.000	0.000	0.000	0.135	0.103	0.900	0.207	0.930
HRG	TGFB1	1843307	1842869	ENSP00000232003	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.134	0.909
INPP5B	TRIO	1855808	1852198	ENSP00000362115	ENSP00000339299	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PDGFB	ACTR3	1851250	1845311	ENSP00000330382	ENSP00000263238	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NPY1R	GPR17	1854180	1846273	ENSP00000354652	ENSP00000272644	0.000	0.000	0.000	0.643	0.000	0.000	0.900	0.000	0.900
PRKAG1	PRKAG2	1850588	1847092	ENSP00000323867	ENSP00000287878	0.000	0.000	0.000	0.978	0.000	0.941	0.900	0.136	0.993
POLE4	ITPA	1861462	1857158	ENSP00000420176	ENSP00000369456	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
FKBP1A	NFATC1	1857423	1850967	ENSP00000371138	ENSP00000327850	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.354	0.932
CNR2	GRM8	1856124	1852779	ENSP00000363596	ENSP00000344173	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.140	0.910
PSMB11	PABPC1	1859133	1849591	ENSP00000386212	ENSP00000313007	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RHEB	RAF1	1845084	1844086	ENSP00000262187	ENSP00000251849	0.000	0.000	0.000	0.000	0.000	0.983	0.000	0.883	0.998
FOXA1	ESR1	1844009	1842435	ENSP00000250448	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.929	0.992
OAS2	IFITM1	1852576	1851288	ENSP00000342278	ENSP00000330825	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.328	0.929
NOTCH4	DLL4	1856221	1843973	ENSP00000364163	ENSP00000249749	0.000	0.000	0.000	0.686	0.000	0.624	0.900	0.882	0.971
RHOT2	ARHGAP15	1850404	1847533	ENSP00000321971	ENSP00000295095	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
SCD	PPARG	1855232	1847090	ENSP00000359380	ENSP00000287820	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.931	0.931
EPHB2	KALRN	1856154	1843581	ENSP00000363763	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.384	0.971
LPAR6	GPR132	1852804	1851080	ENSP00000344353	ENSP00000328818	0.000	0.000	0.000	0.733	0.000	0.000	0.900	0.000	0.900
OR5P2	OR6F1	1851396	1848751	ENSP00000331823	ENSP00000305640	0.000	0.000	0.000	0.903	0.000	0.000	0.900	0.000	0.900
KCNAB1	KCNQ2	1861449	1853793	ENSP00000419952	ENSP00000352035	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.427	0.940
OPRL1	GPR17	1851923	1846273	ENSP00000336764	ENSP00000272644	0.000	0.000	0.000	0.722	0.000	0.000	0.900	0.000	0.900
CDC42	ABR	1849707	1848581	ENSP00000314458	ENSP00000303909	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.326	0.929
TRIO	KALRN	1852198	1843581	ENSP00000339299	ENSP00000240874	0.000	0.000	0.000	0.984	0.000	0.000	0.900	0.495	0.900
CNOT1	PABPC1	1850299	1849591	ENSP00000320949	ENSP00000313007	0.000	0.000	0.000	0.000	0.091	0.000	0.900	0.436	0.944
AGPAT4	DGKI	1849676	1847128	ENSP00000314036	ENSP00000288490	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.274	0.924
HNRNPUL1	HNRNPM	1857971	1850730	ENSP00000375863	ENSP00000325376	0.000	0.000	0.000	0.000	0.113	0.000	0.900	0.161	0.919
CNR2	OPRL1	1856124	1851923	ENSP00000363596	ENSP00000336764	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ERCC8	CRBN	1845673	1843306	ENSP00000265038	ENSP00000231948	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
TOLLIP	PELI2	1849729	1845946	ENSP00000314733	ENSP00000267460	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.081	0.904
IFITM3	OAS2	1858761	1852576	ENSP00000382707	ENSP00000342278	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.184	0.914
OR5P2	OR5A2	1851396	1848575	ENSP00000331823	ENSP00000303834	0.000	0.000	0.000	0.930	0.000	0.000	0.900	0.000	0.900
OPRL1	NPY2R	1851923	1851488	ENSP00000336764	ENSP00000332591	0.000	0.000	0.000	0.692	0.000	0.000	0.900	0.104	0.902
DCC	TRIO	1859404	1852198	ENSP00000389140	ENSP00000339299	0.000	0.000	0.000	0.609	0.000	0.323	0.900	0.547	0.943
RPL34	RNPS1	1858216	1848328	ENSP00000378160	ENSP00000301730	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GLI3	PRKACB	1858347	1855328	ENSP00000379258	ENSP00000359719	0.000	0.000	0.000	0.000	0.113	0.213	0.800	0.686	0.950
ATP6V0E1	ATP6V0A2	1861726	1851449	ENSP00000427941	ENSP00000332247	0.000	0.000	0.000	0.000	0.000	0.227	0.900	0.892	0.991
YBX1	HNRNPA2B1	1855704	1853084	ENSP00000361626	ENSP00000346694	0.000	0.000	0.000	0.000	0.105	0.843	0.900	0.391	0.990
CNR2	GPR17	1856124	1846273	ENSP00000363596	ENSP00000272644	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
IFITM3	IFITM1	1858761	1851288	ENSP00000382707	ENSP00000330825	0.000	0.000	0.000	0.972	0.000	0.000	0.900	0.811	0.902
TIAM2	CDC42	1850911	1849707	ENSP00000327315	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.737	0.972
KAT5	ESR1	1852315	1842435	ENSP00000340330	ENSP00000206249	0.000	0.000	0.000	0.000	0.000	0.955	0.000	0.358	0.970
PLD3	DGKD	1853368	1845472	ENSP00000348901	ENSP00000264057	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.098	0.905
PLD3	DGKI	1853368	1847128	ENSP00000348901	ENSP00000288490	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HNRNPM	PRPF6	1850730	1845854	ENSP00000325376	ENSP00000266079	0.000	0.000	0.000	0.000	0.000	0.652	0.900	0.127	0.966
LPCAT1	PNPLA8	1846853	1844528	ENSP00000283415	ENSP00000257694	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.134	0.909
COL18A1	COL9A3	1853197	1852483	ENSP00000347665	ENSP00000341640	0.000	0.000	0.000	0.624	0.000	0.000	0.900	0.177	0.905
HLA-DRB1	OAS2	1853944	1852576	ENSP00000353099	ENSP00000342278	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
EPHB2	CDC42	1856154	1849707	ENSP00000363763	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.113	0.900	0.444	0.946
NFATC2	FKBP1A	1858353	1857423	ENSP00000379330	ENSP00000371138	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.391	0.936
ABR	ARHGAP20	1848581	1844774	ENSP00000303909	ENSP00000260283	0.000	0.000	0.000	0.611	0.000	0.000	0.900	0.545	0.920
CD40	NFKB1	1855654	1843094	ENSP00000361359	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.942	0.994
TIAM2	ARHGAP15	1850911	1847533	ENSP00000327315	ENSP00000295095	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ITPA	POLR3E	1857158	1848107	ENSP00000369456	ENSP00000299853	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
NPY1R	OPRL1	1854180	1851923	ENSP00000354652	ENSP00000336764	0.000	0.000	0.000	0.702	0.000	0.000	0.900	0.063	0.900
MCF2L	ABR	1862148	1848581	ENSP00000440374	ENSP00000303909	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.116	0.907
TRIO	ABR	1852198	1848581	ENSP00000339299	ENSP00000303909	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MYO10	DCC	1861521	1859404	ENSP00000421280	ENSP00000389140	0.000	0.000	0.000	0.000	0.000	0.954	0.900	0.100	0.995
RPS6KA2	PDPK1	1861695	1852785	ENSP00000427015	ENSP00000344220	0.000	0.000	0.000	0.730	0.000	0.537	0.900	0.972	0.964
MYO9B	TRIO	1858475	1852198	ENSP00000380444	ENSP00000339299	0.000	0.000	0.000	0.000	0.069	0.000	0.900	0.000	0.902
MYO10	ACTR3	1861521	1845311	ENSP00000421280	ENSP00000263238	0.000	0.000	0.000	0.000	0.000	0.190	0.900	0.207	0.930
HTR2A	LPAR1	1856916	1853763	ENSP00000367959	ENSP00000351755	0.000	0.000	0.000	0.632	0.000	0.000	0.900	0.144	0.903
TRIO	ARHGAP15	1852198	1847533	ENSP00000339299	ENSP00000295095	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MCF2L	RHOT2	1862148	1850404	ENSP00000440374	ENSP00000321971	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
LPAR6	KALRN	1852804	1843581	ENSP00000344353	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
CUX1	BANP	1853975	1846995	ENSP00000353401	ENSP00000286122	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.947	0.947
TAF11	TAF4	1854176	1844180	ENSP00000354633	ENSP00000252996	0.000	0.000	0.000	0.000	0.000	0.999	0.900	0.859	0.999
HNRNPUL1	FUS	1857971	1844273	ENSP00000375863	ENSP00000254108	0.000	0.000	0.000	0.000	0.112	0.000	0.900	0.055	0.908
PCGF6	CBX2	1855118	1849106	ENSP00000358862	ENSP00000308750	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.470	0.944
ARHGAP15	KALRN	1847533	1843581	ENSP00000295095	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.054	0.901
PCNT	PCM1	1853867	1850891	ENSP00000352572	ENSP00000327077	0.000	0.000	0.000	0.000	0.065	0.576	0.900	0.484	0.976
HNRNPA2B1	FUS	1853084	1844273	ENSP00000346694	ENSP00000254108	0.000	0.000	0.000	0.000	0.077	0.000	0.900	0.396	0.939
DUT	DTYMK	1857313	1848672	ENSP00000370376	ENSP00000304802	0.066	0.000	0.000	0.000	0.432	0.000	0.900	0.662	0.979
MCF2L	INPP5B	1862148	1855808	ENSP00000440374	ENSP00000362115	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.199	0.916
GRM8	GPR17	1852779	1846273	ENSP00000344173	ENSP00000272644	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.071	0.903
PPARG	ESR1	1847090	1842435	ENSP00000287820	ENSP00000206249	0.000	0.000	0.000	0.651	0.000	0.915	0.900	0.639	0.993
LPAR1	NPY2R	1853763	1851488	ENSP00000351755	ENSP00000332591	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HNRNPUL1	YBX1	1857971	1855704	ENSP00000375863	ENSP00000361626	0.000	0.000	0.000	0.000	0.000	0.297	0.900	0.114	0.932
CDC42	KALRN	1849707	1843581	ENSP00000314458	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.449	0.900	0.538	0.972
DCC	EZR	1859404	1852156	ENSP00000389140	ENSP00000338934	0.000	0.000	0.000	0.000	0.000	0.136	0.900	0.046	0.910
FBXO31	FBXO9	1849355	1843715	ENSP00000310841	ENSP00000244426	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
GRM8	NPY2R	1852779	1851488	ENSP00000344173	ENSP00000332591	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.135	0.909
CDC42	ARHGAP20	1849707	1844774	ENSP00000314458	ENSP00000260283	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.234	0.920
LPAR1	GRM8	1853763	1852779	ENSP00000351755	ENSP00000344173	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.091	0.905
MLL	INO80C	1862045	1859565	ENSP00000436786	ENSP00000391457	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
HTR2A	KALRN	1856916	1843581	ENSP00000367959	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.150	0.911
LPAR1	GPR17	1853763	1846273	ENSP00000351755	ENSP00000272644	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.101	0.906
PDE7A	GNAS	1859054	1855402	ENSP00000385632	ENSP00000360141	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.118	0.908
PCNT	TUBA1A	1853867	1848244	ENSP00000352572	ENSP00000301071	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.694	0.968
WNT4	WNT3	1847209	1843027	ENSP00000290167	ENSP00000225512	0.000	0.000	0.000	0.946	0.000	0.000	0.900	0.756	0.904
DCC	CDC42	1859404	1849707	ENSP00000389140	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.218	0.918
AGPAT4	DGKD	1849676	1845472	ENSP00000314036	ENSP00000264057	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.106	0.906
RHOT2	KALRN	1850404	1843581	ENSP00000321971	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
INO80C	KAT5	1859565	1852315	ENSP00000391457	ENSP00000340330	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.301	0.927
DYNC1H1	NDE1	1853378	1852988	ENSP00000348965	ENSP00000345892	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.390	0.936
CDC42	ARHGAP15	1849707	1847533	ENSP00000314458	ENSP00000295095	0.000	0.000	0.000	0.000	0.000	0.230	0.900	0.482	0.956
PPAP2C	CHPT1	1851176	1843189	ENSP00000329697	ENSP00000229266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.356	0.932
TEK	NFKB1	1857139	1843094	ENSP00000369375	ENSP00000226574	0.000	0.000	0.000	0.000	0.000	0.110	0.900	0.392	0.941
GPR132	KALRN	1851080	1843581	ENSP00000328818	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
MUC4	ERBB2	1861298	1846101	ENSP00000417498	ENSP00000269571	0.000	0.000	0.000	0.000	0.000	0.576	0.000	0.886	0.950
SMAD6	TGFB1	1847140	1842869	ENSP00000288840	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.119	0.900	0.713	0.972
ELMO1	DOCK2	1849503	1844476	ENSP00000312185	ENSP00000256935	0.000	0.000	0.000	0.000	0.000	0.970	0.900	0.976	0.999
PSMB11	PSMD7	1859133	1842741	ENSP00000386212	ENSP00000219313	0.000	0.000	0.000	0.000	0.161	0.590	0.900	0.266	0.971
YBX1	PRPF6	1855704	1845854	ENSP00000361626	ENSP00000266079	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
RNPS1	PRPF6	1848328	1845854	ENSP00000301730	ENSP00000266079	0.000	0.000	0.000	0.000	0.090	0.098	0.900	0.060	0.912
CDC42	ACTR3	1849707	1845311	ENSP00000314458	ENSP00000263238	0.000	0.000	0.000	0.000	0.088	0.576	0.900	0.588	0.981
ITPA	DTYMK	1857158	1848672	ENSP00000369456	ENSP00000304802	0.000	0.000	0.000	0.000	0.072	0.000	0.900	0.214	0.920
HLA-DRB1	PDPK1	1853944	1852785	ENSP00000353099	ENSP00000344220	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
PLD3	CHPT1	1853368	1843189	ENSP00000348901	ENSP00000229266	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.113	0.907
RYR2	CALM1	1854400	1853445	ENSP00000355533	ENSP00000349467	0.000	0.000	0.000	0.000	0.000	0.576	0.800	0.213	0.927
RHOT2	ARHGAP22	1850404	1843969	ENSP00000321971	ENSP00000249601	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.089	0.905
NTPCR	POLR3E	1854414	1848107	ENSP00000355587	ENSP00000299853	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
COL23A1	COL9A3	1857880	1852483	ENSP00000375069	ENSP00000341640	0.000	0.000	0.000	0.641	0.000	0.000	0.900	0.135	0.903
LPAR1	GPR132	1853763	1851080	ENSP00000351755	ENSP00000328818	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.097	0.905
DYNC1H1	DYNC1I1	1853378	1850210	ENSP00000348965	ENSP00000320130	0.000	0.000	0.000	0.000	0.094	0.575	0.900	0.789	0.990
PPARG	TGFB1	1847090	1842869	ENSP00000287820	ENSP00000221930	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.923	0.991
INPP5B	CDC42	1855808	1849707	ENSP00000362115	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.211	0.917
EIF3B	PABPC1	1854079	1849591	ENSP00000354125	ENSP00000313007	0.000	0.000	0.000	0.000	0.287	0.224	0.900	0.697	0.981
NFATC2	CDC42	1858353	1849707	ENSP00000379330	ENSP00000314458	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.232	0.919
LPAR1	KALRN	1853763	1843581	ENSP00000351755	ENSP00000240874	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.000	0.900
ATP1B1	ATP1A3	1854664	1848401	ENSP00000356789	ENSP00000302397	0.000	0.000	0.000	0.000	0.071	0.665	0.900	0.645	0.987
YBX1	RNPS1	1855704	1848328	ENSP00000361626	ENSP00000301730	0.000	0.000	0.000	0.000	0.000	0.080	0.900	0.092	0.909
DCC	ELMO1	1859404	1849503	ENSP00000389140	ENSP00000312185	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.042	0.900
YBX1	FUS	1855704	1844273	ENSP00000361626	ENSP00000254108	0.000	0.000	0.000	0.000	0.000	0.740	0.900	0.243	0.978
GRM8	OPRL1	1852779	1851923	ENSP00000344173	ENSP00000336764	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.130	0.909
RYR2	CACNA1C	1854400	1845866	ENSP00000355533	ENSP00000266376	0.000	0.000	0.000	0.000	0.093	0.576	0.000	0.977	0.990
DEPTOR	RHEB	1847000	1845084	ENSP00000286234	ENSP00000262187	0.000	0.000	0.000	0.000	0.000	0.000	0.900	0.583	0.956
ITGA6	PLEC	1859218	1850586	ENSP00000386896	ENSP00000323856	0.000	0.000	0.000	0.000	0.000	0.576	0.900	0.635	0.983
NLK	PPARG	1858963	1847090	ENSP00000384625	ENSP00000287820	0.000	0.000	0.000	0.000	0.000	0.566	0.900	0.178	0.961
NFATC2	NFATC1	1858353	1850967	ENSP00000379330	ENSP00000327850	0.000	0.000	0.000	0.872	0.000	0.000	0.900	0.841	0.910
