ID_REF	MGG4_rep1 Unmethylated Signal	MGG4_rep1 Methylated Signal	MGG4_rep1 Detection Pval	MGG4_rep2 Unmethylated Signal	MGG4_rep2 Methylated Signal	MGG4_rep2 Detection Pval	MGG6_rep1 Unmethylated Signal	MGG6_rep1 Methylated Signal	MGG6_rep1 Detection Pval	MGG6_rep2 Unmethylated Signal	MGG6_rep2 Methylated Signal	MGG6_rep2 Detection Pval	MGG8_rep1 Unmethylated Signal	MGG8_rep1 Methylated Signal	MGG8_rep1 Detection Pval	MGG8_rep2 Unmethylated Signal	MGG8_rep2 Methylated Signal	MGG8_rep2 Detection Pval
cg00037940	1984	6618	3.68E-38	1423	6457	3.68E-38	625	3643	3.68E-38	999	4449	3.68E-38	1309	6397	3.68E-38	1108	5661	3.68E-38
cg00040861	12134	688	3.68E-38	12780	612	3.68E-38	5101	301	3.68E-38	8285	429	3.68E-38	10214	555	3.68E-38	8918	446	3.68E-38
cg00040873	9904	2314	3.68E-38	9621	1660	3.68E-38	4985	1788	3.68E-38	8220	2710	3.68E-38	12728	2242	3.68E-38	11320	1907	3.68E-38
cg00041575	3416	1871	1.61E-36	3152	1550	4.87E-27	1064	2158	1.48E-23	1380	3193	1.78E-31	4764	1435	7.74E-36	4542	1270	3.68E-38
cg00042156	1311	2207	1.62E-12	985	1771	3.53E-07	487	4649	3.68E-38	511	4271	5.35E-35	4760	544	9.29E-25	3228	447	4.10E-14
cg00043004	1051	3989	2.34E-32	615	3379	3.52E-18	911	2502	5.04E-27	966	2829	4.39E-20	828	7290	3.68E-38	698	5265	3.68E-38
cg00043080	993	4425	3.68E-38	959	4366	2.17E-36	447	1899	7.03E-11	723	3225	4.13E-22	1305	5169	3.68E-38	907	4025	6.21E-29
cg00044245	12929	1570	3.68E-38	13676	1242	3.68E-38	856	2259	1.01E-21	1106	2799	1.57E-21	11008	1583	3.68E-38	9074	1576	3.68E-38
cg00044729	1117	361	0.3058499	926	270	0.3618184	637	849	0.001535892	762	994	0.005764997	1257	520	0.08141222	1206	500	0.03800727
cg00047050	6718	825	3.68E-38	5985	507	3.68E-38	3252	1589	3.68E-38	5759	2484	3.68E-38	8198	718	3.68E-38	7060	649	3.68E-38
cg00047469	24361	990	3.68E-38	23992	883	3.68E-38	9215	525	3.68E-38	13412	859	3.68E-38	17241	898	3.68E-38	16645	802	3.68E-38
cg00049986	7694	1350	3.68E-38	9221	951	3.68E-38	4460	585	3.68E-38	6720	922	3.68E-38	6384	1152	3.68E-38	5763	1001	3.68E-38
cg00050312	8122	340	3.68E-38	7029	263	3.68E-38	5346	296	3.68E-38	6709	307	3.68E-38	8479	388	3.68E-38	7458	282	3.68E-38
cg00051623	317	1412	0.09637792	243	933	0.3841704	256	1885	1.12E-08	247	1912	6.50E-05	378	1826	0.006897729	315	1454	0.02520448
cg00051979	4750	1031	3.68E-38	4097	812	5.52E-30	2595	513	1.32E-21	4368	932	3.68E-38	5243	1073	1.91E-37	4742	813	3.68E-38
cg00053292	7095	747	3.68E-38	6324	691	3.68E-38	3484	462	4.78E-38	5492	611	3.68E-38	6219	655	3.68E-38	6009	622	3.68E-38
cg00053647	20959	1769	3.68E-38	22609	1037	3.68E-38	8850	2245	3.68E-38	13807	3480	3.68E-38	17990	1397	3.68E-38	16743	1512	3.68E-38
cg00054706	10215	611	3.68E-38	10512	445	3.68E-38	5027	273	3.68E-38	7531	388	3.68E-38	10238	522	3.68E-38	8771	510	3.68E-38
cg00055233	9583	18230	3.68E-38	9103	18251	3.68E-38	967	6258	3.68E-38	1156	8994	3.68E-38	10204	14223	3.68E-38	9331	13369	3.68E-38
cg00056767	1405	4072	3.68E-38	1136	3614	1.04E-27	1188	2136	2.24E-25	1466	2045	1.34E-16	703	4567	2.22E-24	591	3897	4.74E-23
cg00057593	2781	358	4.04E-09	2547	301	8.41E-08	1775	2130	3.96E-37	2012	1959	2.01E-22	3358	1025	1.33E-15	2613	789	1.21E-11
cg00058938	12318	4905	3.68E-38	12901	4952	3.68E-38	4141	5187	3.68E-38	5430	7470	3.68E-38	10927	6744	3.68E-38	9908	5916	3.68E-38
cg00059225	19491	2057	3.68E-38	20695	1855	3.68E-38	6046	5317	3.68E-38	10176	8603	3.68E-38	16809	1776	3.68E-38	16197	1662	3.68E-38
cg00059424	4518	245	5.29E-28	3824	159	4.67E-18	3971	201	3.68E-38	5041	217	3.68E-38	5733	263	3.90E-33	4263	194	1.15E-22
cg00059740	17695	884	3.68E-38	16606	675	3.68E-38	8365	493	3.68E-38	12520	732	3.68E-38	15055	697	3.68E-38	13665	671	3.68E-38
cg00059930	445	10213	3.68E-38	331	8293	3.68E-38	344	5068	3.68E-38	372	6077	3.68E-38	477	7325	3.68E-38	427	6738	3.68E-38
cg00060762	4823	447	3.18E-36	4961	373	1.55E-36	4219	405	3.68E-38	4418	425	4.61E-36	5987	436	3.68E-38	4960	350	1.68E-34
cg00060882	3600	774	1.90E-22	3138	540	7.87E-15	1956	423	2.92E-11	3103	640	2.03E-19	2154	2939	1.85E-22	1807	3067	4.00E-28
cg00061059	1585	258	0.0481097	1756	196	0.00485557	1982	244	1.49E-09	2279	300	1.10E-07	1813	302	0.01253994	1461	322	0.02291464
cg00061629	1020	276	0.5273764	837	185	0.5636349	878	596	0.001794186	1037	702	0.006729917	1129	318	0.283969	943	302	0.3295419
cg00062776	907	15178	3.68E-38	650	15782	3.68E-38	369	6034	3.68E-38	573	9514	3.68E-38	775	15159	3.68E-38	671	13280	3.68E-38
cg00063144	4961	3589	3.68E-38	4750	3667	3.68E-38	732	2998	2.42E-33	1169	4405	3.68E-38	6903	4384	3.68E-38	6384	3837	3.68E-38
cg00065385	435	1905	0.000603448	274	1385	0.0426464	274	2841	1.01E-21	388	2862	1.03E-13	425	2731	6.46E-07	388	2278	2.68E-06
cg00065408	24158	1289	3.68E-38	22911	837	3.68E-38	9286	714	3.68E-38	13626	974	3.68E-38	18419	1147	3.68E-38	17392	1069	3.68E-38
cg00066153	1359	5840	3.68E-38	974	6453	3.68E-38	659	4634	3.68E-38	914	6942	3.68E-38	916	8589	3.68E-38	884	7394	3.68E-38
cg00066816	8912	707	3.68E-38	9118	638	3.68E-38	720	4144	3.68E-38	968	6192	3.68E-38	7875	4001	3.68E-38	6794	3183	3.68E-38
cg00067471	8737	1918	3.68E-38	10268	1506	3.68E-38	4470	678	3.68E-38	6646	873	3.68E-38	7815	734	3.68E-38	6700	852	3.68E-38
cg00069261	12370	2237	3.68E-38	13081	1446	3.68E-38	5525	879	3.68E-38	8181	1418	3.68E-38	12001	2084	3.68E-38	10715	1668	3.68E-38
cg00071250	3811	649	1.28E-23	3503	486	4.01E-18	575	2748	2.34E-25	876	2571	7.28E-16	4210	255	2.52E-16	3297	256	5.62E-13
cg00071998	5419	368	3.68E-38	4504	266	5.46E-28	2979	238	1.82E-23	4159	406	2.41E-31	5794	388	1.32E-35	4298	287	2.83E-24
cg00072216	9936	934	3.68E-38	10024	742	3.68E-38	4548	498	3.68E-38	7005	664	3.68E-38	7805	831	3.68E-38	7169	741	3.68E-38
cg00073650	2282	1280	5.98E-13	1878	1055	2.10E-08	688	2399	2.96E-21	829	2847	1.40E-18	1145	3158	6.49E-15	1004	2458	3.66E-12
cg00075967	2179	6075	3.68E-38	1748	6180	3.68E-38	488	3531	3.68E-38	723	5507	3.68E-38	1081	8260	3.68E-38	880	7225	3.68E-38
cg00076645	7020	1450	3.68E-38	8159	1139	3.68E-38	5053	320	3.68E-38	7099	441	3.68E-38	10254	743	3.68E-38	8937	643	3.68E-38
cg00077457	1611	2487	6.68E-19	940	2278	1.28E-10	792	1435	1.45E-09	1011	1904	1.87E-10	1423	2260	3.70E-10	1068	2399	3.30E-12
cg00077877	2829	1767	1.54E-25	2489	1289	7.52E-16	361	1210	0.000480047	435	1511	0.000847073	472	1099	0.1891806	405	919	0.2515468
cg00078194	6883	936	3.68E-38	7021	653	3.68E-38	3800	2206	3.68E-38	5934	2797	3.68E-38	625	14054	3.68E-38	600	14031	3.68E-38
cg00078867	3232	4374	3.68E-38	2620	3285	3.68E-38	658	2792	1.00E-27	954	3679	1.82E-32	4046	3293	3.68E-38	3874	2876	3.68E-38
cg00079056	2282	1282	5.71E-13	1665	1131	1.91E-07	354	1170	0.000925554	405	1139	0.03272055	2459	1872	3.74E-15	2109	1433	7.07E-13
cg00079563	4548	1840	3.68E-38	4076	1628	3.68E-38	3491	1213	3.68E-38	4560	1730	3.68E-38	3856	3717	3.68E-38	3394	3374	3.68E-38
cg00080012	13609	765	3.68E-38	15384	565	3.68E-38	6657	363	3.68E-38	9955	482	3.68E-38	12302	621	3.68E-38	11453	579	3.68E-38
cg00081935	2637	313	1.18E-07	2428	224	1.64E-06	3159	277	1.85E-27	3674	320	9.70E-23	3799	311	2.53E-13	2377	288	2.72E-06
cg00081975	19599	945	3.68E-38	19989	761	3.68E-38	8000	3825	3.68E-38	10658	6160	3.68E-38	18331	896	3.68E-38	15527	695	3.68E-38
cg00083720	11530	707	3.68E-38	11306	505	3.68E-38	6018	349	3.68E-38	8100	434	3.68E-38	8752	652	3.68E-38	9714	631	3.68E-38
cg00083937	9761	18163	3.68E-38	9797	18791	3.68E-38	3747	7254	3.68E-38	6389	10942	3.68E-38	9508	14069	3.68E-38	9757	13176	3.68E-38
cg00084687	15797	1371	3.68E-38	16717	1290	3.68E-38	7015	982	3.68E-38	11283	1189	3.68E-38	13938	1542	3.68E-38	13572	1314	3.68E-38
cg00089071	14038	625	3.68E-38	13366	576	3.68E-38	6122	324	3.68E-38	9111	413	3.68E-38	12544	595	3.68E-38	10574	466	3.68E-38
cg00090147	3104	459	5.84E-13	2758	295	2.67E-09	3296	5268	3.68E-38	4597	6356	3.68E-38	3791	3898	3.68E-38	3322	4053	3.68E-38
cg00091693	3867	917	2.54E-28	3425	753	2.66E-20	1762	1333	2.18E-21	2015	1663	1.32E-18	5474	887	4.50E-38	4648	848	1.98E-37
cg00093177	2964	5234	3.68E-38	2460	5464	3.68E-38	802	3641	3.68E-38	1173	5561	3.68E-38	1511	8592	3.68E-38	1482	7866	3.68E-38
cg00094319	1084	5681	3.68E-38	746	5144	3.68E-38	381	2010	2.11E-11	563	2438	3.03E-11	1591	5950	3.68E-38	1273	4900	3.68E-38
cg00094851	19857	932	3.68E-38	16669	736	3.68E-38	13186	964	3.68E-38	17984	1193	3.68E-38	17142	1074	3.68E-38	14390	810	3.68E-38
cg00095526	4451	2037	3.68E-38	4515	1421	3.68E-38	743	4624	3.68E-38	908	5350	3.68E-38	4276	2505	3.68E-38	3470	2111	3.68E-38
cg00095674	4792	362	3.03E-34	4943	244	3.41E-34	4239	274	3.68E-38	5016	279	3.68E-38	4549	325	3.36E-20	3900	363	2.43E-20
cg00096922	8035	730	3.68E-38	8555	561	3.68E-38	4642	935	3.68E-38	6311	1178	3.68E-38	9066	624	3.68E-38	8010	513	3.68E-38
cg00097536	14065	918	3.68E-38	15926	610	3.68E-38	6284	441	3.68E-38	9704	533	3.68E-38	12876	793	3.68E-38	11865	759	3.68E-38
cg00098162	1658	1254	2.23E-07	1113	973	0.001433653	635	1009	0.000162039	811	1275	0.000164806	1245	1883	9.16E-07	1099	1778	1.23E-07
cg00098239	6704	347	3.68E-38	6490	281	3.68E-38	5330	306	3.68E-38	7501	288	3.68E-38	6456	371	3.68E-38	5566	311	3.68E-38
cg00099550	20243	895	3.68E-38	20930	530	3.68E-38	8491	3787	3.68E-38	14653	5302	3.68E-38	17154	4607	3.68E-38	17626	2772	3.68E-38
cg00101227	5725	1514	3.68E-38	5800	1051	3.68E-38	784	3769	3.68E-38	1036	5411	3.68E-38	4748	2159	3.68E-38	4177	2037	3.68E-38
cg00103783	8984	377	3.68E-38	8722	276	3.68E-38	7798	305	3.68E-38	9168	391	3.68E-38	10699	406	3.68E-38	8465	380	3.68E-38
cg00105253	3005	615	1.56E-13	4026	450	5.24E-24	4554	500	3.68E-38	5046	563	3.68E-38	5658	322	6.30E-33	4292	419	6.45E-26
cg00105470	3052	247	1.77E-10	2768	186	1.48E-08	2831	191	3.41E-20	3036	274	2.37E-14	2927	264	4.15E-07	2214	284	2.41E-05
cg00107187	20552	1892	3.68E-38	22813	1047	3.68E-38	9021	1157	3.68E-38	13219	1651	3.68E-38	18248	1921	3.68E-38	15942	2072	3.68E-38
cg00107488	1825	670	9.65E-05	1277	504	0.0187162	1156	1190	7.03E-11	1286	1141	1.36E-06	2308	886	3.99E-07	1715	878	7.15E-06
cg00107632	17730	1626	3.68E-38	17767	1517	3.68E-38	7502	808	3.68E-38	10666	1278	3.68E-38	13346	1647	3.68E-38	12178	1525	3.68E-38
cg00108454	12173	2160	3.68E-38	12635	1702	3.68E-38	5412	1405	3.68E-38	7067	2045	3.68E-38	9792	1843	3.68E-38	8825	1677	3.68E-38
cg00109274	27126	1038	3.68E-38	28330	686	3.68E-38	10247	459	3.68E-38	16196	734	3.68E-38	20121	794	3.68E-38	19462	604	3.68E-38
cg00112517	21235	5845	3.68E-38	24125	4654	3.68E-38	9100	819	3.68E-38	13505	1215	3.68E-38	18405	1257	3.68E-38	18106	1020	3.68E-38
cg00113020	798	371	0.6811213	874	272	0.4184108	233	981	0.03090934	277	1317	0.02255917	664	670	0.3863876	647	497	0.4407342
cg00113951	1923	642	3.91E-05	1585	449	0.002341439	2418	792	2.41E-23	2037	893	1.37E-10	2615	749	4.15E-08	2114	511	4.68E-06
cg00115714	7652	855	3.68E-38	7347	612	3.68E-38	2595	407	7.14E-20	3548	581	1.21E-24	6220	678	3.68E-38	5538	593	3.68E-38
cg00116234	2394	315	5.28E-06	1526	176	0.03231988	1311	184	0.001364947	1755	218	0.000627016	1654	252	0.04290216	1189	228	0.1739767
cg00116838	3667	6426	3.68E-38	3529	5802	3.68E-38	2453	2855	3.68E-38	3042	3794	3.68E-38	8405	770	3.68E-38	8009	757	3.68E-38
cg00117172	7550	13906	3.68E-38	7135	16061	3.68E-38	2709	6910	3.68E-38	3664	11214	3.68E-38	12362	1737	3.68E-38	12053	1823	3.68E-38
cg00119079	3983	5456	3.68E-38	3857	4223	3.68E-38	1009	3340	3.68E-38	1252	5090	3.68E-38	6656	1663	3.68E-38	5646	1672	3.68E-38
cg00121158	17371	896	3.68E-38	17898	716	3.68E-38	6091	375	3.68E-38	9082	655	3.68E-38	12097	918	3.68E-38	10530	798	3.68E-38
cg00121640	8355	677	3.68E-38	8102	381	3.68E-38	8256	631	3.68E-38	8532	836	3.68E-38	8539	682	3.68E-38	6602	672	3.68E-38
cg00121904	6322	1088	3.68E-38	5458	1071	3.68E-38	2327	2752	3.68E-38	3274	3554	3.68E-38	6832	1421	3.68E-38	6143	1188	3.68E-38
cg00123035	3325	496	1.13E-15	3706	357	5.83E-19	4447	447	3.68E-38	5623	415	3.68E-38	3800	463	1.41E-14	2946	454	1.26E-11
cg00126034	13103	1562	3.68E-38	14607	1018	3.68E-38	3642	2420	3.68E-38	5083	4146	3.68E-38	13586	994	3.68E-38	10467	1051	3.68E-38
cg00126657	4435	1258	3.68E-38	4050	948	2.67E-31	2350	737	2.96E-21	3445	997	2.29E-29	4741	1787	3.68E-38	4402	1534	3.68E-38
cg00126698	4394	4521	3.68E-38	3625	4201	3.68E-38	1748	3872	3.68E-38	2510	5850	3.68E-38	6361	4592	3.68E-38	5844	3849	3.68E-38
cg00128197	12830	1698	3.68E-38	12843	1051	3.68E-38	4283	3590	3.68E-38	6748	5032	3.68E-38	10976	1821	3.68E-38	10468	1700	3.68E-38
cg00128560	367	2012	0.000388678	209	1717	0.006050658	237	2004	1.03E-09	316	1798	0.000116084	316	2897	3.12E-07	291	2226	1.90E-05
cg00128654	9908	931	3.68E-38	11419	779	3.68E-38	6015	488	3.68E-38	8764	726	3.68E-38	11141	732	3.68E-38	11216	633	3.68E-38
cg00128766	1519	340	0.04325233	1317	286	0.05992433	1331	337	0.000111393	1703	357	0.000226625	1650	411	0.017635	1566	366	0.007594569
cg00128877	12818	4157	3.68E-38	13286	3249	3.68E-38	3871	4614	3.68E-38	5999	7551	3.68E-38	10825	1267	3.68E-38	9514	1353	3.68E-38
cg00129774	3750	319	1.51E-18	2757	193	1.58E-08	3475	259	2.00E-33	3965	321	5.88E-27	4741	323	3.74E-22	3469	300	5.01E-15
cg00131121	5910	363	3.68E-38	5069	275	1.07E-36	6150	472	3.68E-38	7621	542	3.68E-38	6839	1030	3.68E-38	4563	776	5.98E-35
cg00131557	705	2729	1.04E-11	480	2156	2.06E-06	279	1324	0.000301201	373	1661	0.00030957	489	2466	7.16E-06	549	2276	2.72E-07
cg00132141	562	441	0.8404953	366	276	0.9001262	347	520	0.3179765	346	504	0.6542565	412	718	0.5874427	377	598	0.6329227
cg00133909	6795	331	3.68E-38	6474	266	3.68E-38	6503	227	3.68E-38	9193	326	3.68E-38	8886	279	3.68E-38	6208	251	3.68E-38
cg00134539	255	1624	0.03774599	210	1267	0.1183351	234	1551	1.58E-05	261	1715	0.000606139	457	1529	0.02756514	295	1358	0.05250575
cg00134787	1716	232	0.02296908	1311	192	0.1038122	1110	699	1.03E-05	1053	774	0.002932133	2413	241	0.000167338	1859	218	0.002205713
cg00135056	18511	6927	3.68E-38	20253	6724	3.68E-38	5670	6695	3.68E-38	8770	9467	3.68E-38	14690	10891	3.68E-38	13407	10308	3.68E-38
cg00135393	730	491	0.6202633	689	313	0.5867717	1049	368	0.003645713	1084	466	0.0313304	1118	409	0.2203592	852	390	0.3326879
cg00136105	10577	948	3.68E-38	11606	726	3.68E-38	5374	414	3.68E-38	8265	665	3.68E-38	11005	910	3.68E-38	10190	764	3.68E-38
cg00136405	612	268	0.9171249	394	191	0.926552	751	337	0.08670454	745	433	0.2541789	1043	351	0.3304526	820	270	0.502812
cg00136477	6157	1567	3.68E-38	5703	1177	3.68E-38	4025	5176	3.68E-38	3571	6362	3.68E-38	5787	1345	3.68E-38	5485	1211	3.68E-38
cg00136736	9041	939	3.68E-38	9174	761	3.68E-38	3758	467	3.68E-38	6720	643	3.68E-38	7928	830	3.68E-38	7437	756	3.68E-38
cg00138126	11468	1724	3.68E-38	14236	1371	3.68E-38	1543	4745	3.68E-38	2019	7176	3.68E-38	8909	3470	3.68E-38	8495	3150	3.68E-38
cg00141162	777	1269	0.01054723	619	754	0.1904455	256	1535	1.42E-05	320	1799	0.000108953	479	1696	0.008422202	480	1638	0.001509992
cg00141550	2478	2542	4.95E-32	2262	2159	2.68E-23	606	2412	3.96E-20	785	2613	2.59E-15	2485	2949	3.11E-26	2073	2932	5.72E-30
cg00141845	957	242	0.6464813	656	168	0.7718201	853	508	0.006981158	753	512	0.173074	1870	256	0.01167512	1364	229	0.07387555
cg00143376	10922	11935	3.68E-38	11796	12392	3.68E-38	2757	6171	3.68E-38	3783	9712	3.68E-38	5196	13860	3.68E-38	4659	12521	3.68E-38
cg00143998	3454	1979	3.68E-38	3373	1416	2.94E-28	2649	425	4.85E-21	4976	573	3.68E-38	4142	2211	5.82E-38	3510	2274	3.68E-38
cg00145118	2994	505	2.48E-12	1949	335	0.000181072	817	1857	5.27E-15	643	2054	1.34E-08	2627	1657	9.40E-15	1871	1375	2.38E-10
cg00145348	10960	6639	3.68E-38	10362	5898	3.68E-38	4824	4140	3.68E-38	7834	6045	3.68E-38	8808	7341	3.68E-38	8712	6476	3.68E-38
cg00146096	7761	5324	3.68E-38	7162	4422	3.68E-38	4832	1008	3.68E-38	8219	1363	3.68E-38	9305	1678	3.68E-38	7861	1871	3.68E-38
cg00149659	8568	545	3.68E-38	8026	436	3.68E-38	4514	254	3.68E-38	6985	296	3.68E-38	7262	341	3.68E-38	7232	412	3.68E-38
cg00149976	21495	2374	3.68E-38	22526	1719	3.68E-38	8735	1049	3.68E-38	13468	1713	3.68E-38	17725	2503	3.68E-38	16293	2448	3.68E-38
cg00151234	5883	2255	3.68E-38	5776	1655	3.68E-38	3003	1929	3.68E-38	4230	2587	3.68E-38	4991	4498	3.68E-38	4107	4135	3.68E-38
cg00151607	8470	407	3.68E-38	8436	283	3.68E-38	6852	351	3.68E-38	9041	398	3.68E-38	10745	407	3.68E-38	8455	451	3.68E-38
cg00152644	2433	228	1.05E-05	2416	215	2.21E-06	1000	3819	3.68E-38	1191	4293	3.68E-38	2983	219	3.60E-07	2304	206	2.07E-05
cg00155167	6099	569	3.68E-38	5794	451	3.68E-38	4776	329	3.68E-38	6678	375	3.68E-38	7964	563	3.68E-38	7036	503	3.68E-38
