	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg25401182	0.0563638077766971	0.601338602084463	5.90466300459262	3.31923248501209e-07	0.00381912140167209	5.75638022372283	0.573156698196114	0.629520505972811	0.0563638077766974	8	129023431	F	II	PVT1	Body	opensea	Body-opensea		rs183082800;rs566476949;rs187802705;rs558232140;rs192477158	0;1;13;25;47
cg12431339	0.0431429448139878	0.744227763773379	5.90376730439939	3.32975946052578e-07	0.00381912140167209	5.75324414840146	0.722656291366385	0.765799236180373	0.0431429448139881	10	73992901	F	II	ANAPC16	3'UTR	opensea	3'UTR-opensea		rs201778398;rs200589401;rs117571297;rs556056095	0;1;38;44
cg12122241	0.0312645868688964	0.326129309055837	5.88332943099218	3.57919082371775e-07	0.00401315360980429	5.68170724272201	0.310497015621389	0.341761602490285	0.0312645868688964	20	1920407	F	II	SIRPA	3'UTR	shelf	3'UTR-shelf	chr20:1918077-1918278	rs146683181	1
cg23390360	0.0353685644122587	0.367351413052386	5.87754524351968	3.65309665116895e-07	0.00401315360980429	5.66146884702806	0.349667130846256	0.385035695258515	0.0353685644122587	11	45758333	F	II		IGR	opensea	IGR-opensea		rs553853347;rs144035420;rs180907024;rs141623893;rs549280561	0;1;11;44;51
cg12992827	0.0522786400017331	0.599419180542005	5.87697855395301	3.66041846136821e-07	0.00401315360980429	5.65948622646343	0.573279860541139	0.625558500542872	0.0522786400017332	3	101901234	F	II		IGR	opensea	IGR-opensea		rs190136083;rs181844988	0;12
cg09797463	0.0353263547710809	0.448358782200927	5.85958942216361	3.89232432642832e-07	0.00419745751709289	5.59866431493858	0.430695604815387	0.466021959586468	0.035326354771081	10	90995297	R	II	LIPA	Body	opensea	Body-opensea		rs149244609;rs550585197;rs113064729;rs186328549	51;38;17;9
cg07696959	0.0398914483463531	0.783353775612414	5.85604552661847	3.94134850394645e-07	0.00419745751709289	5.58627260743456	0.763408051439238	0.803299499785591	0.0398914483463528	10	45409683	F	II	TMEM72	Body	opensea	Body-opensea		rs532908604;rs551484796;rs142132851	0;35;45
cg12972064	0.0478402272243231	0.463526509639671	5.85204491333128	3.99742844954979e-07	0.00419745751709289	5.57228547091995	0.43960639602751	0.487446623251833	0.047840227224323	3	171887393	R	II	FNDC3B	Body	opensea	Body-opensea			
cg06793325	0.0448055384794812	0.682267749813903	5.84118110901323	4.15374827837964e-07	0.00430102173122753	5.53431124403424	0.659864980574162	0.704670519053644	0.0448055384794813	22	36011405	F	II	MB	Body	opensea	Body-opensea		rs556397751	32
cg24196017	0.0431760413894969	0.762430312638989	5.83413279394495	4.25840094294193e-07	0.00434898238108166	5.50968055293451	0.74084229194424	0.784018333333737	0.0431760413894968	15	43021976	F	II	CDAN1	Body	opensea	Body-opensea		rs375921570;rs553497628;rs12594483;rs545249978;rs565510675	0;1;10;21;32
cg00899855	0.0386977551673601	0.672993630234178	5.8280157555413	4.35134728607772e-07	0.00438385302634453	5.48830847882221	0.653644752650498	0.692342507817858	0.0386977551673601	16	87499925	R	II	ZCCHC14	Body	opensea	Body-opensea		rs531211947;rs117295775	41;7
cg01494712	0.0412355276520862	0.579636903469626	5.82297567180332	4.42944236261749e-07	0.00440303107428999	5.47070210223395	0.559019139643583	0.600254667295669	0.0412355276520862	1	203527545	F	II		IGR	opensea	IGR-opensea		rs555488607;rs568300902;rs536995826;rs147204307	13;24;34;41
cg19161559	0.0508582611117572	0.418598267377719	5.8171663466111	4.5211858241192e-07	0.00442456744762001	5.45041190534197	0.393169136821841	0.444027397933598	0.0508582611117572	7	101465759	R	II	CUX1	Body	opensea	Body-opensea		rs183357346;rs140468866;rs117907706	51;48;38
cg26983737	0.0370296007511716	0.329874583524451	5.81413507508044	4.56980413165891e-07	0.00442456744762001	5.43982603138286	0.311359783148865	0.348389383900037	0.0370296007511716	11	66867771	R	II		IGR	opensea	IGR-opensea		rs550810822	19
cg01411400	0.0315940871771244	0.251265227237399	5.805305264817	4.71440495029473e-07	0.00450605242792734	5.40899599869257	0.235468183648837	0.267062270825961	0.0315940871771244	17	57929235	F	II		IGR	opensea	IGR-opensea		rs143502014	1
cg07236324	0.0334425949719739	0.359861938481335	5.78842270448455	5.00365335234214e-07	0.00472197933729738	5.35007267075305	0.343140640995348	0.376583235967322	0.0334425949719738	17	55986035	F	II	CUEDC1	5'UTR	opensea	5'UTR-opensea		rs149585324	46
cg03254865	0.0503680738194357	0.386398836891245	5.78134233868307	5.1301461417803e-07	0.00474468362199085	5.32537017396983	0.361214799981527	0.411582873800963	0.0503680738194357	5	70790128	F	II	BDP1	Body	opensea	Body-opensea		rs147864215	48
cg10907896	0.0491244288264439	0.443887871718892	5.77997179014041	5.15499583357377e-07	0.00474468362199085	5.32058914607842	0.419325657305671	0.468450086132114	0.049124428826444	2	239343799	R	II	ASB1	Body	shore	Body-shore	chr2:239344401-239344627	rs115167492;rs544994250	29;15
cg06974034	0.0404974768452325	0.632841871090357	5.7757660317094	5.23200010537283e-07	0.00475683240799804	5.30591906432199	0.61259313266774	0.653090609512973	0.0404974768452326	2	158453600	R	II	ACVR1C	Body	shore	Body-shore	chr2:158453799-158454111	rs533305745;rs143522731;rs566663993	42;16;7
cg14531319	0.0346283221106505	0.882062164223759	5.75921511830442	5.54628934566651e-07	0.00493379234251206	5.24820719006617	0.864748003168433	0.899376325279084	0.0346283221106507	5	129083450	F	II		IGR	opensea	IGR-opensea		rs554671221;rs574330639	21;33
cg16613001	0.0385166277107369	0.850141321155221	5.75598676206997	5.60974404386141e-07	0.00493379234251206	5.23695375032318	0.830883007299852	0.869399635010589	0.0385166277107366	9	92170237	F	II		IGR	opensea	IGR-opensea		rs142048816;rs375350596	33;39
cg24742525	0.0394054405189304	0.298108992257194	5.75520730424297	5.62517234917434e-07	0.00493379234251206	5.2342368856101	0.278406271997729	0.317811712516659	0.0394054405189304	7	97755587	R	II	LMTK2	Body	opensea	Body-opensea		rs62479794;rs531414735	31;21
cg10881887	0.0427183500186355	0.277806820820026	5.749272197088	5.74403995487763e-07	0.00496883408254559	5.21355185698475	0.256447645810708	0.299165995829343	0.0427183500186356	1	169580242	R	II	SELP	Body	opensea	Body-opensea		rs79833093;rs556356265	33;2
cg06013382	0.0446800846640635	0.67182303877654	5.74659745128726	5.79842159089218e-07	0.00496883408254559	5.20423115674922	0.649482996444509	0.694163081108572	0.0446800846640636	19	39863085	R	II	SAMD4B	Body	opensea	Body-opensea		rs146566473;rs568273965;rs79057712;rs78368230;rs201810595;rs142992053;rs558955722	43;41;37;32;10;8;1
cg23969787	0.0330669927464613	0.266517404237921	5.73985452903834	5.93779498939192e-07	0.00498756705972892	5.18073772264065	0.24998390786469	0.283050900611152	0.0330669927464612	19	8749571	R	II		IGR	opensea	IGR-opensea		rs573592239;rs199824285;rs116046113	51;37;22
cg18700066	0.0381774382655746	0.624645775409723	5.73907684729491	5.95408178252023e-07	0.00498756705972892	5.17802849176571	0.605557056276936	0.64373449454251	0.0381774382655747	5	139549362	F	II		IGR	opensea	IGR-opensea		rs562881110	30
cg14028598	0.0423894778928869	0.420342480851357	5.73360247136394	6.06999221065956e-07	0.00502816572536511	5.15895924959402	0.399147741904913	0.4415372197978	0.0423894778928869	1	171714300	F	II		IGR	shelf	IGR-shelf	chr1:171710845-171711607	rs144639987;rs12045870;rs541819855;rs141125653	0;1;15;22
cg13618516	0.0365868999052553	0.292537131372543	5.72793571862215	6.19233598936733e-07	0.00507314270931983	5.13922357285678	0.274243681419916	0.310830581325171	0.0365868999052554	17	79129078	R	II	AATK	Body	shelf	Body-shelf	chr17:79131879-79132084		
cg07774551	0.049375714989039	0.671574618052375	5.7168314723488	6.43921692963908e-07	0.0051697441488637	5.10056161219441	0.646886760557856	0.696262475546895	0.049375714989039	22	45724922	F	II	FAM118A	Body	opensea	Body-opensea			
cg18542546	0.0507101636070055	0.364238510245521	5.71640303937718	6.44893559791617e-07	0.0051697441488637	5.09907021747262	0.338883428442018	0.389593592049024	0.0507101636070055	7	1982333	F	II	MAD1L1	Body	shelf	Body-shelf	chr7:1978698-1978934	rs559906182;rs148318726;rs542338199	1;16;48
cg06483946	0.0384710545263681	0.309527842868214	5.70358152597219	6.74661756098205e-07	0.00527028276106411	5.05444807275419	0.29029231560503	0.328763370131398	0.038471054526368	9	134511560	R	II	RAPGEF1	Body	opensea	Body-opensea		rs17148134;rs184721822	33;2
cg00262030	0.040535366012985	0.601386855941153	5.69712989877304	6.90152599431663e-07	0.00527028276106411	5.03200222292139	0.581119172934661	0.621654538947646	0.0405353660129851	8	61837048	R	II		IGR	shore	IGR-shore	chr8:61834699-61835871	rs73684700;rs114982745	20;6
cg00017851	0.0366889320875571	0.80668529192793	5.69708214129173	6.90268575140338e-07	0.00527028276106411	5.03183608866333	0.788340825884152	0.825029757971709	0.0366889320875575	2	106351195	R	II		IGR	opensea	IGR-opensea		rs139891476	2
cg14160751	0.0447393676803633	0.416087520051668	5.69676004375287	6.91051271867513e-07	0.00527028276106411	5.03071561309084	0.393717836211486	0.438457203891849	0.0447393676803632	17	9368690	R	II	STX8	Body	opensea	Body-opensea		rs568313855;rs535951180;rs9893164;rs151170162	30;10;9;2
cg14863672	0.0353510673391276	0.323686700570276	5.69604946116621	6.92781103572612e-07	0.00527028276106411	5.02824376521608	0.306011166900712	0.34136223423984	0.0353510673391276	19	4991633	R	II	KDM4B	5'UTR	opensea	5'UTR-opensea		rs530805970	34
cg17649857	0.0528888682123383	0.563682699076591	5.6905393902378	7.06341422108196e-07	0.0053057885632674	5.00907839419896	0.537238264970422	0.59012713318276	0.0528888682123381	5	177956161	R	II	COL23A1	Body	shelf	Body-shelf	chr5:177952110-177952738	rs145427305;rs576334821	35;16
cg08998189	0.0500637287531136	0.701187676083107	5.68765946278069	7.13533434536552e-07	0.0053057885632674	4.99906277475034	0.676155811706551	0.726219540459664	0.0500637287531134	11	58477379	R	II	GLYAT	Body	opensea	Body-opensea		rs145407893;rs200165614;rs146653564	17;2;1
cg15458313	0.0359896964514726	0.25831328915409	5.68556923218872	7.18798817603104e-07	0.0053057885632674	4.99179414494244	0.240318440928354	0.276308137379827	0.0359896964514726	6	24490221	F	II	GPLD1	TSS1500	opensea	TSS1500-opensea		rs558405706;rs575266868	25;34
