	BumphunterDMR.seqnames	BumphunterDMR.start	BumphunterDMR.end	BumphunterDMR.width	BumphunterDMR.strand	BumphunterDMR.value	BumphunterDMR.area	BumphunterDMR.cluster	BumphunterDMR.indexStart	BumphunterDMR.indexEnd	BumphunterDMR.L	BumphunterDMR.clusterL	BumphunterDMR.p.value	BumphunterDMR.fwer	BumphunterDMR.p.valueArea	BumphunterDMR.fwerArea
DMR_29	chr8	145164473	145165189	716	*	-0.592401004120939	1.77720301236282	165279	585857	585859	3	42	0.000832859348338344	0.256	0.0339847241407329	0.888
DMR_30	chr8	35092683	35092878	195	*	-0.321562900051386	1.60781450025693	158612	568397	568401	5	21	0.00903957097586739	0.256	0.0436641748598359	0.92
DMR_31	chr15	77711506	77711899	393	*	0.580727921114208	1.74218376334262	57188	208461	208463	3	20	0.000853172990980743	0.26	0.0356809133013732	0.896
DMR_32	chr14	102026812	102027172	360	*	-0.320840383269977	1.60420191634989	52781	191389	191393	5	45	0.00920208011700658	0.26	0.0438571544649387	0.92
DMR_33	chr1	12587508	12587519	11	*	1.65348952948767	3.30697905897533	931	8757	8758	2	7	0.000782075241732347	0.264	0.00468229462907288	0.424
DMR_34	chr8	120220410	120220856	446	*	-0.300598309657678	2.10418816760374	163358	579144	579150	7	21	0.00756683188429349	0.28	0.0212175997399854	0.776
DMR_35	chr2	115918775	115919013	238	*	-0.31553093494163	1.57765467470815	86284	341285	341289	5	20	0.0105630941740473	0.28	0.0454924026976517	0.92
DMR_36	chr5	7847407	7847799	392	*	1.58281649985471	3.16563299970941	125959	462624	462625	2	21	0.000853172990980743	0.288	0.00548468351344763	0.448
DMR_37	chr11	1848552	1849375	823	*	0.290261913402136	2.03183339381495	24855	91844	91850	7	67	0.00975054846835135	0.312	0.0234825708946128	0.8
DMR_38	chr4	187476569	187476703	134	*	-0.311302157256371	1.55651078628186	125222	458676	458680	5	19	0.0119139514097668	0.316	0.046934671325262	0.928
DMR_39	chr1	241520286	241520607	321	*	-0.309285566495139	1.54642783247569	15091	58259	58263	5	16	0.0126757130088567	0.32	0.0475237669618916	0.932
DMR_40	chr1	113933133	113933423	290	*	0.253069352374324	2.0245548189946	7904	34272	34279	8	17	0.0143312748842122	0.34	0.0237568050702852	0.8
DMR_41	chr18	10862	10935	73	*	-0.305978500506022	1.52989250253011	70325	278865	278869	5	7	0.0137421792475827	0.34	0.0487121150564719	0.936
DMR_42	chr1	205819179	205819492	313	*	-0.245619935367574	1.96495948294059	12432	50580	50587	8	16	0.0157837003331437	0.352	0.0259811489396279	0.82
DMR_43	chr1	63789404	63790236	832	*	-0.296573720467153	1.77944232280292	5117	27301	27306	6	65	0.0124928902250752	0.352	0.0338120581782725	0.888
DMR_44	chr1	38259483	38259574	91	*	0.290645067228264	1.74387040336959	3126	19690	19695	6	49	0.0145039408466726	0.36	0.03556918826684	0.896
DMR_45	chr4	2010918	2011099	181	*	0.290078928221869	1.74047356933122	116108	437393	437398	6	21	0.0146969204517754	0.364	0.03582310879987	0.896
DMR_46	chr5	14871736	14871921	185	*	0.286285966091962	1.71771579655177	126388	463571	463576	6	22	0.0162204436499553	0.38	0.0370927114650199	0.896
DMR_47	chr19	57019005	57019373	368	*	-0.273940982624638	1.91758687837247	78814	317711	317717	7	12	0.014422686276103	0.388	0.0278296904200861	0.836
DMR_48	chr11	1330593	1330840	247	*	0.253633715618664	1.77543600933064	24814	91345	91351	7	124	0.0214715202730154	0.428	0.0340659787113025	0.892
DMR_49	chr1	42801016	42801146	130	*	0.275041275558198	1.65024765334919	3554	21484	21489	6	34	0.0216137157715121	0.448	0.0411655968148208	0.912
DMR_50	chr15	45721589	45721592	3	*	1.23050826316413	2.46101652632826	54656	200133	200134	2	17	0.00161493459007069	0.452	0.0131733972535955	0.652
DMR_51	chr5	139781318	139781398	80	*	0.272750827608177	1.63650496564906	133355	478657	478662	6	18	0.0225887706183473	0.452	0.0418765743073048	0.912
DMR_52	chr5	132112891	132112975	84	*	0.261215484606242	1.56729290763745	132699	475975	475980	6	44	0.0288961566588121	0.492	0.0461525960835297	0.928
DMR_53	chr11	125774082	125774447	365	*	-0.260069550469412	1.56041730281647	32732	124359	124364	6	22	0.0295360364020476	0.496	0.0466705939709109	0.928
DMR_54	chr7	99006201	99006352	151	*	0.25627674854195	1.5376604912517	152572	546430	546435	6	43	0.0317806939140327	0.504	0.0481636467051272	0.936
DMR_55	chr22	38851318	38851366	48	*	-0.25599788957346	1.53598733744076	102638	395749	395754	6	15	0.0319127325912083	0.504	0.0482652149183392	0.936
DMR_56	chr10	978071	978077	6	*	-0.827246611754623	1.65449322350925	15708	60670	60671	2	16	0.00423539449094012	0.852	0.0408812058178273	0.912
DMR_57	chr6	87864951	87864960	9	*	-0.772116922408847	1.54423384481769	141671	514160	514161	2	19	0.00493621516210287	0.896	0.047696432924352	0.932
