	Old_to_Young.logFC	Old_to_Young.AveExpr	Old_to_Young.t	Old_to_Young.P.Value	Old_to_Young.adj.P.Val	Old_to_Young.B	Old_to_Young.Old_AVG	Old_to_Young.Young_AVG	Old_to_Young.deltaBeta	Old_to_Young.CHR	Old_to_Young.MAPINFO	Old_to_Young.Strand	Old_to_Young.Type	Old_to_Young.gene	Old_to_Young.feature	Old_to_Young.cgi	Old_to_Young.feat.cgi	Old_to_Young.UCSC_Islands_Name	Old_to_Young.SNP_ID	Old_to_Young.SNP_DISTANCE
cg06739029	-0.018041476581879	0.0800427816516318	-5.80508609661719	4.70701479484033e-07	0.0300304574185595	5.42284369433887	0.0890635199425713	0.0710220433606922	-0.018041476581879	6	19837421	F	I	ID4	TSS200	shore	TSS200-shore	chr6:19837504-19839314	rs543607704;rs13210018;rs529522260	32;36;40
cg04111071	-0.0317133346957101	0.208887868713202	-5.79755964315045	4.83369489841715e-07	0.0300304574185595	5.39656627435784	0.224744536061057	0.193031201365347	-0.0317133346957101	7	19813299	R	I	TMEM196	TSS1500	shore	TSS1500-shore	chr7:19812569-19813005	rs553726953;rs572140643;rs189725226;rs561001405	44;11;5;1
cg20869158	-0.0278433150687539	0.155505673927964	-5.72763764493251	6.18486568943241e-07	0.0346671850267923	5.15274739228022	0.16942733146234	0.141584016393587	-0.0278433150687539	2	48982948	F	I	LHCGR	TSS200	island	TSS200-island	chr2:48982621-48982958	rs553985480;rs532961640	18;37
cg23079217	-0.0182173084037294	0.093549850575291	-5.7130879753666	6.51002498061899e-07	0.0346671850267923	5.10208343358352	0.102658504777156	0.0844411963734264	-0.0182173084037294	12	79257730	F	I	SYT1	TSS200	opensea	TSS200-opensea			
cg01281911	-0.0324979142053861	0.157752423208751	-5.64883883368918	8.16101510788516e-07	0.0389219578474938	4.87866619658062	0.174001380311444	0.141503466106058	-0.0324979142053861	1	47882686	R	I	FOXE3	1stExon	island	1stExon-island	chr1:47881896-47883065		
cg14658804	-0.0224250952853785	0.102246097094383	-5.64221749591689	8.35315810485858e-07	0.0389219578474938	4.85567071610865	0.113458644737073	0.0910335494516942	-0.0224250952853785	5	168728213	F	I	SLIT3	TSS200	island	TSS200-island	chr5:168727429-168728275	rs552643041;rs112907674	31;42
cg07547549	-0.0512202389567653	0.337934948065888	-5.58720526192746	1.0133168080167e-06	0.0406988585652589	4.66483703635791	0.363545067544271	0.312324828587506	-0.0512202389567652	20	44658225	R	II	SLC12A5	Body	island	Body-island	chr20:44657463-44659243	rs374364577;rs555248456	11;4
cg12757011	-0.0365115839276541	0.238352221020079	-5.58213202746755	1.03151422220145e-06	0.0406988585652589	4.64725855634621	0.256608012983906	0.220096429056252	-0.0365115839276541	2	162281111	R	II	TBR1	3'UTR	shore	3'UTR-shore	chr2:162279835-162280709		
cg00436253	0.0553454048262428	0.538949951135648	5.58055893289487	1.03722236152085e-06	0.0406988585652589	4.64180857671493	0.511277248722527	0.56662265354877	0.0553454048262428	17	16373725	R	II	LRRC75A-AS1	Body	opensea	Body-opensea		rs185831682	2
cg16818628	-0.0293811489735647	0.0997403238920069	-5.53684858274198	1.20898204007339e-06	0.042147835849618	4.49051019577516	0.114430898378789	0.0850497494052245	-0.0293811489735648	10	50604006	R	I	DRGX	5'UTR	island	5'UTR-island	chr10:50602989-50606783		
cg22454769	-0.0668660141297244	0.610462054836401	-5.53642475413376	1.21077843644432e-06	0.042147835849618	4.48904446421751	0.643895061901263	0.577029047771538	-0.0668660141297243	2	106015767	R	I	FHL2	TSS200	island	TSS200-island	chr2:106014878-106015884		
cg03614193	-0.0482776399589159	0.295477923177948	-5.52875383846013	1.24375260042761e-06	0.042147835849618	4.46252043713792	0.319616743157406	0.27133910319849	-0.048277639958916	18	55021542	F	I	ST8SIA3	Body	island	Body-island	chr18:55019707-55021605	rs576947032;rs544483145;rs113423471;rs202125286;rs200319946;rs529849678;rs3745059;rs75949411	2;16;21;23;34;36;45;46
cg24343287	0.0155101794087339	0.935105770355074	5.50476547482862	1.35271937147285e-06	0.0438473985902353	4.37962917087116	0.927350680650707	0.942860860059441	0.0155101794087337	19	58569986	R	II	ZNF135	TSS1500	shore	TSS1500-shore	chr19:58570393-58571779	rs531792283;rs75449522	41;1
cg22557662	-0.0271394706005115	0.13826838839384	-5.47553441873851	1.49835352737087e-06	0.0453976146578262	4.27873503296398	0.151838123694096	0.124698653093584	-0.0271394706005116	19	38747374	R	I	PPP1R14A	TSS1500	island	TSS1500-island	chr19:38746638-38747379	rs564115753;rs572714205;rs540342678	14;11;5
cg01952953	-0.0458780905064469	0.268317823760105	-5.4709933109236	1.52233097408233e-06	0.0453976146578262	4.26307225443267	0.291256869013328	0.245378778506881	-0.0458780905064469	12	108168562	F	II	ASCL4	1stExon	shore	1stExon-shore	chr12:108168986-108169570	rs11113472	23
