	Case_to_Control.logFC	Case_to_Control.AveExpr	Case_to_Control.t	Case_to_Control.P.Value	Case_to_Control.adj.P.Val	Case_to_Control.B	Case_to_Control.Case_AVG	Case_to_Control.Control_AVG	Case_to_Control.deltaBeta	Case_to_Control.CHR	Case_to_Control.MAPINFO	Case_to_Control.Strand	Case_to_Control.Type	Case_to_Control.gene	Case_to_Control.feature	Case_to_Control.cgi	Case_to_Control.feat.cgi	Case_to_Control.UCSC_Islands_Name	Case_to_Control.SNP_ID	Case_to_Control.SNP_DISTANCE
cg20782117	0.0404178077409342	0.377876321533376	6.61225342133862	2.69548633910664e-08	0.00107133990093051	8.24811930205955	0.357667417662909	0.398085225403843	0.0404178077409342	7	95865631	R	II	SLC25A13	Body	opensea	Body-opensea		rs559795997	2
cg02276314	0.0417218462373319	0.459120336110753	6.59859002559847	2.8298763333724e-08	0.00107133990093051	8.19971085438997	0.438259412992087	0.479981259229419	0.0417218462373318	1	9301104	R	II	H6PD	5'UTR	opensea	5'UTR-opensea			
cg06930016	0.0403977234455788	0.59181236913571	6.59055586462615	2.91200341141429e-08	0.00107133990093051	8.17124884158853	0.57161350741292	0.6120112308585	0.040397723445579	6	166801650	F	II		IGR	opensea	IGR-opensea		rs554278989;rs555789870;rs73265170	0;15;33
cg04595171	0.0412892588179128	0.410624798551432	6.58454410208916	2.97501108806225e-08	0.00107133990093051	8.14995264808778	0.389980169142476	0.431269427960389	0.041289258817913	12	57933495	R	II	DCTN2	Body	opensea	Body-opensea			
cg23564253	0.0520700964713079	0.499188481242778	6.5805386473577	3.01774553330536e-08	0.00107133990093051	8.13576423230253	0.473153433007124	0.525223529478432	0.0520700964713081	21	48023398	F	II	S100B	5'UTR	opensea	5'UTR-opensea		rs557145592;rs187627373	26;38
cg07564261	0.0361313477766858	0.331949447434885	6.55798788309395	3.27004440882816e-08	0.00110814075819311	8.05589236096531	0.313883773546542	0.350015121323228	0.0361313477766856	17	66379574	R	II	ARSG	Body	opensea	Body-opensea		rs376989232;rs565637898;rs535857835;rs140981342	38;9;7;1
cg00630090	0.0431883186649713	0.517984780345509	6.50232634633513	3.98669188414911e-08	0.00129225670739388	7.85881781397393	0.496390621013023	0.539578939677995	0.0431883186649714	1	95061557	R	II		IGR	opensea	IGR-opensea		rs536634089	16
cg27250318	0.0378571608669011	0.200554881891829	6.46116033927752	4.61578875332209e-08	0.00143383323236946	7.71313831767527	0.181626301458378	0.21948346232528	0.0378571608669011	7	137775797	R	II	AKR1D1	Body	opensea	Body-opensea		rs574753375;rs543574121;rs557450796	43;24;18
cg15802480	0.0435540063123017	0.682574420007763	6.43747022072905	5.0217946750853e-08	0.00145202802607867	7.6293336768319	0.660797416851612	0.704351423163914	0.0435540063123017	1	50795160	F	II		IGR	shelf	IGR-shelf	chr1:50798667-50799536	rs146464440	1
cg11596902	0.0418918996337442	0.275122851634421	6.43512423351804	5.06389145384819e-08	0.00145202802607867	7.62103594417062	0.254176901817549	0.296068801451293	0.0418918996337442	11	123324834	R	II		IGR	opensea	IGR-opensea		rs185588931	2
cg17908865	0.0499183423599996	0.451201356636602	6.41061733525207	5.52527071141497e-08	0.00152564593442214	7.53436960532273	0.426242185456603	0.476160527816602	0.0499183423599995	1	203506157	R	II		IGR	opensea	IGR-opensea			
cg00262030	0.0416493748658965	0.600870663760126	6.3348250535477	7.23484360387936e-08	0.00175166869307873	7.26651468528659	0.580045976327178	0.621695351193075	0.0416493748658965	8	61837048	R	II		IGR	shore	IGR-shore	chr8:61834699-61835871	rs73684700;rs114982745	20;6
cg03254865	0.0523030802233205	0.385398275986336	6.33052562440479	7.34629404064378e-08	0.00175166869307873	7.2513288155026	0.359246735874675	0.411549816097996	0.0523030802233206	5	70790128	F	II	BDP1	Body	opensea	Body-opensea		rs147864215	48
cg09492975	0.0285625448541938	0.193315749249025	6.32577920555185	7.47132140295166e-08	0.00175166869307873	7.23456527766998	0.179034476821928	0.207597021676121	0.0285625448541938	3	11267531	F	II	HRH1	TSS200	opensea	TSS200-opensea		rs535839226;rs554182133;rs141610893	0;18;27
cg16958707	0.0449771944348381	0.399238262006958	6.31040371244641	7.89109261298006e-08	0.00175166869307873	7.18026992977734	0.376749664789539	0.421726859224377	0.0449771944348381	3	171874269	R	II	FNDC3B	Body	opensea	Body-opensea		rs556783425;rs574520348	42;2
cg19046904	0.0427954587020862	0.588152889482719	6.30002230538459	8.18774153170356e-08	0.00175166869307873	7.14361742336494	0.566755160131676	0.609550618833762	0.0427954587020862	22	46426201	R	II		IGR	shelf	IGR-shelf	chr22:46423299-46423652	rs530735707;rs550561365;rs567540675;rs144878853;rs548942210	34;13;12;5;2
cg14028598	0.0442230723458726	0.419391086020495	6.29763447527133	8.25753219035967e-08	0.00175166869307873	7.13518781345794	0.397279549847559	0.441502622193432	0.0442230723458728	1	171714300	F	II		IGR	shelf	IGR-shelf	chr1:171710845-171711607	rs144639987;rs12045870;rs541819855;rs141125653	0;1;15;22
cg24742525	0.0415952349662749	0.29692665789738	6.28979263025398	8.49093138857737e-08	0.00175166869307873	7.10750647320454	0.276129040414243	0.317724275380518	0.0415952349662749	7	97755587	R	II	LMTK2	Body	opensea	Body-opensea		rs62479794;rs531414735	31;21
cg12302692	0.0413711379802285	0.762770392473274	6.2880975915368	8.54223975289756e-08	0.00175166869307873	7.10152352225222	0.74208482348316	0.783455961463388	0.0413711379802284	12	7272451	F	II	C1RL-AS1	Body	opensea	Body-opensea		rs75536806	0
cg25498843	0.0438534544673355	0.620383300045718	6.28316984613068	8.69316398885884e-08	0.00175166869307873	7.08413106493458	0.59845657281205	0.642310027279385	0.0438534544673352	15	78305338	R	II	TBC1D2B	Body	opensea	Body-opensea		rs559426852;rs150768376	32;1
cg08421782	0.0432018532021463	0.558929371651485	6.28128050569666	8.75173231909368e-08	0.00175166869307873	7.07746301301973	0.537328445050412	0.580530298252558	0.0432018532021462	6	43463353	R	II	TJAP1	5'UTR	opensea	5'UTR-opensea		rs146851893;rs530644641	21;1
cg00237086	0.0488712924427951	0.528563415920573	6.275445557331	8.93510767110244e-08	0.00175166869307873	7.05687101640479	0.504127769699176	0.552999062141971	0.0488712924427949	8	6796499	R	II	DEFA4	TSS1500	opensea	TSS1500-opensea		rs553858261;rs144636705	10;1
cg06021353	0.0474387709162884	0.351766708427396	6.26531989475644	9.26246686582467e-08	0.00175166869307873	7.02114143886564	0.328047322969251	0.37548609388554	0.0474387709162885	5	73399681	R	II		IGR	opensea	IGR-opensea		rs539591817	22
cg12822133	0.0480219785253808	0.682938039550112	6.26122359757765	9.39827179168982e-08	0.00175166869307873	7.00668888794283	0.658927050287421	0.706949028812802	0.0480219785253807	22	23134389	R	II		IGR	opensea	IGR-opensea		rs138339964;rs534887469;rs112327671;rs558009711	46;32;25;12
cg24606533	0.0363576689098151	0.276223549363006	6.25150383308429	9.728509101204e-08	0.00176899413004937	6.97239962015757	0.258044714908098	0.294402383817913	0.0363576689098151	1	56973115	R	II	PPAP2B	Body	opensea	Body-opensea		rs189803230;rs555063905	2;1
cg10885599	0.0350020639969526	0.870641086422756	6.24427641991692	9.98154347782332e-08	0.00177179051093683	6.94690652436142	0.85314005442428	0.888142118421233	0.0350020639969526	16	9219449	R	II		IGR	opensea	IGR-opensea		rs540904285;rs565494486	37;1
cg18120259	0.0414120834040627	0.388971623499473	6.23351423809362	1.03705409705121e-07	0.00177721609170878	6.90895122973568	0.368265581797442	0.409677665201505	0.0414120834040628	6	43894639	F	II	LOC100132354	Body	opensea	Body-opensea		rs548209732	4
cg19241807	0.0449239180698819	0.679614717760596	6.23032006143044	1.04888760764433e-07	0.00177721609170878	6.89768761255946	0.657152758725655	0.702076676795537	0.0449239180698819	2	25392556	R	II	POMC	TSS1500	shore	TSS1500-shore	chr2:25391072-25391875	rs143984689	1
cg00232107	0.0430800582860406	0.716472134129308	6.20039033309209	1.1665189443643e-07	0.00193260563456451	6.79217783144692	0.694932104986288	0.738012163272328	0.0430800582860406	3	65390065	R	II	MAGI1	Body	opensea	Body-opensea		rs139809008;rs141176041;rs72626921	51;44;21
cg23815853	0.0387145571430095	0.310508165603882	6.1791323681775	1.25796806525344e-07	0.00203484037065439	6.71727357643844	0.291150887032377	0.329865444175387	0.0387145571430095	12	48147034	F	II	RAPGEF3	Body	opensea	Body-opensea		rs572370170	13
cg25571414	0.041610516176223	0.836899673932177	6.17248049962978	1.28802538287581e-07	0.00203484037065439	6.69384136750914	0.816094415844066	0.857704932020289	0.0416105161762228	4	25659572	F	II	SLC34A2	5'UTR	shelf	5'UTR-shelf	chr4:25657119-25657547	rs12501856;rs565839612	36;38
cg23390360	0.0372228775046293	0.366254575754734	6.16423591910198	1.3262745173865e-07	0.00203484037065439	6.66480277902934	0.34764313700242	0.384866014507049	0.0372228775046293	11	45758333	F	II		IGR	opensea	IGR-opensea		rs553853347;rs144035420;rs180907024;rs141623893;rs549280561	0;1;11;44;51
cg14160751	0.0467322092988431	0.415124358611618	6.14964096352344	1.39678065394039e-07	0.00203484037065439	6.61340879833851	0.391758253962196	0.438490463261039	0.0467322092988431	17	9368690	R	II	STX8	Body	opensea	Body-opensea		rs568313855;rs535951180;rs9893164;rs151170162	30;10;9;2
cg24196017	0.0440366057448162	0.762108602670376	6.14662544577001	1.41180724463496e-07	0.00203484037065439	6.60279195878806	0.740090299797968	0.784126905542785	0.0440366057448163	15	43021976	F	II	CDAN1	Body	opensea	Body-opensea		rs375921570;rs553497628;rs12594483;rs545249978;rs565510675	0;1;10;21;32
cg12740667	0.0362742298176382	0.383826657982347	6.14588255607913	1.4155337877276e-07	0.00203484037065439	6.60017653960443	0.365689543073528	0.401963772891166	0.0362742298176382	6	13480235	R	II	GFOD1	Body	opensea	Body-opensea		rs145705981;rs564489547;rs533665667	39;2;1
cg10842456	0.0363296432498325	0.795336605160779	6.14513663778865	1.41928538262853e-07	0.00203484037065439	6.59755049727371	0.777171783535862	0.813501426785695	0.0363296432498325	13	50805081	F	II	DLEU1	Body	opensea	Body-opensea		rs56285935	0
cg00457779	0.0418054764563282	0.302780717127836	6.12234694203728	1.53880638027002e-07	0.00213850207521632	6.51733747054165	0.281877978899672	0.323683455356	0.0418054764563283	5	39272488	R	II		IGR	opensea	IGR-opensea		rs188077700;rs192826753;rs184386833	31;20;1
cg07584928	0.04326052007031	0.725188283445104	6.11321819364903	1.58944832153815e-07	0.00213850207521632	6.48521756929199	0.703558023409949	0.746818543480259	0.0432605200703099	1	161148096	F	II	B4GALT3	TSS1500	shore	TSS1500-shore	chr1:161147061-161147451	rs192411901;rs552053020	0;42
cg04530248	0.0365375397012641	0.71565962824368	6.11029439407295	1.60601653958263e-07	0.00213850207521632	6.47493135649289	0.697390858393048	0.733928398094312	0.0365375397012639	20	477164	R	II	CSNK2A1	Body	opensea	Body-opensea		rs575161639;rs187507582	37;2
cg23516425	0.0361129985452692	0.88958366671577	6.10776910785019	1.6204648841613e-07	0.00213850207521632	6.46604766535566	0.871527167443135	0.907640165988404	0.0361129985452689	2	20186047	F	II	WDR35	Body	shelf	Body-shelf	chr2:20189588-20190229	rs554020188	2
cg22666015	0.0392299308983849	0.214692971509568	6.10396547321419	1.64247196449276e-07	0.00213850207521632	6.45266777986766	0.195078006060376	0.234307936958761	0.0392299308983848	2	233981885	R	II	INPP5D	Body	opensea	Body-opensea		rs529216086	27
cg06397009	0.0385735028591278	0.251659825496754	6.10034512557688	1.66369499686862e-07	0.00213850207521632	6.43993364573976	0.23237307406719	0.270946576926318	0.0385735028591276	3	53305431	R	II		IGR	opensea	IGR-opensea		rs527286583;rs547371515	11;2
cg06633162	0.0443485109214505	0.605351831987196	6.09053979810307	1.72255679672877e-07	0.00217663444669763	6.40544958272557	0.583177576526471	0.627526087447921	0.0443485109214503	6	158481402	F	II	SYNJ2	Body	opensea	Body-opensea		rs146113395;rs531994339;rs371016306;rs187201160	1;14;28;47
cg15460321	0.0625150160123821	0.53148777931922	6.07109497502457	1.84548856045987e-07	0.00222691161839018	6.33708654337459	0.500230271313029	0.562745287325411	0.0625150160123821	6	45447935	F	II	RUNX2	Body	opensea	Body-opensea		rs184416937	0
cg02054108	0.0535660574920529	0.454479444811695	6.06243967974266	1.90298102039542e-07	0.00222691161839018	6.30666624891426	0.427696416065669	0.481262473557722	0.053566057492053	2	61607478	R	II	USP34	Body	opensea	Body-opensea			
cg17371070	0.0395742829372764	0.828828461688757	6.06100625609594	1.91267312011557e-07	0.00222691161839018	6.30162884632049	0.809041320220119	0.848615603157396	0.0395742829372763	8	125239977	R	II		IGR	opensea	IGR-opensea		rs186179217;rs376041451	44;1
cg00274133	0.0449388280473571	0.360003623860283	6.06095259294586	1.91303691654874e-07	0.00222691161839018	6.30144026401518	0.337534209836605	0.382473037883962	0.0449388280473571	1	180579182	F	II		IGR	opensea	IGR-opensea			
cg17647904	0.0431317852417162	0.460442756116514	6.05662286640053	1.94261741099685e-07	0.00222691161839018	6.28622555622022	0.438876863495656	0.482008648737372	0.0431317852417162	12	124908601	F	II	NCOR2	Body	shelf	Body-shelf	chr12:124911243-124911464	rs187701440;rs545626834;rs564249516	11;17;21
cg10881887	0.044980362437461	0.276534766290103	6.05023932910073	1.98706200184939e-07	0.00222691161839018	6.26379647794774	0.254044585071372	0.299024947508833	0.044980362437461	1	169580242	R	II	SELP	Body	opensea	Body-opensea		rs79833093;rs556356265	33;2
cg16545994	0.0406825964449726	0.39599896892347	6.04929763886896	1.99370353062092e-07	0.00222691161839018	6.26048805077294	0.375657670700984	0.416340267145957	0.0406825964449727	6	25022493	R	II	FAM65B	Body	opensea	Body-opensea		rs192866431;rs147901155;rs79535862	47;43;31
cg07180212	0.0348860164464262	0.343252001814526	6.04638899834059	2.01435738169445e-07	0.00222691161839018	6.25026961814527	0.325808993591313	0.360695010037739	0.0348860164464264	17	74557703	F	II	SNORD1A	TSS200	shelf	TSS200-shelf	chr17:74553220-74553912	rs202177917;rs184121503;rs73369110	1;15;18
cg13005325	0.0453873013960253	0.451296742376403	6.04404206796746	2.03117776999029e-07	0.00222691161839018	6.24202504734298	0.428603091678391	0.473990393074416	0.0453873013960251	13	108975920	R	II		IGR	opensea	IGR-opensea			
cg09797463	0.0369452056691931	0.447396765113285	6.02622355935698	2.16352662254315e-07	0.00226269508532797	6.17944485255254	0.428924162278689	0.465869367947882	0.0369452056691932	10	90995297	R	II	LIPA	Body	opensea	Body-opensea		rs149244609;rs550585197;rs113064729;rs186328549	51;38;17;9
cg12431339	0.0438271993211532	0.743887478107342	6.02505230688597	2.17252093983987e-07	0.00226269508532797	6.1753322301014	0.721973878446765	0.765801077767918	0.0438271993211532	10	73992901	F	II	ANAPC16	3'UTR	opensea	3'UTR-opensea		rs201778398;rs200589401;rs117571297;rs556056095	0;1;38;44
cg03605704	0.042662338521983	0.40878684396773	6.01173456256527	2.27744591782093e-07	0.00226269508532797	6.12857769369322	0.387455674706738	0.430118013228721	0.042662338521983	1	204453066	F	II	PIK3C2B	5'UTR	opensea	5'UTR-opensea		rs529205700;rs549132902	1;15
cg01411400	0.0338117874380847	0.249928088113619	6.01052428365924	2.2872275997153e-07	0.00226269508532797	6.12432951686706	0.233022194394576	0.266833981832661	0.0338117874380847	17	57929235	F	II		IGR	opensea	IGR-opensea		rs143502014	1
cg20109867	0.0431088177487843	0.293669765840121	6.01040167716841	2.28822085582182e-07	0.00226269508532797	6.12389916511949	0.272115356965728	0.315224174714513	0.0431088177487844	6	2818375	F	II		IGR	opensea	IGR-opensea		rs138212381	1
cg15579525	0.0439468622751919	0.448305532860552	6.00832630337541	2.30509909380186e-07	0.00226269508532797	6.11661474718385	0.426332101722957	0.470278963998148	0.0439468622751918	19	9907249	F	II		IGR	shelf	IGR-shelf	chr19:9903581-9903990	rs552614130	42
cg06793325	0.0459250274335078	0.681744809601411	6.00829199211115	2.30537917307047e-07	0.00226269508532797	6.11649432011382	0.658782295884657	0.704707323318165	0.045925027433508	22	36011405	F	II	MB	Body	opensea	Body-opensea		rs556397751	32
cg25401182	0.0576213302229059	0.600601933455086	6.00673891242686	2.31809232493499e-07	0.00226269508532797	6.11104336315765	0.571791268343633	0.629412598566539	0.0576213302229059	8	129023431	F	II	PVT1	Body	opensea	Body-opensea		rs183082800;rs566476949;rs187802705;rs558232140;rs192477158	0;1;13;25;47
cg08771884	0.0354217348930373	0.329376638982215	6.00444854284945	2.33696818322389e-07	0.00226269508532797	6.10300506256024	0.311665771535697	0.347087506428734	0.0354217348930372	16	4912632	F	II	UBN1	Body	opensea	Body-opensea		rs558472268;rs185368159	0;1
cg07696959	0.0407157886276561	0.783054244648894	5.99667725302359	2.40216180013995e-07	0.00229599856735223	6.07573423752341	0.762696350335066	0.803412138962722	0.0407157886276562	10	45409683	F	II	TMEM72	Body	opensea	Body-opensea		rs532908604;rs551484796;rs142132851	0;35;45
cg16613001	0.0390614246323562	0.850031423688568	5.98968872173219	2.46233274037066e-07	0.00229806713728461	6.05121471423798	0.83050071137239	0.869562136004746	0.0390614246323561	9	92170237	F	II		IGR	opensea	IGR-opensea		rs142048816;rs375350596	33;39
cg11449128	0.0471425334476175	0.367984528367521	5.98927111851656	2.46597540243652e-07	0.00229806713728461	6.04974967244564	0.344413261643712	0.391555795091329	0.0471425334476175	6	13874574	R	II		IGR	shore	IGR-shore	chr6:13873765-13874262		
cg18498427	0.0540457575371396	0.617142272055244	5.96758626742572	2.66268219448796e-07	0.00240541524307182	5.97369568333994	0.590119393286675	0.644165150823814	0.0540457575371396	10	98244693	R	II	TLL2	Body	opensea	Body-opensea		rs531781052;rs12248019;rs192558812;rs535756568	50;31;25;1
cg23142831	0.0392385477724829	0.816517774181202	5.9619593714318	2.71622664801598e-07	0.00240541524307182	5.95396765721943	0.79689850029496	0.836137048067443	0.039238547772483	3	55370226	R	II		IGR	opensea	IGR-opensea		rs73071518	39
cg17183691	0.0368213576606717	0.478523698391293	5.96157122355385	2.71995943688407e-07	0.00240541524307182	5.95260690714726	0.460113019560957	0.496934377221629	0.0368213576606717	5	172550644	F	II	CREBRF	Body	opensea	Body-opensea		rs145019832;rs562862695	38;49
cg25634693	0.052255120722855	0.343842616720889	5.96030408885105	2.73218093587366e-07	0.00240541524307182	5.94816474239578	0.317715056359462	0.369970177082317	0.052255120722855	2	208461998	R	II	METTL21A	Body	opensea	Body-opensea		rs561431993;rs530068453;rs547038547;rs192082921	41;3;2;1
cg12992827	0.053707575499255	0.598715319828845	5.9592396311904	2.74248982816346e-07	0.00240541524307182	5.94443321021142	0.571861532079218	0.625569107578473	0.0537075754992549	3	101901234	F	II		IGR	opensea	IGR-opensea		rs190136083;rs181844988	0;12
cg11328838	0.0336706929083497	0.272100785059165	5.95186647002612	2.81496638397071e-07	0.00244027471896386	5.91858889582215	0.255265438604991	0.28893613151334	0.0336706929083496	3	171495665	R	II	PLD1	5'UTR	opensea	5'UTR-opensea		rs572983080;rs556232109;rs568216931	49;42;1
cg08824724	0.0503475033955882	0.669438122577646	5.94145723499857	2.92054167503777e-07	0.00248768861764448	5.88211104915572	0.644264370879852	0.69461187427544	0.0503475033955881	19	51972371	R	II		IGR	opensea	IGR-opensea		rs372538246;rs111654379	31;21
cg15282031	0.0529097358494556	0.353829637251474	5.93992640750312	2.93639673295589e-07	0.00248768861764448	5.87674730148966	0.327374769326746	0.380284505176202	0.0529097358494556	8	8483040	R	II		IGR	opensea	IGR-opensea		rs138913313;rs565317608;rs148980397	41;26;1
cg02102922	0.0334371021967915	0.311232528412281	5.92603461551705	3.08424703003355e-07	0.00257880336076345	5.82808291909319	0.294513977313886	0.327951079510677	0.0334371021967915	8	29693269	R	II		IGR	opensea	IGR-opensea		rs142135007;rs114489159;rs529337618;rs549258934;rs566045194	42;41;39;37;2
cg12343619	0.040596105154469	0.339347039639789	5.92338970228682	3.11322461985248e-07	0.00257880336076345	5.81881956875399	0.319048987062554	0.359645092217023	0.040596105154469	1	234794046	F	II	LOC101927787	Body	opensea	Body-opensea		rs143500074	1
cg20038717	0.045275587860892	0.466767947669633	5.92001378425445	3.15060474756146e-07	0.00257880336076345	5.80699696273683	0.444130153739187	0.489405741600079	0.0452755878608919	2	166982670	R	II	SCN1A	5'UTR	opensea	5'UTR-opensea			
cg08688907	0.0428143224811454	0.478753326387528	5.91718171034034	3.1823071593587e-07	0.00257880336076345	5.79707975653901	0.457346165146955	0.500160487628101	0.0428143224811454	5	159890925	F	II		IGR	opensea	IGR-opensea		rs184180182;rs528975311	4;23
cg00899855	0.0397868513441546	0.672395336122309	5.91255476497879	3.23478539392377e-07	0.00259314310232387	5.78087901075462	0.652501910450232	0.692288761794386	0.0397868513441546	16	87499925	R	II	ZCCHC14	Body	opensea	Body-opensea		rs531211947;rs117295775	41;7
cg13178361	0.0400369355199704	0.340033733640627	5.90894763475487	3.27629321579954e-07	0.00259847694530702	5.768250459409	0.320015265880641	0.360052201400612	0.0400369355199703	1	162532502	F	II	UAP1	5'UTR	shore	5'UTR-shore	chr1:162530856-162531853	rs572218239;rs534762474	14;16
cg11262012	0.0453531224487989	0.420240680680337	5.90472791468278	3.32552283294426e-07	0.00260975830168344	5.75347882261854	0.397564119455938	0.442917241904736	0.0453531224487987	9	133473888	F	II	FUBP3	Body	opensea	Body-opensea		rs552067445;rs565314581;rs527920146	17;37;49
cg08998189	0.0510043589045566	0.700708846068113	5.89630543586594	3.42599411507329e-07	0.00266059847981496	5.72400008147434	0.675206666615835	0.726211025520391	0.0510043589045566	11	58477379	R	II	GLYAT	Body	opensea	Body-opensea		rs145407893;rs200165614;rs146653564	17;2;1
cg02715788	0.0365051412375798	0.427228899936321	5.89265608208627	3.4704588566106e-07	0.00266734458809401	5.71122946213955	0.408976329317531	0.445481470555111	0.0365051412375798	8	119974400	F	II		IGR	opensea	IGR-opensea		rs140508267	0
cg05434837	0.0368167546713883	0.241260414429627	5.88860054919334	3.52054600045157e-07	0.00267442453375658	5.69703898415976	0.222852037093932	0.259668791765321	0.0368167546713884	11	12063890	F	II		IGR	opensea	IGR-opensea		rs34144909	35
cg08584498	0.0374202445948524	0.273353254893496	5.88612947218014	3.55141629612706e-07	0.00267442453375658	5.68839337709529	0.25464313259607	0.292063377190922	0.0374202445948524	1	56961513	R	II	PPAP2B	3'UTR	opensea	3'UTR-opensea		rs8016;rs575721059;rs116812449	29;10;2
cg18849308	0.0376653177149122	0.469966598861954	5.88199392290781	3.60368348737938e-07	0.00268664694297897	5.67392559790845	0.451133940004497	0.48879925771941	0.0376653177149123	3	194919424	R	II	XXYLT1	Body	opensea	Body-opensea		rs563523794;rs74433277	2;1
cg11917175	0.0471413504178971	0.382749364422855	5.87007847457028	3.75859169421096e-07	0.00276413801242457	5.63225019033329	0.359178689213907	0.406320039631804	0.047141350417897	4	185352359	F	II	IRF2	5'UTR	opensea	5'UTR-opensea		rs146913253	45
cg07374077	0.0434475690294188	0.341657847160592	5.86647044260556	3.80679105953734e-07	0.00276413801242457	5.61963356623195	0.319934062645883	0.363381631675301	0.0434475690294189	21	42592520	R	II	BACE2	Body	opensea	Body-opensea		rs557913886;rs190223118;rs532649912	30;5;1
