	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	NCT	NCT	NCT	NCT	WB	WB	WB	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT
chr15:86233213-86233235	NA	NA	NA	0	0	0	0	0.0185185185185185	0	NA	NA	0	NA	NA	NA	NA	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.528350168350168	1	0.521604938271605	0.784812999273784	0	0.456189213085765	0.0772933672331504	0.802657085561497	0	0	0	0.0277777777777778	0.307359307359307	0	0.406746031746032	0.0303030303030303	0.215686274509804	0	0.0367931974741676	0.391314351452402	0.0115366430260047	0.434631021295392	0.397682709447415	0.248484848484849	0.0666666666666667	0	0	0.0610679535467671	0	0.287049703602371	0.00292397660818713	0.00833333333333333	0.00161812297734628	0.400068306010929	0.725297619047619	0.00282485875706215	0.119541062801932	0.0203297122165047	0.216507432093161	0.00163398692810458	0.0576988371106018	0.282345716400835	0.209789160918351	0.203866216197981	0.15483312983313	0.714285714285714	0.00129198966408269	0.596053284476507	NA	0.635281385281385	NA	0.0294117647058824	NA	0	NA	0.0454545454545454	0.0333333333333333	0.916666666666667
chr6:41528485-41528562	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	1	0	NA	NA	NA	1	NA	0.490172678058362	0.953848003848004	0.412509611290119	0.480466273741602	0	0.129260234606914	0.164044534909707	0.720507241301657	0	0	0.000448028673835125	0	0.0485714285714286	0	0.989583333333333	0	0.0970899470899471	1	0.0482371635611756	0.0263513111476928	0.108656185963447	0.0161982171533828	0.169202612058874	0.0700413429777756	0.161419399896996	0.125671756126007	0.000839549226646001	NA	0.87031375125754	0.0222741746271158	0.00504589502287758	0.134270904886847	0.00543051066345137	0.200394704990508	0.170213558117321	0.00864438468077558	0.0928802272058471	0.456448924182079	0.231117011729867	0.0115256852765904	0.160560862613104	0.0384544091935571	0.29134110391927	0.050335616477425	0.0260212597133252	0.299744352501826	0.00101654362827223	0.708329498845428	NA	NA	0.00209865982321072	NA	0.00113378684807256	0.0033275462962963	NA	0.00178130511463845	NA	NA
chr1:48449894-48449898	NA	0	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	0.0277777777777778	0	0	0	0	0	NA	NA	NA	NA	0	0	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	0.0416666666666667	NA	NA	NA	NA	0	NA	NA	NA	NA	0	1	0	0	0	NA	1	NA	NA	1	NA	NA	NA	NA	NA	0	0.585069444444444	1	0.717933947772658	0.510964997727125	NA	0.438527321888952	0.388441617854896	0.852409988385598	0.0252525252525253	0	0	0	NA	0	NA	NA	0.0138888888888889	NA	0.438773113191718	0.125	0.186868686868687	0.110655737704918	0.0555555555555556	0.0222222222222222	0.486999928176399	0.0142857142857143	0.00326797385620915	0.181339977851606	0.553571428571428	NA	0.123456790123457	0.00925925925925926	NA	0.37962962962963	0.509259259259259	0.0111111111111111	0.222083333333333	0.652067779241692	0.333025312368035	0.00308641975308642	0.20679012345679	0.0708707914683589	0.0781950729009552	0.145060296846011	0.0308771929824561	0.764517345399698	NA	0.64795008912656	0	0.333333333333333	0	NA	0	NA	0	0	0	NA
chr1:48450007-48450061	NA	0	0	0	0	0	0.00396825396825397	0	0	0	NA	NA	0	0.0214285714285714	0	0	0	0.00158730158730159	0	NA	0	NA	NA	NA	NA	0	0	0	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0.483697946038847	1	0.749386391545113	0.61546216100905	0	0.381167814388794	0.231050850252241	0.612732866017287	0.00133511348464619	0	0	0	0	0	1	0.0530612244897959	0.42538961038961	0	0.235925559010499	0.09734082599485	0.0703965796845054	0.130290224042531	0.00804424333836099	0.378039215686275	0.461364973472047	0.333261952123845	0.000485908649173955	0.522051552716577	0.836635399135399	NA	0.00917161934111087	0.032418656612205	NA	0.0133767792831418	0.914814814814815	0.0165057165057165	0.270898381991199	0.74417857441049	0.421555572375485	0.107859754630814	0.0932074833356276	0.0800331326224183	0.0809519025613058	0.0267261517261517	0.00978408447127313	0.451428812019945	NA	0.268434239607067	0.0151515151515152	0.0119047619047619	0.00256016385048643	NA	0.000768049155145929	NA	0.00512820512820513	0.00238095238095238	NA	NA
chr1:48449949-48449979	NA	0	0	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA	0	0.0125	0	NA	0	NA	NA	NA	0	NA	NA	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	0.777142857142857	NA	NA	1	NA	NA	NA	NA	NA	NA	0.527120870112077	0.933333333333333	0.673136488638008	0.383972929239919	NA	0.397720870678617	0.414348744348744	0.78427603001718	0.0626256111827699	0.00166666666666667	0.002	0	0	0	1	0.025	0.235839598997494	0	0.263400839262908	0.0480952380952381	0.05	0.0269005847953216	0.0417422867513612	0	0.435248549899713	0.00689655172413793	0.00306122448979592	0.314702380952381	0.954761904761905	NA	0.283809101654846	0.0708508403361345	NA	0.266911167283561	0.238631690889755	0	0.16038961038961	0.633264071962606	0.325772758487691	0.127926503578677	0.0361101549053356	0.0836331769652627	0.0861025111799106	0.114751022492556	0.0143965517241379	0.599090909090909	NA	0.527414772727273	0.00588235294117647	0	0	NA	0	NA	0.0117647058823529	0	NA	NA
chr1:40235990-40236013	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.204891304347826	1	0.507757148954332	0.62953514739229	NA	0.220279431216931	1	0.0333333333333333	NA	NA	0	0	0.108333333333333	NA	NA	0	0	NA	0.0119047619047619	0.111111111111111	0	NA	0.166666666666667	0	0.411111111111111	NA	0	0	NA	NA	NA	0	NA	NA	0	0	0	1	0.0208333333333333	0.222222222222222	0	1	0.111111111111111	NA	0	NA	NA	0	1	NA	0.143540669856459	NA	0.523809523809524	NA	0.17156862745098	0.105555555555556	NA	NA
chr17:59482557-59482578	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0	0	0.0555555555555556	0	NA	0	NA	0	NA	0	0	0	0	0	0	0.0277777777777778	0.0694444444444444	NA	0.0185185185185185	NA	0	NA	NA	0.527777777777778	NA	NA	NA	NA	0	NA	0	0	0	0.0555555555555556	0	NA	NA	NA	0.351851851851852	NA	NA	0.5	NA	NA	1	1	1	NA	0.206283075375072	0.638888888888889	0.282775573572538	0.639635603345281	0	0.0415419226442848	NA	0.00277777777777778	0	0	0	0	0	0.5	0.0415140415140415	0.211111111111111	0	NA	0.126844718370142	0	0.00520833333333333	0.223304473304473	0.00980392156862745	0.00925925925925926	0.176845799128408	0	0.0805140075973409	NA	0.456140350877193	NA	0.145634920634921	0.271062271062271	0.821110681114551	0	0	0.0138888888888889	0.319573443412453	0.815417873557408	0.265081887990353	0.192663817663818	0.00854700854700855	0.0690120065120065	0.00793650793650794	0.212777418659772	0.0386904761904762	0	NA	0.123445642154373	0	0.0303030303030303	0.405611296915645	0.0841073271413829	NA	NA	NA	0	NA	0
chr17:59482523-59482546	NA	NA	0	NA	0.025	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	NA	0	NA	0	NA	0.0125	0	0.025	0	0	0.0431818181818182	NA	0	1	0.0277777777777778	NA	NA	1	NA	NA	NA	NA	0	NA	NA	0	NA	0	0	NA	NA	NA	0.02	NA	NA	0.0125	NA	NA	1	1	1	NA	0.252010763209393	1	0.413153919779615	0.609338813565353	0	0.049260866127631	NA	0.00757130509939499	0.005	0.00517241379310345	0.00166666666666667	0	0	0.5	0.0344705882352941	0.234523809523809	0	NA	0.224069478908189	0.0125	0.00217391304347826	0.14174686466915	0.0452380952380952	0.0817391304347826	0.143252345139138	0	0.0245805188272492	NA	0.933197860962567	NA	0.119816113448652	0.168742692272104	0.934761904761905	0.0333333333333333	0.00166666666666667	0	0.215271199388846	0.86896931563275	0.322286985176688	0.190312195535223	0.0114045307443366	0.106171316196414	0.0503666469544648	0.665984326476377	0.108076683348916	0.00222222222222222	NA	0.246810966810967	0.0151515151515152	0.0277777777777778	0.435764510089453	0.447132253711201	NA	NA	NA	0	NA	0
chr1:41284409-41284427	NA	0	NA	0	NA	0	NA	0	0	0	NA	NA	NA	NA	NA	0.333333333333333	NA	0	0	0	NA	NA	0	NA	NA	0	0	NA	0	0	NA	0.0555555555555556	0	NA	NA	0	NA	0	NA	NA	NA	0	0	NA	NA	0.0185185185185185	0	NA	NA	NA	0	0	NA	0	0	0	0.111111111111111	0	0.5	0.0333333333333333	0	1	1	0.138888888888889	1	0.39789727590059	1	0.755512267904509	0.693036940176528	0	0.0684419381787803	0.0654909473367891	0.00208333333333333	0	0	0	NA	NA	0	0	0.0151515151515152	1	0	0.352187028657617	0	0.2825	0	0.382615629984051	0.082957957957958	0.047102789335799	0	0.0508658008658009	0.130833333333333	0.823438634713145	NA	0.00505050505050505	0.00925925925925926	NA	0.403846153846154	0	0	0.086230835304223	0.893664187643021	0.253953056478924	0.0854273504273504	0.197116029510396	0.230109640710907	0.323214285714286	0.11019536019536	0.118923011092459	0	NA	0.134967320261438	0	0	0	NA	0.00925925925925926	NA	0	0	0	NA
chr22:19711914-19711920	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	NA	NA	0	NA	1	1	NA	1	0.124761872266862	1	0.501254939149676	0.617361736173617	0	0.0578107606679035	NA	0.160784975258659	0.00427350427350427	0	0.00260416666666667	NA	1	0	0	0.0277777777777778	0.444444444444444	0	0.0830516114491774	0.029038112522686	0.0151515151515152	0.109405740641816	0.268518518518519	0.0303030303030303	0.218070818070818	0.1578073089701	0.0807837995337995	NA	0.822222222222222	0.124166666666667	0.428571428571429	0	NA	0.503246753246753	0	0.339181286549708	0.51231884057971	0.819884463362724	0.138471822295352	0.375268817204301	0.076118771165941	0.134182355112588	0.354816824966079	0.414529914529915	0.198380003340199	0.00925925925925926	0.0893505419045255	0.0724914965986395	NA	0	0.0045045045045045	NA	0	0.0151515151515152	NA	NA	NA	NA
chr4:24801824-24801847	0	0	0	0	0	0	0	0	0	0	0.0349206349206349	NA	0	0	0.0349206349206349	0	0	0	0	0	0.00793650793650794	0.00396825396825397	0	0	0	0	0	0	0	0.187619047619048	0.00396825396825397	0	0	0	0.25	0	0	0	0	0.00396825396825397	0	0	0	0	NA	0	0	0	0.00198412698412698	0.00226757369614512	0	0	0	0	0	0	0.162825668045983	0.669073768023754	0.00312256049960968	0.354618903566514	0.190914044003289	0.871957671957672	0.824584379206228	0.666666666666667	0.5	0.678032570451945	0.961945461945462	0.587656373251864	0.49156984959189	0.52312925170068	0.265962922011377	0.310830837385459	0.910578895365914	0.0335304887769091	0.00078064012490242	0.00366300366300366	0	NA	0.719246890675462	0	0	0.00793650793650794	0.00793650793650794	0.0271060630299152	0.00183150183150183	0.00194363459669582	0.0249369805821419	0.00396825396825397	0.00892857142857143	0.0578015074792733	0.00366300366300366	0.00962051640017742	0.142479213907785	0.998639455782313	0.424697151587908	0.188313257020459	0.00158730158730159	NA	0.0255374877223617	0	0.0390523917655701	0.00647451963241437	0.704846829740438	0.156938036757077	0.184572542467279	0.116854603295207	0.240984880237798	0.0587512266286185	0.0425196547361591	0.140559211886036	0.058982683982684	0.00609952700339158	0.0075317636293246	0.0133333333333333	NA	0.00786352855318373	0.0019047619047619	0.00555555555555555	0.0197278911564626	NA	NA	1	NA
chr4:24801800-24801809	0	0.0555555555555556	0	0	0	0.0277777777777778	0	0	0	0	0	NA	0	0	1	0	0.0277777777777778	0	0	0	0	0	0	0	0	0	0	0	0	0.614718614718615	0	0	0	0	0.333333333333333	0.0138888888888889	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0.0138888888888889	0.0277777777777778	0	0	0	0	0	0.227777777777778	0.260416666666667	0.00555555555555556	0.46969696969697	0.25462962962963	0.842592592592593	0.666666666666667	0.666666666666667	0.5	0.642326124414555	1	0.645549921255566	0.530819787391766	0.569444444444444	0.30263486160193	0.347969895028719	0.712589605734767	0.130833333333333	0.0355555555555556	0.00520833333333333	0.0555555555555556	NA	0.855555555555556	0	0	0.0277777777777778	0	0.0920183749641114	0.0222222222222222	0.038961038961039	0.0347222222222222	0.37037037037037	0	0.0446849446849447	0.527777777777778	0.00297619047619048	0.0886585365853659	0.462962962962963	0.177777777777778	0.237205387205387	0	NA	0.138752723311547	0	0	0.0053763440860215	0.665563690305292	0.312643239113827	0.159785067873303	0.0825327414474701	0.155274146695715	0.0252136752136752	0.160714285714286	0.0982800982800983	0	0.0136111111111111	0	0	NA	0	0	0.0256410256410256	0.0277777777777778	NA	NA	1	NA
chr2:220313417-220313438	0	0	0	0	0.00533333333333333	0	0	0	0	0	0	0	0	0	0	0	0.0244444444444444	0	0	0	0.0019047619047619	0	0	0	0	0	0	0	0.06	0.173333333333333	0	0	NA	0	0.296931216931217	0	0	0	0	NA	0	0	0	0	NA	NA	0	0.025	0	NA	0.00740740740740741	0	NA	0	0.00317460317460317	0	0.540225431913372	0.437073166633058	0.0969839945434438	0.591604938271605	0.349381990558461	0.614666666666667	0.793333333333333	0.6	0.4	0.350379156482764	1	0.361641172128977	0.59269929486178	NA	0.103736796664195	0.121884931445572	0.0138047542589174	0.00771717171717172	0.00185185185185185	0	1	0	0.5	0.00666666666666667	0.0552380952380952	0	NA	0.156040014272388	0.338847117794486	0	0.288087010747173	0.0789173789173789	0.462857142857143	0.219395598659324	0.0125573192239859	0.00185185185185185	NA	0.639047619047619	0.296465332218618	0.319147869674185	0	NA	1	0.00416666666666667	0.158226655094125	0.239367472241422	0.643280754514684	0.496934149618713	0.398708251430404	0.0567622461170848	0.399044875552717	0.633749215753896	0.393865882201937	0.379760535337877	0	NA	0	NA	NA	0.0300387596899225	0.232629222629223	NA	0.0133986928104575	0	0	NA	NA
