	Pvalue	FDR	Delta	MG1	MG2
chr10:105499145-105499308	0.00250319190582653	0.415603049112988	0.208891835741173	0.28071838835058	0.0718265526094069
chr10:105499460-105499499	0.0255432718511015	0.615127135336341	0.185699088745217	1.00000083222837	0.81430174348315
chr10:106017115-106017230	0.0247855698500663	0.615127135336341	0.283141275088122	0.547500734216128	0.264359459128006
chr10:106083671-106083750	0.0103132395233342	0.615127135336341	0.317197431946853	0.409981021068211	0.092783589121358
chr10:106402085-106402104	0.0442427053868156	0.615127135336341	0.0177463215059493	0.0189052764150817	0.00115895490913241
chr10:108257738-108257957	3.82668595501065e-05	0.0426335549220104	0.413982818096177	0.413984475740376	1.65764419860796e-06
chr10:109674598-109674603	0.0401434264206531	0.615127135336341	0.0418902620992742	0.041891139618717	8.77519442768764e-07
chr10:111682973-111683201	0.0499348741932813	0.615127135336341	0.000122100148853522	0.000165642836451962	4.35426875984406e-05
chr10:111970618-111970878	0.0298058572050473	0.615127135336341	0.000183654016690529	0.000201012158075228	1.73581413846996e-05
chr10:112147744-112147859	0.0117166188679583	0.615127135336341	0.274159944269626	0.395272254056538	0.121112309786912
chr10:112576862-112577018	0.000326148392322541	0.138385235281406	0.517835754266346	0.673810348429518	0.155974594163173
chr10:112617668-112617889	0.0349861860380532	0.615127135336341	0.312160681292457	0.445062642550099	0.132901961257642
chr10:113027394-113027613	0.00225393975093506	0.393445574828592	0.293333662579989	0.293334487890506	8.25310516307065e-07
chr10:114206915-114207145	5.80775177360945e-06	0.0154582388066762	0.00273709684930422	0.00311232735120193	0.000375230501897703
chr10:114516091-114516239	8.79856324130324e-07	0.00490309286867532	0.434636863101454	0.777916672814741	0.343279809713286
chr10:115805267-115805329	0.0190539313755644	0.615127135336341	0.00129336194907129	0.00129433683159701	9.74882525727011e-07
chr10:116019747-116019775	0.0116625231041397	0.615127135336341	0.239315725821575	0.880473141155635	0.64115741533406
chr10:118369002-118369017	0.017196956869979	0.615127135336341	0.0164109935495104	0.0164120311296466	1.03758013620522e-06
chr10:118465807-118465978	0.0079210447048984	0.615127135336341	0.310101620660964	0.476769124497405	0.166667503836441
chr10:118609375-118609482	0.0497868733845309	0.615127135336341	-0.0104163263711394	1.06839278624203e-06	0.0104173947639257
chr10:118932584-118932682	0.0272491877799488	0.615127135336341	-0.358372359529171	0.188598044107772	0.546970403636943
chr10:119020426-119020595	0.0374777837609006	0.615127135336341	0.175925798068043	0.175926872662935	1.07459489199159e-06
chr10:11912143-11912175	0.034836245323756	0.615127135336341	-0.215748657973084	0.621061623837657	0.836810281810741
chr10:119302072-119302091	0.0469590565300783	0.615127135336341	0.0154903866530717	0.0154915499485009	1.16329542921233e-06
chr10:120864237-120864248	0.0197370877567302	0.615127135336341	-6.76119099915461e-07	5.20903574507194e-07	1.19702267442266e-06
chr10:121302072-121302163	0.014306895893116	0.615127135336341	0.000222425169664916	0.000259143263918009	3.67180942530921e-05
chr10:121721259-121721337	0.0244442894858433	0.615127135336341	0.314458856653616	0.507396561533557	0.192937704879942
chr10:122216586-122216795	0.000133029866542854	0.0830696059936616	0.00819880451644225	0.0082851123753543	8.63078589120547e-05
chr10:122610793-122611198	0.0245318950838724	0.615127135336341	0.000252924390753359	0.000282954796916411	3.00304061630528e-05
chr10:123665215-123665227	0.0472460493362053	0.615127135336341	0.272619618625532	0.795636641505991	0.523017022880459
chr10:123909445-123909457	0.0307961352668562	0.615127135336341	0.258902877856974	0.680240507674956	0.421337629817982
chr10:123923080-123923105	0.0033198847135452	0.469708539380042	0.0156228543060142	0.0156236355213828	7.81215368666855e-07
chr10:124913851-124914142	0.0458998586532274	0.615127135336341	9.78731455211358e-05	9.86897842336807e-05	8.1663871254492e-07
chr10:125341828-125341936	0.0497128777263702	0.615127135336341	7.38260820158868e-07	1.34213358737289e-06	6.0387276721402e-07
chr10:126159320-126159443	0.0025827012516133	0.42342588115603	0.380978782029976	0.783586905177589	0.402608123147612
chr10:126432475-126432543	0.0463736267621432	0.615127135336341	-0.0157778030209794	1.06161059431121e-06	0.0157788646315737
chr10:126605321-126605509	0.0296107968610963	0.615127135336341	0.00287541523041931	0.0029529600100253	7.75447796059966e-05
chr10:126687287-126687300	0.0143296522320628	0.615127135336341	-0.164902893355609	0.835098010790994	1.0000009041466
chr10:126688403-126688526	0.000362728508048897	0.142572180318709	0.318498441219924	0.724136675443578	0.405638234223654
chr10:126704420-126704427	0.000684676384399747	0.206063398192508	0.436689873420706	0.730556771346769	0.293866897926063
chr10:126772992-126773066	0.0194029452297784	0.615127135336341	0.221121894096574	0.56704861331502	0.345926719218447
chr10:126812578-126812651	0.0032868831675567	0.468598887995038	0.323768500413885	0.526731991316557	0.202963490902672
chr10:126826763-126826806	0.0257363693174919	0.615127135336341	-0.215407114613179	0.621326560105302	0.83673367471848
chr10:126850082-126850168	0.0386090413661591	0.615127135336341	0.000773794322486002	0.000774940979924676	1.14665743867377e-06
chr10:127511403-127511496	0.0202801553815577	0.615127135336341	0.000664768422576567	0.000803151237819039	0.000138382815242471
chr10:12769972-12770010	0.0111423638256401	0.615127135336341	0.227428893209877	0.776260878701181	0.548831985491304
chr10:128822920-128822979	0.0282432287309203	0.615127135336341	0.275058070193386	0.742023737178504	0.466965666985118
chr10:130844320-130844332	0.00610516020901491	0.615127135336341	-0.40991328209101	0.337038411588115	0.746951693679125
chr10:131265506-131265574	0.0281760358997234	0.615127135336341	-0.000109909665808674	6.91445641092289e-07	0.000110601111449766
chr10:131323890-131323902	0.0335972543085521	0.615127135336341	-0.279410941798804	0.533483555134651	0.812894496933455
chr10:131908613-131908902	0.0414946538040436	0.615127135336341	-0.000316281937449992	1.10813973370533e-05	0.000327363334787045
chr10:131909237-131909826	0.00592386425216283	0.615127135336341	0.00117162737359171	0.00134358294989952	0.000171955576307815
chr10:13325693-13325757	4.86621894013628e-06	0.0138156821929409	0.368088000277704	0.707158184034035	0.33907018375633
chr10:133528489-133528586	0.00238776715597678	0.406746583952021	0.185863011798486	0.191718889178875	0.00585587738038851
chr10:133795041-133795056	0.038877791433124	0.615127135336341	-5.79709771017079e-07	6.60792188938922e-07	1.240501959956e-06
chr10:13389989-13390011	0.00169149452834749	0.332756802328303	0.0233826269910717	0.0233836293920442	1.00240097243804e-06
chr10:134000717-134000740	0.030685065451272	0.615127135336341	0.0126365611613414	0.0126375086185227	9.47457181326028e-07
chr10:134150826-134150864	0.00957186045488805	0.615127135336341	0.121647113574374	0.121648199877709	1.08630333586771e-06
chr10:134209951-134210163	0.0419805201756869	0.615127135336341	0.000405729653092717	0.000406699595487858	9.69942395140516e-07
chr10:134222564-134222659	0.00182955183134459	0.352552982197087	0.255725445138991	0.694753743649638	0.439028298510647
chr10:134755990-134756005	0.0471512390606322	0.615127135336341	0.0299998663446425	0.0300009220236049	1.05567896243694e-06
chr10:134974436-134974466	0.0413376528579149	0.615127135336341	0.0086196977016221	0.00862091574417786	1.21804255575742e-06
chr10:135148767-135148790	0.0384740104368034	0.615127135336341	0.0362549223371206	0.0402454126586108	0.00399049032149015
chr10:135148950-135148965	0.0103270188344419	0.615127135336341	-8.08129860850692e-07	7.36342422504291e-07	1.54447228335498e-06
chr10:135343161-135343181	0.0482010156546043	0.615127135336341	-0.197916148349362	1.43136098303924e-06	0.197917579710345
chr10:135343303-135343423	0.03362248626806	0.615127135336341	0.131305094293046	0.132533097741429	0.00122800344838317
chr10:13570450-13570458	0.0489946157052321	0.615127135336341	0.00432231654285433	0.00432340662651397	1.09008365964015e-06
chr10:13726466-13726505	0.000871382978560049	0.237879174464407	0.324908354895127	0.786836902741524	0.461928547846397
chr10:13908413-13908630	0.0393282419724117	0.615127135336341	0.297839265290696	0.547840535564244	0.250001270273548
chr10:14824283-14824304	0.0329153495287434	0.615127135336341	0.11568192713409	0.120513901658995	0.0048319745249054
chr10:14879933-14880740	0.0169210489697457	0.615127135336341	0.000342702347016854	0.000493464468791109	0.000150762121774254
chr10:15139230-15139290	0.0474065916560756	0.615127135336341	0.00080325933879371	0.000803950982109645	6.91643315934705e-07
chr10:15829538-15829657	0.00972340835361934	0.615127135336341	0.384043683261194	0.728070883278199	0.344027200017005
chr10:1594997-1595100	0.0199984699490242	0.615127135336341	0.307811062068934	0.584127748190651	0.276316686121717
chr10:22043520-22043662	0.0128164002958968	0.615127135336341	0.338918085374064	0.475162312199103	0.136244226825038
chr10:23002513-23002765	0.016315366116552	0.615127135336341	0.000227384199307765	0.000271984060917723	4.45998616099575e-05
chr10:23461600-23461608	0.0468446007122396	0.615127135336341	0.00736148109004407	0.00736251642039445	1.03533035038648e-06
chr10:23462628-23462644	0.0375051938200964	0.615127135336341	0.00527744492265045	0.00527862921115834	1.18428850789659e-06
chr10:23484031-23484044	0.0326120094495207	0.615127135336341	0.0110044396497629	0.0110055624490879	1.12279932501965e-06
chr10:24254182-24254214	0.0365407655728793	0.615127135336341	0.278280784556395	0.66803667939666	0.389755894840265
chr10:24626860-24626871	0.000667390002391198	0.205211583659442	0.373285829631532	0.791590761321591	0.418304931690059
chr10:25012735-25012835	0.025065091750563	0.615127135336341	0.00018851414997282	0.000189787902948259	1.27375297543886e-06
chr10:25013799-25013814	0.0321537824744215	0.615127135336341	6.72256895540684e-07	1.62996365391513e-06	9.57706758374451e-07
chr10:25464056-25464073	0.0222047625691663	0.615127135336341	0.00711539345907035	0.00711666221698539	1.26875791503287e-06
chr10:26223260-26223309	0.0310128019833385	0.615127135336341	0.00104713107716112	0.00123480639864965	0.000187675321488527
chr10:27096247-27096404	0.0145365575881726	0.615127135336341	0.31280928496044	0.720667484158076	0.407858199197635
chr10:29099648-29099777	0.0160959488304656	0.615127135336341	-0.357074175987896	0.309830658883116	0.666904834871012
chr10:30209499-30209575	0.036947150354736	0.615127135336341	0.230679660041376	0.492222979973714	0.261543319932339
chr10:30327101-30327235	0.0481902015219567	0.615127135336341	0.244541591560898	0.624525036075327	0.379983444514429
chr10:31027144-31027236	0.0488224870622762	0.615127135336341	0.239383086854622	0.581614631462175	0.342231544607552
chr10:31446775-31446812	0.0009646382740816	0.24765425758493	0.318574265230632	0.745840327298968	0.427266062068336
chr10:31651248-31651260	0.0422124903530788	0.615127135336341	0.238095509298851	1.00000106101593	0.761905551717081
chr10:32229886-32229913	0.000878420912265711	0.238089623177449	0.429948582336951	0.826042202910679	0.396093620573728
chr10:32344783-32344913	0.0277048247645847	0.615127135336341	-0.000215909434683116	7.97945981314413e-07	0.000216707380664431
chr10:32469630-32469693	0.0135037190117029	0.615127135336341	0.297780088779377	0.608238389131389	0.310458300352011
chr10:32734999-32735099	0.00296766484911602	0.445008658791829	0.00401815919439961	0.00429607032010401	0.000277911125704398
chr10:33269986-33270122	0.0138560518483261	0.615127135336341	0.398228521720707	0.500001209253319	0.101772687532612
chr10:33553207-33553405	0.049849290344235	0.615127135336341	0.185143970230853	0.518722006605322	0.333578036374469
chr10:3438511-3438518	0.0179931726150165	0.615127135336341	0.260242260901074	0.610063827012253	0.349821566111179
chr10:35931271-35931297	0.0468595775942075	0.615127135336341	0.000795421260596473	0.000796118418115137	6.97157518663929e-07
chr10:35932849-35932902	0.049636372018327	0.615127135336341	0.0126848870929933	0.0158607391739156	0.00317585208092233
chr10:3805272-3805297	0.0328964410838332	0.615127135336341	-0.233823519069637	0.718791809878833	0.95261532894847
chr10:3929018-3929071	0.0288945241895401	0.615127135336341	0.20845753996368	0.580604914433162	0.372147374469482
chr10:43600981-43601199	0.00713466305325894	0.615127135336341	0.00175387430964463	0.00194647415559415	0.000192599845949512
chr10:43932188-43932569	0.0408149252046988	0.615127135336341	0.000323466907556279	0.000507777420070829	0.00018431051251455
chr10:44144424-44144585	0.0315514166330167	0.615127135336341	0.000135539209091114	0.00016776408488448	3.22248757933659e-05
chr10:45455876-45456063	0.000113489104448775	0.0789700755789393	0.346481486502404	0.535494912758688	0.189013426256283
chr10:48354827-48354949	0.0427476852350127	0.615127135336341	0.00317106194867	0.00338928432924875	0.000218222380578751
chr10:48438613-48438673	0.0147256279960734	0.615127135336341	0.00454125231120637	0.00454176323183575	5.10920629374617e-07
chr10:4909028-4909147	0.0113398854534326	0.615127135336341	0.315493834504991	0.622223014176164	0.306729179671173
chr10:50396307-50396424	0.0493118680020962	0.615127135336341	-7.72519886220397e-07	7.40603017785192e-07	1.51312290400559e-06
chr10:52177750-52177879	0.0438703737367159	0.615127135336341	0.00189988854579479	0.00190084980747051	9.61261675717928e-07
chr10:52325583-52325606	0.0116117426156261	0.615127135336341	0.349129530221702	0.679553541335533	0.33042401111383
chr10:52384906-52385153	0.0321886305501997	0.615127135336341	-0.000257579626885083	2.86274725052038e-05	0.000286207099390287
chr10:531061-531151	0.0186086031720039	0.615127135336341	0.317846188999844	0.507209415092305	0.189363226092462
chr10:5627023-5627153	0.00800079452382557	0.615127135336341	0.296922458852117	0.623882656717631	0.326960197865514
chr10:5931565-5931691	0.0348309416260928	0.615127135336341	0.000311095877736051	0.000359821781198289	4.87259034622378e-05
chr10:6213930-6214078	0.0137261584064928	0.615127135336341	0.190076168337925	0.218991505733248	0.0289153373953232
chr10:62168163-62168253	0.0173764030141068	0.615127135336341	0.199374353599083	0.80675984937365	0.607385495774567
chr10:62704027-62704072	0.0394645077616312	0.615127135336341	-0.000427594897895305	6.88481016460869e-05	0.000496442999541392
chr10:62704142-62704288	0.000453150723927719	0.163543248343626	0.00626055727882317	0.00672845981341549	0.000467902534592321
chr10:63112999-63113207	0.0280165080725227	0.615127135336341	0.335970797143803	0.640873659568508	0.304902862424705
chr10:63212719-63212772	0.0213423310802011	0.615127135336341	-8.55858901275875e-07	6.3350616907547e-07	1.48936507035134e-06
chr10:63896514-63896633	0.0131258350640943	0.615127135336341	0.33558317356411	0.736695721707084	0.401112548142974
chr10:64028299-64028339	0.0126981373241902	0.615127135336341	-6.20773883099779e-07	6.84864357992224e-07	1.305638241092e-06
chr10:64576681-64576907	0.0387332875859904	0.615127135336341	-7.4889948514546e-07	7.60487754054803e-07	1.50938723920026e-06
chr10:6622444-6622565	0.0324244108016979	0.615127135336341	0.00032639995694908	0.000327304096525826	9.04139576745335e-07
chr10:70166675-70166778	0.00802095723811066	0.615127135336341	0.000566732060509629	0.000567698271308608	9.66210798978969e-07
chr10:70480811-70481372	0.0153179181247918	0.615127135336341	0.000372778221383926	0.00042821199760161	5.54337762176847e-05
chr10:71078253-71078505	0.030217453258048	0.615127135336341	0.00024732361630872	0.00027981829710867	3.24946807999503e-05
chr10:71561487-71561519	0.00158073090339611	0.321964328260919	-8.14457661720376e-07	7.78893422597054e-07	1.59335108431743e-06
chr10:71812697-71812820	0.0446564177126628	0.615127135336341	0.000399867996011359	0.000400866009273622	9.98013262263108e-07
chr10:71906144-71906309	0.0353607113833747	0.615127135336341	-0.000417152131859659	4.68392773200411e-05	0.0004639914091797
chr10:71930293-71930311	0.010636611186176	0.615127135336341	9.35989187757478e-07	1.45725705902885e-06	5.21267871271374e-07
chr10:72095269-72095334	0.0455045594948136	0.615127135336341	-0.170751712382424	0.829249237934186	1.00000095031661
chr10:72254828-72254869	0.0419839917227569	0.615127135336341	0.138222405465034	0.183961350975608	0.0457389455105742
chr10:72647937-72647974	0.0461537830117882	0.615127135336341	5.82549971066827e-07	1.07282830007048e-06	4.90278329003657e-07
chr10:73136941-73137007	0.0340039550420591	0.615127135336341	0.0614426264257242	0.062520324014744	0.00107769758901984
chr10:73223130-73223298	0.0140881538227277	0.615127135336341	0.259941795811628	0.757577011523313	0.497635215711685
chr10:73724255-73724542	0.0373631538601061	0.615127135336341	0.000802165732114233	0.000889214442144028	8.70487100297947e-05
chr10:73843791-73843902	0.00848785315321983	0.615127135336341	0.324928800618943	0.656683265244925	0.331754464625982
chr10:75255074-75255420	0.0367410990299031	0.615127135336341	0.000167431945556665	0.000219806201334674	5.23742557780098e-05
chr10:75503789-75504302	0.0268330411208401	0.615127135336341	0.0024797455199213	0.00248100799976729	1.26247984599252e-06
chr10:75579493-75579559	0.0154991466224709	0.615127135336341	0.193643154566157	0.584289460964825	0.390646306398669
chr10:76871392-76871954	0.0178957145977505	0.615127135336341	0.000131227508369072	0.000182370872161152	5.11433637920801e-05
chr10:76970011-76970228	0.0139154867362353	0.615127135336341	-9.03244814832911e-07	7.5725539032398e-07	1.66050020515689e-06
chr10:77054582-77054927	0.008699257516246	0.615127135336341	0.000259293145778929	0.000286847717338199	2.7554571559271e-05
chr10:77156089-77156116	0.0105304424073072	0.615127135336341	0.0143165060431643	0.0157640506869857	0.00144754464382135
chr10:77158994-77159164	0.00100954732175199	0.255911232248756	0.18705181165581	0.690228057668747	0.503176246012937
chr10:78844417-78844431	0.00260010846049065	0.42342588115603	0.331473487061681	0.755363230887032	0.42388974382535
chr10:79293118-79293319	0.019414171995129	0.615127135336341	0.206815968406785	0.420854558327973	0.214038589921188
chr10:79380018-79380031	0.00475480511936381	0.570656760837822	0.295879715043897	0.340000927865741	0.0441212128218439
chr10:80165715-80165797	0.0469889198230944	0.615127135336341	0.254073755687071	0.462963775515044	0.208890019827972
chr10:80828867-80829025	0.0232610717516411	0.615127135336341	0.00023509888597232	0.000263348765148806	2.82498791764866e-05
chr10:8091491-8091501	0.0239956193933835	0.615127135336341	0.0166669315633741	0.0166677910533392	8.59489965135017e-07
chr10:82012410-82012499	7.93856321092816e-05	0.0662893376827828	0.337496797971176	0.657103450704179	0.319606652733002
chr10:82295501-82295540	0.00957209543953737	0.615127135336341	0.245430273351777	0.267203687802345	0.0217734144505684
chr10:88699271-88699347	0.0304873200526948	0.615127135336341	0.00231571337077003	0.0023166107757842	8.97405014160448e-07
chr10:89392356-89392564	0.00471977301085086	0.570656760837822	-0.343818367818811	0.580424077864813	0.924242445683624
chr10:9008909-9009145	0.0219861591774367	0.615127135336341	0.326829181992504	0.796784754628943	0.469955572636438
chr10:91011085-91011526	0.0432976225880303	0.615127135336341	-0.000162040354261005	4.93499630144057e-05	0.000211390317275411
chr10:91404146-91404375	0.0440824685521819	0.615127135336341	0.000163931477732561	0.000221209859790183	5.72783820576224e-05
chr10:92617993-92618011	0.0275296475657333	0.615127135336341	0.138888665039016	0.138889778850852	1.11381183584468e-06
chr10:93058095-93058309	0.00416583318709291	0.528000758994442	-8.07962445911177e-07	7.35339249389403e-07	1.54330169530058e-06
chr10:93558188-93558280	0.0191708435464181	0.615127135336341	0.000327528282970076	0.000342764672027403	1.52363890573271e-05
chr10:94455659-94455690	0.0229182516969217	0.615127135336341	-0.149169801891789	0.74467202579613	0.893841827687918
chr10:94455697-94455709	0.0107386690182505	0.615127135336341	-0.220356517323072	0.521733728387477	0.74209024571055
chr10:94608744-94608869	0.021375730207559	0.615127135336341	0.000267474770499812	0.00030010979910503	3.26350286052185e-05
chr10:94608873-94608975	0.0464228947746452	0.615127135336341	0.00166669127343713	0.00166738161324181	6.90339804683737e-07
chr10:94833732-94833802	0.0175513584372605	0.615127135336341	6.76056883990627e-07	1.56519401669984e-06	8.89137132709209e-07
chr10:95361192-95361196	0.0261616667761148	0.615127135336341	-0.00532795796584374	0.000515397299703148	0.00584335526554689
chr10:97094398-97094412	0.00263390650188872	0.426497563660395	0.276670123063073	0.360510056880421	0.0838399338173475
chr10:97174249-97174304	0.0388887905333843	0.615127135336341	0.268257039866865	0.65225391413195	0.383996874265085
chr10:97314991-97315079	0.042542515061645	0.615127135336341	0.212499828181214	0.308532758909541	0.0960329307283261
chr10:98591598-98591837	0.00205223377091397	0.378599940014904	0.00326424674234027	0.0032971143223495	3.28675800092255e-05
chr10:99446723-99446965	0.0270189404061214	0.615127135336341	0.000184736545123149	0.000210289607946079	2.55530628229301e-05
chr10:99496681-99497208	0.0178982860336583	0.615127135336341	0.000156317690282266	0.000224883660719318	6.85659704370521e-05
chr10:99543145-99543306	1.74209094714909e-05	0.0285621757107415	0.515468838077294	0.86582272621889	0.350353888141596
chr10:99592104-99592413	0.00596128139404725	0.615127135336341	-0.349996779621033	0.520176133665666	0.870172913286699
chr11:100558003-100558206	0.00388339077110952	0.512806266895676	0.00194084380274088	0.00201030477177689	6.94609690360125e-05
chr11:101981522-101981601	0.0181867594307341	0.615127135336341	0.00104471073281414	0.00104543247861908	7.21745804938891e-07
chr11:10529580-10529595	0.0254679920435192	0.615127135336341	0.346383079885296	0.511112386822217	0.164729306936921
chr11:106455583-106455702	0.00603535458564214	0.615127135336341	0.314444564303273	0.577778747116307	0.263334182813034
chr11:107656260-107656437	0.0139743659300241	0.615127135336341	0.26622715053037	0.403426401451535	0.137199250921165
chr11:10829904-10829981	0.0450793929473448	0.615127135336341	-0.000109855705322489	1.84491604292768e-05	0.000128304865751765
chr11:108535908-108535943	0.0248644824105798	0.615127135336341	-0.208096004165487	0.0456027666373093	0.253698770802796
chr11:111170188-111170336	0.0233621793041342	0.615127135336341	0.000459656587772221	0.000460930684541593	1.27409676937171e-06
chr11:111263785-111263970	0.0003945508255396	0.151817275231887	0.440780884099389	0.667633783722902	0.226852899623513
chr11:111472629-111472825	0.0485743611055939	0.615127135336341	0.00068603367632835	0.000686767936771304	7.3426044295334e-07
chr11:111606216-111606257	0.0142094536983374	0.615127135336341	0.346150115701358	0.775298963614686	0.429148847913328
chr11:111608686-111608759	0.00382319885630139	0.508303978052807	0.250798225833373	0.296284631872139	0.0454864060387659
chr11:111749986-111749999	0.0454743627200495	0.615127135336341	-0.01328493129183	9.6893574644029e-07	0.0132859002275765
chr11:111847408-111847474	0.0178244913675233	0.615127135336341	0.285406898402372	0.694885023079361	0.409478124676989
chr11:115380432-115380483	0.000187090417875754	0.0989754792654137	0.478494166495379	0.723893698980814	0.245399532485435
chr11:115581829-115581842	8.33552372968741e-05	0.0671035668501935	0.630021173053186	0.84827569911414	0.218254526060954
chr11:11643475-11643773	0.0141006211481605	0.615127135336341	0.000146739607141098	0.000176154031963412	2.94144248223134e-05
chr11:116643088-116643218	0.028469988303588	0.615127135336341	-7.92943745097195e-07	1.05477433959409e-06	1.84771808469128e-06
chr11:117036640-117036714	0.000136542623121325	0.0830696059936616	0.283428465246071	0.380652487715969	0.097224022469898
chr11:117049075-117049126	0.00645183781084541	0.615127135336341	0.0179632597373141	0.0179640114779552	7.5174064110443e-07
chr11:117049790-117050074	0.0270106195187387	0.615127135336341	0.000275839775079683	0.000341901580582248	6.6061805502566e-05
chr11:117103193-117103232	0.0368246145191087	0.615127135336341	7.75309375732827e-07	1.25501466552436e-06	4.7970528979153e-07
chr11:118081886-118081999	0.0189027565025887	0.615127135336341	0.253532631120482	0.568064057753462	0.314531426632981
chr11:118649721-118649812	0.0109038916164882	0.615127135336341	0.294506286368732	0.709111416023511	0.41460512965478
chr11:118661833-118661845	0.0232212940574348	0.615127135336341	-8.1518428401877e-07	8.23992815927024e-07	1.63917709994579e-06
chr11:118955390-118955736	0.021873418547266	0.615127135336341	-0.00124304201307453	0.000136207097521088	0.00137924911059562
chr11:118955915-118956239	0.0241700093762955	0.615127135336341	0.00222666534212182	0.00236390180073872	0.000137236458616894
chr11:119019711-119019846	0.0133300645572031	0.615127135336341	0.000227222072726022	0.000267013712350317	3.97916396242952e-05
chr11:119808862-119808985	0.00303650565160845	0.452000956756383	0.268064942059499	0.447708382141907	0.179643440082409
chr11:120001526-120001642	0.000412007476217181	0.153858493487257	0.324181637303605	0.487030448267847	0.162848810964242
chr11:12000876-12000890	0.0414617849551078	0.615127135336341	-0.217078937728405	0.651608963455088	0.868687901183493
chr11:120981796-120981971	0.00313169552214627	0.457258427345837	0.410493585604691	0.51543307704045	0.104939491435758
chr11:12112763-12112828	0.00444017174708881	0.552091603233278	0.286688360089958	0.779424667792541	0.492736307702583
chr11:121233813-121233841	0.0347547115446346	0.615127135336341	0.221268356981293	0.520260388917589	0.298992031936296
chr11:123016255-123016294	0.000149445723627814	0.089012172157705	0.438095503353977	0.611111980554011	0.173016477200034
chr11:123388493-123388711	0.03701570451904	0.615127135336341	0.203945448809554	0.350242952267975	0.14629750345842
chr11:124933299-124933366	0.0262071282180619	0.615127135336341	0.00223291352069348	0.00223406024786606	1.14672717258511e-06
chr11:125035310-125035414	0.0450354691510315	0.615127135336341	0.000616444876693294	0.000826359150125712	0.000209914273432418
chr11:126302241-126302383	0.00117875497696875	0.283779477418719	0.433442262358092	0.59640642199856	0.162964159640468
chr11:126795370-126795558	0.00784915966167856	0.615127135336341	0.292389055260205	0.483774157273001	0.191385102012796
chr11:128558360-128558417	0.0438538533705601	0.615127135336341	0.140598448723373	0.480309599451993	0.33971115072862
chr11:128798419-128798475	0.00149633772287376	0.310847738708114	0.327183214465662	0.396025028967854	0.068841814502192
chr11:13030848-13030942	0.0166114483030242	0.615127135336341	0.00170583949609487	0.00188482915230518	0.000178989656210315
chr11:13031209-13031236	0.0146349221085932	0.615127135336341	0.00172432321051372	0.00172505723699365	7.34026479921681e-07
chr11:130319162-130319185	0.030224653874418	0.615127135336341	0.00535916518499387	0.00536044475010318	1.27956510931457e-06
chr11:130319194-130319205	0.0269769189248614	0.615127135336341	0.0113553743734362	0.013578617728592	0.00222324335515573
chr11:13032024-13032042	0.0413836834102107	0.615127135336341	0.00853118295654442	0.0106909359723502	0.00215975301580577
chr11:13064422-13064479	0.0484464303810483	0.615127135336341	-0.265971682924486	0.622917732312323	0.888889415236809
chr11:130786285-130786541	0.0298153042004268	0.615127135336341	8.89034612848974e-05	9.01881477539777e-05	1.28468646908026e-06
chr11:132813336-132813562	0.0404354789425217	0.615127135336341	0.0100522609098413	0.010315003883171	0.0002627429733297
