	NCT	NCT	NCT	NCT	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	CCT	WB	WB	WB	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP	CCP
chr16:88601262-88601294	NA	NA	0.887155727155727	NA	NA	NA	NA	NA	NA	NA	NA	0.0301994301994302	0	0.0301994301994302	0.00888888888888889	0.0180995475113122	0	0.00606060606060606	0.00888888888888889	0.00606060606060606	0.0180995475113122	NA	0	0	0	NA	0	0.111111111111111	0.00599932591843613	0.00178571428571429	NA	0.166666666666667	0.00952380952380952	0.841255411255411	0.05	NA	0.520855614973262	NA	NA	NA	0	NA	1	0.0666666666666667	0.125	0	0.0647619047619048	NA	0.847354497354497	0	NA	0	0	NA	0	0	NA	NA	NA	0.5	NA	0	0	0	0.08	0.0133333333333333	0.0311111111111111	0.00666666666666667	0.173333333333333	0	0.744338624338624	NA	0.0457142857142857	0.954285714285714	0.020906432748538	NA
chr17:17626735-17626763	NA	NA	0.582936507936508	NA	0	NA	NA	NA	NA	NA	NA	0.0104166666666667	0	0.0104166666666667	0	0	0	0.0208333333333333	0	0.0208333333333333	0	0	NA	0	0	0	0	0	0.416682494460272	0.420150749367584	NA	NA	0	1	0	0.297619047619048	0.783333333333333	0	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.285714285714286	0	0	0	0	0.0666666666666667	0	0	NA	0	0	0
chr17:21415130-21415141	0.933333333333333	0	0	NA	0	0	0	0	0	0	0	0	NA	0	0	NA	NA	0	0	0	NA	NA	0	0	NA	0	0	NA	0.1994630628171	0.401862568406034	1	1	0	0	0	0	0	NA	0	NA	NA	NA	NA	0	NA	0	0	0.916666666666667	0	0	0	0	0	NA	0	0	0	0	0	0	0	0	0.0138888888888889	0	0	0	0	0	0	0	0	0	0	0	0	NA
chr17:37024522-37024607	NA	NA	0.472222222222222	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	0	0.0111111111111111	0.0222222222222222	0.0151515151515152	0	0	0.0222222222222222	0	0.0151515151515152	0	0.326007326007326	0	0.111111111111111	0.0833333333333333	NA	0	0.0844173441734417	0.121498674690164	0	NA	0	0.888888888888889	0.0256410256410256	0.25	0	0	0	NA	NA	NA	1	0	NA	0	NA	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	0.0277777777777778	0.652777777777778	0.204761904761905	0	0	0	0.037037037037037	0	0.180952380952381	0.291666666666667	0	0.257575757575758	0	0	0	0	0.0476190476190476
chr17:79374379-79374385	NA	NA	0.614583333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	0	0.0166666666666667	0	0	0	0.0972222222222222	0	0.0972222222222222	0	0.638888888888889	NA	0	NA	NA	0	0	0.0478652632957927	0.478006110661798	NA	1	0	0	0.0151515151515152	0.0119047619047619	0.444444444444444	NA	0	NA	NA	0.277777777777778	NA	0	NA	NA	0.277777777777778	NA	1	NA	0	NA	NA	0	NA	NA	NA	NA	NA	0.478846153846154	0	0.0694444444444444	0	0.111111111111111	0.0256410256410256	0.0333333333333333	0	0.291666666666667	0	0	0.5	0	0.0151515151515152	0.5	0.173976608187134	0.111111111111111
chr19:10445770-10445792	1	0.5	0.010752688172043	0.00490196078431373	0.277777777777778	0.0555555555555556	0	0	0	NA	0	0	NA	0	0.333333333333333	0.0333333333333333	NA	0	0.333333333333333	0	0.0333333333333333	0.0555555555555556	0	NA	NA	0	0	0.277777777777778	0.251082251082251	0.117785111844518	0.138888888888889	0.0555555555555556	0	NA	0	0.363053613053613	0.222222222222222	1	0.5	NA	NA	NA	NA	0	NA	0	0.555555555555556	1	0.347222222222222	0.5	0.0277777777777778	0	0.0555555555555556	0	0	0	0.638888888888889	1	1	0.099537037037037	0.327777777777778	0.103174603174603	0.323232323232323	0.192213423831071	0.425925925925926	0.0555555555555556	0.125	0.1	0.0333333333333333	0	0.338383838383838	0.0416666666666667	NA	0	0	0
chr19:17889387-17889401	1	NA	0	0	0.277777777777778	NA	0	NA	NA	NA	NA	0	0	0	0	0.277777777777778	0	0.0277777777777778	0	0.0277777777777778	0.277777777777778	0.0185185185185185	0.0555555555555556	0	0	0	0	0	0.151208814719726	0.550509337860781	NA	0.211111111111111	0.0666666666666667	0	0	0.0185185185185185	0.0833333333333333	0.00396825396825397	1	0.277777777777778	NA	0.666666666666667	NA	0	NA	NA	NA	1	0.166666666666667	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0.0703703703703704	0.317460317460317	0	0	0	NA	0.0277777777777778	0.0208333333333333	0	0.0555555555555556	0.138888888888889	NA	0.0555555555555556	0	0.0416666666666667	0.0333333333333333
chr19:47974587-47974662	1	NA	0	0.144444444444444	NA	0.0833333333333333	NA	NA	NA	NA	NA	0.103136629452419	0.0303030303030303	0.103136629452419	0.0456410256410256	0	0.0303030303030303	0.0504761904761905	0.0456410256410256	0.0504761904761905	0	0.0920634920634921	0.00925925925925926	0.0555555555555556	0.166666666666667	0.130952380952381	0.194444444444444	0.138888888888889	0.116157973240722	0.281695751625588	NA	0	0.0476190476190476	0.0666666666666667	0.0476190476190476	0.476190476190476	0.630769230769231	NA	NA	NA	NA	NA	NA	0.0912698412698413	NA	0.0303030303030303	0	NA	0	1	0.0666666666666667	NA	NA	0	NA	NA	NA	NA	NA	0.264957264957265	0.323809523809524	0.0909090909090909	0	0.157407407407407	0	0.0666666666666667	0	0.138888888888889	0.0416666666666667	0.111111111111111	0	0	0.0666666666666667	0.466666666666667	0.0277777777777778	0.0666666666666667
chr20:47804268-47804324	1	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	0	0	0	NA	NA	0	0	NA	NA	NA	NA	0	0.0037037037037037	1	1	0	0	0	0	0	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0.0416666666666667	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	NA	0	0	0	0	0	NA	0	NA	0	0
chr22:19879767-19879790	NA	NA	0.73137397194001	0.277305904687091	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0.0128205128205128	0	0.0128205128205128	0	0	0	0	0.307359307359307	0	NA	0.0972222222222222	0.213830613830614	0.0764880952380952	NA	NA	0.0416666666666667	0.362037037037037	1	0.0811965811965812	0	NA	NA	NA	NA	NA	NA	NA	NA	0.0970017636684303	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	0	0	0	0.00833333333333333	0.0111111111111111	0	0	0.101010101010101	0	0	0	0	0	0	0	0
chr3:46671333-46671352	NA	NA	0.291056166056166	NA	NA	NA	NA	NA	NA	NA	NA	0.45	0	0.45	0.0072463768115942	0	0	0.0499108734402852	0.0072463768115942	0.0499108734402852	0	0.0111111111111111	0	0	0	0	0	0	0.046172480620155	0.066319666843438	NA	NA	0	0.5	0.958333333333333	0	0	NA	NA	NA	NA	NA	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	0	0	1	0	NA	0	NA	0	0
chr4:6010037-6010053	NA	NA	0	0.468924731182796	0	0	NA	0.5	NA	NA	0	0	0.00740740740740741	0	0.252698412698413	0	0.00740740740740741	0.00512820512820513	0.252698412698413	0.00512820512820513	0	NA	0	0	0	NA	NA	0.5	0.190991269114982	0.216325022563657	NA	1	0	0.5	0	0.248763853367434	0.135989670295421	NA	1	NA	NA	NA	NA	NA	0	0	0.666666666666667	0	0	0	NA	0	0	0.00952380952380952	NA	0.5	0.025	0	NA	0.0597222222222222	0.0206349206349206	0.185050505050505	0.331944444444444	0.00229885057471264	0	0.148701298701299	0	0	0.00444444444444444	0	0	0.420627705627706	0	0	0	0
chr5:156998545-156998686	NA	NA	0.30079575596817	0.182638888888889	NA	NA	NA	NA	NA	NA	NA	0	0.0208333333333333	0	0	0.00526315789473684	0.0208333333333333	0	0	0	0.00526315789473684	0	0.0142857142857143	0	0	0	0	0.00625	0.219285714285714	0.127746796392976	NA	NA	0	0.0208333333333333	0.897435897435897	0.134615384615385	0.0303030303030303	NA	NA	NA	NA	NA	NA	0.0104166666666667	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0.037037037037037	0	0	0.0185185185185185	0	0	0	0.0208333333333333	0	0	0	NA	0	0	0
chr5:1725533-1725571	NA	NA	0.272435897435897	0.277777777777778	0	0.277777777777778	NA	NA	NA	NA	NA	0.0238095238095238	0.037037037037037	0.0238095238095238	0.402777777777778	0.0888888888888889	0.037037037037037	0.0277777777777778	0.402777777777778	0.0277777777777778	0.0888888888888889	0.0666666666666667	0.175925925925926	0	0	0.0333333333333333	0	NA	0.176908023483366	0.0835568969371786	0.166666666666667	0	0.740384615384615	0.958333333333333	0.464814814814815	0.861111111111111	0.375	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0	0	0.0555555555555556	0	NA	NA	NA	NA	NA	0.0833333333333333	0	0.591269841269841	0.389839572192513	0	0.0166666666666667	0.174242424242424	0.312878787878788	0.491898148148148	0.686813186813187	0.166666666666667	0	1	0.122222222222222	0.46978021978022	0.340277777777778	0.833333333333333
chr5:176211698-176211879	NA	NA	0.0416666666666667	0.462962962962963	0	0	NA	0	NA	NA	NA	0.228571428571429	0	0.228571428571429	0.0666666666666667	0.166666666666667	0	0.0333333333333333	0.0666666666666667	0.0333333333333333	0.166666666666667	0.0555555555555556	0	0.111111111111111	0	0.0666666666666667	0.222222222222222	0.5	0.15819977335276	0.0347593582887701	NA	NA	0.458333333333333	0.523809523809524	0	0.0952380952380952	0	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0476190476190476	0.19047619047619	0.0416666666666667	0.0833333333333333	0	0.0909090909090909	0.0512820512820513	0.0666666666666667	0.277777777777778	0.0555555555555556	0.0555555555555556	0	1	0.0666666666666667	0.125	0.0303030303030303	0.240740740740741
chr6:292278-292303	NA	NA	0.383333333333333	0.24624425592082	NA	NA	NA	NA	NA	NA	NA	0	0	0	0.722943722943723	0	0	0	0.722943722943723	0	0	0	NA	NA	0	0	0	0.25	0	0	NA	NA	0	0.0416666666666667	0	0.742424242424243	0.445601851851852	NA	NA	NA	NA	NA	NA	0.0208333333333333	NA	NA	NA	NA	1	NA	0.130952380952381	NA	NA	NA	NA	NA	NA	NA	NA	0.528935185185185	0.0714285714285714	0	1	0.45625	0	0	0	0.492424242424242	0.591269841269841	0.488095238095238	0.0333333333333333	0.0888888888888889	0	0.196428571428571	0.613973063973064	1
chr7:2681149-2681299	NA	NA	0.439871933621934	NA	0.0833333333333333	0.333333333333333	NA	NA	NA	NA	NA	0.0181818181818182	0	0.0181818181818182	0	0.0287878787878788	0	0.0132020757020757	0	0.0132020757020757	0.0287878787878788	0.0346136806663122	0	0	0.0141465677179963	0.00324675324675325	0	0	0.161521695695304	0.329051097596163	0.166666666666667	1	0.0018796992481203	0.00420168067226891	0.333333333333333	0.0101540616246499	0.333333333333333	NA	0	NA	NA	0.0555555555555556	NA	NA	NA	0.0277777777777778	0	NA	1	0	0	0	0	NA	NA	NA	NA	NA	NA	0.0173160173160173	0.137244897959184	0.265584415584416	0	0.442058823529412	0.34	0.333333333333333	0	0.0121212121212121	0.0274420024420024	0.0222222222222222	0.00649350649350649	0.0105820105820106	0	0.5	0.0811552691251939	0
chr8:2075768-2075819	NA	NA	0.0865188522217397	0.353454715219421	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	NA	0	0	0	0	0	0.663111732987509	0	0	NA	0	0	0.000194099378881988	0.00018796992481203	NA	NA	0.192608861726509	0	0	0	0.892857142857143	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	0.0833333333333333	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	0	0.63553219267505	0	0	0.165185102254068	NA	0	0.355070104965063	0	0	0	0	NA	0	0	0	0
chr8:38832336-38832371	0	NA	1	0.0208333333333333	0	0.277777777777778	NA	NA	NA	NA	NA	0.0777777777777778	0	0.0777777777777778	0.0138888888888889	0	0	0	0.0138888888888889	0	0	0.5	0	0	0	0	0	0	0.448937908496732	0.689039819570793	0.111111111111111	0	0.0416666666666667	0.0185185185185185	0.466666666666667	0.708333333333333	0.421717171717172	NA	0.177777777777778	0.277777777777778	NA	NA	0.0666666666666667	NA	0	0	NA	0	0	0	0	0	0	0	NA	0.277777777777778	NA	NA	NA	0.0277777777777778	0.305555555555556	0	0.0256410256410256	0.0773809523809524	0.0238095238095238	0	0	0.0333333333333333	0	0.822222222222222	0	NA	NA	0.438888888888889	0.0196078431372549	0
chr8:66474748-66474917	NA	NA	0.00320512820512821	0.486607142857143	NA	NA	NA	NA	NA	NA	NA	0.0208333333333333	0	0.0208333333333333	0.0333333333333333	0.0185185185185185	0	0.0181818181818182	0.0333333333333333	0.0181818181818182	0.0185185185185185	0.0119047619047619	0.0166666666666667	0.0555555555555556	0.0166666666666667	0.0416666666666667	0	0.0185185185185185	0.0119047619047619	0.00490196078431373	1	NA	0.25	0.0625	0.666666666666667	0.125	0.0333333333333333	0	NA	0	NA	NA	NA	NA	0.0416666666666667	0.109022556390977	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0.6	0.0555555555555556	0	0.25	0.25	0.0476190476190476	0.0138888888888889	0.0222222222222222	0.0185185185185185	0.25	0	1	0	0.5	0.0555555555555556	0.0208333333333333	0
