	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	NP-Kun	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCP	PCT	PCT	PCT	PCT	PCT	NPT	NPT	NPT	WB	WB	WB	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT	ONT
chr19:30021223-30021227	0.0555555555555556	0	0	0	NA	0.0416666666666667	0	0.0925925925925926	NA	0	NA	NA	NA	0	NA	0	NA	0.0185185185185185	0.0277777777777778	0	0	NA	0	NA	0	0.0185185185185185	0	0.0555555555555556	NA	0	0	NA	0	0	0	0	NA	0.0555555555555556	NA	0	1	0	0	0.0028735632183908	0	0.00427350427350427	0.00555555555555556	0.166666666666667	0.344444444444444	0	0	0	0	NA	0.0177809388335704	0.037037037037037	0	0	0.0138888888888889	0	0.00892244337680165	0.0196078431372549	0.0136054421768707	NA	0	NA	0	0	0	0.0111111111111111	0.166666666666667	0.00793650793650794	0.00273224043715847	0.00292397660818713	0.0414970831637498	0	0.00617283950617284	0.00185185185185185	0	0	0	0	NA	0	NA	NA	0.0045045045045045	0.00793650793650794	0	0.0087719298245614	0	0	NA	NA
chr12:40013607-40013699	0	0	0	0	0	0.144444444444444	0	0	0	0	NA	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	NA	0	0	NA	NA	0	0	0	0	0	0	1	0	NA	0	NA	0	0.00354609929078014	0	0	0	0.00378787878787879	0	0	0	0	0	0	0	0	0	0.00387596899224806	0	0	0	0	0	0.00175438596491228	0	0	0	0	0	NA	0	0.0043859649122807	0.00952380952380952	0.0015015015015015	0	0	0	0.00326797385620915	0.00158730158730159	0.00515463917525773	0	0	0	0.00141242937853107	0	NA	0.0333333333333333	0	0	NA	0.0303030303030303	0	0	NA	0
chr9:135644825-135645168	NA	NA	0	0	NA	NA	0	0	0	NA	NA	NA	NA	0	NA	0	NA	0	0	0	0	0	0	NA	0	NA	NA	0	NA	NA	0	NA	0	NA	0	0	NA	0	0	NA	1	0	0.00357142857142857	0.00123456790123457	0.000744047619047619	0.000463821892393321	0	0.00264550264550265	0	0	0	0	0	0	0.00130718954248366	0.00138888888888889	0.00119047619047619	0	0	0.00476190476190476	0.000600600600600601	0	0.0010752688172043	NA	0.00277777777777778	NA	0	0	0	0	0	0.00217391304347826	0	0.000684931506849315	0.00126582278481013	0	0.00111111111111111	0.00196078431372549	0.0012987012987013	0.0468047848070046	0.00151515151515152	0.00294117647058824	NA	0.00666666666666667	NA	NA	NA	0.00289855072463768	NA	0.008	0.0153846153846154	0.0172839506172839	NA	0.0119047619047619
chr10:13933959-13933999	0.00202020202020202	0	NA	NA	NA	0	0	0.0121885521885522	NA	NA	NA	NA	0	0	0.0223569023569024	0	0	0	0	0	0	0	NA	NA	0	0	0	0	0.0902164502164502	0	0	0	NA	0	0	NA	NA	0	NA	0	1	NA	0	0	0	0.000516795865633075	0.000252525252525253	0	0.00101010101010101	0.116666666666667	0	0	NA	NA	0.000317460317460317	0.00617848539596507	0.000312989045383412	0.000236406619385343	0	0	0.000965843745463884	0	0.000600600600600601	0	0	NA	0.000326797385620915	0	0.000149142431021626	0	0.00297924297924298	0.00065359477124183	0.000163398692810458	9.49667616334283e-05	0.000634142545907252	0.000611620795107034	0.000281293952180028	0.000133868808567604	0.000153256704980843	0	0	0	0.000753846557102042	0.0003584229390681	0	0	NA	0	NA	NA	0	0	NA	NA
chr12:111472687-111472696	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	0	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	0	NA	1	NA	0	0.00277777777777778	0	0	0	NA	0	NA	0	0	NA	0	0	0	0	0	0.00588235294117647	0	0	0	0	0	0	0	0	0	NA	0	0	0.0125	0.0048780487804878	0	0	0	0	0.00208333333333333	0	0.00232558139534884	0	0	0	0	NA	0	0	0	NA	0	NA	0	NA	NA
chr1:214158875-214158891	NA	NA	NA	0	NA	0	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	0	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	0	0	0	0	NA	0.42	NA	NA	NA	0	0.0461471138162868	0.172107421010492	0.0246976767524713	0.00160642570281125	0	0	0.02	0.037037037037037	0	0.0216450216450216	1	NA	0.000680272108843537	0.225920256214374	0	0.00170940170940171	0.23018315018315	0.00917912404930501	0.000694444444444444	0.0561358930924148	0.000925925925925926	0.356614740757963	0	NA	0	0.00350877192982456	NA	0.451639050113405	0.00238095238095238	0.0414901960784314	0.255725482774663	0.00317460317460317	0.00234161307015598	0.000833333333333333	0.0304394024276377	0.0777205528333394	0.497695079382952	0.00144927536231884	0.0539649278286	0.00277777777777778	NA	0	0	0.0104166666666667	0.00168776371308017	NA	0	NA	0	0	0	NA
chr6:1393876-1393892	0	0	1	NA	0	0	0	0	NA	0	1	0	NA	0	NA	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0.230555555555556	0.5	0.98	0	0.620909090909091	NA	0	0	0.016374269005848	0.0101412066752246	0	0	0	0.01	0	0	0.98	0	0.652543652763985	0.136848739495798	0.0027027027027027	0.067824235385211	0.0198686371100164	0.100957792207792	0.00576923076923077	0.00181818181818182	0.00114942528735632	NA	0	0.021195652173913	0.0966604823747681	0.0222222222222222	0.00116279069767442	0.143833140543667	0	0	0.0415384258830073	0.003125	0.0622395925085188	0.159427493060356	0.0170696234430125	0.0650593060636293	0.0610561497326203	0.0725206711050998	0.0882936507936508	0	0.0104486540378863	0.00606060606060606	NA	NA	0.0451965883087165	NA	0	0.0037037037037037	NA	0	NA	NA
chr3:184301345-184301398	0	0	0	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	0	0	0	0	NA	0	NA	NA	NA	NA	0	NA	0	0	NA	0	0	NA	NA	NA	1	NA	0.0238095238095238	0.5	0	0.308165690518632	0.256908532786493	0.00238095238095238	0.0019047619047619	0.000865800865800866	0	0	0	0.0976190476190476	0.0608465608465608	0.9	0.142115027829314	0	0.0669914178855273	0.00840336134453782	0	0	0	0.000547345374931582	0	0	NA	0	0.0583951762523191	0	0.00909090909090909	NA	0	0.117142857142857	0	0	0.0475997864418197	0.00224585044039723	0	0.286280736694215	0.000602772754671489	0.00161420500403551	0	0.00138026224982747	0.826013140298855	NA	0.00148809523809524	NA	NA	0.00221483942414175	NA	NA	0.0025062656641604	NA	0	NA	NA
chr12:54354964-54354970	NA	0.0555555555555556	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	0.0555555555555556	0.0185185185185185	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	0	NA	NA	1	NA	NA	NA	0	0.0158730158730159	0.00252525252525253	0.00854700854700855	0.0230880230880231	0.0045045045045045	0	0.0138888888888889	NA	0	0.0138888888888889	NA	NA	0.234702093397746	0	0.0138888888888889	0	0.524725274725275	0	0.00411522633744856	0.0147058823529412	0.00303030303030303	0	0	0.00641025641025641	0	0	NA	0.486549707602339	0	0.0135135135135135	0.00292397660818713	0.00133333333333333	0.0040650406504065	0	0.097594246031746	0	0.572779862414009	0.00273224043715847	0	0	0.0747647849462366	0	NA	0	0.0101010101010101	0.0133333333333333	NA	0.0128205128205128	0	0	NA	0
chr15:68127652-68127761	0	0	0	NA	0.0208333333333333	0.00952380952380952	0	0	NA	0	NA	NA	0	0	NA	0.00444444444444444	0.0133333333333333	0.00833333333333333	0	0	0.00555555555555555	NA	0	0	0	0	0	NA	1	0	0	0	0.0555555555555556	0	0	NA	NA	1	NA	NA	NA	0	0.0414529914529915	0.260330261136713	0.0122315592903828	0.0021505376344086	0.00392156862745098	0.0269230769230769	0	0	0	0	0.903333333333333	0	0.24780303030303	0.566425120772947	0.0627104377104377	0.0117370892018779	0.427179487179487	0.00980392156862745	0.0288553639846743	0.0172413793103448	0.0157590051457976	0.0053763440860215	0.0166666666666667	0.0222222222222222	0.0860042735042735	0.00833333333333333	0	0.65280303030303	0.0133333333333333	0	0.0919594382375376	0.0319535221496006	0.0150103519668737	0.00740740740740741	0.00961538461538462	0.00680272108843537	0.427230046948357	0.0126262626262626	0.00588235294117647	0	0.285353535353535	0.00952380952380952	NA	0.0227272727272727	NA	0.0111111111111111	NA	0.018018018018018	NA	0	0.0555555555555556	0.0277777777777778
chr11:2165354-2165371	0	0	NA	NA	NA	0	0	0	NA	0	NA	NA	0	0	0	0	0	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	1	NA	0	0	NA	NA	NA	0	0	NA	NA	1	NA	NA	0.0151515151515152	0	0.0175438596491228	0	0	0	0	0	1	0	0	0	0	0	0	0.00617283950617284	0	0	0	0.00595238095238095	0	0	0	0	0.0416666666666667	0	0.00555555555555556	0	0	0	0	0	0.0182310914018231	0	0	0.00333333333333333	0	0	0	0	0	0.569444444444444	NA	NA	0	NA	0	0	NA	0.0185185185185185	0	NA
chr7:129781526-129781577	NA	0.0185185185185185	0	0	0	0	0	0	0	0.166666666666667	0	0	NA	0	0	0	0	0	0	0	0	NA	0	NA	NA	0	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	1	NA	0	0.175213675213675	0.11952861952862	0	0.0119047619047619	0	NA	0	0	0.5	NA	0	NA	0	0	0.096969696969697	0	0.0512820512820513	0	0.123221062618596	0	0.0175438596491228	0.00617283950617284	0	0.0119047619047619	0.0138888888888889	0.0104166666666667	NA	0.135416666666667	0.0972222222222222	0	0	0	0.0184356986682568	0.0383022774327122	0.0128205128205128	0.0226228349240014	0.0811546840958606	0	0.0261904761904762	0.310185185185185	0	0.150793650793651	0	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	0
chr3:132757032-132757041	NA	0	NA	0	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	1	NA	0	1	0	NA	NA	NA	NA	0	0	NA	0	NA	0.277777777777778	NA	1	NA	0.0333333333333333	0	0.00136612021857923	0.0175438596491228	0.00260416666666667	0.0165300546448087	0	0	0	0.5	0	0	0	0	0	0.0040650406504065	0.0153991945036721	0	0	0.0337170838268494	0	0.0154264972776769	NA	0	0.00427350427350427	0.0592592592592593	0.00333333333333333	NA	0	0.190017825311943	0.026309067688378	0.00333333333333333	0.00113378684807256	0.0110982595285305	0.0695449561403509	0.00347222222222222	0.00809729871492263	0.00191570881226054	0.00260416666666667	0	0.101948051948052	NA	0.0957629768605378	NA	NA	0.00333333333333333	NA	NA	0	NA	0	NA	0
chr8:105236137-105236154	0	0	NA	0	NA	0	0	0	0	0	NA	0	0	0	0	0	0	0	NA	0	0	0	0	1	0	0	0	0.5	0	0.0833333333333333	0	0	0	0	0.111111111111111	0	0	1	0	1	0	0	0.0104166666666667	0.033395568832462	0	0.031725523973586	0	0	0	0	0	0.0925925925925926	0	0.0779220779220779	0	0.00347222222222222	0	0	0	0	0.00483091787439614	0	0.00543478260869565	0	0	0.0903263403263403	0.00268817204301075	0.00387596899224806	NA	0	0.181287512809252	0.0809232026143791	0	0	0	0.00205761316872428	0.00191570881226054	0.00152905198776758	0.00177304964539007	0	0.00320512820512821	0.0175438596491228	NA	0.00980392156862745	NA	NA	0.00347222222222222	NA	0	0	NA	NA	0	0
chr5:63257742-63257754	NA	NA	0	0	0	0	NA	NA	0	0	NA	NA	0	0	0	0	0	NA	0.0416666666666667	NA	0	NA	0	NA	NA	0	0	0	0	0	0	NA	0	0.0555555555555556	0	0	NA	1	NA	NA	NA	0	0	0.00515463917525773	0.0740740740740741	0.0244047619047619	0.00740740740740741	0	0	0	0	0.277777777777778	0.0111111111111111	NA	0	0	0	0	0	0	0	0.101190476190476	0.0191444966092853	0	0	NA	0	0.00476190476190476	0	0.0072463768115942	0.111111111111111	0.0376409017713366	0	0	0.0105754573170732	0.00383141762452107	0.00268817204301075	0	0	0.00497512437810945	0	0.0172413793103448	0.00694444444444444	0.0640768588137009	NA	0.541316526610644	0.00378787878787879	0	0.116515151515152	NA	0.271062271062271	0.21875	NA	NA
chr8:55366729-55366735	NA	NA	NA	0	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	0	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.111111111111111	NA	NA	NA	NA	0	NA	NA	NA	1	NA	0	0	0.00632911392405063	0.19824016563147	0.0908119658119658	0.0045045045045045	0	NA	NA	0	0.277777777777778	0	NA	0	0	0	0	0	0	0.0134947814742335	0.00952380952380952	0.0203162346019489	0	0	0.00793650793650794	0	0	NA	0.0104166666666667	0.228395061728395	0.0111111111111111	0	0.00147492625368732	0.0618184955141477	0.00222222222222222	0.0211767056238138	0.00168350168350168	0.0165192827315156	0.00641025641025641	0.0138888888888889	0.0166666666666667	NA	0.0072463768115942	NA	NA	0	NA	0	0	NA	NA	0	NA
chr9:32783848-32784032	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	0.111111111111111	0	NA	1	NA	NA	NA	0	0.0555555555555556	0.0314465408805031	0.025	0.02	0.0396825396825397	0	0.0476190476190476	0.0833333333333333	0.0833333333333333	0.5	0	0.0833333333333333	0.0566037735849057	0.08	0.0416666666666667	0.0555555555555556	0.188888888888889	0.05	0.0377358490566038	0.0897435897435897	0.040650406504065	NA	0.0256410256410256	NA	0.0666666666666667	0.0317460317460317	0.141666666666667	0.0454545454545454	0.0740740740740741	0.072463768115942	0.0222222222222222	0.0449438202247191	0.080952380952381	0.037037037037037	0.0425531914893617	0.0722222222222222	0.0518518518518519	0.0569105691056911	0.0579710144927536	0.156410256410256	NA	0.0579710144927536	NA	NA	NA	0.027027027027027	NA	0.111111111111111	0.0833333333333333	0.0625	NA	0.0533333333333333
chr7:63506053-63506069	NA	0	0	1	0	NA	0.0277777777777778	NA	0	NA	NA	NA	0	0	0	0	0	0	0	0.277777777777778	0	0	0	NA	NA	NA	0	NA	0	NA	0	0	0.277777777777778	NA	0	0	NA	NA	NA	1	NA	0	0	0.0249404511699594	0.0786482334869432	0.0193798449612403	0.00775193798449612	0	0	0	0	0.5	0	NA	0.100809289232935	0	0.0944075304540421	0.0589240355974636	0.0087719298245614	0.0119047619047619	0.0787398070006766	0.0308771929824561	0.0761654149078084	0.00694444444444444	0.0111111111111111	0.211111111111111	0	0.00462962962962963	NA	0	0.21025641025641	0.0475	0.0187324929971989	0.0360999103942652	0.111006056111729	0.00564971751412429	0.231286549707602	0.0342105263157895	0.0516047352132794	0.0417839274546592	0.0163787969029184	0.433333333333333	0.0496665284401133	0.0831404259817134	1	0.886446886446887	NA	NA	NA	NA	NA	NA	NA	0.182539682539683
chr5:96038915-96039040	0	0	0	NA	NA	0	0.0416666666666667	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	NA	0	NA	NA	NA	NA	0	NA	NA	0	0	0	NA	NA	0.5	0	NA	0	1	NA	0	0	0.00154320987654321	0.00333333333333333	0	0	0	0	0	0	0	0	0.777142857142857	0.00421940928270042	0	0	0	0	0.00462962962962963	0	0	0.00704225352112676	0	0.00709219858156028	NA	0	0.152855060943296	0.00151515151515152	0	0	0.00320512820512821	0	0.0220327225352351	0.0116830065359477	0.00191570881226054	0.00193798449612403	0	0	0	0	0	0.0421290322580645	0	NA	0.00595238095238095	0	0.0053763440860215	0.00529100529100529	NA	0.00490196078431373	0	NA	NA
chr18:19283944-19284000	NA	0	NA	0	1	0	0	0	0	0	0	NA	NA	NA	0	0	0	0	0	0	0	NA	0	NA	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	1	NA	0	0	0	0.00555555555555555	0	0.00135135135135135	0	0.00714285714285714	0	0	0.01	0	NA	0.00138888888888889	0.00285714285714286	0.00232558139534884	0	0.00263157894736842	0	0	0	0	0.00172413793103448	0	0	0	0	NA	0	0	0	0.00240963855421687	0.00124223602484472	0	0.00153846153846154	0	0	0.0018018018018018	0	0.00142857142857143	0	NA	0	0.0185185185185185	0.0119047619047619	NA	0	0.00606060606060606	0.0261513157894737	NA	NA	0	0
chr1:93914303-93914309	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	0	0	NA	0.5	NA	0	0	NA	NA	NA	NA	1	NA	NA	0	NA	0	1	NA	NA	0	0.00595238095238095	0	0	0	NA	0	NA	0	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	0	0	0	0	NA	0	NA	0	0	0	NA
