	6-P-10.mld_blocks_r2-0.5	6-P-1.mld_blocks_r2-0.5	6-P-2.mld_blocks_r2-0.5	6-P-3.mld_blocks_r2-0.5	6-P-4.mld_blocks_r2-0.5	6-P-5.mld_blocks_r2-0.5	6-P-6.mld_blocks_r2-0.5	6-P-7.mld_blocks_r2-0.5	6-P-8.mld_blocks_r2-0.5	6-P-9.mld_blocks_r2-0.5	6-T-1_1.mld_blocks_r2-0.5	6-T-1_2.mld_blocks_r2-0.5	6-T-2_1.mld_blocks_r2-0.5	6-T-2_2.mld_blocks_r2-0.5	6-T-3_1.mld_blocks_r2-0.5	6-T-3_2.mld_blocks_r2-0.5	6-T-4_1.mld_blocks_r2-0.5	6-T-4_2.mld_blocks_r2-0.5	6-T-5_1.mld_blocks_r2-0.5	6-T-5_2.mld_blocks_r2-0.5	7-P-10.mld_blocks_r2-0.5	7-P-1.mld_blocks_r2-0.5	7-P-2.mld_blocks_r2-0.5	7-P-3.mld_blocks_r2-0.5	7-P-4.mld_blocks_r2-0.5	7-P-5.mld_blocks_r2-0.5	7-P-6.mld_blocks_r2-0.5	7-P-7.mld_blocks_r2-0.5	7-P-8.mld_blocks_r2-0.5	7-P-9.mld_blocks_r2-0.5	7-T-1_1.mld_blocks_r2-0.5	7-T-1_2.mld_blocks_r2-0.5	7-T-2_1.mld_blocks_r2-0.5	7-T-2_2.mld_blocks_r2-0.5	7-T-3_1.mld_blocks_r2-0.5	7-T-3_2.mld_blocks_r2-0.5	7-T-4_1.mld_blocks_r2-0.5	7-T-4_2.mld_blocks_r2-0.5	7-T-5_1.mld_blocks_r2-0.5	7-T-5_2.mld_blocks_r2-0.5	CTT-FFPE-100ng_1.mld_blocks_r2-0.5	CTT-FFPE-100ng_2.mld_blocks_r2-0.5	CTT-FFPE-5ng_1.mld_blocks_r2-0.5	CTT-FFPE-5ng_2.mld_blocks_r2-0.5	CTT-frozen-100ng_1.mld_blocks_r2-0.5	CTT-frozen-100ng_2.mld_blocks_r2-0.5	CTT-frozen-5ng_1.mld_blocks_r2-0.5	CTT-frozen-5ng_2.mld_blocks_r2-0.5	NC-P-1.mld_blocks_r2-0.5	NC-P-2.mld_blocks_r2-0.5	NC-P-3.mld_blocks_r2-0.5	NC-P-5.mld_blocks_r2-0.5	NC-P-6.mld_blocks_r2-0.5	NC-P-7.mld_blocks_r2-0.5	NC-P-8.mld_blocks_r2-0.5	NC-P-9.mld_blocks_r2-0.5	PC-P-10.mld_blocks_r2-0.5	PC-P-1.mld_blocks_r2-0.5	PC-P-2.mld_blocks_r2-0.5	PC-P-3.mld_blocks_r2-0.5	PC-P-4.mld_blocks_r2-0.5	PC-P-5.mld_blocks_r2-0.5	PC-P-6.mld_blocks_r2-0.5	PC-P-7.mld_blocks_r2-0.5	PC-P-8.mld_blocks_r2-0.5	PC-P-9.mld_blocks_r2-0.5	PC-T-1_1.mld_blocks_r2-0.5	PC-T-1_2.mld_blocks_r2-0.5	PC-T-2_1.mld_blocks_r2-0.5	PC-T-2_2.mld_blocks_r2-0.5	PC-T-4_1.mld_blocks_r2-0.5	PC-T-4_2.mld_blocks_r2-0.5	PC-T-6_1.mld_blocks_r2-0.5	PC-T-6_2.mld_blocks_r2-0.5	PC-T-7_1.mld_blocks_r2-0.5	PC-T-7_2.mld_blocks_r2-0.5
chr3:195634142-195634194	0	0	0	0	0.0979707792207792	0	0	0.4	0.204695187165775	0	0.0999885912209856	0.293392801228622	0.726241258741259	0.474166666666667	0.0454545454545455	0.129032258064516	0.173913043478261	0.054143687026586	0.203725490196078	0.111111111111111	0	0	0.333333333333333	0	0.290329169942761	0	0.153532608695652	0	0.301818181818182	0	0.104965112751542	0.193333333333333	0.000581395348837209	0.0545307713728766	0.0394404088201918	0.00241935483870968	0.0351227795193312	0.000641025641025641	0.0865909320399734	0.0568462250053369	0	0.0352252197191018	0	0.106987409873658	0.0344827586206897	0.0303030303030303	0.0182219687092568	0.00078125	0	0	0.00078125	0	0.00653409090909091	0	0	0	0	0.0271111111111111	0.0206666666666667	0	0.005	0	0.333333333333333	0	0	0	0.141532976827094	0.210306422920799	0.176555685565365	0.21076572060746	0.254461766303872	0.14941793088917	0.247594529550609	0.0921318681318681	0.221406109127628	0.318181818181818
chr6:42072071-42072121	0.111111111111111	0	0	0	0	0	0	0	0	0.1	0.661337513061651	0.405400436575309	0.111111111111111	0	0.2	0.3128099660917	0.662106684145637	1	0.262142857142857	0.256623931623932	0	0	0	0.00833333333333333	0	0	0	0	0.00625	1	0.0025	0.00787878787878788	0.726111111111111	0.850270557288923	0.438024193548387	0.75	0.5	0.111111111111111	0.198333333333333	0	0.94414347650736	0.867892355942399	0.0535714285714286	0.727272727272727	0.8008357771261	0.682121212121212	1	0.641127819548872	0	0	0.00208333333333333	0	0.0025	0	0	0	0.2	0	0	0	0	0	0	0	0	0.5	0.428571428571428	0.0535714285714286	0.122857142857143	0.25	0.958333333333333	0.0756944444444444	0.3925	0.666666666666667	0.0535714285714286	0.0979707792207792
chr17:79096150-79096174	0.991027027027027	0.994285714285714	0.978947368421053	0.997777777777778	0.60859010270775	0.998666666666667	0.991111111111111	1	1	0.996923076923077	0.68637905304572	0.278518518518519	0.00112994350282486	0.233362062773827	0.874877551020408	0.625	0.767777777777778	0.545932589260925	0.386138716356108	1	1	1	0	1	0.995555555555556	1	0.954285714285714	0.994666666666667	0.997530864197531	0.962962962962963	0.75	0.577142857142857	0	0.333333333333333	1	0.998518518518518	1	1	1	1	0.993777777777778	0.900213866518124	0.991440650406504	0.885160210425634	0.75037037037037	0.993227513227513	0.895573936219098	0.873490672864891	1	0.98	0.998787878787879	1	0.937053317053317	0.998333333333333	0.993333333333333	0.991111111111111	1	0.995698924731183	0.871746031746032	1	0.97974358974359	0.973333333333333	0.993333333333333	1	0.866666666666667	1	0.557222222222222	0.519099715099715	1	0.324730380730381	0.186967371929009	0.5	0.254021164021164	0.6	0	0.2
chr2:220313543-220313561	0	0	0	0	0.00357142857142857	0	0	0	0	0	0.268462452300382	0.275369458128079	0.405294654260172	0.702796331575401	0.159084967320261	0.140321830860004	0.741391941391941	0.709285714285714	0.103467760309866	0.162800257623701	0	0	0	0	0	0	0	0.00434782608695652	0	0	0.143186090225564	0.218690476190476	0.55	0.482525598251266	0.530770553835569	0.54361509717392	0.625	0.50168011903306	0.0797232258996965	0.0442812051649928	0.433714994682737	0.250070126227209	0.187380952380952	0.213052528866482	0.124559523809524	0.0380792480792481	0.00833333333333333	0.0661943319838057	0	0.00208333333333333	0	0.00192307692307692	0	0	0	0.00357142857142857	0.343560606060606	0	0	0	0	0	0	0.00357142857142857	0	0	0.291530780075188	0.427751925520098	0.546785714285714	0.376063769654019	0.204142857142857	0.520214072280748	0.229981324278438	0.279840347990503	0.591662174303684	0.465976048281953
chr7:42267805-42267821	0	0	0	0	0.0306818181818182	0	0.00416666666666667	0	0	0.0242857142857143	0.538252606092412	0.416646904655196	0	0.0552576112412178	0.187892211148025	0.18531328320802	0.761744455695093	0.666666666666667	0.0164285714285714	0.00288461538461538	0	0	0	0	0.00625	0	0	0	0	0.00357142857142857	0.0866538658474142	0.215883674704001	0.757651128976355	0.744924784950618	0.762400980748533	0.848358316282669	0.0282392026578073	0.00192307692307692	0.108999895779426	0.142982394760412	0.662812272617026	0.786063782337199	1	0.838518099547511	0.602612942612943	0.560724104386076	0.798349282296651	0.580431177446103	0	0	0	0.00714285714285714	0	0	0	0	0	0.00277777777777778	0	0	0	0	0	0.5	0	0.005	0.12803009776694	0	0.308430829228243	0.327704448032066	0.186875	0.412684361549498	0.00946115288220551	0.0183333333333333	0.205901518502138	0.0318468970642884
chr18:8990823-8990853	0.997297297297297	0.964444444444444	0.961811594202899	0.993049078392183	0.994968553459119	0.986172839506173	0	1	1	1	0.633710768024061	0.449130786620459	0.266666666666667	0.146591846289054	0.994379029997197	0.900883579614003	0.477165221471211	0.332989232989233	0.779206557096405	0.488629692735198	1	1	0.958333333333333	0.997777777777778	1	1	0.98974358974359	0.726239316239316	0.996666666666667	0.997777777777778	0.673527014886953	0.777950548535256	0.914198050131385	0.988586787573334	0.966514727102962	0.956897170534674	0.786761236757564	0.874527937967618	0.897973396968509	0.617895730533187	0.196658827076738	0.291023729893295	0.857142857142857	0.0248578811369509	0.157913172461549	0.317216361562969	0	0.315807915758896	0.998666666666667	0.995238095238095	0.994782608695652	0.993333333333333	1	1	0.992	0.880971767303009	0.966865079365079	0.994285714285714	1	0.991515151515152	0.752941094941095	0.5	0.994666666666667	0.996666666666667	0.994871794871795	0.998095238095238	0.37269271516107	0.460232707746846	0.51244137953036	0.623558125419486	0.35216456666432	0.395864673342968	0.266635488593192	0.453254994962979	0.169198075133374	0.252812881748942
chr19:49250421-49250438	0	0	0.0125	0	0	0	0	0	0	0	0.166666666666667	0.33228742255958	0	0	0.409105771340794	0.666666666666667	0.444444444444444	0.5	0	0.00263157894736842	0	0	0	0	0.0923176823176823	0	0	0	0	0	0.0641821946169772	0.479198448610213	0.570647812058883	0.548679189028026	0.0132478632478632	0.0633021390374332	0.379754831261967	0.347222222222222	0.08510402869158	0.143956582633053	0.2	0.618928571428571	0	1	0.712498383968972	0.699140459811192	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.0303846153846154	0.6	0.479586824067022	0.333333333333333	0.25	0	0.293333333333333	0.634185222672065	0.666666666666667	0.333333333333333
chr17:55952066-55952131	0.00256410256410256	0	0	0.00181818181818182	0.154498626373626	0.0833333333333333	0	0	0.00208333333333333	0.00192307692307692	0.281800350811979	0.359509803921569	0	0	0.413447484824912	0.174034626429188	0.220207373271889	0.420527859237537	0.053031554295575	0.0428184923357762	0	0.024435736677116	0	0	0.166666666666667	0	0	0	0	0	0.0909224515322076	0.0860720993468449	0.67800792303339	0.716354515050167	0.00263157894736842	0.00340909090909091	0.0205	0.119137039431157	0.0291915003643373	0.0677559282822441	0.648988185017597	0.943083244962885	0.8	0.936697860962567	0.732200667501043	0.6829560971394	0.685966117216117	0.645232558139535	0.003125	0.00384615384615385	0	0	0	0	0	0.00192307692307692	0.0547619047619048	0	0.25	0	0	0	0	0	0	0	0.20875	0.278821178821179	0.224958066281759	0.457594131614654	0.110411255411255	0.12803009776694	0.420269230769231	0.459151138716356	0	0.2
chr3:187676575-187676666	0	0	0	0	0.855555555555556	0.363790425261014	0	0	0	0.103664717348928	0.808986778189624	0.64650481302646	0.900966838525294	0.794029409626894	0.427294217807256	0.15260902969862	0.878703726643986	0.794405891663437	0.374947149583698	0.229015688581871	0	0	0	0	0	0	0	0	0.176407067877656	0	0.385270112082305	0.500348924488104	0.801185032135021	0.744443645775707	0.31765969322359	0.568370411055538	0.768456856025541	0.582723462198937	0.199803520857438	0.189952335358132	0.845307713353246	0.782105212417145	1	0.5	0.758908151484715	0.861919121153662	1	0.401453371190213	0.000694444444444444	0	0.0043010752688172	0	0	0	0	0.00952380952380952	0.000888888888888889	0	0	0	0	0	0.00860215053763441	0.0228571428571429	1	0	0.698791384096317	0.672373134455102	0.798278286926781	0.768294191345679	0.69546877370818	0.50349665948694	0.603617746552173	0.667672340910392	0.818294951610638	0.677649481859242
chr19:42388238-42388355	0	0	0	0	0	0	0	0	0	0	0.000324644549763033	0	0.00144279512309252	0.000366311417501992	0.00191358024691358	0.00169908556534341	0.000273005419611425	0	0.00113524698019957	0.000549452103216684	0	0	0	0	0	0	0	0	0	0	0.00188158840875229	0.000796263776729379	0.000319966852354864	0.000606224907375134	0.00112067883807014	0.000600399816300619	0	0.00097644621210317	0.000903577601370471	0.000287418365522797	0	0.000352293219576341	0	0.00109950460014154	0.000664982118940116	0	0.0019663226507333	0.00132964080656044	0	0	0	0	0	0	0	0	0.00172222222222222	0	0	0	0	0	0	0	0	0	0	0.000942514388738645	0.000277981679269951	0	0.000680841209419461	0.000202089765810023	0	0.000217676929086325	0.000490143127194167	0.000530284919479278
chr1:1284134-1284165	0	0	0	0	0	0	0	0.00126984126984127	0	0	0.000169635284139101	0.000504095778197858	0.000497512437810945	0.000128452151573539	0.00014367816091954	0.000203252032520325	0.000131233595800525	0.000272108843537415	0.000819672131147541	0.000102880658436214	0	0	0	0	0	0	0	0	0	0	0.00044543429844098	0.000337837837837838	0.000264026402640264	0	0.000571020699500357	0.00022002200220022	0.000823045267489712	0	0.000182898948331047	0.000339270568278202	0.000625978090766823	0.000306278713629403	0	0.000123456790123457	0.000111111111111111	0.000454029511918275	0	0.000317460317460318	0	0	0	0	0	0	0	0	0.00150375939849624	0	0.000683760683760684	0	0	0	0	0	0.000823045267489712	0	0.000435729847494553	0.000234192037470726	0.000208659363588941	0.000339270568278202	0.000119904076738609	0.0002002002002002	0.000231481481481481	0	0	0.000270453008789723
chr19:38674426-38674479	1	0.972222222222222	1	1	0.996296296296296	1	0.994444444444444	0	1	0	0.988888888888889	0.684891273276028	0	0.0514957264957265	0.949893080817343	0.853670967977644	0.277357595348777	0	0.463983355825461	0.447652050290995	0.995087719298246	1	1	1	1	1	0.996078431372549	1	1	1	0.468506819080062	0.519022449559534	0.993939393939394	0.819730485634376	1	1	0.821333049398301	0.0703703703703704	0.592963374028857	0.876946541910074	1	1	1	0.998148148148148	0.954158147378	0.903978146243223	0	1	0.996296296296296	0.986359761295823	0.995833333333333	1	1	1	0.998148148148148	1	0.988888888888889	1	0	0.983333333333333	0.996825396825397	1	0.983333333333333	0	1	1	0.652480611527781	0.766142697881828	0.585224558050645	0.857142857142857	0.718053498228488	0.749761323643677	0.684947942667091	0.875	0.808800979318343	0.444444444444444
chr10:98479809-98480185	0.00074487895716946	0.000888888888888889	0	0.000292397660818713	0.00111111111111111	0	0	0	0	0	0.000224466891133558	0.000399201596806387	0.000311526479750779	0.000798403193612775	0.000472813238770686	0.00040650406504065	0.000310077519379845	0	0.000579710144927536	0	0	0.00130718954248366	0	0	0	0	0.00130718954248366	0	0	0	0	0.000495662949194548	0.00111731843575419	0.000233100233100233	0.00103359173126615	0	0	0	0.000611620795107034	0	0.000204498977505112	0	0	0.001329534662868	0.00113960113960114	0	0	0	0	0	0	0	0	0	0	0	0.00133333333333333	0	0.00111111111111111	0	0	0	0	0	0	0	0	0.000415368639667705	0.000421940928270042	0	0.000296296296296296	0.000177777777777778	0.000424628450106157	0	0	0
