CHR	Start	End	cgsite	Gene Symbol	Location	GEO.Pvalue	GEO.Delta	COAD.Pvalue	COAD.Delta	LUAD.Pvalue	LUAD.Detal	LUSC.Pvalue	LUSC.delta	PAAD.Pvalue	PAAD.delta
chr14	45366798	45366799	cg01147465	C14orf28	Island	0.00000000000000000000000000000000000000000000000000000000165015615931251	0.02591994	0.00400888647898863	0.00283452768652915	0.636550571857622	0.0000112186461162025	0.00000000000250448249033129	0.00506090264625855	0.00228376044431711	0.0040059846649798
chr17	42852270	42852271	cg12834820	ADAM11	N_Shore	0.000000000000000000000000000000000000000000000327291441745286	0.028872475	0.837866474821803	0.00125827883986901	0.92570201282048	-0.00258260786630045	0.698272839013452	0.00151869836707205	0.053770563589037	0.00553933845463255
chr4	184366236	184366237	cg08276984	CDKN2AIP	Island	0.00000000000000000055101607989412	0.01864636	0.00214525807479732	0.0042211474476057	0.273676256724584	-0.0030755573752403	0.000075183395807229	0.0029845568413442	0.000694307766036211	0.0115099019328724
chr2	112813613	112813614	cg06723287	TMEM87B	Island	0.0000000000000000000000000000000000000000000000174195435988737	0.020104845	0.00833899557824015	0.00216070529816055	0.755759348338145	-0.00309607369519115	0.0000000229951665777564	0.0060770427316675	0.0680638885563415	0.00421420180607236
chr5	133702757	133702758	cg04836188	CDKL3	Island	0.000000000000000000000000000000000000000853127434252296	0.02192283	0.915477304507854	0.00105674272563336	0.00417564696699096	-0.0115441731196058	0.00306574941684445	0.00345161480090744	0.0121762354820766	0.0054309784875883
chr5	133702676	133702677	cg11309039	CDKL3	Island	0.0000000000000000000000000000000000000000000137294744859659	0.0241046	0.000122886664781093	0.0021105651398137	0.431451207055367	0.00217124274029435	0.0000000000000000013541042147835	0.00750153874443945	0.0000684245978255359	0.0042831904570405
chr6	31707803	31707804	cg02563952	MSH5	Island	0.00000000000000000000000000000000000000000000000000000000262127388579107	0.02772981	0.267852202419294	0.00236442706843365	0.0135005715007578	-0.00635154748699495	0.000000945038541478468	0.0036014874776057	0.00219733063850705	0.00456379312569025
chr6	31708032	31708033	cg02737149	MSH5	Island	0.0000000000000000000000000000000000000000000000138140782241753	0.02771711	0.529248980665898	0.0000831416136971991	0.0538195293258913	-0.0036900241438342	0.000212598122801618	0.001686098827558	0.022182077709153	0.0033469847748521
chr6	31707750	31707751	cg03605661	MSH5	Island	0.000000000000000000000000000000000000000000000000043757375596235	0.024418375	0.236239888170066	0.000399706582912451	0.470527571902531	0.000755784873023906	0.0000000000553011733548475	0.00304073714535185	0.0365631750510043	0.00323594853572775
chr6	31707956	31707957	cg05239791	MSH5	Island	0.0000000000000000000000000000000000000000000000000000137415597898494	0.021004	0.446295129864259	0.000557997313034898	0.209303568157361	-0.0027323429104655	0.0000000000238374990368602	0.00368337470118215	0.0181562311978412	0.00257994573166395
chr6	31707853	31707854	cg13709244	MSH5	Island	0.000000000000000000000000000000000000000000000000000000000398989961323799	0.02111747	0.376766053041948	-0.000935018265648749	0.997503168892833	0.00106463385581185	0.0000000000000081849790589324	0.0032603554800664	0.00103096549078396	0.00349242390156292
chr6	31707922	31707923	cg13843771	MSH5	Island	0.00000000000000000000000000000000000000000000000000000000208658338819534	0.01843449	0.0942297543934521	0.0010259733936511	0.268769252715265	0.00395299710247845	0.00000000726363924811906	0.00304587234730872	0.00843297052774208	0.00494472832677715
chr6	31708070	31708071	cg15984741	MSH5	Island	0.00000000000000000000000000000000000000000130499255091595	0.025488235	0.142559701381955	0.00162540761968955	0.246670724572984	-0.00454749304771999	0.00000000433546166222722	0.0129233746568911	0.26066423990584	0.00964054273368214
chr6	31707950	31707951	cg16728299	MSH5	Island	0.000000000000000000000000000000000000000000384961107704025	0.01942915	0.436222868887266	0.0010409186272458	0.440297998010288	-0.00311147160565015	0.000000106247868344877	0.0033925465486846	0.0017387115874418	0.00302565045736165
chr6	31707815	31707816	cg19121857	MSH5	Island	0.0000000000000000000000000000000000000000000000000000715317317199569	0.02851839	0.402018665867577	0.000282800295261901	0.252850516008341	-0.000590089378156557	0.00000529615714355888	0.002799948897349	0.0567089130392552	0.0027028049119485
chr6	31707746	31707747	cg21485120	MSH5	Island	0.00000000000000000000000000000000000000000000000000000000000000011987642069915	0.0463123499999999	0.782590893123448	-0.00348978457065402	0.159259143840714	-0.00633567140436303	0.946036035901468	-0.00100060422264148	0.27821385562895	-0.0056850320461565
chr6	31707799	31707800	cg23822086	MSH5	Island	0.000000000000000000000000000000000000000011921626596887	0.01632956	0.367667113840095	-0.0020334683580636	0.0961485136437164	-0.00451940686289605	0.111620872728847	0.00133066803616615	0.00674039124247085	0.0045247767323672
chr6	31707961	31707962	cg24536200	MSH5	Island	0.00000000000000000000000000000000000000000000000000000499184438840914	0.014993445	0.290475667661093	0.000307021148326649	0.949597493141276	-0.00067398337006605	0.00000000000000221329246176649	0.0026470201260333	0.00628484109077001	0.0023659522212494
chr12	125398629	125398630	cg09467020	UBC	Island	0.000000000232016692276894	0.03076785	0.0345743839227074	0.00446366443401745	0.0501327138119153	-0.010896795366314	0.0366138024430259	0.00459044791209005	0.344380752267104	0.00519929152696275
chr14	24563796	24563797	cg14089728	PCK2	Island	0.00000000000000000000000000000000000000000000000000000175509396489175	0.01587192	0.000150012145071952	0.00149328915805415	0.357235486283357	0.0019636661806965	0.0000000000000138557671705673	0.002697522583406	0.00481307185130756	0.00292068932748105
chr14	24563794	24563795	cg22454119	PCK2	Island	0.000000000000000000000000000000000000000570246088184804	0.02572535	0.295934295952496	0.00299331139866091	0.177824181244425	-0.00857312897422251	0.0000519294005958168	0.00754226365961899	0.0053596040348057	0.0150811688419899
chr11	69517299	69517300	cg23167906	FGF19	N_Shore	0.000000000000000000000000000000000000000000000000000000000000000128100658132213	0.0631906	0.285851096330681	-0.00712043858770001	0.00000466210958837176	0.0416848771654925	0.000118843932956942	0.019956224755303	0.90562826639762	-0.00173413054584151
chr6	52149679	52149680	cg07837434	MCM3	Island	0.000000000000000000000000000000000000000112644890023474	0.016447875	0.086794914308408	0.0015377872818831	0.011765468185857	-0.00745313972369974	0.018035503387408	0.00432226832823	0.0205500090037641	0.00614030628679895
chr6	52149695	52149696	cg14550653	MCM3	Island	0.0000000000000000000000000000000000000000000000000000059424522582129	0.01085585	0.326758768261823	0.000320362412260701	0.236112308495991	-0.0024037542204214	0.00000000000503454063143461	0.00214620023375091	0.00121356727354401	0.00385513253247689
chr6	52149550	52149551	cg25083312	MCM3	Island	0.00000000000000000000000000000000000000000000000000000919592102702777	0.03130293	0.201907453821935	0.000785453256117202	0.0874076231797734	-0.0043604540978534	0.0000000307316822435959	0.00576046913525941	0.000150129960365617	0.00825571132648455
chr6	52149649	52149650	cg25420070	MCM3	Island	0.000000000000000000000000897649700666499	0.023213495	0.122071530710137	0.00189872019902545	0.62675721095506	0.00154910722977479	0.000000624680964202927	0.0053126911613588	0.00177326801153991	0.00806873597059875
