tax_id	Org_name	GeneID	Symbol	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM
9606	Homo sapiens	144233	BCDIN3D	12q13.12	12	NC_000012.12	49836043	49843129	minus	2	
9606	Homo sapiens	596	BCL2	18q21.3	18	NC_000018.10	63123346	63319778	minus	6	151430
9606	Homo sapiens	598	BCL2L1	20q11.21	20	NC_000020.11	31664452	31723964	minus	8	600039
9606	Homo sapiens	10017	BCL2L10	15q21	15	NC_000015.10	52109269	52113042	minus	2	606910
9606	Homo sapiens	10018	BCL2L11	2q13	2	NC_000002.12	111120618	111168445	plus	15	603827
9606	Homo sapiens	599	BCL2L2	14q11.2-q12	14	NC_000014.9	23306762	23311759	plus	4	601931
9606	Homo sapiens	604	BCL6	3q27	3	NC_000003.12	187721377	187745725	minus	12	109565
9606	Homo sapiens	255877	BCL6B	17p13.1	17	NC_000017.11	7023050	7029642	plus	9	608992
9606	Homo sapiens	627	BDNF	11p13	11	NC_000011.10	27654893	27722058	minus	12	113505
9606	Homo sapiens	8678	BECN1	17q21	17	NC_000017.11	42810132	42824292	minus	13	604378
9606	Homo sapiens	635	BHMT	5q14.1	5	NC_000005.10	79111781	79132290	plus	8	602888
9606	Homo sapiens	638	BIK	22q13.31	22	NC_000022.11	43110748	43129712	plus	5	603392
9606	Homo sapiens	274	BIN1	2q14	2	NC_000002.12	127048023	127107400	minus	22	601248
9606	Homo sapiens	330	BIRC3	11q22	11	NC_000011.10	102317373	102339403	plus	9	601721
9606	Homo sapiens	332	BIRC5	17q25	17	NC_000017.11	78214196	78225635	plus	6	603352
9606	Homo sapiens	650	BMP2	20p12	20	NC_000020.11	6767694	6780263	plus	3	112261
9606	Homo sapiens	651	BMP3	4q21	4	NC_000004.12	81030622	81057531	plus	3	112263
9606	Homo sapiens	654	BMP6	6p24-p23	6	NC_000006.12	7726778	7881728	plus	7	112266
9606	Homo sapiens	664	BNIP3	10q26.3	10	NC_000010.11	131967683	131982013	minus	6	603293
9606	Homo sapiens	673	BRAF	7q34	7	NC_000007.14	140715951	140924764	minus	22	164757
9606	Homo sapiens	672	BRCA1	17q21	17	NC_000017.11	43044295	43125483	minus	24	113705
9606	Homo sapiens	675	BRCA2	13q12.3	13	NC_000013.11	32314862	32399850	plus	28	600185
9606	Homo sapiens	676	BRDT	1p22.1	1	NC_000001.11	91949371	92014428	plus	22	602144
9606	Homo sapiens	1620	BRINP1	9q32-q33	9	NC_000009.12	119166630	119369461	minus	8	602865
9606	Homo sapiens	83990	BRIP1	17q22.2	17	NC_000017.11	61679186	61863937	minus	24	605882
9606	Homo sapiens	25855	BRMS1	11q13.2	11	NC_000011.10	66337333	66345111	minus	10	606259
9606	Homo sapiens	7832	BTG2	1q32	1	NC_000001.11	203305536	203309602	plus	2	601597
9606	Homo sapiens	11149	BVES	6q21	6	NC_000006.12	105096822	105137174	minus	11	604577
9606	Homo sapiens	56946	C11orf30	11q13.5	11	NC_000011.10	76444928	76552899	plus	23	608574
9606	Homo sapiens	79697	C14orf169	14q24.3	14	NC_000014.9	73490934	73493401	plus	1	611919
9606	Homo sapiens	29071	C1GALT1C1	Xq24	X	NC_000023.11	120625674	120630150	minus	3	300611
9606	Homo sapiens	128602	C20orf85	20q13.32	20	NC_000020.11	58150927	58161130	plus	4	
9606	Homo sapiens	84417	C2orf40	2q12.2	2	NC_000002.12	106063294	106078155	plus	6	611752
9606	Homo sapiens	768	CA9	9p13.3	9	NC_000009.12	35673918	35681159	plus	12	603179
9606	Homo sapiens	91768	CABLES1	18q11.2	18	NC_000018.10	23134564	23260470	plus	12	609194
9606	Homo sapiens	9254	CACNA2D2	3p21.3	3	NC_000003.12	50362613	50504244	minus	40	607082
9606	Homo sapiens	55799	CACNA2D3	3p21.1	3	NC_000003.12	54122593	55074557	plus	43	606399
9606	Homo sapiens	23705	CADM1	11q23.2	11	NC_000011.10	115173625	115504523	minus	12	605686
9606	Homo sapiens	285782	CAGE1	6p24.3	6	NC_000006.12	7326654	7389709	minus	15	608304
9606	Homo sapiens	796	CALCA	11p15.2	11	NC_000011.10	14966669	14972286	minus	6	114130
9606	Homo sapiens	79823	CAMKMT	2p21	2	NC_000002.12	44361904	44772592	plus	17	609559
9606	Homo sapiens	822	CAPG	2p11.2	2	NC_000002.12	85394748	85418467	minus	14	153615
9606	Homo sapiens	10498	CARM1	19p13.2	19	NC_000019.10	10871577	10922775	plus	18	603934
9606	Homo sapiens	834	CASP1	11q23	11	NC_000011.10	105025508	105036662	minus	11	147678
9606	Homo sapiens	839	CASP6	4q25	4	NC_000004.12	109688628	109713904	minus	8	601532
9606	Homo sapiens	841	CASP8	2q33-q34	2	NC_000002.12	201233443	201287711	plus	16	601763
9606	Homo sapiens	9994	CASP8AP2	6q15	6	NC_000006.12	89829900	89874436	plus	10	606880
9606	Homo sapiens	846	CASR	3q13	3	NC_000003.12	122183667	122286503	plus	12	601199
9606	Homo sapiens	847	CAT	11p13	11	NC_000011.10	34438925	34472060	plus	13	115500
9606	Homo sapiens	857	CAV1	7q31.1	7	NC_000007.14	116524785	116561185	plus	4	601047
9606	Homo sapiens	867	CBL	11q23.3	11	NC_000011.10	119206276	119308149	plus	17	165360
9606	Homo sapiens	875	CBS	21q22.3	21	NC_000021.9	43053191	43076868	minus	24	613381
9606	Homo sapiens	10951	CBX1	17q21.32	17	NC_000017.11	48070052	48101521	minus	6	604511
9606	Homo sapiens	11335	CBX3	7p15.2	7	NC_000007.14	26201211	26213607	plus	8	604477
9606	Homo sapiens	23468	CBX5	12q13.13	12	NC_000012.12	54230946	54280131	minus	6	604478
9606	Homo sapiens	23492	CBX7	22q13.1	22	NC_000022.11	39130772	39152662	minus	6	608457
9606	Homo sapiens	55749	CCAR1	10q21.3	10	NC_000010.11	68721144	68792377	plus	25	612569
9606	Homo sapiens	57805	CCAR2	8p22	8	NC_000008.11	22604632	22620471	plus	22	607359
9606	Homo sapiens	57821	CCDC181	1q24	1	NC_000001.11	169394870	169460669	minus	8	
9606	Homo sapiens	6347	CCL2	17q11.2-q12	17	NC_000017.11	34255277	34257203	plus	3	158105
9606	Homo sapiens	6364	CCL20	2q36.3	2	NC_000002.12	227813842	227817564	plus	4	601960
9606	Homo sapiens	10344	CCL26	7q11.23	7	NC_000007.14	75769524	75789746	minus	4	604697
9606	Homo sapiens	8900	CCNA1	13q12.3-q13	13	NC_000013.11	36431030	36442882	plus	11	604036
9606	Homo sapiens	595	CCND1	11q13	11	NC_000011.10	69641105	69654474	plus	6	168461
9606	Homo sapiens	894	CCND2	12p13	12	NC_000012.12	4273733	4305356	plus	6	123833
9606	Homo sapiens	1235	CCR6	6q27	6	NC_000006.12	167111807	167139141	plus	4	601835
9606	Homo sapiens	401145	CCSER1	4q22.1	4	NC_000004.12	90127394	91602219	plus	33	
9606	Homo sapiens	929	CD14	5q31.1	5	NC_000005.10	140631728	140633701	minus	3	158120
9606	Homo sapiens	977	CD151	11p15.5	11	NC_000011.10	832952	838835	plus	9	602243
9606	Homo sapiens	100133941	CD24	6q21	6	NC_000006.12	106969831	106976855	minus	6	600074
9606	Homo sapiens	51293	CD320	19p13.3-p13.2	19	NC_000019.10	8302127	8308356	minus	5	606475
9606	Homo sapiens	947	CD34	1q32	1	NC_000001.11	207881028	207911338	minus	9	142230
9606	Homo sapiens	952	CD38	4p15	4	NC_000004.12	15778298	15849083	plus	8	107270
9606	Homo sapiens	920	CD4	12p13.31	12	NC_000012.12	6789472	6820810	plus	10	186940
9606	Homo sapiens	959	CD40LG	Xq26	X	NC_000023.11	136648177	136660390	plus	5	300386
9606	Homo sapiens	960	CD44	11p13	11	NC_000011.10	35138870	35232402	plus	21	107269
9606	Homo sapiens	970	CD70	19p13	19	NC_000019.10	6585839	6591152	minus	3	602840
9606	Homo sapiens	975	CD81	11p15.5	11	NC_000011.10	2376177	2397419	plus	10	186845
9606	Homo sapiens	3732	CD82	11p11.2	11	NC_000011.10	44564427	44620363	plus	13	600623
9606	Homo sapiens	942	CD86	3q21	3	NC_000003.12	122055362	122121143	plus	8	601020
9606	Homo sapiens	999	CDH1	16q22.1	16	NC_000016.10	68737292	68835542	plus	18	192090
9606	Homo sapiens	1012	CDH13	16q23.3	16	NC_000016.10	82626794	83796610	plus	20	601364
9606	Homo sapiens	1001	CDH3	16q22.1	16	NC_000016.10	68644248	68727577	plus	18	114021
9606	Homo sapiens	1002	CDH4	20q13.3	20	NC_000020.11	61252426	61940617	plus	18	603006
9606	Homo sapiens	8558	CDK10	16q24	16	NC_000016.10	89672247	89696364	plus	21	603464
9606	Homo sapiens	8099	CDK2AP1	12q24.31	12	NC_000012.12	123260970	123272316	minus	8	602198
9606	Homo sapiens	1019	CDK4	12q14	12	NC_000012.12	57747727	57752447	minus	8	123829
9606	Homo sapiens	1021	CDK6	7q21-q22	7	NC_000007.14	92604921	92836627	minus	11	603368
9606	Homo sapiens	1025	CDK9	9q34.1	9	NC_000009.12	127786026	127790773	plus	7	603251
9606	Homo sapiens	1026	CDKN1A	6p21.2	6	NC_000006.12	36676460	36687339	plus	6	116899
9606	Homo sapiens	1027	CDKN1B	12p13.1-p12	12	NC_000012.12	12717270	12722383	plus	3	600778
9606	Homo sapiens	1028	CDKN1C	11p15.5	11	NC_000011.10	2883218	2885816	minus	4	600856
9606	Homo sapiens	1029	CDKN2A	9p21	9	NC_000009.12	21967752	21995043	minus	12	600160
9606	Homo sapiens	1030	CDKN2B	9p21	9	NC_000009.12	22002903	22009313	minus	2	600431
9606	Homo sapiens	100048912	CDKN2B-AS1	9p21.3	9	NC_000009.12	21994791	22121097	plus	21	613149
9606	Homo sapiens	1031	CDKN2C	1p32	1	NC_000001.11	50968695	50974637	plus	3	603369
9606	Homo sapiens	1036	CDO1	5q23.2	5	NC_000005.10	115804733	115816954	minus	6	603943
9606	Homo sapiens	1044	CDX1	5q32	5	NC_000005.10	150166781	150184558	plus	3	600746
9606	Homo sapiens	1045	CDX2	13q12.3	13	NC_000013.11	27960057	27969368	minus	5	600297
9606	Homo sapiens	1050	CEBPA	19q13.1	19	NC_000019.10	33299934	33302564	minus	1	116897
9606	Homo sapiens	1051	CEBPB	20q13.1	20	NC_000020.11	50190583	50192690	plus	1	189965
9606	Homo sapiens	1052	CEBPD	8p11.2-p11.1	8	NC_000008.11	47736914	47738164	minus	1	116898
9606	Homo sapiens	1059	CENPB	20p13	20	NC_000020.11	3783851	3786690	minus	1	117140
9606	Homo sapiens	1066	CES1	16q22.2	16	NC_000016.10	55802851	55833186	minus	15	114835
9606	Homo sapiens	1072	CFL1	11q13	11	NC_000011.10	65854811	65858333	minus	4	601442
9606	Homo sapiens	1080	CFTR	7q31.2	7	NC_000007.14	117478340	117668665	plus	33	602421
9606	Homo sapiens	1082	CGB	19q13.32	19	NC_000019.10	49022869	49024375	minus	3	118860
9606	Homo sapiens	93659	CGB5	19q13.32	19	NC_000019.10	49043845	49045311	plus	3	608825
9606	Homo sapiens	1105	CHD1	5q15-q21	5	NC_000005.10	98855204	98928623	minus	37	602118
9606	Homo sapiens	26038	CHD5	1p36.31	1	NC_000001.11	6101787	6180134	minus	42	610771
9606	Homo sapiens	11200	CHEK2	22q12.1	22	NC_000022.11	28687743	28741905	minus	22	604373
9606	Homo sapiens	55743	CHFR	12q24.33	12	NC_000012.12	132840352	132887618	minus	19	605209
9606	Homo sapiens	1128	CHRM1	11q13	11	NC_000011.10	62908679	62921861	minus	3	118510
9606	Homo sapiens	1139	CHRNA7	15q14	15	NC_000015.10	32030483	32172521	plus	13	118511
9606	Homo sapiens	1147	CHUK	10q24-q25	10	NC_000010.11	100186113	100229610	minus	23	600664
9606	Homo sapiens	1149	CIDEA	18	18	NC_000018.10	12254319	12277595	plus	6	604440
9606	Homo sapiens	4261	CIITA	16p13	16	NC_000016.10	10866212	10941449	plus	29	600005
9606	Homo sapiens	1154	CISH	3p21.3	3	NC_000003.12	50606454	50611831	minus	4	602441
9606	Homo sapiens	10370	CITED2	6q23.3	6	NC_000006.12	139372255	139374650	minus	4	602937
9606	Homo sapiens	9076	CLDN1	3q28-q29	3	NC_000003.12	190305701	190322446	minus	4	603718
9606	Homo sapiens	51208	CLDN18	3q22.3	3	NC_000003.12	137998816	138033652	plus	6	609210
9606	Homo sapiens	9074	CLDN6	16p13.3	16	NC_000016.10	3014712	3018187	minus	2	615798
9606	Homo sapiens	9575	CLOCK	4q12	4	NC_000004.12	55427901	55546909	minus	27	601851
9606	Homo sapiens	1191	CLU	8p21-p12	8	NC_000008.11	27596917	27615031	minus	11	185430
9606	Homo sapiens	146225	CMTM2	16q21	16	NC_000016.10	66579448	66588275	plus	4	607885
9606	Homo sapiens	112616	CMTM7	3p22.3	3	NC_000003.12	32391671	32454841	plus	6	607890
9606	Homo sapiens	7555	CNBP	3q21	3	NC_000003.12	129167815	129183967	minus	5	116955
9606	Homo sapiens	29883	CNOT7	8p22-p21.3	8	NC_000008.11	17226030	17246878	minus	10	604913
9606	Homo sapiens	1268	CNR1	6q14-q15	6	NC_000006.12	88139864	88166745	minus	6	114610
9606	Homo sapiens	1277	COL1A1	17q21.33	17	NC_000017.11	50184096	50201648	minus	51	120150
9606	Homo sapiens	1278	COL1A2	7q22.1	7	NC_000007.14	94394561	94431232	plus	52	120160
9606	Homo sapiens	1312	COMT	22q11.21	22	NC_000022.11	19941740	19969975	plus	11	116790
9606	Homo sapiens	118881	COMTD1	10q22.2	10	NC_000010.11	75233971	75236057	minus	7	
63221	Homo sapiens neanderthalensis	6775079	COX2		MT	NC_011137.1	7581	8264	plus	0	
9606	Homo sapiens	1373	CPS1	2q35	2	NC_000002.12	210477682	210679107	plus	43	608307
9606	Homo sapiens	1381	CRABP1	15q24	15	NC_000015.10	78340324	78348230	plus	4	180230
9606	Homo sapiens	1382	CRABP2	1q21.3	1	NC_000001.11	156699606	156705816	minus	5	180231
9606	Homo sapiens	1385	CREB1	2q34	2	NC_000002.12	207529892	207605560	plus	15	123810
9606	Homo sapiens	1387	CREBBP	16p13.3	16	NC_000016.10	3725054	3880120	minus	34	600140
9606	Homo sapiens	1390	CREM	10p11.21	10	NC_000010.11	35126841	35212958	plus	18	123812
9606	Homo sapiens	1401	CRP	1q23.2	1	NC_000001.11	159712289	159714609	minus	3	123260
9606	Homo sapiens	1407	CRY1	12q23-q24.1	12	NC_000012.12	106991364	107093857	minus	14	601933
9606	Homo sapiens	102723547	CSAG2	Xq28	X	NC_000023.11	152708261	152714012	minus	5	
9606	Homo sapiens	64478	CSMD1	8p23.2	8	NC_000008.11	2935353	4994806	minus	72	608397
9606	Homo sapiens	1457	CSNK2A1	20p13	20	NC_000020.11	472969	543838	minus	16	115440
9606	Homo sapiens	1464	CSPG4	15q24.2	15	NC_000015.10	75674322	75712848	minus	10	601172
9606	Homo sapiens	1465	CSRP1	1q32	1	NC_000001.11	201483530	201507259	minus	8	123876
9606	Homo sapiens	1474	CST6	11q13	11	NC_000011.10	66011991	66013505	plus	3	601891
9606	Homo sapiens	10664	CTCF	16q21-q22.3	16	NC_000016.10	67562407	67639185	plus	12	604167
9606	Homo sapiens	140690	CTCFL	20q13.31	20	NC_000020.11	57495965	57525652	minus	16	607022
9606	Homo sapiens	9150	CTDP1	18q23	18	NC_000018.10	79679801	79754510	plus	14	604927
9606	Homo sapiens	1490	CTGF	6q23.1	6	NC_000006.12	131948176	131951378	minus	5	121009
9606	Homo sapiens	1493	CTLA4	2q33	2	NC_000002.12	203867788	203873960	plus	4	123890
9606	Homo sapiens	1495	CTNNA1	5q31.2	5	NC_000005.10	138753396	138935034	plus	22	116805
9606	Homo sapiens	1499	CTNNB1	3p21	3	NC_000003.12	41199451	41240448	plus	17	116806
9606	Homo sapiens	8451	CUL4A	13q34	13	NC_000013.11	113208193	113265078	plus	24	603137
9606	Homo sapiens	8450	CUL4B	Xq23	X	NC_000023.11	120524589	120575829	minus	26	300304
9606	Homo sapiens	6387	CXCL12	10q11.1	10	NC_000010.11	44370153	44385097	minus	6	600835
9606	Homo sapiens	9547	CXCL14	5q31	5	NC_000005.10	135570679	135579279	minus	4	604186
9606	Homo sapiens	2920	CXCL2	4q21	4	NC_000004.12	74097035	74099280	minus	4	139110
9606	Homo sapiens	3576	CXCL8	4q13-q21	4	NC_000004.12	73740506	73743716	plus	4	146930
9606	Homo sapiens	7852	CXCR4	2q21	2	NC_000002.12	136114349	136118155	minus	2	162643
9606	Homo sapiens	114757	CYGB	17q25	17	NC_000017.11	76527348	76557597	minus	7	608759
9606	Homo sapiens	1588	CYP19A1	15q21.1	15	NC_000015.10	51208057	51338598	minus	13	107910
9606	Homo sapiens	1543	CYP1A1	15q24.1	15	NC_000015.10	74719542	74725610	minus	7	108330
9606	Homo sapiens	1544	CYP1A2	15q24.1	15	NC_000015.10	74748843	74756600	plus	7	124060
9606	Homo sapiens	1545	CYP1B1	2p22.2	2	NC_000002.12	38067603	38076181	minus	3	601771
9606	Homo sapiens	1591	CYP24A1	20q13	20	NC_000020.11	54153449	54173985	minus	12	126065
9606	Homo sapiens	56603	CYP26B1	2p13.2	2	NC_000002.12	72129238	72147862	minus	8	605207
9606	Homo sapiens	1594	CYP27B1	12q14.1	12	NC_000012.12	57762334	57767193	minus	9	609506
9606	Homo sapiens	1553	CYP2A13	19q13.2	19	NC_000019.10	41088451	41096195	plus	9	608055
9606	Homo sapiens	1565	CYP2D6	22q13.1	22	NC_000022.11	42125656	42135378	minus	12	124030
9606	Homo sapiens	1571	CYP2E1	10q26.3	10	NC_000010.11	133527363	133539116	plus	9	124040
9606	Homo sapiens	120227	CYP2R1	11p15.2	11	NC_000011.10	14877436	14894034	minus	9	608713
9606	Homo sapiens	54905	CYP2W1	7p22.3	7	NC_000007.14	983156	989640	plus	10	615967
9606	Homo sapiens	1576	CYP3A4	7q21.1	7	NC_000007.14	99756960	99784188	minus	14	124010
9606	Homo sapiens	9595	CYTIP	2q11.2	2	NC_000002.12	157414619	157444092	minus	8	604448
9606	Homo sapiens	1601	DAB2	5p13.1	5	NC_000005.10	39371674	39425233	minus	15	601236
9606	Homo sapiens	153090	DAB2IP	9q33.1-q33.3	9	NC_000009.12	121566883	121785530	plus	26	609205
9606	Homo sapiens	1602	DACH1	13q22	13	NC_000013.11	71437966	71869113	minus	15	603803
9606	Homo sapiens	168002	DACT2	6q27	6	NC_000006.12	168292830	168319754	minus	9	608966
9606	Homo sapiens	1612	DAPK1	9q21.33	9	NC_000009.12	87497228	87708634	plus	29	600831
9606	Homo sapiens	23604	DAPK2	15q22.31	15	NC_000015.10	63907036	64046455	minus	18	
9606	Homo sapiens	1616	DAXX	6p21.3	6	NC_000006.12	33318558	33323016	minus	8	603186
9606	Homo sapiens	1618	DAZL	3p24.3	3	NC_000003.12	16586792	16605499	minus	12	601486
9606	Homo sapiens	1630	DCC	18q21.3	18	NC_000018.10	52340172	53535903	plus	33	120470
9606	Homo sapiens	1633	DCK	4q13.3-q21.1	4	NC_000004.12	70993548	71030914	plus	7	125450
9606	Homo sapiens	1642	DDB1	11q12-q13	11	NC_000011.10	61299447	61333212	minus	27	600045
9606	Homo sapiens	1643	DDB2	11p12-p11	11	NC_000011.10	47214942	47239218	plus	10	600811
9606	Homo sapiens	1649	DDIT3	12q13.1-q13.2	12	NC_000012.12	57516588	57521698	minus	5	126337
9606	Homo sapiens	780	DDR1	6p21.3	6	NC_000006.12	30880909	30900156	plus	23	600408
9606	Homo sapiens	168400	DDX53	Xp22.11	X	NC_000023.11	22999961	23002089	plus	1	
9606	Homo sapiens	1674	DES	2q35	2	NC_000002.12	219418377	219426739	plus	9	125660
9606	Homo sapiens	1687	DFNA5	7p15	7	NC_000007.14	24698355	24758020	minus	11	608798
9606	Homo sapiens	1718	DHCR24	1p32.3	1	NC_000001.11	54849627	54887248	minus	9	606418
9606	Homo sapiens	1719	DHFR	5q14.1	5	NC_000005.10	80626226	80654981	minus	6	126060
9606	Homo sapiens	57609	DIP2B	12q13.12	12	NC_000012.12	50504985	50748667	plus	40	611379
9606	Homo sapiens	9077	DIRAS3	1p31	1	NC_000001.11	68045962	68051733	minus	3	605193
9606	Homo sapiens	1736	DKC1	Xq28	X	NC_000023.11	154762742	154777689	plus	14	300126
