Chrosome	Start	End	CpG loci	Gene Symbol	CpG Island	Probe type	P-value	Median(Case)	Median(Normal)	Delta	Ratio
chr6	52149509	52149703	cg25083312	MCM3	Island	I	9.20E-54	0.05892743	0.0276245	0.03130293	2.133158247
chr6	31707746	31708094	cg02737149	MSH5	Island	I	1.38E-47	0.05535891	0.0276418	0.02771711	2.002724497
chr6	31707746	31708094	cg02737149	MSH5	Island	I	1.38E-47	0.05535891	0.0276418	0.02771711	2.002724497
chr6	31707746	31708094	cg03605661	MSH5	Island	I	4.38E-50	0.049713525	0.02529515	0.024418375	1.965338217
chr6	31707746	31708094	cg03605661	MSH5	Island	I	4.38E-50	0.049713525	0.02529515	0.024418375	1.965338217
chr14	24563777	24563891	cg14089728	PCK2	Island	I	1.76E-54	0.03344437	0.01757245	0.01587192	1.903227495
chr6	31707746	31708094	cg02563952	MSH5	Island	I	2.62E-57	0.06059601	0.0328662	0.02772981	1.843718166
chr6	31707746	31708094	cg02563952	MSH5	Island	I	2.62E-57	0.06059601	0.0328662	0.02772981	1.843718166
chr16	3185250	3185359	cg03097541	ZNF213	Island	I	1.56E-47	0.05136703	0.03037135	0.02099568	1.691298872
chr15	66797218	66797971	cg02025578	ZWILCH	NA	I	7.49E-15	0.03965373	0.02381915	0.01583458	1.664783588
chr8	17780325	17780417	cg20533955	PCM1	Island	I	4.02E-59	0.05755834	0.034712	0.02284634	1.658168357
chr15	66797218	66797971	cg27573093	ZWILCH	NA	I	5.62E-55	0.1250865	0.0776973	0.0473892	1.609920808
chr8	64080846	64080965	cg05190994	YTHDF3	Island	II	6.11E-51	0.069296195	0.04322125	0.026074945	1.603289933
chr15	66797218	66797971	cg11136251	ZWILCH	NA	II	1.18E-42	0.073756675	0.0464835	0.027273175	1.586728086
chr6	31707746	31708094	cg23822086	MSH5	Island	I	1.19E-41	0.04544071	0.02911115	0.01632956	1.560938335
chr6	31707746	31708094	cg23822086	MSH5	Island	I	1.19E-41	0.04544071	0.02911115	0.01632956	1.560938335
chr6	52149509	52149703	cg25420070	MCM3	Island	II	8.98E-25	0.069159395	0.0459459	0.023213495	1.505235396
chr15	66797218	66797971	cg16035638	RPL4	NA	II	1.09E-34	0.12935805	0.08717735	0.0421807	1.483849303
chr2	112813381	112813819	cg06723287	TMEM87B	Island	II	1.74E-47	0.061815195	0.04171035	0.020104845	1.48201094
chr5	88179963	88180074	cg25611476	MEF2C	Island	II	7.95E-36	0.10294255	0.0706187	0.03232385	1.457723662
chr5	88179963	88180074	cg25611476	MEF2C	Island	II	7.95E-36	0.10294255	0.0706187	0.03232385	1.457723662
chr17	42852244	42852455	cg12834820	ADAM11	N_Shore	II	3.27E-46	0.095087325	0.06621485	0.028872475	1.436042293
chr1	36397196	36397486	cg11089071	EIF2C3	Island	II	2.77E-37	0.10056485	0.07132535	0.0292395	1.409945412
chr15	66797218	66797971	cg18864581	ZWILCH	NA	II	1.63E-29	0.11377695	0.08091015	0.0328668	1.406213559
chr8	17780325	17780417	cg00676572	PCM1	Island	II	2.95E-05	0.082728675	0.05889175	0.023836925	1.404758307
chr6	52149509	52149703	cg07837434	MCM3	Island	II	1.13E-40	0.058815275	0.0423674	0.016447875	1.38822007
chr5	133702645	133702765	cg04836188	CDKL3	Island	II	8.53E-40	0.07881943	0.0568966	0.02192283	1.385310019
chr11	69517273	69517372	cg23167906	FGF19	N_Shore	I	1.28E-64	0.2274099	0.1642193	0.0631906	1.384793992
chr6	31707746	31708094	cg15984741	MSH5	Island	II	1.30E-42	0.097569985	0.07208175	0.025488235	1.353601779
chr6	31707746	31708094	cg15984741	MSH5	Island	II	1.30E-42	0.097569985	0.07208175	0.025488235	1.353601779
chr4	184366132	184366238	cg08276984	CDKN2AIP	Island	II	5.51E-19	0.07569276	0.0570464	0.01864636	1.326863045
chr12	125398614	125398950	cg09467020	UBC	Island	II	2.32E-10	0.12537425	0.0946064	0.03076785	1.325219541
chr14	24563777	24563891	cg22454119	PCK2	Island	II	5.70E-40	0.11170765	0.0859823	0.02572535	1.299193555
chr15	66797218	66797971	cg11846912	ZWILCH	NA	II	2.03E-11	0.11043105	0.09321055	0.0172205	1.1847484
chr6	31707746	31708094	cg21485120	MSH5	Island	I	1.20E-64	0.3297501	0.28343775	0.04631235	1.163395137
chr6	31707746	31708094	cg21485120	MSH5	Island	I	1.20E-64	0.3297501	0.28343775	0.04631235	1.163395137
chr10	115323240	115323363	NA	HABP2	NA	NA	NA	NA	NA	NA	NA
chr17	34136750	34136814	NA	TAF15	NA	NA	NA	NA	NA	NA	NA
chr19	17346727	17346825	NA	NR2F6	NA	NA	NA	NA	NA	NA	NA
chr5	133859933	133860087	NA	JADE2	NA	NA	NA	NA	NA	NA	NA
chr9	707234	707312	NA	KANK1	NA	NA	NA	NA	NA	NA	NA
