	coef	exp.coef.	se.coef.	z	Pr...z..	V1	V2	V3	V4	V5	V6	V7	V8
cg00074184	-1.07334080819974	0.341864503780233	0.180270990093526	-5.95404067866319	2.61601735041135e-09	chr1	116519323	116519324	cg00074184	SLC22A15	R	Island	II
cg00092518	14.0086452987555	1213046.22931683	2453.03378237954	0.00571074291735458	0.995443511162022	chr13	50070550	50070551	cg00092518	PHF11	F	Island	I
cg00157796	0.341622419717834	1.40722885532111	0.203642743340443	1.67755754078956	0.0934335075221851	chr6	159590231	159590232	cg00157796	FNDC1	F	Island	I
cg00173141	-1.5091290929419	0.221102453820515	0.186572539243016	-8.08869889998236	6.03054455113897e-16	chr1	210466172	210466173	cg00173141	NA	R	Island	I
cg00177496	-1.72193648848771	0.178719723908828	0.19702129784528	-8.73984948490157	2.33421204821241e-18	chr3	197283127	197283128	cg00177496	BDH1	F	Island	II
cg00215432	-1.73091758774213	0.177121810579431	0.245186259142114	-7.05960274363851	1.66979276484021e-12	chr2	219866437	219866438	cg00215432	MIR375	R	Island	I
cg00227781	-1.80389448590106	0.164656385952032	0.190601378010304	-9.4642258347342	2.95743610950492e-21	chr17	72450036	72450037	cg00227781	NA	R	Island	I
cg00231140	-1.52569029502414	0.217470885969605	0.188231359686451	-8.10539910865851	5.25726533349506e-16	chr18	47339702	47339703	cg00231140	ACAA2	R	Island	II
cg00238897	-1.64498304789227	0.193015834791253	0.187047310423087	-8.79447581561822	1.43717321009211e-18	chr2	10444450	10444451	cg00238897	HPCAL1	R	Island	I
cg00244040	-0.130881532268886	0.877321702546414	0.34742469478512	-0.376719140099799	0.70638233731276	chr14	61788914	61788915	cg00244040	PRKCH	F	Island	II
cg00246386	-0.522189265911603	0.593220408096014	0.371101420485962	-1.4071335680359	0.159387785922291	chr20	2674548	2674549	cg00246386	EBF4	F	Island	I
cg00254802	-1.0009880162956	0.367516149787205	0.225579706875406	-4.43740277066888	9.10508271467516e-06	chr16	12897478	12897479	cg00254802	CPPED1	F	Island	I
cg00265863	-1.40878322905373	0.244440530411345	0.192488335746513	-7.31879790840394	2.50202057276685e-13	chr1	28286348	28286349	cg00265863	XKR8	R	Island	II
cg00268500	-1.10479648631316	0.33127829504923	0.18522141340597	-5.96473413088398	2.45032687925797e-09	chr2	64067540	64067541	cg00268500	UGP2	F	N_Shore	II
cg00281977	0.294695628796133	1.34271761190807	0.183626244263386	1.60486661358402	0.108523162331458	chr10	135333901	135333902	cg00281977	NA	F	Island	I
cg00318756	-0.634380767681846	0.530263743120974	0.210573823190914	-3.01262881619761	0.00258995489668602	chr1	67773020	67773021	cg00318756	IL12RB2	R	N_Shore	I
cg00323305	-1.60904462239785	0.200078673476984	0.215554365096591	-7.46468122636637	8.35015157621824e-14	chr3	24537182	24537183	cg00323305	THRB	R	Island	I
cg00325866	-1.68860515967996	0.184777078847079	0.18839064740514	-8.96331735645329	3.15054199270298e-19	chr15	62359130	62359131	cg00325866	C2CD4A	F	N_Shore	II
cg00329270	-1.34469292420565	0.260619725582851	0.184777845110974	-7.27734931316063	3.40442931003614e-13	chr3	134369919	134369920	cg00329270	KY	F	Island	I
cg00329697	-0.301546246610124	0.739673618166201	0.189033740391021	-1.59519801061106	0.110667963500428	chr1	45286062	45286063	cg00329697	PTCH2	R	CpG_Ocean	I
cg00330492	-0.898339706817873	0.407245245254546	0.181094489320757	-4.96061315939174	7.02710105536214e-07	chr15	28352558	28352559	cg00330492	NA	R	Island	I
cg00339300	-1.6367148280541	0.194618347981797	0.188910401291824	-8.66397412139175	4.55596848262979e-18	chr1	61508924	61508925	cg00339300	NA	R	Island	I
cg00347757	-2.64941456596287	0.0706925867949345	1.01661200428014	-2.60612166176309	0.00915739284091707	chr13	20768560	20768561	cg00347757	GJB2	R	S_Shore	I
cg00361495	-1.39442090412074	0.247976597021013	0.195416803673921	-7.13562435729692	9.63488051328708e-13	chr7	28995458	28995459	cg00361495	TRIL	R	Island	I
cg00370303	-1.20711737869556	0.299058109387798	0.182123951558475	-6.62799905430333	3.4026765026769e-11	chr12	133066056	133066057	cg00370303	FBRSL1	R	Island	I
cg00376022	-0.370858358065077	0.690141687640162	0.182625872786666	-2.03069999012843	0.0422854373616541	chr7	19183880	19183881	cg00376022	NA	R	N_Shore	II
cg00397324	-1.1147054487004	0.328011880997585	0.179704413778459	-6.20299426854712	5.5398857864689e-10	chr21	42798594	42798595	cg00397324	MX1	F	Island	I
cg00399374	-0.117988513931156	0.888706260297282	0.190052356403863	-0.620821105108683	0.534717335314558	chr8	82644943	82644944	cg00399374	CHMP4C	F	S_Shore	I
cg00414898	-0.100306031882005	0.904560551305194	0.199741000979304	-0.502180480673558	0.615540572028444	chr15	89950542	89950543	cg00414898	NA	F	Island	II
cg00419092	-1.41409080919241	0.243146579618401	0.22844579650194	-6.19004959095584	6.01452898235844e-10	chr12	65003003	65003004	cg00419092	RASSF3	R	N_Shore	II
cg00440043	-1.60162190585716	0.201569326258403	0.186935088711964	-8.56779707273143	1.05483468375221e-17	chr10	31607300	31607301	cg00440043	ZEB1	R	Island	I
cg00448752	-1.5976544041503	0.202370641462975	0.189042093735984	-8.45131564391992	2.88038368192298e-17	chr1	101775370	101775371	cg00448752	NA	R	CpG_Ocean	I
cg00455424	-1.33946828563212	0.261984932705565	0.212693639013774	-6.29764148962336	3.02208470879609e-10	chr1	65468815	65468816	cg00455424	NA	F	Island	I
cg00456086	-1.9838848973835	0.137533893044196	0.201961363436517	-9.8230912270856	8.95544357814165e-23	chr3	197283111	197283112	cg00456086	BDH1	R	Island	I
cg00458878	-0.663779320855769	0.514901673980864	0.460004049612601	-1.44298582026567	0.149024465689392	chr7	27260285	27260286	cg00458878	NA	F	Island	I
cg00469207	-1.23569020242242	0.29063409676825	0.181560542845686	-6.80594022828335	1.00391389928918e-11	chr7	152622455	152622456	cg00469207	NA	R	Island	I
cg00487737	-1.60992147276881	0.199903311312349	0.292794713437108	-5.49846496157665	3.83111643955394e-08	chr19	11689726	11689727	cg00487737	ACP5	F	Island	I
cg00498591	-0.350314240946393	0.704466682655893	1.00769675393001	-0.347638552550825	0.728111649298619	chr3	9904557	9904558	cg00498591	NA	F	Island	I
cg00507727	-1.71302576815323	0.180319361765241	0.201957485186072	-8.48211080948523	2.21144801329989e-17	chr7	8302191	8302192	cg00507727	ICA1	F	Island	I
cg00511596	0.00396166658773606	1.00396952436201	0.179432672329183	0.0220788473821984	0.982385059707023	chr10	16478834	16478835	cg00511596	PTER	R	Island	I
cg00519002	-0.912559431034773	0.401495308323472	0.179645826023809	-5.07976974045491	3.77892612850057e-07	chr16	56659338	56659339	cg00519002	MT1E	R	Island	I
cg00527440	-1.33022394069579	0.264418040709104	0.230695703033855	-5.76614095192132	8.11072334054343e-09	chr2	242549864	242549865	cg00527440	THAP4	F	Island	II
cg00547441	-0.22938037985346	0.795026064084351	0.207882249096296	-1.10341494211565	0.269847010742407	chr7	50344724	50344725	cg00547441	IKZF1	R	S_Shore	II
cg00563229	-1.3969322647318	0.247354619694366	0.192136260496455	-7.27052905642231	3.580822748938e-13	chr1	28286146	28286147	cg00563229	XKR8	R	Island	II
cg00591844	-0.603514625843769	0.546886154190737	0.180613181196063	-3.3414760863363	0.000833341947741847	chr2	136875905	136875906	cg00591844	CXCR4	R	N_Shore	II
cg00604454	-0.77202075246714	0.462078378217839	0.244808624983771	-3.15356843541897	0.0016128740686637	chr16	73096966	73096967	cg00604454	NA	F	Island	I
cg00611485	-1.61719588537527	0.198454408492239	0.187442646524658	-8.62768380280272	6.26068749474882e-18	chr16	25078439	25078440	cg00611485	NA	R	Island	I
cg00624212	-1.57448793841163	0.207113580441437	0.203261229792977	-7.74613014009242	9.47354179437145e-15	chr3	47020760	47020761	cg00624212	NBEAL2	F	N_Shore	II
cg00630724	-0.330131881598533	0.718828926872496	0.180587130596688	-1.82810303540305	0.0675340894959799	chr10	103991299	103991300	cg00630724	PITX3	R	Island	I
cg00655913	-0.601015491316013	0.54825460552117	0.182430607626741	-3.29448823930746	0.000986010706253455	chr1	228633920	228633921	cg00655913	NA	F	Island	II
cg00661753	-1.5491581593345	0.212426728033004	0.183613131973249	-8.43707714522401	3.25371718494758e-17	chr20	2853149	2853150	cg00661753	PTPRA	R	Island	II
cg00670742	-1.29893213125746	0.272822976662418	0.186269885006109	-6.97338773369007	3.09398355620468e-12	chr2	87034831	87034832	cg00670742	CD8A	R	Island	I
cg00672333	-0.89265788848471	0.409565724784015	0.305778641650729	-2.91929444014057	0.00350824685099617	chr17	36728456	36728457	cg00672333	SRCIN1	F	N_Shore	I
cg00673251	-0.12542083656798	0.882125593752506	0.223953509724101	-0.560030681021661	0.575458510611379	chr10	11784140	11784141	cg00673251	ECHDC3	R	N_Shore	I
cg00675569	-1.17368886376546	0.309224149000244	0.183088444456236	-6.41050213327912	1.45041124533839e-10	chr10	45914840	45914841	cg00675569	ALOX5	R	Island	I
cg00687252	-1.16165463984012	0.312967903058205	0.422872446569226	-2.747056823552	0.00601327151633079	chr6	30712060	30712061	cg00687252	IER3	F	Island	I
cg00715047	-1.23878139306543	0.28973707850929	0.218526299852468	-5.66879773236336	1.43803008486228e-08	chr17	73522054	73522055	cg00715047	LLGL2	F	Island	I
cg00747619	0.0865315880489141	1.0903858103341	0.180338665643984	0.479828259457905	0.631349516763795	chr16	12897686	12897687	cg00747619	CPPED1	F	Island	I
cg00748373	-1.17976366039896	0.307351369318039	0.19942667220092	-5.91577669816585	3.3031309848118e-09	chr16	68676741	68676742	cg00748373	CDH3	F	Island	I
cg00769775	-1.27990059020514	0.278064941458067	0.183820007512456	-6.96279261178033	3.33592737630779e-12	chr12	125412987	125412988	cg00769775	NA	R	Island	I
cg00781110	-1.52739649698599	0.217100153079848	0.21533311790055	-7.09317968307783	1.31065103252693e-12	chr15	74421535	74421536	cg00781110	LOC283731	R	Island	I
cg00783553	-0.408224306352324	0.664829736563124	0.284823505117139	-1.43325357289046	0.151785384634542	chr1	7023495	7023496	cg00783553	CAMTA1	F	S_Shore	I
cg00800993	-1.40375723268002	0.245672180171708	0.184729539077477	-7.59898627848183	2.98459420362172e-14	chr20	58514806	58514807	cg00800993	C20orf177	R	Island	I
cg00802728	-0.577401937183382	0.561354908967692	0.204499553500989	-2.82348752013578	0.00475042753256119	chr12	113906079	113906080	cg00802728	LHX5	R	Island	I
cg00803088	-0.759455084023602	0.467921335363122	0.181689515432284	-4.17996097472477	2.9155912668169e-05	chr10	43600706	43600707	cg00803088	RET	F	Island	I
cg00803816	-1.53862079760069	0.214676980347989	0.184502774230402	-8.33928272362619	7.47425148880258e-17	chr17	67323768	67323769	cg00803816	ABCA5	R	Island	II
cg00811132	-1.17473256009438	0.308901581251787	0.200764652627293	-5.85129177233801	4.87769677641137e-09	chr22	19511707	19511708	cg00811132	CLDN5	F	Island	II
cg00812299	-1.10106733731778	0.332515987505859	0.186181824980192	-5.91393567785105	3.34028371867338e-09	chr1	61508853	61508854	cg00812299	NA	R	Island	I
cg00817367	-1.42783504042207	0.239827577618431	0.226768179829333	-6.29645235718992	3.04534821488834e-10	chr12	52401214	52401215	cg00817367	GRASP	F	Island	I
cg00865356	2.76033406715544	15.8051220385868	0.233698737534408	11.8115061137163	3.40408233642482e-32	chr4	91048559	91048560	cg00865356	FAM190A	F	Island	I
cg00875805	-1.67864326779274	0.186627007224263	0.205260141097515	-8.17812585929797	2.88292563698949e-16	chr4	140656749	140656750	cg00875805	MAML3	F	Island	I
cg00880018	0.435677714675101	1.54601045796763	0.185017485352207	2.35479210976048	0.018533070867083	chr13	43149171	43149172	cg00880018	TNFSF11	R	Island	II
cg00880074	-1.04543370798501	0.351539320900034	0.18351777263104	-5.69663468010175	1.2219537005203e-08	chr8	124172962	124172963	cg00880074	NA	F	Island	II
cg00893471	0.737235861789324	2.09015005863507	0.192298263543109	3.83381445160087	0.000126171329222115	chr2	177029921	177029922	cg00893471	HOXD3	R	Island	II
cg00896540	-1.03871799864176	0.35390810192153	0.182388733801937	-5.69507763439899	1.23315796128084e-08	chr8	82193472	82193473	cg00896540	FABP5	F	Island	II
cg00926215	0.58832149040935	1.80096294339341	0.191974702143067	3.0645782170346	0.00217977167835796	chr2	223162049	223162050	cg00926215	PAX3	R	N_Shore	I
cg00941258	-1.41344834266161	0.243302843349619	0.202962723410018	-6.96407852099131	3.30560209846495e-12	chr11	68611328	68611329	cg00941258	NA	F	Island	II
cg00948524	-1.71530102162814	0.179909555893698	0.188039045258443	-9.12204706884468	7.37184989896682e-20	chr17	29297757	29297758	cg00948524	RNF135	F	N_Shore	II
cg00959636	-1.62713285529256	0.196492138659979	0.187680520291715	-8.66969493031819	4.33279682251887e-18	chr6	134499464	134499465	cg00959636	SGK1	R	S_Shore	II
cg00960700	-0.424469629161662	0.654116617525631	0.183191657183343	-2.31707947669714	0.0204994027696113	chr17	80709150	80709151	cg00960700	TBCD	R	Island	I
cg00963169	0.284164503408804	1.32865148047387	0.179434063432983	1.58367089265042	0.113268631935793	chr1	50513927	50513928	cg00963169	ELAVL4	F	Island	I
cg00976453	-1.80961292021223	0.163717496273039	0.190549965376866	-9.49678955140829	2.16460919171628e-21	chr20	48099479	48099480	cg00976453	KCNB1	F	Island	I
cg00990613	-1.90096844638934	0.149423840150091	0.593015221607683	-3.20559806413695	0.00134782111744874	chr8	23082810	23082811	cg00990613	TNFRSF10A	F	Island	I
cg00997280	0.173717907866637	1.18971990785244	0.714230857244225	0.243223750562818	0.807832068918705	chr2	111876752	111876753	cg00997280	NA	F	Island	I
cg01016553	0.0296698799192495	1.03011441636247	0.179945703151855	0.164882402855773	0.869036543307117	chr1	51810627	51810628	cg01016553	TTC39A	F	Island	I
cg01048962	0.0742961103179167	1.07712570631431	0.457342531050918	0.162451784545805	0.870950094200494	chr19	21646470	21646471	cg01048962	NA	F	Island	I
cg01054622	-1.3631676516093	0.255849051341104	0.184598232827879	-7.38451084133798	1.53014888090772e-13	chr1	21044691	21044692	cg01054622	KIF17	F	Island	I
cg01054755	0.945773420823714	2.57480401573173	0.196992015806981	4.80107489102712	1.5781623070248e-06	chr5	138728685	138728686	cg01054755	LOC389333	R	Island	I
cg01092293	-0.278735509240344	0.756740027493104	0.211440554687826	-1.31826890849711	0.187413645128607	chr2	160761427	160761428	cg01092293	LY75	R	Island	II
cg01108370	0.388800856960997	1.47521074412844	1.00547096892426	0.386685313626678	0.698989190029216	chr7	151330008	151330009	cg01108370	PRKAG2	F	CpG_Ocean	II
cg01108392	-1.58165509759173	0.205634471279049	0.187620800335458	-8.43006263038954	3.45480264939659e-17	chr20	62151062	62151063	cg01108392	PPDPF	F	Island	I
cg01110759	-0.609422013888006	0.543665009106307	0.188249699259558	-3.23730670638543	0.00120663651462756	chr16	56672387	56672388	cg01110759	MT1A	F	Island	I
cg01131038	-1.48835661425062	0.225743334250483	0.202446240759377	-7.35186096154605	1.95466078519065e-13	chr8	10592118	10592119	cg01131038	NA	F	S_Shore	I
cg01137065	-0.896734797814054	0.4078993615736	0.181356722370464	-4.94459089298195	7.63039342643811e-07	chr17	80477010	80477011	cg01137065	FOXK2	F	N_Shore	II
cg01143804	-0.698154654425622	0.497502521315428	0.180020710178383	-3.8781907577957	0.000105236187803247	chr4	40751845	40751846	cg01143804	NSUN7	F	Island	I
cg01153872	-0.846697982398507	0.42882859626492	0.179830986162832	-4.70829861118509	2.49792988653036e-06	chr2	240323819	240323820	cg01153872	HDAC4	R	Island	II
cg01163842	0.465549631108761	1.59288944992421	0.192282094374887	2.42118036326925	0.0154701994064292	chr14	95235125	95235126	cg01163842	GSC	F	Island	I
cg01181817	-1.23156211509527	0.2918363394741	0.201691356626838	-6.10617200306635	1.0204903171067e-09	chr3	49941376	49941377	cg01181817	MST1R	F	Island	I
cg01202150	-0.528429111973904	0.589530328804818	0.195845204007158	-2.69819786832558	0.00697159890586376	chr5	140261697	140261698	cg01202150	PCDHA7	R	N_Shore	I
cg01214340	-0.461734883755558	0.63018939124162	0.459338268482415	-1.00521753887622	0.314792111608215	chr13	50070499	50070500	cg01214340	PHF11	R	Island	II
cg01228636	-1.02110865579864	0.360195386026631	0.181502287162099	-5.62587211304225	1.84573056613893e-08	chr10	89621773	89621774	cg01228636	PTEN	R	Island	II
cg01244034	-1.35009449273694	0.259215765481465	0.185468456136173	-7.27937526878253	3.35369581079443e-13	chr16	25078253	25078254	cg01244034	NA	R	Island	I
cg01268590	-0.0694601881608276	0.93289727300145	0.180314749526752	-0.385216341664397	0.700077136949678	chr12	54346975	54346976	cg01268590	NA	R	Island	I
cg01270001	-1.34416092245516	0.260758412620676	0.22307056140964	-6.02572080314435	1.68357596843234e-09	chr7	150020401	150020402	cg01270001	LRRC61	F	Island	I
cg01278596	-1.4014293440218	0.246244743827226	0.183476095280924	-7.6382121707792	2.20258690665291e-14	chr5	139228062	139228063	cg01278596	NRG2	R	Island	I
cg01279709	-1.39075851312732	0.248886449377065	0.185340580862939	-7.50379925784194	6.1994220398232e-14	chr13	28196083	28196084	cg01279709	POLR1D	F	Island	II
cg01283834	-1.22077958733655	0.295000098915217	0.219675877263989	-5.55718544312226	2.74159443572577e-08	chr4	141488964	141488965	cg01283834	UCP1	R	N_Shore	I
cg01340542	-1.11480903411609	0.327977905510254	0.229294716513104	-4.86190458755024	1.16261662232372e-06	chr1	65468273	65468274	cg01340542	NA	R	Island	II
cg01343344	-1.42376976148827	0.240804528060029	0.186016260875517	-7.65400699265245	1.94811677236512e-14	chr1	116694665	116694666	cg01343344	NA	R	Island	II
cg01344452	-0.1024757505049	0.902600037082722	0.422362801904568	-0.242624942449488	0.808295957184152	chr17	54912143	54912144	cg01344452	DGKE	R	Island	II
cg01367393	-1.0270106652416	0.358075770604944	0.180819783712774	-5.67974722762068	1.34893942489157e-08	chr15	89438731	89438732	cg01367393	HAPLN3	F	Island	I
cg01379240	-1.31729214744789	0.267859645239827	0.189370431806851	-6.95616593825727	3.49657987028657e-12	chr3	138666144	138666145	cg01379240	C3orf72	F	Island	I
cg01382649	-1.58692868149892	0.204552895038688	0.184232320771328	-8.61373658462808	7.07170727481283e-18	chr15	42263914	42263915	cg01382649	EHD4	R	N_Shore	I
cg01383890	-1.52106403849911	0.218479292850769	0.205169110624273	-7.4137087881842	1.22815444571121e-13	chr15	62358982	62358983	cg01383890	C2CD4A	F	N_Shore	II
cg01409887	-1.89952828746739	0.149639189257883	0.225125597920382	-8.43763794528237	3.23814845930378e-17	chr7	98972188	98972189	cg01409887	ARPC1B	R	Island	I
cg01442132	-1.53419849055643	0.21562845016562	0.184084008603949	-8.3342301278174	7.80040767773837e-17	chr2	62424496	62424497	cg01442132	B3GNT2	F	S_Shore	II
cg01445809	-1.63339337558536	0.195265838283031	0.186906047312787	-8.73911464647197	2.34944352307297e-18	chr20	48099468	48099469	cg01445809	KCNB1	F	Island	I
cg01454639	-1.30595697662832	0.2709131533982	0.185768419179058	-7.03002686032195	2.0649378266986e-12	chr13	26760532	26760533	cg01454639	NA	R	Island	I
cg01456571	-0.365694599564057	0.69371462961217	0.215281729327226	-1.69867921772499	0.0893796412735403	chr8	23021325	23021326	cg01456571	TNFRSF10D	F	Island	I
cg01490894	0.439946177905568	1.55262365080571	0.180356787516899	2.43931034679993	0.0147153245442771	chr6	26550804	26550805	cg01490894	NA	R	Island	II
cg01504555	-0.382693190599088	0.682022117986645	0.190524835519722	-2.00862627465422	0.0445767826953664	chr16	77246968	77246969	cg01504555	SYCE1L	R	Island	I
cg01528792	-1.15395047864261	0.315388370095083	0.180812533324886	-6.38202704991239	1.74759083956507e-10	chr9	73027862	73027863	cg01528792	KLF9	R	Island	II
cg01544903	-1.76362438480539	0.171422435673689	0.212906555089172	-8.28356075775462	1.19545940475297e-16	chr16	56697229	56697230	cg01544903	NA	R	Island	I
cg01560739	-0.893582404959707	0.409187249504131	0.180785868931494	-4.94276687797051	7.70215629619084e-07	chr3	32023198	32023199	cg01560739	OSBPL10	F	Island	I
cg01573732	-1.80107690618331	0.165120972643154	0.190300235367055	-9.46439662940701	2.95260725647584e-21	chr11	47236904	47236905	cg01573732	DDB2	R	Island	I
cg01573747	0.413838565277025	1.51261291892557	0.244822758095291	1.69035986889727	0.0909591277647146	chr19	17008740	17008741	cg01573747	CPAMD8	F	Island	I
cg01581237	-0.426585289936831	0.652734191543405	0.181867412302639	-2.34558398635466	0.018997298049461	chr5	35617969	35617970	cg01581237	SPEF2	F	Island	II
cg01627750	-1.78544505260014	0.167722399097361	0.191207709199709	-9.33772524169155	9.84259502622045e-21	chr5	139228242	139228243	cg01627750	NRG2	R	Island	II
cg01627823	0.472018945106999	1.60322775676026	0.192509838010945	2.45192115885611	0.0142095791989923	chr14	37125531	37125532	cg01627823	PAX9	F	Island	I
cg01641792	-1.83715593812046	0.159269755615979	0.19891324763971	-9.23596572837662	2.55966439382604e-20	chr19	10572362	10572363	cg01641792	PDE4A	R	CpG_Ocean	I
cg01645295	-1.35462556092874	0.258043898082154	0.219518966558671	-6.1708816425513	6.791024499753e-10	chr20	61560630	61560631	cg01645295	DIDO1	R	Island	I
cg01654862	-1.53698625424001	0.215028166116902	0.288597173002868	-5.32571486493645	1.00556768884302e-07	chr3	159480947	159480948	cg01654862	SCHIP1	R	Island	II
cg01663968	-0.920715208097145	0.398234118940922	0.184801183374168	-4.98219324836772	6.2867602801114e-07	chr20	57582006	57582007	cg01663968	CTSZ	F	Island	I
cg01680448	-1.59956221959672	0.20198492368345	0.181610497742037	-8.80765285864021	1.27793474902135e-18	chr17	76165127	76165128	cg01680448	SYNGR2	R	Island	I
cg01688536	0.333166221066901	1.39537922061688	0.182434899180598	1.82621977792247	0.0678171633547935	chr7	35296968	35296969	cg01688536	NA	R	Island	I
cg01704957	-1.4223310841133	0.241151217413606	0.187771431291122	-7.57480024694549	3.59680623846912e-14	chr17	7198347	7198348	cg01704957	YBX2	R	Island	I
cg01721569	0.780151867913747	2.18180358629792	0.183880653689789	4.24270771426494	2.20838979898951e-05	chr2	66810570	66810571	cg01721569	NA	R	S_Shore	I
cg01725531	-0.663262444597018	0.515167883224428	0.347240497412601	-1.91009530725591	0.0561209431193528	chr8	23082789	23082790	cg01725531	TNFRSF10A	F	Island	I
cg01730970	-0.795058885022525	0.451554644334303	0.277888661523299	-2.86106989995295	0.00422213951171602	chr1	27687074	27687075	cg01730970	MAP3K6	F	Island	II
cg01764954	-1.45172028109572	0.234167108152419	0.183681966561352	-7.90344478705711	2.71299356335733e-15	chr15	72476792	72476793	cg01764954	GRAMD2	R	Island	I
cg01765077	-1.2120355403659	0.297590904190616	0.208998054942954	-5.79926708263734	6.66053788420565e-09	chr12	122356316	122356317	cg01765077	WDR66	R	Island	II
cg01773059	-1.78526798971992	0.167752099137733	0.19216115710937	-9.29047272911571	1.53604569236744e-20	chr14	64761203	64761204	cg01773059	ESR2	F	Island	I
cg01777643	-1.23395802272871	0.29113796351686	0.246702673950052	-5.00180238410607	5.67967943713866e-07	chr1	224805287	224805288	cg01777643	CNIH3	F	Island	I
cg01781974	-1.09263759317359	0.335330859862412	0.18323171019773	-5.96314683738149	2.47425885424345e-09	chr14	52535973	52535974	cg01781974	NID2	R	Island	I
cg01786994	-0.829111468497409	0.436436902027996	0.180235501016047	-4.60015626124394	4.22174129945816e-06	chr15	78556945	78556946	cg01786994	DNAJA4	R	Island	I
cg01793704	-0.72378017917881	0.484915718623824	0.394728622858199	-1.83361463361328	0.0667112184465318	chr7	130126024	130126025	cg01793704	MEST	R	Island	I
cg01799653	-1.45675932758674	0.232990097204766	0.292498846009211	-4.98039341851237	6.3455142081628e-07	chr5	10563501	10563502	cg01799653	ANKRD33B	R	Island	I
cg01807820	-0.445842504021065	0.640284606371817	0.186143471406952	-2.39515520287226	0.016613331358562	chr12	6473007	6473008	cg01807820	SCNN1A	R	Island	I
cg01814945	-1.15383915031879	0.315423483708211	0.184118393334176	-6.26683260387009	3.68465878366637e-10	chr6	29974723	29974724	cg01814945	HLA-J	R	Island	I
cg01837657	-1.55396659015695	0.211407740634957	0.215097555574851	-7.22447349996123	5.03046943021251e-13	chr15	90039822	90039823	cg01837657	RHCG	R	Island	I
cg01847271	-0.228016346244055	0.796111246300366	0.2090182627971	-1.09089197849375	0.275320417168521	chr9	116111676	116111677	cg01847271	BSPRY	F	Island	II
cg01869219	-1.33608781186426	0.262872064516243	0.197998595705594	-6.74796610098637	1.49931963913959e-11	chr2	224702789	224702790	cg01869219	AP1S3	R	Island	II
cg01888566	-1.16051813583548	0.313323794531089	0.396191092705079	-2.92918785203321	0.00339848965114277	chr7	130126513	130126514	cg01888566	MEST	F	Island	I
cg01901107	-2.05221769100595	0.12844972568508	0.198124945940507	-10.3581993739556	3.84125020106775e-25	chr7	150748284	150748285	cg01901107	ACCN3	F	Island	I
cg01910484	-1.54486372928137	0.213340941365558	0.183838374616128	-8.40338004786648	4.3380789812931e-17	chr16	56642229	56642230	cg01910484	MT2A	F	Island	I
cg01920334	-1.20826751314592	0.298714350076138	0.203041480402754	-5.95084073830232	2.66768573888023e-09	chr21	48087978	48087979	cg01920334	NA	F	Island	II
cg01923218	1.09879077183045	3.00053549727422	0.185910984740904	5.91030580232677	3.41473207331213e-09	chr11	93063888	93063889	cg01923218	CCDC67	R	Island	I
cg01933836	-2.15654982788056	0.115723699742526	0.198359089412592	-10.8719486173627	1.56815291786073e-27	chr11	122854796	122854797	cg01933836	NA	R	N_Shore	I
cg01950845	-1.72258756992926	0.178603400685407	0.192565905723744	-8.9454442283282	3.70456697353515e-19	chr15	93632730	93632731	cg01950845	RGMA	R	Island	I
cg01963134	-1.60531640124162	0.200826003260071	0.247530830869089	-6.48531900291089	8.85442384520095e-11	chr12	39299364	39299365	cg01963134	CPNE8	R	Island	I
