	mean	median	SD	Quantile.0.	Quantile.25.	Quantile.50.	Quantile.75.	Quantile.100.	SampleSize
cg01994205	0.105932163	0.1007969	0.03333335	0.04578258	0.0870025	0.1007969	0.116208367	0.32216	796
cg02794244	0.101812847	0.09789077	0.02744116	0.05116	0.082106298	0.09789077	0.115881126	0.24927	796
cg06539804	0.092080206	0.084946785	0.043950197	0.004138414	0.058340547	0.084946785	0.115871798	0.2801	796
cg10888941	0.099769774	0.09387	0.029391503	0.03727696	0.08051235	0.09387	0.111965449	0.24479	796
cg10734240	0.079503134	0.068577055	0.054901104	0	0.037263034	0.068577055	0.1097175	0.39965	796
cg09307284	0.084810663	0.0753178	0.036880183	0.015609163	0.057390223	0.0753178	0.106959434	0.23099	796
cg11237751	0.091145236	0.085635	0.03150095	0.02841	0.068844926	0.085635	0.10661	0.22346	796
cg21850254	0.088416324	0.082286446	0.033460598	0.02754676	0.064478042	0.082286446	0.1059175	0.24247	796
cg20468253	0.089770651	0.08611	0.035343072	0.01039473	0.066744897	0.08611	0.105571845	0.35567	796
cg02385791	0.085103562	0.07713356	0.03956892	0.01935	0.057399286	0.07713356	0.104362544	0.34773	796
cg11836236	0.089209817	0.084437982	0.028401474	0.04029	0.0685975	0.084437982	0.10426	0.20477	796
cg26702958	0.090584033	0.085260557	0.030974741	0.03738	0.070709701	0.085260557	0.104204191	0.2999853	796
cg15661332	0.088469999	0.079968144	0.033583727	0.02990245	0.065800315	0.079968144	0.1027399	0.24033	796
cg17957186	0.089294585	0.08521	0.022559751	0.03778	0.07369168	0.08521	0.101590903	0.19557	795
cg12744812	0.089589097	0.086330493	0.023604544	0.034178086	0.07433752	0.086330493	0.101371006	0.21157	796
cg25809635	0.086231339	0.080996107	0.02458723	0.041	0.070231528	0.080996107	0.10030154	0.19997	796
cg04877901	0.086766246	0.081123163	0.029611089	0.03759	0.066795947	0.081123163	0.0985275	0.26826	796
cg11445123	0.076363425	0.06973056	0.036707006	0.006340845	0.048869987	0.06973056	0.096146435	0.219712343	796
cg03698009	0.082539601	0.076042859	0.028663136	0.02644906	0.064286368	0.076042859	0.095695227	0.27049	796
cg15830431	0.081926162	0.080522454	0.021261444	0.0354	0.067780295	0.080522454	0.094425827	0.19562	796
cg01576677	0.07956179	0.076048731	0.029394144	0.01271	0.060698154	0.076048731	0.09405	0.2530026	796
cg05385164	0.074966351	0.070441223	0.0373924	0	0.050553061	0.070441223	0.093705504	0.3190863	795
cg09546168	0.075326438	0.072775	0.028002668	0.009960143	0.056731257	0.072775	0.091052254	0.19654	796
cg05249644	0.079074569	0.078061678	0.022216926	0.025748324	0.064015893	0.078061678	0.090953004	0.321723042	796
cg27327588	0.077706522	0.075309247	0.022190227	0.02757	0.062453214	0.075309247	0.090614474	0.19817	794
cg22657780	0.075342745	0.06906	0.032849362	0.01411029	0.055525478	0.06906	0.086578763	0.312388116	795
cg27123533	0.070501551	0.065223111	0.024198967	0.02296997	0.0523332	0.065223111	0.0863075	0.16508	796
cg02945007	0.068051847	0.05514	0.038660135	0.00525	0.040013435	0.05514	0.08628	0.25372	796
cg09405661	0.068803992	0.060416262	0.031995118	0.01757	0.046489947	0.060416262	0.0830425	0.21242	796
cg26626525	0.068114541	0.06174	0.02793821	0.01980979	0.0481075	0.06174	0.082193829	0.22481	796
cg18244915	0.064205728	0.059651738	0.027978203	0.01353	0.043775744	0.059651738	0.08051	0.18356	796
cg07251193	0.068280324	0.068289672	0.01854044	0.01458462	0.05678312	0.068289672	0.080234106	0.1839812	796
cg11595155	0.059336156	0.05430022	0.032221047	0	0.035980072	0.05430022	0.079340047	0.19186	796
cg27545919	0.053123046	0.049637906	0.030004348	0	0.03205941	0.049637906	0.0695975	0.25217	796
cg04181321	0.056333801	0.051541431	0.027599716	0	0.037039375	0.051541431	0.069450492	0.15672	796
cg27063138	0.054750395	0.0502	0.020933891	0.01210642	0.040289978	0.0502	0.067176293	0.13306	795
cg20622089	0.05399017	0.05136016	0.022427823	0.00260363	0.041193545	0.05136016	0.066519611	0.2471296	796
cg00498155	0.053307693	0.052309974	0.023788601	0.00605	0.036105526	0.052309974	0.06603945	0.1534	796
cg23967742	0.056479941	0.050348869	0.025626565	0.0176	0.03907848	0.050348869	0.06584	0.185583393	796
cg17088631	0.057581236	0.05534508	0.017366031	0.019003342	0.045965645	0.05534508	0.06533	0.151124993	795
cg22403273	0.054527263	0.052976368	0.022976164	0.000388478	0.039199407	0.052976368	0.0649	0.15715	792
cg06327407	0.054643855	0.05141	0.020819085	0.01171	0.04152	0.05141	0.064248087	0.14051	791
cg07089235	0.053332768	0.05163	0.020303607	0.005386192	0.039338964	0.05163	0.0634	0.15616	796
cg09765994	0.04963115	0.046266136	0.018984478	0.006821563	0.0369275	0.046266136	0.0609225	0.12557	796
cg20366601	0.044079747	0.037552712	0.031833398	0	0.020248013	0.037552712	0.060151775	0.18165	795
cg15262242	0.04034247	0.03457	0.026910514	0	0.019165	0.03457	0.05751	0.139733731	793
cg06695611	0.046813005	0.04408	0.023442053	0	0.032595929	0.04408	0.056848789	0.1820305	795
cg11737710	0.042145575	0.038956597	0.022747899	0	0.026655397	0.038956597	0.055783295	0.235267232	796
cg03164785	0.044625193	0.040984799	0.019006066	0.002574829	0.031687349	0.040984799	0.055015	0.12875	796
cg24884572	0.044617342	0.042101979	0.01737932	0.007227676	0.033007527	0.042101979	0.05391	0.155153801	796
cg17984375	0.037213668	0.034106663	0.023903641	0	0.02077	0.034106663	0.047546642	0.18966	793
cg23833588	0.036976649	0.033457261	0.021924308	0	0.023220952	0.033457261	0.047298312	0.25089	796
cg20276585	0.038359371	0.036800135	0.016682603	0.000951052	0.027158851	0.036800135	0.046020767	0.125199526	796
cg27599958	0.03771104	0.035613982	0.014581049	0.004672964	0.027655	0.035613982	0.045841908	0.108493911	796
cg17666096	0.033417336	0.027497609	0.028036761	0	0.014260884	0.027497609	0.04561	0.357771009	794
cg21195414	0.036263828	0.034285951	0.016128818	0	0.025661507	0.034285951	0.043777606	0.119728959	796
cg26105156	0.036441829	0.03435	0.015439224	0	0.027506178	0.03435	0.043775685	0.0958	796
cg14660839	0.036977889	0.03339679	0.019472282	0	0.026232452	0.03339679	0.04346	0.276561814	796
cg09010671	0.036306997	0.03289	0.017219167	0.009886717	0.026287124	0.03289	0.042745	0.256798744	795
cg01951637	0.034778736	0.029403532	0.023233679	0	0.021614707	0.029403532	0.04184	0.2339102	794
cg02352723	0.033932117	0.03100379	0.019464223	0	0.02182259	0.03100379	0.040986766	0.148086743	796
cg13649886	0.032496024	0.029485536	0.01490837	0.000115543	0.021869158	0.029485536	0.04015	0.09317	796
cg13971154	0.032590943	0.029809932	0.020638023	0.001151167	0.021592922	0.029809932	0.039927237	0.349549665	796
cg27018185	0.033572231	0.03134	0.015720135	0.00188615	0.0233875	0.03134	0.03984172	0.171368318	796
cg04524120	0.034026825	0.031138008	0.018051916	0.00141425	0.024002405	0.031138008	0.03944008	0.213414081	796
cg24425021	0.030782404	0.02835	0.016279406	0	0.020758813	0.02835	0.0375	0.116042356	796
cg13070215	0.028109568	0.0238716	0.019884047	0	0.014576178	0.0238716	0.03731	0.12002	796
cg16678602	0.027902862	0.02324	0.017922268	0	0.01518033	0.02324	0.037241611	0.10983	796
cg08962682	0.025065738	0.021037748	0.019486602	0	0.011392903	0.021037748	0.03435	0.10613	793
cg04371288	0.026574987	0.023504594	0.016100513	0	0.015954659	0.023504594	0.03432291	0.13712	795
cg03611007	0.025572824	0.021046814	0.017102476	0	0.01334807	0.021046814	0.03369	0.10994	795
cg13529912	0.026168921	0.023275681	0.015735477	0	0.016256932	0.023275681	0.033268949	0.09259	795
cg11419456	0.025534725	0.024365285	0.015436509	0	0.014378024	0.024365285	0.033236198	0.09979	795
cg07746323	0.028344424	0.026685403	0.013541599	0	0.020797917	0.026685403	0.032948114	0.15580353	795
cg16104915	0.028276466	0.02355	0.020956028	0	0.016256815	0.02355	0.032744823	0.15612	796
cg15316660	0.02306534	0.020841024	0.012525522	0	0.014893182	0.020841024	0.0277	0.08147	796
