	PC-P-1	PC-P-10	PC-P-2	PC-P-3	PC-P-4	PC-P-5	PC-P-6	PC-P-7	PC-P-8	PC-P-9	PC-T-1	PC-T-2	PC-T-4	PC-T-6	PC-T-7	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Pancreas	STL002PA-01	STL003PA-01
chr21:27012292-27012514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.68995004995005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00222222222222222	0.00156862745098039	NA
chr2:129492749-129492777	NA	NA	NA	NA	0.277777777777778	NA	NA	NA	0.0277777777777778	NA	NA	1	0.266666666666667	1	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.0416666666666667	NA	NA	NA	0.0416666666666667	NA	NA
chr11:128418943-128419076	NA	NA	NA	NA	0.0277777777777778	NA	0.0555555555555556	NA	0.0277777777777778	NA	NA	0.155844155844156	1	NA	NA	NA	NA	NA	NA	NA	0.037037037037037	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA
chr3:181437081-181437144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00793650793650794	NA
chr1:21766355-21766443	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA
chr1:145562988-145563006	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:172734587-172734627	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA
chr10:8095570-8095583	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA
chr19:58095500-58095596	NA	NA	NA	NA	0.00740740740740741	0.00952380952380952	0.0111111111111111	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.00416666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00175438596491228	0.00261437908496732
chr20:6032760-6032772	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00641025641025641	NA
chr8:70983566-70983588	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	NA	NA	NA	NA	0.00444444444444444	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	0.00238095238095238	0.00256410256410256
chr7:158936693-158936700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:28449561-28449613	NA	NA	NA	NA	NA	NA	NA	0.0037037037037037	0.019047619047619	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00238095238095238	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:30019860-30019931	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0952380952380952	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00434782608695652
chr4:1165394-1165402	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	0.0486111111111111
chr4:44450183-44450233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.56	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00606060606060606
chr11:69634626-69634647	NA	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:37499618-37499648	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	0.116666666666667	NA	NA	NA	NA
chr5:153859657-153859693	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	0.0277777777777778
chr18:22929864-22929882	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.333333333333333	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:81003005-81003025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.25	NA	0.973333333333333	NA	NA	NA	NA	0.00606060606060606	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	0.333333333333333	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.095959595959596	0.121435928682305
chr19:34113545-34113565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0741520467836257	NA	NA	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037037037037037
chr10:94826041-94826122	0.0134894091415831	NA	0.00606060606060606	NA	0.00444444444444444	NA	NA	0.0111111111111111	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.049156010230179	0.00303030303030303	NA	NA	0.0328619528619529	NA	NA	NA	NA	NA	NA	0.0625583566760037	0.251838564601828
chr16:22910546-22910667	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0048780487804878	0.0529297820823245
chr20:48061910-48062015	NA	NA	0.103703703703704	NA	0.0555555555555556	NA	NA	0.166666666666667	0.0666666666666667	0.0333333333333333	1	0.0151515151515152	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	0.0555555555555556	NA
chr10:50605496-50605512	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.277777777777778	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	NA	NA	NA	NA	NA	NA	NA	0.00925925925925926
chr19:30017456-30017484	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	0.432669552669553	0.990476190476191	NA	0.7475	NA	NA	0.00952380952380952	0.00833333333333333	NA	NA	0.0488888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00380952380952381
chr14:60981535-60981543	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0499108734402852	NA
chr20:21494581-21494588	NA	NA	0.0555555555555556	NA	NA	NA	NA	0.0555555555555556	NA	NA	1	1	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	0.0238095238095238	NA
chr11:123066909-123066941	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	0.0351690821256039	NA
chr19:30021223-30021227	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	1	0.0555555555555556	NA	NA	NA	NA	0.0416666666666667	NA	0.0925925925925926	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	0.0277777777777778	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	0.0087719298245614
chr14:38057352-38057357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0303030303030303	0.0227272727272727
chr17:48585485-48585565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00769230769230769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr9:127265806-127265815	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.111111111111111	NA	NA	NA	0.958333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095238095238	NA	NA	NA	NA	NA	NA	NA	0.00793650793650794	0.0123456790123457
chr12:108169078-108169143	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	NA	0.508730158730159	NA	NA	0.508730158730159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00740740740740741	NA	0.00796425796425796	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00392156862745098	NA	NA	0.00277777777777778
chr3:174159059-174159240	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.00128205128205128	NA	NA	NA	NA	0.00533333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:58095063-58095074	NA	NA	NA	0.0333333333333333	0.130952380952381	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00793650793650794	0.00387596899224806
chr2:10182950-10182971	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0138888888888889	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA
chr18:12076770-12076788	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA
chr2:182545295-182545301	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	1	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA
chr5:158478589-158478597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.638888888888889	0.0833333333333333	NA	0.822222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00641025641025641	0.00354609929078014
chr14:52735231-52735272	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0612698412698413	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0121457489878543	NA
chr12:128752951-128753007	NA	NA	NA	0.0111111111111111	NA	NA	0.025	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0685714285714286	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	0.00476190476190476
chr16:86530657-86530757	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0666666666666667	0.00833333333333333	NA	NA	NA	0.00454545454545455	NA	NA	NA	NA	NA	NA	0.222222222222222	0.0833333333333333
chr20:21494647-21494657	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	0.0833333333333333	0.0833333333333333	NA	0.105882352941176	NA
chr2:176995078-176995087	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:23481632-23481655	NA	0.42	0.00740740740740741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	1	NA	0.337777777777778	NA	NA	0.0133333333333333	NA	NA	0.00266666666666667	0.06	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952
chr8:54793224-54793228	NA	NA	NA	NA	0.0138888888888889	NA	NA	0.0277777777777778	NA	NA	NA	1	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00775193798449612
chr10:26506970-26507020	NA	NA	NA	NA	0.119444444444444	0.025	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.00232558139534884
chr18:4455445-4455456	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	0.0133333333333333	NA	NA
chr21:36041739-36041770	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0166666666666667	NA
chr17:74141537-74141565	NA	NA	1	NA	0.00833333333333333	0.0291666666666667	0.0685714285714286	0.333333333333333	0.025	NA	0.35	1	0.8	1	0.705555555555555	0.00833333333333333	0.00625	NA	NA	0.0638888888888889	0.0125	0.025	NA	NA	0.00666666666666667	NA	NA	NA	0.00833333333333333	NA	0.00833333333333333	0.00625	NA	NA	0.00714285714285714	NA	NA	0.0485714285714286	NA	NA	0.025	NA	NA	NA
chr21:27945412-27945423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA
chr21:40032833-40032852	NA	NA	NA	NA	0.0416666666666667	NA	0.00769230769230769	NA	NA	NA	NA	0.358333333333333	1	NA	0.358333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA
chr2:107504018-107504036	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr7:71800926-71800933	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.425925925925926	NA	NA	1	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:126236019-126236137	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00227272727272727
chr5:170738342-170738361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0147562582345191
chr13:112547537-112547563	NA	NA	NA	NA	NA	NA	0.533333333333333	NA	0.0185185185185185	NA	NA	0.111111111111111	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0072463768115942	NA
chr5:174178381-174178427	NA	0.00952380952380952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00158730158730159
chr10:126606163-126606200	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0019047619047619	NA
chr20:644873-644882	NA	NA	NA	NA	NA	NA	0.0388888888888889	0.025	NA	NA	NA	0.705555555555555	0.5	NA	0.5	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.179166666666667	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA
