	7-P-1	7-P-10	7-P-11	7-P-12	7-P-13	7-P-14	7-P-15	7-P-16	7-P-17	7-P-18	7-P-19	7-P-2	7-P-20	7-P-21	7-P-22	7-P-23	7-P-25	7-P-26	7-P-27	7-P-28	7-P-29	7-P-3	7-P-30	7-P-4	7-P-5	7-P-6	7-P-7	7-P-8	7-P-9	7-T-1	7-T-2	7-T-3	7-T-4	7-T-5	NC-P-1	NC-P-12	NC-P-13	NC-P-14	NC-P-15	NC-P-16	NC-P-17	NC-P-18	NC-P-19	NC-P-2	NC-P-20	NC-P-21	NC-P-22	NC-P-23	NC-P-24	NC-P-25	NC-P-26	NC-P-27	NC-P-29	NC-P-3	NC-P-30	NC-P-5	NC-P-6	NC-P-7	NC-P-8	NC-P-9	N37-Lung	STL001LG-01	STL002LG-01
chr12:113911867-113911985	NA	NA	0.111111111111111	1	NA	NA	1	0.5	NA	NA	NA	NA	NA	1	NA	NA	1	NA	0.888888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095238095238	NA
chr18:20839952-20840109	NA	NA	NA	1	1	0.857142857142857	NA	0.916666666666667	NA	1	NA	NA	NA	NA	NA	NA	1	0.888888888888889	0.933333333333333	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0238095238095238	NA
chr19:36247866-36247871	0.25	NA	0.5	NA	NA	0.333333333333333	NA	NA	0.333333333333333	1	1	NA	1	NA	1	NA	0.5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.333333333333333	NA	NA	0.555555555555555	0.686868686868687	0.546296296296296	0.6	NA	NA	NA	0.0555555555555556	NA	NA	NA	0.0277777777777778	NA	0.138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.0185185185185185	NA	0.0185185185185185	NA	NA	NA	0.0175438596491228
chr22:40781574-40781781	NA	NA	1	NA	NA	NA	NA	0.261904761904762	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0367647058823529	0.156305776849071
chr17:18162088-18162189	NA	NA	1	0.993333333333333	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.00266666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.00229885057471264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.000775193798449612
chr4:122078134-122078220	NA	NA	NA	1	NA	0.222857142857143	1	NA	NA	1	NA	NA	0.431363636363636	0.179166666666667	NA	NA	0.0111111111111111	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.00769230769230769	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00625
chr1:6514485-6514621	0.0111111111111111	NA	NA	NA	NA	NA	NA	0.859867724867725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0812962962962963	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0048780487804878	NA	0.0522100122100122	0.19963924963925	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.215151515151515	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	0.256391654812707	0.0159888190076869	0.00952947376565513
chr7:150020736-150020750	NA	NA	0.341666666666667	0.5	1	0.5	0.5	0.333333333333333	0.666666666666667	0.333333333333333	NA	NA	0.5	0.333333333333333	NA	0.333333333333333	0.333333333333333	0.75	0.5	NA	0.5	NA	0.666666666666667	NA	NA	NA	0.0125	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA
chr4:10462957-10462972	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	0.0111111111111111
chr3:87138070-87138182	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	0.5	1	NA	NA	NA	NA	0.833333333333333	NA	NA	NA	NA	0.0833333333333333	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0606060606060606	NA
chr19:39282252-39282273	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.944444444444445	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778
chr6:46097529-46097622	NA	NA	NA	NA	1	NA	1	0.355555555555556	NA	0.355555555555556	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0.0416666666666667	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0142857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10:118899351-118899404	NA	NA	NA	NA	NA	NA	1	0.0888888888888889	NA	0.2075	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	NA
chr7:5568313-5568439	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0158730158730159	NA
chr5:134880362-134880382	NA	NA	1	NA	NA	NA	NA	NA	NA	0.666666666666667	1	NA	1	NA	1	1	0.358333333333333	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.00625	1	NA	1	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0833333333333333	NA	0.00715386987357385
chr12:115107388-115107487	NA	NA	0.958333333333333	NA	0.0992207792207792	1	1	0.00769230769230769	NA	0.935	NA	NA	NA	NA	NA	NA	0.25625	0.0111111111111111	NA	NA	1	0.0685714285714286	0.855555555555556	0.0838095238095238	NA	0.025	0.0111111111111111	0.5125	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.166666666666667	NA	NA	NA	NA	NA	NA	NA	NA	0.004	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	0.00333333333333333	NA
chr11:639786-639794	NA	NA	NA	NA	NA	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:148929171-148929260	NA	NA	0.0416666666666667	NA	NA	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.0666666666666667	NA	1	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0037037037037037	0.00641025641025641
chr17:8054556-8054579	NA	NA	NA	NA	NA	1	NA	NA	0.333333333333333	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.896825396825397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0185185185185185	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00595238095238095
chr20:55203290-55203392	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.888888888888889	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.025	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr6:27834031-27834171	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00377358490566038
chr6:26241029-26241068	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00714285714285714	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr3:128211874-128211909	NA	0.666666666666667	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	1	0.0575757575757576	NA	NA	NA	NA	0.991666666666667	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.991666666666667	1	0.0457142857142857	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA	NA	0.0555555555555556	NA	0.00416666666666667	NA
chr9:95947328-95947356	NA	NA	0.666666666666667	0.0133333333333333	NA	0.666666666666667	NA	NA	0.333333333333333	0.5	NA	NA	0.5	0.173333333333333	1	NA	NA	1	NA	NA	1	0.0111111111111111	0.5	0.0666666666666667	NA	NA	0.00666666666666667	NA	NA	NA	NA	0.503333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr16:54970588-54970675	NA	NA	0.111111111111111	NA	NA	0.738095238095238	NA	0.0555555555555556	NA	NA	1	NA	NA	0.0555555555555556	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0130718954248366
chr15:75251242-75251249	NA	NA	NA	NA	NA	NA	0.666666666666667	0.445833333333333	0.5	NA	1	0.0277777777777778	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	0.5	0.111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0128205128205128	NA	NA	0.0104166666666667	0.0555555555555556	0.0555555555555556	NA	NA	NA	0.0238095238095238	NA	NA
chr21:34396075-34396231	NA	0.00256410256410256	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	0.5	NA	NA	NA	0.109404761904762	NA	NA	NA	NA	NA	NA	0.0281481481481481	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00121212121212121	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0075662283209453	0.00645021645021645
chr19:38345870-38345883	NA	NA	NA	1	NA	1	NA	1	0.0277777777777778	NA	1	NA	NA	1	1	NA	1	NA	NA	1	1	NA	0.351851851851852	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.37037037037037	NA	NA	0.0277777777777778	0.0138888888888889	0.0277777777777778	0.166666666666667	NA	0.0555555555555556	NA	NA	0.0555555555555556	NA	NA	0.0277777777777778	NA	NA	NA	0.0277777777777778	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	0.0760843079922027
chr9:99639884-99639927	NA	NA	1	NA	1	0.5	NA	NA	NA	0.566867167919799	NA	0.00317460317460317	NA	NA	0.00555555555555555	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.830339105339105	NA	0.313333333333333	NA	NA	0.025	NA	NA	0.00555555555555555	0.0237037037037037	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA
chr3:42306833-42306973	NA	NA	0.216666666666667	1	NA	NA	NA	0.0485714285714286	0.211111111111111	1	NA	0.01	NA	0.527777777777778	1	NA	NA	1	0.554166666666667	0.0971428571428571	1	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.06	NA	NA	NA	NA	NA	0.0133333333333333	NA	NA	NA	NA	0.00833333333333333	NA	0.0133333333333333	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0125	0.00555555555555555	0.0151515151515152	NA
chr6:26216607-26216666	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr5:115298830-115298847	NA	NA	NA	NA	NA	NA	NA	NA	1	1	0.5	NA	NA	1	0.333333333333333	1	0.5	NA	1	0.5	NA	0.06	1	0.0866666666666667	NA	NA	NA	0.0338624338624339	NA	NA	1	1	NA	NA	NA	0.00246913580246914	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0933333333333333	NA	NA	NA	NA	NA	0.00666666666666667	NA	NA	NA	NA	NA	0.00289855072463768	0.010304114490161
chr10:126136625-126136636	NA	NA	NA	NA	NA	1	0.5	NA	NA	NA	0.0555555555555556	NA	0.319444444444444	NA	NA	NA	NA	NA	0.0185185185185185	1	NA	NA	1	NA	0.0277777777777778	NA	NA	NA	NA	NA	0.546296296296296	NA	NA	NA	NA	0.0277777777777778	NA	NA	0.0138888888888889	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr8:41570465-41570518	NA	0.0388888888888889	0.87962962962963	1	1	1	1	1	NA	1	1	NA	NA	1	0.255555555555556	NA	1	1	0.5	1	0.354761904761905	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0.0125	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00909090909090909	NA	NA	NA	NA	0.0166666666666667	NA	NA	NA	NA	NA	NA	0.00256410256410256	0.0127838827838828
chr7:156798241-156798341	NA	0.0154882154882155	NA	1	1	NA	0.677219845217948	1	1	NA	1	NA	0.00666666666666667	NA	NA	NA	0.5	1	0.921666666666667	NA	0.978354978354978	NA	0.874285714285714	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0281481481481481	NA	NA	NA	NA	NA	0.00833333333333333	NA	0.00666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00952380952380952	NA	NA	NA	NA	NA	NA
chr12:49942954-49942967	NA	0.166666666666667	0.166666666666667	NA	0.166666666666667	NA	0.0666666666666667	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00833333333333333	NA
chr3:170136886-170136898	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.037037037037037	NA	NA
chr22:38221125-38221186	0.0185185185185185	NA	0.355310245310245	NA	NA	0.428600288600289	NA	NA	0.0929718234981393	1	NA	NA	NA	NA	0.387410192147034	1	NA	NA	0.967619047619048	NA	NA	NA	0.944444444444445	NA	NA	NA	NA	NA	NA	NA	0.617435897435897	0.675714285714286	NA	NA	0.0111111111111111	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	NA	NA	NA	NA	NA	NA	0.00238095238095238	NA	NA	0.00444444444444444	NA	NA	NA	NA	NA	NA	NA	0.00185185185185185
chr16:89831174-89831231	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.277777777777778	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0333333333333333	NA	0.0176638176638177	NA	NA	NA	NA	NA	NA	NA	NA	0.02	NA	0.155638227513228
chr2:152954755-152954774	NA	NA	0.143333333333333	0.186111111111111	0.23	1	0.366666666666667	0.125213675213675	0.146363636363636	0.568636363636364	0.222857142857143	NA	1	0.222857142857143	1	0.0125	0.23	1	0.186111111111111	NA	NA	NA	0.235555555555556	NA	NA	NA	NA	NA	NA	NA	NA	0.630555555555556	NA	NA	NA	NA	NA	NA	0.01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr19:30018006-30018050	NA	NA	NA	1	NA	1	NA	1	1	1	1	0.0208333333333333	0.411111111111111	NA	NA	1	NA	NA	NA	NA	1	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822222222222222	NA	NA	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr1:151103809-151103831	NA	NA	0.666666666666667	NA	NA	NA	NA	0.445833333333333	NA	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.822222222222222	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0087719298245614	0.00617283950617284
chr18:76828809-76828827	NA	0.0111111111111111	NA	NA	1	NA	1	NA	0.5	NA	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	0.0342857142857143	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.00303030303030303	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr4:6247390-6247408	NA	NA	1	NA	NA	NA	0.916666666666667	0.166666666666667	NA	1	NA	0.0833333333333333	NA	NA	0.166666666666667	NA	0.5	0.916666666666667	NA	1	1	1	NA	0.0555555555555556	0.0833333333333333	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0175438596491228	0.00680272108843537
chr4:111558352-111558381	NA	NA	0.631355311355311	0.872169312169312	1	NA	0.872169312169312	0.622662337662338	1	0.815677655677656	0.744338624338624	NA	NA	1	0.5	0.711533433886375	1	0.00740740740740741	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.511322751322751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0338624338624339	NA	NA	NA	NA	NA	0.00246913580246914	0.00289855072463768
chr1:200842556-200842573	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.138888888888889	NA	1	NA	NA	NA	NA	0.0277777777777778	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.0555555555555556	0.0216983345062163
