X	cpg	pvalue	delta	Ratio	RA	HP	V1	V2	V3	V4	V5	V6	V7
393	47287	cg02315926	1.98915055589504e-07	-0.031	0.771	0.104103891666667	0.1350396	chr14	70140384	70140385	cg02315926	KIAA0247	NA	II
431	51066	cg02505827	5.91521712482108e-08	-0.081	0.713	0.199767783333333	0.280320908333333	chr5	68711277	68711278	cg02505827	MARVELD2	Island	I
437	51800	cg02543519	1.07238211241383e-07	0.015	1.018	0.8498345	0.835045441666667	chr7	157545179	157545180	cg02543519	PTPRN2	NA	I
449	52895	cg02598071	7.67606366313827e-09	0.065	1.109	0.6654897	0.600296533333333	chr2	191271975	191271976	cg02598071	MFSD6	N_Shore	II
454	53159	cg02610723	3.36772811958714e-09	-0.039	0.788	0.146161216666667	0.185403858333333	chr16	88850534	88850535	cg02610723	FAM38A	Island	II
466	54573	cg02678305	4.73955323164957e-08	-0.047	0.891	0.3862544	0.433287641666667	chr6	30460322	30460323	cg02678305	HLA-E	S_Shelf	II
487	57301	cg02817988	1.22120778891561e-08	-0.022	0.976	0.899193983333333	0.921154133333333	chr7	130350225	130350226	cg02817988	COPG2	N_Shelf	II
497	59023	cg02902672	1.61730641422268e-08	-0.627	0.177	0.135138816666667	0.761785233333333	chr6	32635360	32635361	cg02902672	HLA-DQB1	S_Shelf	II
499	59378	cg02919082	7.09296525202572e-09	-0.376	0.443	0.298724116666667	0.674507333333333	chr6	32605694	32605695	cg02919082	HLA-DQA1	NA	II
522	62060	cg03047277	1.40412290821436e-07	0.023	1.026	0.913101891666667	0.890317491666667	chr4	76862786	76862787	cg03047277	NAAA	S_Shore	II
545	65104	cg03209251	1.46743704590329e-07	0.016	1.019	0.878031658333333	0.861534975	chr2	240033164	240033165	cg03209251	HDAC4	Island	II
563	68053	cg03359362	2.49309894557932e-07	-0.062	0.502	0.0629622108333333	0.125307575	chr19	47289611	47289612	cg03359362	SLC1A5	N_Shore	II
577	69314	cg03428581	9.84587444099383e-08	-0.01	0.732	0.0263313966666667	0.0359729558333333	chr4	1340937	1340938	cg03428581	KIAA1530	Island	I
586	70652	cg03496359	4.47635778090394e-08	0.012	1.013	0.978623366666667	0.966259133333333	chr17	80789086	80789087	cg03496359	TBCD	N_Shore	I
610	73913	cg03655389	6.73784265639144e-08	0.013	1.015	0.915338283333333	0.902142175	chr5	665188	665189	cg03655389	TPPP	Island	II
618	75026	cg03715070	1.04498084294266e-07	-0.03	0.853	0.176797258333333	0.207240783333333	chr17	46124684	46124685	cg03715070	NFE2L1	N_Shore	II
622	75267	cg03725115	3.2430753108402e-07	-0.02	0.72	0.0526083708333333	0.0730883883333333	chr6	30458102	30458103	cg03725115	HLA-E	Island	I
652	78788	cg03915541	1.02535072067121e-07	0.018	1.021	0.881811583333333	0.863395033333333	chr1	6340443	6340444	cg03915541	ACOT7	N_Shore	II
658	79599	cg03958512	1.70252138426243e-07	0.02	1.023	0.912660766666667	0.892555916666667	chr7	47443041	47443042	cg03958512	TNS3	NA	II
662	79835	cg03970350	1.02225360151831e-11	-0.044	0.58	0.0600488025	0.1036072425	chr22	31003010	31003011	cg03970350	TCN2	NA	II
675	80987	cg04026937	1.60276022725366e-10	-0.615	0.075	0.0498713666666667	0.664885558333333	chr6	32549361	32549362	cg04026937	HLA-DRB1	N_Shelf	II
679	81420	cg04054303	9.82760717727382e-12	-0.466	0.401	0.311503808333333	0.777322983333333	chr6	32606445	32606446	cg04054303	HLA-DQA1	NA	II
682	81604	cg04063345	1.42752915239919e-07	0.086	1.122	0.789915308333333	0.7042343	chr6	152130058	152130059	cg04063345	ESR1	S_Shore	II
683	81612	cg04063936	1.01930430664806e-08	-0.028	0.966	0.806617	0.83509845	chr16	88810993	88810994	cg04063936	FAM38A	NA	II
692	83481	cg04154027	2.00157052428089e-07	0.036	1.041	0.909629566666667	0.874021641666667	chr5	78985588	78985589	cg04154027	CMYA5	NA	I
693	83601	cg04159905	4.81279631109646e-08	-0.009	0.829	0.0446510066666667	0.0538392466666667	chr5	691354	691355	cg04159905	TPPP	Island	II
698	84580	cg04211581	5.75740841520689e-09	-0.049	0.678	0.102652874166667	0.151426566666667	chr6	152011656	152011657	cg04211581	ESR1	NA	II
713	86076	cg04284985	1.02138756942438e-07	-0.013	0.986	0.906340158333333	0.91903315	chr4	76859172	76859173	cg04284985	NAAA	N_Shore	II
719	87207	cg04343092	8.6009656029223e-08	-0.007	0.807	0.03029772	0.0375214925	chr2	191273734	191273735	cg04343092	MFSD6	S_Shore	II
755	90997	cg04544058	1.59078261336162e-07	-0.032	0.962	0.800603933333333	0.832171383333333	chr3	13609195	13609196	cg04544058	FBLN2	N_Shelf	II
759	91219	cg04555107	1.61500425692303e-07	-0.036	0.958	0.817514608333333	0.853502375	chr14	70130327	70130328	cg04555107	KIAA0247	NA	II
776	93698	cg04688450	5.38050865063063e-09	-0.344	0.442	0.272449583333333	0.616000991666667	chr6	32526366	32526367	cg04688450	HLA-DRB6	NA	II
794	95250	cg04774110	1.675070121128e-07	0.018	1.022	0.812974933333333	0.795384108333333	chr17	80857351	80857352	cg04774110	TBCD	Island	II
796	95328	cg04777551	1.43515108359395e-08	-0.459	0.47	0.407014425	0.865828983333333	chr6	32628953	32628954	cg04777551	HLA-DQB1	N_Shelf	II
824	98528	cg04937416	2.24722297838571e-07	0.012	1.154	0.0888490058333333	0.0769857708333333	chr7	157479272	157479273	cg04937416	PTPRN2	Island	II
845	101913	cg05119504	7.83992608507405e-08	0.015	1.017	0.927286208333333	0.912070075	chr3	99905910	99905911	cg05119504	TMEM30C	NA	II
850	103053	cg05176970	6.20380901110021e-08	0.542	3.176	0.791486658333333	0.249235966666667	chr17	724273	724274	cg05176970	NXN	NA	I
862	104716	cg05264214	1.70381823585159e-07	-0.011	0.988	0.965312433333333	0.976638333333333	chr18	77181423	77181424	cg05264214	NFATC1	S_Shore	I
870	105364	cg05299048	1.16444887499435e-07	-0.015	0.981	0.769042758333333	0.784325916666667	chr3	52828583	52828584	cg05299048	ITIH3	NA	II
883	107340	cg05393861	2.05252539492594e-07	-0.302	0.587	0.42842685	0.730468808333333	chr3	52828628	52828629	cg05393861	ITIH3	NA	II
917	110720	cg05591235	1.03164943512477e-07	-0.014	0.984	0.871546858333333	0.885775275	chr1	6405672	6405673	cg05591235	ACOT7	NA	II
931	112560	cg05692837	7.45453209922866e-08	-0.01	0.838	0.049625665	0.0592243316666667	chr12	49583094	49583095	cg05692837	TUBA1A	S_Shore	II
942	113613	cg05755239	3.67796414468655e-09	0.026	1.535	0.0754178875	0.04914693	chr4	166128480	166128481	cg05755239	KLHL2	Island	I
959	115185	cg05844321	8.09911845286837e-08	0.055	1.086	0.690404775	0.635774966666667	chr3	13663398	13663399	cg05844321	FBLN2	NA	II
960	115189	cg05844402	2.30847396351269e-08	-0.051	0.922	0.594805783333333	0.645422	chr22	50531970	50531971	cg05844402	MOV10L1	S_Shelf	I
963	115641	cg05869007	1.22137535822028e-07	-0.004	0.222	0.00124033024166667	0.00558723118333333	chr4	166129003	166129004	cg05869007	KLHL2	Island	I
968	115998	cg05886537	1.5438871254022e-07	0.029	1.036	0.817227741666667	0.788570916666667	chr11	132936428	132936429	cg05886537	OPCML	S_Shelf	II
970	116317	cg05901765	1.64702987240573e-07	-0.089	0.792	0.338217008333333	0.426992316666667	chr5	68710818	68710819	cg05901765	MARVELD2	Island	I
988	118219	cg05995465	5.2068890535138e-08	0.564	3.339	0.805788458333333	0.241333858333333	chr2	240313602	240313603	cg05995465	HDAC4	NA	II
992	118849	cg06032479	3.67227982595209e-08	0.195	1.268	0.923659858333333	0.7283641	chr6	32552026	32552027	cg06032479	HLA-DRB1	Island	I
999	119496	cg06069861	4.52122637431153e-09	-0.04	0.791	0.152157816666667	0.192333425	chr17	46124725	46124726	cg06069861	NFE2L1	N_Shore	II
1001	119560	cg06073355	1.44868264553453e-08	-0.015	0.983	0.8557719	0.87063905	chr3	99904609	99904610	cg06073355	TMEM30C	NA	II
1022	121826	cg06204447	4.05270390464765e-08	-0.175	0.764	0.565965183333333	0.740981475	chr6	32546665	32546666	cg06204447	HLA-DRB1	NA	II
1028	122510	cg06241901	7.0766537484385e-08	-0.067	0.874	0.464432441666667	0.5313617	chr6	43244304	43244305	cg06241901	TTBK1	Island	II
1050	125419	cg06418871	2.07735694351508e-07	-0.089	0.772	0.303206775	0.392523291666667	chr5	68710831	68710832	cg06418871	MARVELD2	Island	I
1053	125501	cg06422910	2.23092092045836e-08	-0.023	0.694	0.0517663266666667	0.0746055133333333	chr7	130352926	130352927	cg06422910	COPG2	N_Shore	II
1055	126154	cg06462666	3.10424993728045e-07	0.035	1.133	0.296224308333333	0.261405	chr22	50528312	50528313	cg06462666	MOV10L1	Island	II
1065	127966	cg06559318	1.16661519499672e-08	-0.815	0.046	0.0392824533333333	0.85394975	chr6	32526260	32526261	cg06559318	HLA-DRB6	NA	I
1069	129196	cg06626087	1.72631481183581e-07	0.011	1.267	0.0511717091666667	0.0403964875	chr12	49582995	49582996	cg06626087	TUBA1A	S_Shore	II
1093	132484	cg06792598	2.86705717988187e-07	-0.006	0.869	0.039952555	0.0460009891666667	chr1	207494733	207494734	cg06792598	CD55	Island	II
1104	133271	cg06829391	1.97303665738545e-07	0.025	1.03	0.837292625	0.812554591666667	chr16	9857151	9857152	cg06829391	GRIN2A	NA	II
1118	134994	cg06910254	2.78522340768146e-08	-0.008	0.469	0.00701267725	0.014962945	chr16	3185002	3185003	cg06910254	ZNF213	Island	I
1126	135878	cg06955214	3.40706197705398e-07	-0.016	0.982	0.858911625	0.875025225	chr7	157968683	157968684	cg06955214	PTPRN2	NA	I
1158	138951	cg07112867	7.86699912913953e-08	-0.023	0.974	0.874316266666667	0.897633216666667	chr1	3315163	3315164	cg07112867	PRDM16	NA	II
1163	139405	cg07134371	2.62115575068538e-07	0.02	1.024	0.852408583333333	0.832579483333333	chr7	47463781	47463782	cg07134371	TNS3	NA	II
1170	140682	cg07192718	1.69974199547188e-07	0.064	1.081	0.851847791666667	0.788040808333333	chr1	55445837	55445838	cg07192718	TMEM61	N_Shore	I
1180	141431	cg07230581	2.54369422398011e-07	-0.044	0.734	0.122338023333333	0.1667463	chr11	133403211	133403212	cg07230581	OPCML	NA	II
1188	142215	cg07275439	1.01660680811794e-07	-0.036	0.956	0.7762569	0.812345158333333	chr16	4663601	4663602	cg07275439	FAM100A	N_Shore	II
